ENTRY            D0429   20110913                             D079D042900000001 
SUBENT        D0429001   20110913                             D079D042900100001 
BIB                 10         26                                 D042900100002 
TITLE      Precise measurement of the differential cross section  D042900100003 
           from the 16O(alpha,alpha)160 elastic reaction at 165   D042900100004 
           and 170 degr. between 2.4 and  6.0 MeV                 D042900100005 
AUTHOR     (J.Demarche,G.Terwagne)                                D042900100006 
INSTITUTE  (2BLGNAM)                                              D042900100007 
REFERENCE  (J,JAP,100,124909,2006)                                D042900100008 
FACILITY   (DYNAM,2BLGNAM) Accelerator Lineaire Tandetron pour    D042900100009 
           l'Analyse l'Implantation des Solides (ALTAlS),         D042900100010 
           the 2 MV Tandetron accelerator installed al            D042900100011 
           LARN (Namur,Belgium)                                   D042900100012 
SAMPLE     The measurements were realized with the thin Ta2O5     D042900100013 
           standard in regions  were the cross section varied     D042900100014 
           rapidly. The thicker Ta2O5 standard was  used to       D042900100015 
           explore the regions where the cross section varied     D042900100016 
           slowly.                                                D042900100017 
DETECTOR   (SI) Backscattered alpha particles were detected in    D042900100018 
           two passivated  implanted planar silicon (PIPS)        D042900100019 
           detectors with an active area of 25 mm2  and a         D042900100020 
ERR-ANALYS (ANG-ERR) Scale error                                  D042900100021 
           (DATA-ERR) Uncertainty in cross section                D042900100022 
           (EN-ERR) Scale error                                   D042900100023 
STATUS     (TABLE) Data were taken from DB IBANDL                 D042900100024 
            (http://www-nds.iaea.org/ibandl/). (Originally from   D042900100025 
           the author).                                           D042900100026 
           (APRVD) Entry approved by Dr. J.Demarche               D042900100027 
HISTORY    (20070109C)                                            D042900100028 
ENDBIB              26          0                                 D042900100029 
COMMON               1          3                                 D042900100030 
ANG-ERR                                                           D042900100031 
ADEG                                                              D042900100032 
  0.5                                                             D042900100033 
ENDCOMMON            3          0                                 D042900100034 
ENDSUBENT           33          0                                 D042900199999 
SUBENT        D0429002   20110913                             D079D042900200001 
BIB                  2          2                                 D042900200002 
REACTION   (8-O-16(A,EL)8-O-16,,DA)                               D042900200003 
HISTORY    (20110909A) VS. EN: MEV -> KEV.                        D042900200004 
ENDBIB               2          0                                 D042900200005 
NOCOMMON             0          0                                 D042900200006 
DATA                 5        590                                 D042900200007 
ANG        EN         EN-ERR     DATA       DATA-ERR              D042900200008 
ADEG       KEV        KEV        MB/SR      MB/SR                 D042900200009 
  165.0     2433.000      0.500      40.280     3.060             D042900200010 
  165.0     2453.200      0.500      47.640     3.510             D042900200011 
  165.0     2468.600      0.500      35.660     1.980             D042900200012 
  165.0     2473.400      0.500      56.740     3.950             D042900200013 
  165.0     2478.500      0.500      81.560     4.910             D042900200014 
  165.0     2483.400      0.500      99.350     5.380             D042900200015 
  165.0     2488.300      0.500     112.610     5.850             D042900200016 
  165.0     2493.200      0.500     103.420     5.340             D042900200017 
  165.0     2503.000      0.500     104.060     5.300             D042900200018 
  165.0     2545.600      0.500      59.620     1.860             D042900200019 
  165.0     2595.300      0.500      53.770     1.340             D042900200020 
  165.0     2645.050      0.500      55.650     1.290             D042900200021 
  165.0     2645.100      0.500      51.340     1.290             D042900200022 
  165.0     2694.580      0.500      53.210     0.830             D042900200023 
  165.0     2694.800      0.500      49.460     1.250             D042900200024 
  165.0     2744.220      0.500      50.500     0.800             D042900200025 
  165.0     2744.600      0.500      50.080     1.200             D042900200026 
  165.0     2793.830      0.500      50.660     0.770             D042900200027 
  165.0     2794.300      0.500      49.480     1.550             D042900200028 
  165.0     2843.440      0.500      51.140     0.750             D042900200029 
  165.0     2844.100      0.500      48.130     1.490             D042900200030 
  165.0     2893.900      0.500      49.380     1.440             D042900200031 
  165.0     2895.000      0.500      51.500     1.440             D042900200032 
  165.0     2952.200      0.500      64.070     4.160             D042900200033 
  165.0     2992.300      0.500      92.360     6.740             D042900200034 
  165.0     3002.300      0.500     126.910     6.030             D042900200035 
  165.0     3007.200      0.500     152.530     6.670             D042900200036 
  165.0     3014.800      0.500     164.710     9.630             D042900200037 
  165.0     3015.800      0.500     189.490     10.620            D042900200038 
  165.0     3016.800      0.500     189.700     10.610            D042900200039 
  165.0     3017.800      0.500     226.690     11.600            D042900200040 
  165.0     3018.700      0.500     246.760     12.250            D042900200041 
  165.0     3019.700      0.500     240.310     11.930            D042900200042 
  165.0     3020.600      0.500     293.090     13.230            D042900200043 
  165.0     3021.600      0.500     306.120     13.570            D042900200044 
  165.0     3022.600      0.500     304.270     13.230            D042900200045 
  165.0     3023.500      0.500     380.020     15.520            D042900200046 
  165.0     3024.500      0.500     406.170     15.840            D042900200047 
  165.0     3025.400      0.500     508.150     18.480            D042900200048 
  165.0     3026.300      0.500     527.620     18.460            D042900200049 
  165.0     3027.300      0.500     623.770     20.750            D042900200050 
  165.0     3028.300      0.500     697.740     22.390            D042900200051 
  165.0     3029.200      0.500     751.600     23.350            D042900200052 
  165.0     3030.200      0.500     733.680     23.010            D042900200053 
  165.0     3031.100      0.500     759.850     23.650            D042900200054 
  165.0     3032.000      0.500     719.350     22.650            D042900200055 
  165.0     3032.800      0.500     614.940     20.030            D042900200056 
  165.0     3033.000      0.500     620.110     20.680            D042900200057 
  165.0     3033.900      0.500     528.920     17.720            D042900200058 
  165.0     3034.000      0.500     548.550     19.020            D042900200059 
  165.0     3034.900      0.500     433.540     16.070            D042900200060 
  165.0     3034.900      0.500     440.750     16.380            D042900200061 
  165.0     3035.900      0.500     351.710     14.090            D042900200062 
  165.0     3036.900      0.500     263.120     11.760            D042900200063 
  165.0     3036.900      0.500     278.170     12.460            D042900200064 
  165.0     3037.900      0.500     224.350     10.810            D042900200065 
