ENTRY            D1000   20230813                             D139D100000000001 
SUBENT        D1000001   20230813                             D139D100000100001 
BIB                 10         16                                 D100000100002 
TITLE      Measurement of neutron production from an 18O target   D100000100003 
AUTHOR     (P.Z.Ngcobo, R.A.Bark, A.Buffler, P.Papka, D.R.Geduld, D100000100004 
            P.Jones, L.Makhathini, P.Maleka, N.Mantengu,          D100000100005 
            S.S.Ntshangase, F.D.Smit)                             D100000100006 
INSTITUTE  (3SAFITH,3SAFSCT,3SAFSTL)                              D100000100007 
           (3SAFSAF) University of Zululand, Kwadlangezwa         D100000100008 
REFERENCE  (J,NIM/B,513,21,2022)                                  D100000100009 
           #doi:10.1016/j.nimb.2021.12.007                        D100000100010 
FACILITY   (CYCLO,3SAFITH)                                        D100000100011 
DETECTOR   (SCIN) BC501A liquid scintillation detector (5.08 cm   D100000100012 
            diam., 10.16 cm long) for neutron yields measurement. D100000100013 
           NE102A detector as a neutron fluence monitor.          D100000100014 
METHOD     (TOF,PSD)                                              D100000100015 
ADD-RES    (N-SPC) Double differential neutron thick target yieldsD100000100016 
STATUS     Original data were lost (R.A.Bark, 2022-02-15)         D100000100017 
HISTORY    (20230813C) VS                                         D100000100018 
ENDBIB              16          0                                 D100000100019 
NOCOMMON             0          0                                 D100000100020 
ENDSUBENT           19          0                                 D100000199999 
SUBENT        D1000002   20230813                             D139D100000200001 
BIB                  4          9                                 D100000200002 
REACTION   (8-O-18(P,X)0-NN-1,,PY/DA/DE,,TT/CH/MSC)               D100000200003 
            Thin target neutron yields                            D100000200004 
SAMPLE     (8-O-18,ENR=0.97)                                      D100000200005 
            Thin (2 mm thick) H2O target (1.11 g/mL at 20 deg-C)  D100000200006 
ERR-ANALYS Typical uncertainties of 10% due mainly to             D100000200007 
            uncertainties in                                      D100000200008 
           (ERR-1) efficiency       (5%)                          D100000200009 
           (ERR-2) target thickness (7%)                          D100000200010 
STATUS     (CURVE,,P.Z.Ngcobo+,J,NIM/B,513,21,2022) Fig.2         D100000200011 
ENDBIB               9          0                                 D100000200012 
COMMON               3          3                                 D100000200013 
ERR-1      ERR-2      ERR-DIG                                     D100000200014 
PER-CENT   PER-CENT   P/MEVMUCSR                                  D100000200015 
 5.         7.         0.15                                       D100000200016 
ENDCOMMON            3          0                                 D100000200017 
DATA                 5        302                                 D100000200018 
ANG        EN         E-MIN      E-MAX      DATA                  D100000200019 
ADEG       MEV        MEV        MEV        P/MEVMUCSR            D100000200020 
  0.        30.         9.        10.              8.30           D100000200021 
  0.        30.        10.        11.              6.87           D100000200022 
  0.        30.        11.        12.              5.73           D100000200023 
  0.        30.        12.        13.              5.04           D100000200024 
  0.        30.        13.        14.              5.04           D100000200025 
  0.        30.        14.        15.              4.24           D100000200026 
  0.        30.        15.        16.              3.15           D100000200027 
  0.        30.        16.        17.              3.03           D100000200028 
  0.        30.        17.        18.              2.52           D100000200029 
  0.        30.        18.        19.              2.12           D100000200030 
  0.        30.        19.        20.              1.95           D100000200031 
  0.        30.        20.        21.              1.77           D100000200032 
  0.        30.        21.        22.              1.95           D100000200033 
  0.        30.        22.        23.              2.63           D100000200034 
  0.        30.        23.        24.              6.64           D100000200035 
  0.        30.        24.        25.              6.81           D100000200036 
  0.        30.        25.        26.              7.33           D100000200037 
  0.        30.        26.        27.              2.98           D100000200038 
  0.        30.        27.        28.              0.52           D100000200039 
  0.        42.         9.        10.              6.64           D100000200040 
  0.        42.        10.        11.              5.61           D100000200041 
  0.        42.        11.        12.              5.17           D100000200042 
  0.        42.        12.        13.              5.17           D100000200043 
  0.        42.        13.        14.              5.50           D100000200044 
  0.        42.        14.        15.              5.21           D100000200045 
  0.        42.        15.        16.              4.69           D100000200046 
  0.        42.        16.        17.              4.69           D100000200047 
  0.        42.        17.        18.              4.35           D100000200048 
  0.        42.        18.        19.              4.20           D100000200049 
  0.        42.        19.        20.              3.78           D100000200050 
  0.        42.        20.        21.              3.89           D100000200051 
  0.        42.        21.        22.              3.44           D100000200052 
  0.        42.        22.        23.              3.61           D100000200053 
  0.        42.        23.        24.              3.38           D100000200054 
  0.        42.        24.        25.              2.98           D100000200055 
  0.        42.        25.        26.              2.88           D100000200056 
  0.        42.        26.        27.              2.77           D100000200057 
  0.        42.        27.        28.              2.77           D100000200058 
  0.        42.        28.        29.              2.35           D100000200059 
  0.        42.        29.        30.              1.83           D100000200060 
  0.        42.        30.        31.              1.77           D100000200061 
  0.        42.        31.        32.              1.55           D100000200062 
  0.        42.        32.        33.              1.32           D100000200063 
  0.        42.        33.        34.              1.32           D100000200064 
  0.        42.        34.        35.              1.89           D100000200065 
  0.        42.        35.        36.              2.49           D100000200066 
  0.        42.        36.        37.              5.61           D100000200067 
  0.        42.        37.        38.             13.00           D100000200068 
