ENTRY            D6151   20120321                             D082D615100000001 
SUBENT        D6151001   20120321                             D082D615100100001 
BIB                 11         25                                 D615100100002 
TITLE      Fragment spin as a function of the mass asymmetry in   D615100100003 
            heavy ion induced fission reactions                   D615100100004 
AUTHOR     (R.K.Choudhury, A.Saxena, A.Chatterjee, D.V.Shetty,    D615100100005 
            S.S.Kapoor, M.Cinausero, L.Corradi, E.Farnea,         D615100100006 
            E.Fioretto, A.Gadea, D.Napoli, G.Prete,               D615100100007 
            A.M.Stefanini, D.Bazzaco, S.Beghini, D.Fabris,        D615100100008 
            G.Montagnoli, G.Nebbia, C.Rossi-Alvarez,              D615100100009 
            F.Scarlassara, C.Ur, G.Viesti)                        D615100100010 
INSTITUTE  (3INDTRM,2ITYPAD)                                      D615100100011 
REFERENCE  (J,PR/C,60,054609,1999)                                D615100100012 
FACILITY   (VDGT,2ITYPAD) XTU Tandem of Lab. Naz. di Legnaro      D615100100013 
SAMPLE     Self-supporting 1.5 mg/cm2 232Th and 500 ug/cm2 209Bi  D615100100014 
DETECTOR   (GE,BGO) 40 large volume Compton suppressed Ge         D615100100015 
            detectors and an inner ball of 80 bismuth germanate   D615100100016 
              (BGO) crystals.                                     D615100100017 
           The BGO detectors were used for the determination of   D615100100018 
            gamma ray multiplicity in the fission process.        D615100100019 
           (MWPC) To detect fission fragments in coincidence      D615100100020 
METHOD     (PSD) Discrimination of fission fragments from         D615100100021 
            elastically scattered particles                       D615100100022 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties  D615100100023 
STATUS     (TABLE) Fig.4 of Phys.Rev.C60(1999)054609 from authors D615100100024 
HISTORY    (20110405C),S.Mahadevan, S.Subramanian,                D615100100025 
            V.O.Chindambaram, M.Balasubramaniam, G.Pandikumar     D615100100026 
           (20120321U) On. Finalized                              D615100100027 
ENDBIB              25          0                                 D615100100028 
NOCOMMON             0          0                                 D615100100029 
ENDSUBENT           28          0                                 D615100199999 
SUBENT        D6151002   20120321                             D082D615100200001 
BIB                  1          1                                 D615100200002 
REACTION   (90-TH-232(6-C-12,F)MASS,,FY,G)                        D615100200003 
ENDBIB               1          0                                 D615100200004 
NOCOMMON             0          0                                 D615100200005 
DATA                 5         60                                 D615100200006 
EN         MASS-MIN   MASS-MAX   DATA       DATA-ERR              D615100200007 
MEV        NO-DIM     NO-DIM     PRT/FIS    PRT/FIS               D615100200008 
 58.         60.        80.        9.60      0.06                 D615100200009 
 58.         80.       100.        9.80      0.06                 D615100200010 
 58.        100.       110.       10.04      0.06                 D615100200011 
 58.        110.       120.       10.05      0.05                 D615100200012 
 58.        120.       130.       10.04      0.05                 D615100200013 
 60.         60.        80.        9.80      0.06                 D615100200014 
 60.         80.       100.       10.02      0.06                 D615100200015 
 60.        100.       110.        9.99      0.05                 D615100200016 
 60.        110.       120.        9.98      0.05                 D615100200017 
 60.        120.       130.       10.21      0.05                 D615100200018 
 62.         60.        80.       10.41      0.05                 D615100200019 
 62.         80.       100.       10.43      0.05                 D615100200020 
 62.        100.       110.       10.25      0.05                 D615100200021 
 62.        110.       120.       10.24      0.04                 D615100200022 
 62.        120.       130.       10.36      0.04                 D615100200023 
 64.         60.        80.       10.45      0.05                 D615100200024 
 64.         80.       100.       10.52      0.04                 D615100200025 
 64.        100.       110.       10.47      0.04                 D615100200026 
 64.        110.       120.       10.45      0.03                 D615100200027 
 64.        120.       130.       10.52      0.03                 D615100200028 
 66.         60.        80.       10.64      0.04                 D615100200029 
 66.         80.       100.       10.62      0.03                 D615100200030 
 66.        100.       110.       10.61      0.03                 D615100200031 
 66.        110.       120.       10.62      0.02                 D615100200032 
 66.        120.       130.       10.68      0.03                 D615100200033 
 68.         60.        80.       10.79      0.04                 D615100200034 
 68.         80.       100.       10.81      0.03                 D615100200035 
 68.        100.       110.       10.83      0.03                 D615100200036 
 68.        110.       120.       10.82      0.02                 D615100200037 
 68.        120.       130.       10.92      0.03                 D615100200038 
 70.         60.        80.       10.87      0.04                 D615100200039 
 70.         80.       100.       10.94      0.04                 D615100200040 
 70.        100.       110.       10.96      0.03                 D615100200041 
 70.        110.       120.       11.03      0.03                 D615100200042 
 70.        120.       130.       11.05      0.02                 D615100200043 
 74.         60.        80.       11.21      0.04                 D615100200044 
 74.         80.       100.       11.24      0.03                 D615100200045 
 74.        100.       110.       11.34      0.03                 D615100200046 
 74.        110.       120.       11.44      0.02                 D615100200047 
 74.        120.       130.       11.46      0.02                 D615100200048 
 78.         60.        80.       11.46      0.05                 D615100200049 
 78.         80.       100.       11.63      0.04                 D615100200050 
 78.        100.       110.       11.77      0.03                 D615100200051 
