ENTRY            D0816   20170327                             D109D0816  0    1 
SUBENT        D0816001   20170327                             D109D0816  1    1 
BIB                 11         25                                 D0816  1    2 
TITLE      Multinucleon transfer reactions in the 40Ar+208Pb      D0816  1    3 
            system                                                D0816  1    4 
AUTHOR     (T.Mijatovic, S.Szilner, L.Corradi, D.Montanari,       D0816  1    5 
            G.Pollarolo, E.Fioretto, A.Gadea, A.Goasduff,         D0816  1    6 
            D.Jelavic Malenica, N.Marginean, M.Milin,             D0816  1    7 
            G.Montagnoli, F.Scarlassara, N.Soic, A.M.Stefanini,   D0816  1    8 
            C.A.Ur, J.J.Valiente-Dobon)                           D0816  1    9 
INSTITUTE  (3CRORBZ,2ITYPAD,2ITYUPV,2FR STR,2ITYTUR,2SPNVAL,      D0816  1   10 
           3RUMBUC,3CROZAG)                                       D0816  1   11 
REFERENCE  (J,PR/C,94,064616,2016)                                D0816  1   12 
SAMPLE     (82-PB-208,ENR=0.999)                                  D0816  1   13 
            300 ug/cm2 (~2 mm) thick strip with isotopic purity   D0816  1   14 
            of 99.9%.                                             D0816  1   15 
METHOD     (TOF,EDE)                                              D0816  1   16 
FACILITY   (LINAC,2ITYPAD) PIAVE ALPI accelerator complex         D0816  1   17 
DETECTOR   (MCPLT,PPAC,IOCH,MAGSP) PRISMA spectrometer.           D0816  1   18 
ERR-ANALYS (DATA-ERR) Statistics and systematic errors (errors    D0816  1   19 
            induced by the response function were estimated by    D0816  1   20 
            building a set of response functions and calculating  D0816  1   21 
            their average values by using different smoothing     D0816  1   22 
            procedures and also uncertainties due to              D0816  1   23 
            normalization procedure were taken into account).     D0816  1   24 
STATUS     (APRVD) Approved by Tea Mijatovic (2017-04-03)         D0816  1   25 
HISTORY    (20170202R) Received by e-mail from Tea Mijatovic      D0816  1   26 
           (20170306C) M.Odsuren, N.Otsuka                        D0816  1   27 
ENDBIB              25          0                                 D0816  1   28 
COMMON               1          3                                 D0816  1   29 
EN                                                                D0816  1   30 
MEV/A                                                             D0816  1   31 
 6.4                                                              D0816  1   32 
ENDCOMMON            3          0                                 D0816  1   33 
ENDSUBENT           32          0                                 D0816  199999 
SUBENT        D0816002   20170327                             D109D0816  2    1 
BIB                  2          2                                 D0816  2    2 
REACTION   (82-PB-208(18-AR-40,SCT)82-PB-208,,DA,,RTH)            D0816  2    3 
STATUS     (TABLE) Plotted in Fig.5 of Phys.Rev.C94(2016)064616   D0816  2    4 
ENDBIB               2          0                                 D0816  2    5 
NOCOMMON             0          0                                 D0816  2    6 
DATA                 3         21                                 D0816  2    7 
ANG        DATA       DATA-ERR                                    D0816  2    8 
ADEG       NO-DIM     NO-DIM                                      D0816  2    9 
 42.        0.9063     0.1512                                     D0816  2   10 
 43.        0.8522     0.1417                                     D0816  2   11 
 44.        0.9859     0.1632                                     D0816  2   12 
 45.        0.9179     0.1520                                     D0816  2   13 
 46.        1.0135     0.1710                                     D0816  2   14 
 47.        1.0936     0.1816                                     D0816  2   15 
 48.        1.0236     0.1716                                     D0816  2   16 
 49.        1.0457     0.0925                                     D0816  2   17 
 50.        1.0051     0.0852                                     D0816  2   18 
 51.        0.9756     0.0824                                     D0816  2   19 
 52.        0.9683     0.0820                                     D0816  2   20 
 53.        0.9001     0.0759                                     D0816  2   21 
 54.        0.7789     0.0673                                     D0816  2   22 
 55.        0.7053     0.0601                                     D0816  2   23 
 56.        0.4522     0.0383                                     D0816  2   24 
 57.        0.2990     0.0254                                     D0816  2   25 
 58.        0.1599     0.0332                                     D0816  2   26 
 59.        0.1091     0.0230                                     D0816  2   27 
 60.        0.0597     0.0124                                     D0816  2   28 
 61.        0.0367     0.0078                                     D0816  2   29 
 62.        0.0247     0.0051                                     D0816  2   30 
ENDDATA             23          0                                 D0816  2   31 
ENDSUBENT           30          0                                 D0816  299999 
SUBENT        D0816003   20170327                             D109D0816  3    1 
BIB                  2          2                                 D0816  3    2 
REACTION   (82-PB-208(18-AR-40,X)ELEM/MASS,,DA)                   D0816  3    3 
STATUS     (TABLE) Plotted in Fig.5 of Phys.Rev.C94(2016)064616   D0816  3    4 
ENDBIB               2          0                                 D0816  3    5 
NOCOMMON             0          0                                 D0816  3    6 
DATA                 5       1202                                 D0816  3    7 
ELEMENT    MASS       ANG        DATA       DATA-ERR              D0816  3    8 
NO-DIM     NO-DIM     ADEG       MB/SR      MB/SR                 D0816  3    9 
        14.        30.        41.    0.20095    0.03341           D0816  3   10 
        14.        30.        42.    0.11521    0.01745           D0816  3   11 
        14.        30.        43.    0.01518    0.00265           D0816  3   12 
        14.        30.        44.    0.08418    0.01178           D0816  3   13 
        14.        30.        45.    0.14651    0.02008           D0816  3   14 
        14.        30.        46.    0.14163    0.01960           D0816  3   15 
        14.        30.        47.    0.18948    0.02597           D0816  3   16 
        14.        30.        48.    0.16968    0.02332           D0816  3   17 
        14.        30.        49.    0.09662    0.01317           D0816  3   18 
        14.        30.        50.    0.04588    0.00451           D0816  3   19 
        14.        30.        51.    0.06709    0.00551           D0816  3   20 
        14.        30.        52.    0.07496    0.00614           D0816  3   21 
        14.        30.        53.    0.05951    0.00509           D0816  3   22 
        14.        30.        54.      0.067    0.00538           D0816  3   23 
        14.        30.        55.    0.10472    0.00829           D0816  3   24 
        14.        30.        56.    0.08419    0.00682           D0816  3   25 
        14.        30.        57.    0.09105    0.00738           D0816  3   26 
        14.        30.        58.    0.05595    0.01137           D0816  3   27 
        14.        30.        59.    0.05603    0.01152           D0816  3   28 
        14.        30.        60.    0.01785    0.00397           D0816  3   29 
        14.        30.        61.    0.00940    0.00203           D0816  3   30 
        14.        30.        62.    0.00544    0.00150           D0816  3   31 
        14.        31.        41.    0.03020    0.00444           D0816  3   32 
        14.        31.        42.    0.06414    0.00909           D0816  3   33 
        14.        31.        43.    0.13883    0.01960           D0816  3   34 
        14.        31.        44.    0.15526    0.02193           D0816  3   35 
        14.        31.        45.    0.23984    0.03300           D0816  3   36 
        14.        31.        46.    0.32135    0.04364           D0816  3   37 
        14.        31.        47.    0.29423    0.04006           D0816  3   38 
        14.        31.        48.    0.35508    0.04821           D0816  3   39 
        14.        31.        49.    0.23421    0.02860           D0816  3   40 
        14.        31.        50.    0.14705    0.02668           D0816  3   41 
        14.        31.        51.    0.19500    0.01591           D0816  3   42 
        14.        31.        52.    0.20317    0.01550           D0816  3   43 
        14.        31.        53.    0.22687    0.01776           D0816  3   44 
        14.        31.        54.    0.31038    0.02474           D0816  3   45 
        14.        31.        55.    0.20713    0.01606           D0816  3   46 
        14.        31.        56.    0.16358    0.01280           D0816  3   47 
        14.        31.        57.    0.16555    0.01296           D0816  3   48 
        14.        31.        58.    0.05600    0.01159           D0816  3   49 
        14.        31.        59.    0.06237    0.01279           D0816  3   50 
        14.        31.        60.    0.03688    0.00767           D0816  3   51 
        14.        31.        61.      0.041    0.00854           D0816  3   52 
        14.        31.        62.    0.03125    0.00658           D0816  3   53 
        14.        32.        41.    0.11101    0.01550           D0816  3   54 
        14.        32.        42.    0.21929    0.03002           D0816  3   55 
        14.        32.        43.    0.36388    0.04964           D0816  3   56 
        14.        32.        44.    0.44515    0.06021           D0816  3   57 
        14.        32.        45.    0.50970    0.06874           D0816  3   58 
        14.        32.        47.    0.48557    0.06590           D0816  3   59 
        14.        32.        48.    0.52287    0.07071           D0816  3   60 
        14.        32.        49.    0.33130    0.03759           D0816  3   61 
        14.        32.        50.    0.32416    0.02491           D0816  3   62 
        14.        32.        51.    0.36329    0.02777           D0816  3   63 
        14.        32.        52.    0.44120    0.03342           D0816  3   64 
        14.        32.        53.    0.43408    0.03319           D0816  3   65 
        14.        32.        54.    0.40397    0.03072           D0816  3   66 
        14.        32.        55.    0.39052    0.02992           D0816  3   67 
        14.        32.        56.    0.28138    0.02179           D0816  3   68 
        14.        32.        57.    0.27630    0.02129           D0816  3   69 
        14.        32.        58.    0.10865    0.02208           D0816  3   70 
        14.        32.        59.    0.10514    0.02139           D0816  3   71 
        14.        32.        60.    0.13422    0.02725           D0816  3   72 
        14.        32.        61.    0.10081    0.02052           D0816  3   73 
        14.        32.        62.    0.07296    0.01492           D0816  3   74 
        14.        33.        41.    0.12958    0.01790           D0816  3   75 
        14.        33.        42.    0.18020    0.02465           D0816  3   76 
        14.        33.        43.    0.22678    0.03120           D0816  3   77 
        14.        33.        44.    0.28659    0.03913           D0816  3   78 
        14.        33.        45.    0.27928    0.03821           D0816  3   79 
        14.        33.        46.    0.35142    0.04795           D0816  3   80 
        14.        33.        47.    0.36582    0.04991           D0816  3   81 
        14.        33.        48.    0.29368    0.04032           D0816  3   82 
