ENTRY            D6224   20250305                             D146D622400000001 
SUBENT        D6224001   20250305                             D146D622400100001 
BIB                 11         20                                 D622400100002 
TITLE      Deformation in 28Si produced via the 16O+12C reaction  D622400100003 
AUTHOR     (S.Kundu, C.Bhattacharya, S.Bhattacharya, T.K.Rana,    D622400100004 
            K.Banerjee, S.Muhkopadhayay, D.Gupta, A.Dey, R.Saha)  D622400100005 
INSTITUTE  (3INDVEC)                                              D622400100006 
REFERENCE  (J,PR/C,87,024602,2013)                                D622400100007 
FACILITY   (CYCLO,3INDVEC)                                        D622400100008 
SAMPLE     Self-supporting 12C target of thickness ~514 ug/cm2    D622400100009 
DETECTOR   (TELES,SIBAR,SIBAR) Alpha particles were detected      D622400100010 
           using a Si(SB) telescope (~10 um delta E, ~5 mm E)     D622400100011 
           with a solid angle of ~0.3 msr. The telescope was      D622400100012 
           calibrated using elastically scattered 16O from an     D622400100013 
           Au target and a 229Th-alpha source.                    D622400100014 
METHOD     (EDE)                                                  D622400100015 
ERR-ANALYS (DATA-ERR) No information on source of the uncertainty D622400100016 
STATUS     (TABLE,,S.Kundu+,J,PR/C,87,024602,2013) Fig.1          D622400100017 
HISTORY    (20150215R) Data received from S.Kundu                 D622400100018 
           (20150708C)Compiled by Gopal Mukherjee                 D622400100019 
           (20250305A) VT. Revision in 002                        D622400100020 
           (20250305D) VT. Subents 003-019 deleted, data merged   D622400100021 
           in 002                                                 D622400100022 
ENDBIB              20          0                                 D622400100023 
NOCOMMON             0          0                                 D622400100024 
ENDSUBENT           23          0                                 D622400199999 
SUBENT        D6224002   20250305                             D146D622400200001 
BIB                  2          3                                 D622400200002 
REACTION   (6-C-12(8-O-16,X)2-HE-4,,DA/DE,,REL)                   D622400200003 
HISTORY    (20250306A) VT. Data at EN=117,125 MeV for             D622400200004 
            ANG=21 degrees has been replaced with correct values. D622400200005 
ENDBIB               3          0                                 D622400200006 
NOCOMMON             0          0                                 D622400200007 
DATA                 5        560                                 D622400200008 
EN         ANG        E-CM       DATA-CM    DATA-ERR              D622400200009 
MEV        ADEG       MEV        ARB-UNITS  ARB-UNITS             D622400200010 
       117.        11.        0.5     0.0307   4.04E-03           D622400200011 
       117.        11.        1.5     0.1157   9.41E-03           D622400200012 
       117.        11.        2.5      0.181     0.0128           D622400200013 
       117.        11.        3.5     0.2387     0.0154           D622400200014 
       117.        11.        4.5     0.3285     0.0188           D622400200015 
       117.        11.        5.5     0.3325     0.0194           D622400200016 
       117.        11.        6.5     0.3459     0.0203           D622400200017 
       117.        11.        7.5     0.3473     0.0207           D622400200018 
       117.        11.        8.5     0.3246     0.0203           D622400200019 
       117.        11.        9.5     0.3123     0.0202           D622400200020 
       117.        11.       10.5     0.2787     0.0193           D622400200021 
       117.        11.       11.5     0.2314     0.0178           D622400200022 
       117.        11.       12.5     0.2057     0.0169           D622400200023 
       117.        11.       13.5     0.1749     0.0157           D622400200024 
       117.        11.       14.5     0.1508     0.0147           D622400200025 
       117.        11.       15.5     0.1266     0.0136           D622400200026 
       117.        11.       16.5     0.1135      0.013           D622400200027 
       117.        11.       17.5     0.0934     0.0118           D622400200028 
       117.        11.       18.5      0.073     0.0105           D622400200029 
       117.        11.       19.5     0.0575   9.37E-03           D622400200030 
       117.        11.       20.5     0.0468   8.50E-03           D622400200031 
       117.        11.       21.5     0.0406   7.95E-03           D622400200032 
       117.        11.       22.5     0.0357   7.49E-03           D622400200033 
       117.        11.       23.5     0.0271   6.55E-03           D622400200034 
       117.        11.       24.5     0.0214   5.85E-03           D622400200035 
       117.        11.       25.5     0.0185   5.45E-03           D622400200036 
       117.        11.       26.5     0.0122   4.45E-03           D622400200037 
       117.        11.       27.5   6.99E-03   3.38E-03           D622400200038 
       117.        11.       28.5   9.30E-03   3.91E-03           D622400200039 
       117.        11.       29.5   6.37E-03   3.24E-03           D622400200040 
       117.        11.       30.5   4.84E-03   2.84E-03           D622400200041 
       117.        11.       31.5   4.77E-03   2.82E-03           D622400200042 
       117.        15.        0.5      0.437     0.0447           D622400200043 
       117.        15.        1.5     1.0772     0.0855           D622400200044 
       117.        15.        2.5      1.622     0.1131           D622400200045 
       117.        15.        3.5     2.1922     0.1379           D622400200046 
