ENTRY            D0265   20050127                             D039D026500000001 
SUBENT        D0265001   20050127                             D039D026500100001 
BIB                 10         23                                 D026500100002 
TITLE      A Study of the Cr52(d,p)Cr53 Reaction                  D026500100003 
AUTHOR     (P.T.Andrews,R.W.Clifft,L.L.Green,J.F.Sharpey-Schafer) D026500100004 
INSTITUTE  (2UK LVP)                                              D026500100005 
REFERENCE  (J,NP,56,465,1964)                                     D026500100006 
FACILITY   (CYCLO)                                                D026500100007 
SAMPLE     The 52Cr targets were self-supporting and made from    D026500100008 
           material containing 99.97% 52Cr.                       D026500100009 
DETECTOR   (SIBAR) Silicon surface barrier were used to detect theD026500100010 
           protons from the (d,p) reaction and a thin solid-state D026500100011 
           counter used to identify the particles thus eliminatingD026500100012 
           the background due to elastic deuteron scattering.     D026500100013 
ERR-ANALYS (DATA-ERR) The errors in the measurements of the       D026500100014 
           differential cross-sections were almost entirely due   D026500100015 
           to counting statistics except in the cases where there D026500100016 
           was overlapping of the proton peaks. Where this        D026500100017 
           occurred, as in the case of the 3.61 MeV and 3.70 MeV  D026500100018 
           states, the biggest error was the estimated error in   D026500100019 
           separating the contribution to each proton group from  D026500100020 
           the region of overlap. Estimates of background contri- D026500100021 
           butions in the spectra gave values that were much      D026500100022 
           smaller than the errors due to counting statistics.    D026500100023 
STATUS     (TABLE) Tables from the article                        D026500100024 
HISTORY    (20050127C) SD                                         D026500100025 
ENDBIB              23          0                                 D026500100026 
NOCOMMON             0          0                                 D026500100027 
ENDSUBENT           26          0                                 D026500199999 
SUBENT        D0265002   20050127                             D039D026500200001 
BIB                  2          2                                 D026500200002 
REACTION   (24-CR-52(D,P)24-CR-53,PAR,DA,,REL)                    D026500200003 
EN-SEC     (E-LVL,24-CR-53)                                       D026500200004 
ENDBIB               2          0                                 D026500200005 
NOCOMMON             0          0                                 D026500200006 
DATA                 5        354                                 D026500200007 
EN         E-LVL      ANG        DATA       DATA-ERR              D026500200008 
MEV        MEV        ADEG       ARB-UNITS  ARB-UNITS             D026500200009 
   7.0       0.0        10.20      6951.      241.                D026500200010 
   7.0       0.0        15.30      9467.      203.                D026500200011 
   7.0       0.0        20.39     10500.      150.                D026500200012 
   7.0       0.0        25.48      8096.      132.                D026500200013 
   7.0       0.0        30.57      5596.       88.                D026500200014 
   7.0       0.0        35.66      2838.       40.                D026500200015 
   7.0       0.0        40.74      2110.       41.                D026500200016 
   7.0       0.0        45.81      2114.       28.                D026500200017 
   7.0       0.0        50.88      2794.       45.                D026500200018 
   7.0       0.0        55.94      3133.       35.                D026500200019 
   7.0       0.0        60.99      3120.       41.                D026500200020 
   7.0       0.0        66.04      2666.       38.                D026500200021 
   7.0       0.0        71.08      2001.       23.                D026500200022 
   7.0       0.0        76.11      1620.       25.                D026500200023 
   7.0       0.0        81.13      1230.       16.                D026500200024 
   7.0       0.0        86.14      1045.       18.                D026500200025 
   7.0       0.0        91.14       882.       13.                D026500200026 
   7.0       0.0        96.14       844.       14.                D026500200027 
   7.0       0.0       101.13       765.       12.                D026500200028 
   7.0       0.0       106.11       749.       13.                D026500200029 
   7.0       0.0       111.08       701.       12.                D026500200030 
   7.0       0.0       116.04       711.       10.                D026500200031 
   7.0       0.0       120.99       733.       11.                D026500200032 
   7.0       0.0       125.94       731.       10.                D026500200033 
   7.0       0.0       130.88       702.       10.                D026500200034 
   7.0       0.0       135.81       674.        9.                D026500200035 
   7.0       0.0       140.74       635.        8.                D026500200036 
   7.0       0.0       145.66       564.        8.                D026500200037 
   7.0       0.0       150.57       507.        7.                D026500200038 
   7.0       0.0       155.48       422.        6.                D026500200039 
   7.0       0.0       160.39       370.        5.                D026500200040 
   7.0       0.0       165.30       297.        5.                D026500200041 
   7.0       0.0       170.20       251.        5.                D026500200042 
   7.0       0.57       10.20      3441.      170.                D026500200043 
   7.0       0.57       15.30      4556.      141.                D026500200044 
   7.0       0.57       20.40      5104.      104.                D026500200045 
   7.0       0.57       25.50      3568.       88.                D026500200046 
   7.0       0.57       30.59      2450.       58.                D026500200047 
   7.0       0.57       35.67      1122.       25.                D026500200048 
   7.0       0.57       40.75       794.       25.                D026500200049 
   7.0       0.57       45.83       867.       18.                D026500200050 
   7.0       0.57       50.90      1327.       31.                D026500200051 
   7.0       0.57       55.96      1546.       26.                D026500200052 
   7.0       0.57       61.02      1566.       21.                D026500200053 
   7.0       0.57       66.06      1343.       27.                D026500200054 
   7.0       0.57       71.10       939.       16.                D026500200055 
   7.0       0.57       76.13       666.       16.                D026500200056 
   7.0       0.57       81.16       453.       10.                D026500200057 
   7.0       0.57       86.17       361.       11.                D026500200058 
   7.0       0.57       91.17       284.        8.                D026500200059 
   7.0       0.57       96.17       308.        8.                D026500200060 
   7.0       0.57      101.16       280.        8.                D026500200061 
   7.0       0.57      106.13       328.        9.                D026500200062 
