ENTRY            D0587   20110114                             D075D058700000001 
SUBENT        D0587001   20110114                             D075D058700100001 
BIB                 11         28                                 D058700100002 
TITLE      Measurement and evaluation of the cross-section for    D058700100003 
            helium elastic scattering from nitrogen               D058700100004 
AUTHOR     (A.F.Gurbich,I.Bogdanovic Radovic,Z.Siketic,M.Jaksic)  D058700100005 
INSTITUTE  (4RUSFEI,3CRORBZ)                                      D058700100006 
REFERENCE  (J,NIM/B,269,40,2011)                                  D058700100007 
FACILITY   (VDGT,3CRORBZ) 6.0 MV Tandem Van de Graaff accelerator D058700100008 
SAMPLE     A thin self-supporting SiN membrane window with        D058700100009 
            nominal thickness of 100 nm.                          D058700100010 
           On the top, a thin Au layer was evaporated for         D058700100011 
            normalization purposes                                D058700100012 
MONITOR    (79-AU-197(A,EL)79-AU-197,,DA,,RTH)                    D058700100013 
            Pure Rutherford scattering assumed at measured angles D058700100014 
DETECTOR   (SIBAR) Three surface barrier detectors with a 2.5     D058700100015 
            msr solid angle each were positioned at 118., 150.    D058700100016 
            and 165.degr. Alphas, delimited by horizontal and     D058700100017 
            vertical slits to a spot of 2x2 mm2 impinged on the   D058700100018 
            sample at normal incidence. The energy resolution of  D058700100019 
            the detectors used was between 15-20 keV for alphas   D058700100020 
            in the measured energy range.                         D058700100021 
ERR-ANALYS The following sources of uncertainties were cancelled  D058700100022 
            due to ratio measurement:                             D058700100023 
            - Uncertainties due to dead time, solid angle;        D058700100024 
            - Improper charge measurement.                        D058700100025 
           The following source of the uncertainty was ignored:   D058700100026 
            - Detector angular settings                           D058700100027 
STATUS     (APRVD) Entry approved by Dr.I.Bogdanovic Radovic      D058700100028 
HISTORY    (20091014C) SD                                         D058700100029 
           (20101207A) On. AUTHOR and REFERENCE updated           D058700100030 
ENDBIB              28          0                                 D058700100031 
NOCOMMON             0          0                                 D058700100032 
ENDSUBENT           31          0                                 D058700199999 
SUBENT        D0587002   20110114                             D075D058700200001 
BIB                  4          8                                 D058700200002 
REACTION   (7-N-14(A,EL)7-N-14,,DA)                               D058700200003 
ERR-ANALYS (ERR-T) The following factors were considered:         D058700200004 
           (ERR-S)  Counting statistics of the peak;              D058700200005 
           (ERR-1)  Uncertainty in sample atom number ratio (Au/N)D058700200006 
STATUS     (TABLE) Data from I.Bogdanovic Radovic                 D058700200007 
HISTORY    (20101207A) On. ERR-ANALYS and STATUS moved from 001   D058700200008 
           (20101208R) On. Revised data from I.Bogdanovic Radovic D058700200009 
           (20110114R) On. Statistical uncertainty received       D058700200010 
ENDBIB               8          0                                 D058700200011 
COMMON               2          3                                 D058700200012 
EN-RSL     ERR-1                                                  D058700200013 
PER-CENT   PER-CENT                                               D058700200014 
  0.1       3.6                                                   D058700200015 
ENDCOMMON            3          0                                 D058700200016 
DATA                 6        276                                 D058700200017 
ANG        EN         EN-ERR     DATA       ERR-S      ERR-T      D058700200018 
ADEG       KEV        KEV        MB/SR      PER-CENT   PER-CENT   D058700200019 
 118.0      2543.6     2.5        60.36      2.9        4.6       D058700200020 
 118.0      2593.8     2.6        54.52      3.0        4.7       D058700200021 
 118.0      2643.9     2.6        53.86      3.2        4.8       D058700200022 
 118.0      2684.1     2.7        48.97      3.0        4.7       D058700200023 
 118.0      2714.1     2.7        51.93      2.5        4.4       D058700200024 
 118.0      2744.2     2.7        44.82      2.7        4.5       D058700200025 
 118.0      2774.3     2.8        38.13      3.6        5.1       D058700200026 
 118.0      2804.4     2.8        31.43      3.5        5.0       D058700200027 
 118.0      2834.5     2.8        25.00      4.0        5.4       D058700200028 
 118.0      2864.6     2.9        27.25      4.3        5.6       D058700200029 
 118.0      2894.7     2.9        33.41      3.3        4.9       D058700200030 
 118.0      2924.8     2.9        38.14      3.0        4.7       D058700200031 
 118.0      2964.9     3.0        30.92      2.7        4.5       D058700200032 
 118.0      2984.9     3.0        29.05      2.7        4.5       D058700200033 
 118.0      3000.0     3.0        25.42      2.5        4.4       D058700200034 
 118.0      3015.0     3.0        19.96      2.9        4.6       D058700200035 
 118.0      3030.1     3.0        19.31      3.0        4.7       D058700200036 
 118.0      3045.1     3.0        17.06      4.4        5.7       D058700200037 
 118.0      3060.1     3.1        20.92      4.0        5.4       D058700200038 
 118.0      3075.2     3.1        24.36      4.2        5.5       D058700200039 
 118.0      3090.2     3.1        30.42      3.8        5.2       D058700200040 
 118.0      3105.3     3.1        36.74      3.8        5.2       D058700200041 
 118.0      3120.3     3.1        41.52      3.9        5.3       D058700200042 
 118.0      3135.3     3.1        45.48      3.3        4.9       D058700200043 
 118.0      3150.4     3.2        42.20      3.9        5.3       D058700200044 
 118.0      3165.4     3.2        43.50      3.8        5.2       D058700200045 
 118.0      3180.5     3.2        48.28      3.5        5.0       D058700200046 
 118.0      3195.5     3.2        49.94      3.6        5.1       D058700200047 
 118.0      3215.5     3.2        45.76      3.6        5.1       D058700200048 
 118.0      3235.6     3.2        42.17      3.8        5.2       D058700200049 
 118.0      3255.6     3.3        40.77      3.9        5.3       D058700200050 
 118.0      3275.7     3.3        39.52      3.8        5.2       D058700200051 
 118.0      3305.8     3.3        39.51      3.9        5.3       D058700200052 
 118.0      3335.8     3.3        40.37      3.8        5.2       D058700200053 
 118.0      3365.9     3.4        40.64      3.6        5.1       D058700200054 
 118.0      3396.0     3.4        31.73      4.5        5.8       D058700200055 
 118.0      3426.0     3.4        32.14      4.4        5.7       D058700200056 
 118.0      3456.1     3.5        40.24      3.3        4.9       D058700200057 
 118.0      3476.2     3.5        32.24      4.2        5.5       D058700200058 
 118.0      3501.2     3.5        31.20      3.8        5.2       D058700200059 
 118.0      3511.2     3.5        29.67      3.5        5.0       D058700200060 
 118.0      3521.3     3.5        30.19      3.8        5.2       D058700200061 
 118.0      3531.3     3.5        30.44      3.9        5.3       D058700200062 
 118.0      3536.3     3.5        29.43      4.0        5.4       D058700200063 
 118.0      3541.3     3.5        30.68      3.6        5.1       D058700200064 
 118.0      3546.3     3.5        30.40      3.8        5.2       D058700200065 
 118.0      3551.3     3.6        26.95      4.2        5.5       D058700200066 
 118.0      3556.3     3.6        27.52      3.9        5.3       D058700200067 
 118.0      3561.3     3.6        25.94      4.2        5.5       D058700200068 
 118.0      3566.4     3.6        28.83      4.0        5.4       D058700200069 
 118.0      3571.4     3.6        29.01      4.2        5.5       D058700200070 
 118.0      3576.4     3.6        31.36      4.3        5.6       D058700200071 
 118.0      3581.4     3.6        28.82      4.3        5.6       D058700200072 
 118.0      3586.4     3.6        28.65      4.3        5.6       D058700200073 
 118.0      3593.4     3.6        29.33      3.9        5.3       D058700200074 
 118.0      3597.4     3.6        25.42      4.7        5.9       D058700200075 
 118.0      3603.4     3.6        25.75      4.5        5.8       D058700200076 
 118.0      3609.4     3.6        31.22      4.0        5.4       D058700200077 
 118.0      3614.5     3.6        32.79      4.4        5.7       D058700200078 
 118.0      3620.5     3.6        31.42      4.8        6.0       D058700200079 
 118.0      3626.5     3.6        37.56      3.9        5.3       D058700200080 
 118.0      3631.5     3.6        38.39      4.3        5.6       D058700200081 
 118.0      3636.5     3.6        44.63      3.9        5.3       D058700200082 
 118.0      3641.5     3.6        43.27      4.4        5.7       D058700200083 
 118.0      3646.5     3.6        43.52      3.5        5.0       D058700200084 
 118.0      3651.5     3.7        40.73      3.8        5.2       D058700200085 
 118.0      3658.5     3.7        42.82      3.8        5.2       D058700200086 
 118.0      3664.6     3.7        38.64      4.0        5.4       D058700200087 
 118.0      3670.6     3.7        39.80      3.8        5.2       D058700200088 
 118.0      3675.6     3.7        35.44      4.2        5.5       D058700200089 
 118.0      3678.6     3.7        36.55      4.2        5.5       D058700200090 
 118.0      3681.6     3.7        39.21      3.3        4.9       D058700200091 
 118.0      3691.6     3.7        42.83      3.8        5.2       D058700200092 
 118.0      3696.6     3.7        41.19      3.6        5.1       D058700200093 
 118.0      3701.6     3.7        39.29      3.9        5.3       D058700200094 
 118.0      3706.6     3.7        42.54      3.5        5.0       D058700200095 
 118.0      3716.7     3.7        40.59      4.3        5.6       D058700200096 
 118.0      3726.7     3.7        40.59      4.0        5.4       D058700200097 
 118.0      3736.7     3.7        35.69      3.9        5.3       D058700200098 
 118.0      3746.7     3.7        38.52      3.9        5.3       D058700200099 
 118.0      3756.7     3.8        34.98      4.0        5.4       D058700200100 
 118.0      3766.8     3.8        31.52      4.2        5.5       D058700200101 
 118.0      3776.8     3.8        32.47      3.9        5.3       D058700200102 
 118.0      3786.8     3.8        30.13      4.2        5.5       D058700200103 
 118.0      3811.8     3.8        27.38      4.0        5.4       D058700200104 
 118.0      3836.9     3.8        25.20      4.2        5.5       D058700200105 
 118.0      3861.9     3.9        24.11      4.2        5.5       D058700200106 
 118.0      3877.0     3.9        25.74      4.0        5.4       D058700200107 
 118.0      3897.0     3.9        24.99      3.9        5.3       D058700200108 
 118.0      3907.0     3.9        26.44      4.0        5.4       D058700200109 
 118.0      3917.0     3.9        22.42      4.2        5.5       D058700200110 
 118.0      3927.0     3.9        23.43      4.3        5.6       D058700200111 
 150.0      2543.6     2.5        33.31      3.6        5.1       D058700200112 
 150.0      2593.8     2.6        32.60      3.6        5.1       D058700200113 
 150.0      2643.9     2.6        31.33      3.9        5.3       D058700200114 
 150.0      2684.1     2.7        27.30      3.6        5.1       D058700200115 
 150.0      2714.1     2.7        24.94      3.6        5.1       D058700200116 
 150.0      2744.2     2.7        20.84      3.9        5.3       D058700200117 
 150.0      2774.3     2.8        22.91      4.0        5.4       D058700200118 
 150.0      2804.4     2.8        11.95      5.4        6.5       D058700200119 
 150.0      2834.5     2.8        10.25      6.4        7.3       D058700200120 
 150.0      2864.6     2.9        21.12      4.3        5.6       D058700200121 
 150.0      2894.7     2.9        22.09      4.0        5.4       D058700200122 
 150.0      2924.8     2.9        22.29      3.9        5.3       D058700200123 
 150.0      2964.9     3.0        14.82      4.0        5.4       D058700200124 
 150.0      2984.9     3.0        11.95      4.2        5.5       D058700200125 
 150.0      3000.0     3.0         8.74      4.5        5.8       D058700200126 
 150.0      3015.0     3.0         6.90      4.9        6.1       D058700200127 
 150.0      3030.1     3.0         7.92      4.9        6.1       D058700200128 
 150.0      3045.1     3.0        11.18      5.4        6.5       D058700200129 
 150.0      3060.1     3.1        21.96      3.8        5.2       D058700200130 
 150.0      3075.2     3.1        29.92      3.5        5.0       D058700200131 
 150.0      3090.2     3.1        39.75      3.2        4.8       D058700200132 
 150.0      3105.3     3.1        45.07      3.3        4.9       D058700200133 
 150.0      3120.3     3.1        43.69      3.8        5.2       D058700200134 
 150.0      3135.3     3.1        49.21      3.2        4.8       D058700200135 
 150.0      3150.4     3.2        46.26      3.8        5.2       D058700200136 
 150.0      3165.4     3.2        49.12      3.5        5.0       D058700200137 
 150.0      3180.5     3.2        46.19      3.9        5.3       D058700200138 
 150.0      3195.5     3.2        47.06      3.6        5.1       D058700200139 
 150.0      3215.5     3.2        43.87      3.8        5.2       D058700200140 
 150.0      3235.6     3.2        40.17      3.9        5.3       D058700200141 
 150.0      3255.6     3.3        40.59      3.9        5.3       D058700200142 
 150.0      3275.7     3.3        39.16      3.8        5.2       D058700200143 
 150.0      3305.8     3.3        38.72      3.9        5.3       D058700200144 
 150.0      3335.8     3.3        38.45      3.6        5.1       D058700200145 
 150.0      3365.9     3.4        37.11      4.0        5.4       D058700200146 
 150.0      3396.0     3.4        33.42      3.8        5.2       D058700200147 
 150.0      3426.0     3.4        35.60      3.6        5.1       D058700200148 
 150.0      3456.1     3.5        33.32      3.9        5.3       D058700200149 
 150.0      3476.2     3.5        32.89      3.9        5.3       D058700200150 
 150.0      3501.2     3.5        34.38      3.5        5.0       D058700200151 
 150.0      3511.2     3.5        33.07      3.0        4.7       D058700200152 
 150.0      3521.3     3.5        34.69      3.3        4.9       D058700200153 
 150.0      3531.3     3.5        34.08      3.2        4.8       D058700200154 
 150.0      3536.3     3.5        36.95      3.3        4.9       D058700200155 
 150.0      3541.3     3.5        34.64      3.0        4.7       D058700200156 
 150.0      3546.3     3.5        36.33      3.0        4.7       D058700200157 
 150.0      3551.3     3.6        37.36      2.9        4.6       D058700200158 
 150.0      3556.3     3.6        37.46      3.0        4.7       D058700200159 
 150.0      3561.3     3.6        43.02      2.9        4.6       D058700200160 
 150.0      3566.4     3.6        48.18      2.9        4.6       D058700200161 
 150.0      3571.4     3.6        46.67      3.0        4.7       D058700200162 
 150.0      3576.4     3.6        40.15      3.5        5.0       D058700200163 
 150.0      3581.4     3.6        39.45      3.3        4.9       D058700200164 
