ENTRY            D0611   20100519                             D073D061100000001 
SUBENT        D0611001   20100519                             D073D061100100001 
BIB                 11         34                                 D061100100002 
TITLE      Determination of differential cross-sections for the   D061100100003 
           natK(p,p0) and 39K(p,alpha0) reactions in the          D061100100004 
           backscattering geometry                                D061100100005 
AUTHOR     (M.Kokkoris,A.Tsaris,P.Misaelides,D.Sokaras,           D061100100006 
           A.Lagoyannis,S.Harissopulos,R.Vlastou,C.T.Papadopoulos)D061100100007 
INSTITUTE  (2GRCTUA,2GRCARU,2GRCATH)                              D061100100008 
REFERENCE  (J,NIM/B,268,1797,2010)                                D061100100009 
FACILITY   (VDGT,2GRCATH) the 5.5 MV TN11 Tandem Accelerator      D061100100010 
                      of N.C.S.R. 'Demokritos', Athens, Greece.   D061100100011 
SAMPLE     A highly pure (>99.9%) minimal quantity of dehydrated  D061100100012 
           potassium fluoride (K: 19.6 +- 1.3 mu-g/cm2) was       D061100100013 
           evaporated on a thin (~10 mu-g/cm2) carbon (machine,   D061100100014 
            stripping) foil. The target was subsequently covered  D061100100015 
           by an ultra thin evaporated Au layer                   D061100100016 
                                           (10.7 +- 0.7 mu-g/cm2) D061100100017 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA,,RTH)                    D061100100018 
DETECTOR   (SIBAR) The detection system consisted of four Si      D061100100019 
           surface barrier detectors (thickness: 300-1000 mu-m;   D061100100020 
           set at 10.degr. intervals)  along with the             D061100100021 
           corresponding electronics.                             D061100100022 
ERR-ANALYS (ERR-S) Statistical error                              D061100100023 
           (DATA-ERR) the overall experimental uncertainty was    D061100100024 
           dominated by the error in the determination of the     D061100100025 
           areal density ratio of potassium to  gold, which was   D061100100026 
           of the order of ~10%, including mainly the             D061100100027 
           uncertainties in the (accumulated charge) x (solid     D061100100028 
           angle covered by the detector) product, and in the     D061100100029 
           adopted stopping power values, as well as, the         D061100100030 
           deviations between the obtained X-ray fluorescence     D061100100031 
           analysis and p-Rutherford Backscattering               D061100100032 
           Spectrometry results.                                  D061100100033 
STATUS     (TABLE) data from tbl.1,2 of NIM/B,268,1797,2010       D061100100034 
           (APRVD) Entr approved by Dr. M.Kokkoris                D061100100035 
HISTORY    (20100519C) SD                                         D061100100036 
ENDBIB              34          0                                 D061100100037 
COMMON               1          3                                 D061100100038 
DATA-ERR                                                          D061100100039 
PER-CENT                                                          D061100100040 
  10.                                                             D061100100041 
ENDCOMMON            3          0                                 D061100100042 
ENDSUBENT           41          0                                 D061100199999 
SUBENT        D0611002   20100519                             D073D061100200001 
BIB                  1          1                                 D061100200002 
REACTION   (19-K-0(P,EL)19-K-0,,DA) tbl.1                         D061100200003 
ENDBIB               1          0                                 D061100200004 
NOCOMMON             0          0                                 D061100200005 
DATA                 5        323                                 D061100200006 
ANG        EN         EN-ERR     DATA       ERR-S                 D061100200007 
ADEG       KEV        KEV        MB/SR      MB/SR                 D061100200008 
      140.0     2996.0        4.0       93.2        1.4           D061100200009 
      140.0     3021.0        5.0       88.9        1.1           D061100200010 
      140.0     3046.0        5.0       87.0        1.0           D061100200011 
      140.0     3071.0        5.0       64.1        0.7           D061100200012 
      140.0     3096.0        5.0       59.9        0.7           D061100200013 
      140.0     3121.0        5.0       71.9        0.9           D061100200014 
      140.0     3146.0        5.0       99.5        1.3           D061100200015 
      140.0     3171.0        5.0       92.0        1.1           D061100200016 
      140.0     3196.0        5.0       84.0        1.0           D061100200017 
      140.0     3221.0        5.0       92.2        1.1           D061100200018 
      140.0     3246.0        5.0       84.0        1.0           D061100200019 
      140.0     3271.0        5.0       68.0        1.0           D061100200020 
      140.0     3296.0        5.0       50.5        0.6           D061100200021 
      140.0     3321.0        5.0       79.3        1.4           D061100200022 
      140.0     3346.0        5.0       86.5        1.7           D061100200023 
      140.0     3371.0        5.0       71.2        1.3           D061100200024 
      140.0     3397.0        5.0       79.6        1.2           D061100200025 
      140.0     3422.0        5.0       94.2        1.6           D061100200026 
      140.0     3447.0        5.0       74.4        1.4           D061100200027 
      140.0     3472.0        5.0       73.7        1.3           D061100200028 
      140.0     3497.0        5.0       65.1        1.2           D061100200029 
      140.0     3522.0        5.0       71.1        1.2           D061100200030 
      140.0     3547.0        5.0       63.2        1.2           D061100200031 
      140.0     3572.0        5.0       73.0        1.5           D061100200032 
      140.0     3597.0        5.0       76.4        1.4           D061100200033 
      140.0     3622.0        5.0       72.2        1.3           D061100200034 
      140.0     3647.0        5.0       67.0        1.2           D061100200035 
      140.0     3672.0        6.0       74.0        1.4           D061100200036 
      140.0     3697.0        6.0       79.7        1.5           D061100200037 
      140.0     3722.0        6.0       79.1        1.6           D061100200038 
      140.0     3747.0        6.0       76.9        1.5           D061100200039 
      140.0     3772.0        6.0       76.3        1.5           D061100200040 
      140.0     3797.0        6.0       71.9        1.4           D061100200041 
      140.0     3822.0        6.0       79.7        1.6           D061100200042 
      140.0     3842.0        6.0       70.3        1.3           D061100200043 
      140.0     3872.0        6.0       88.6        1.8           D061100200044 
      140.0     3897.0        6.0       92.1        1.4           D061100200045 
      140.0     3922.0        6.0       98.0        1.0           D061100200046 
      140.0     3947.0        6.0       86.3        1.3           D061100200047 
      140.0     3972.0        6.0       87.0        1.4           D061100200048 
      140.0     3997.0        6.0       80.9        1.3           D061100200049 
      140.0     4022.0        6.0       89.8        1.4           D061100200050 
      140.0     4047.0        6.0       74.0        1.2           D061100200051 
      140.0     4072.0        6.0       74.8        1.2           D061100200052 
      140.0     4097.0        6.0       78.6        1.1           D061100200053 
      140.0     4122.0        6.0       79.1        1.3           D061100200054 
      140.0     4147.0        6.0       70.8        1.1           D061100200055 
      140.0     4172.0        6.0       70.2        1.1           D061100200056 
