ENTRY            D0275   20120502                             D083D027500000001 
SUBENT        D0275001   20120502                             D083D027500100001 
BIB                  9         18                                 D027500100002 
TITLE      Nuclear structure of 159Gd                             D027500100003 
AUTHOR     (C.Granja, S.Pospisil, A.Aprahamian, H.Borner,         D027500100004 
            H.Lehmann, T.von Egidy, H.-F.Wirth, G.Graw,           D027500100005 
            R.Hertenberger, Y.Eisermann, D.Nosek,                 D027500100006 
            L.Rubacek, S.A.Telezhnikov)                           D027500100007 
INSTITUTE  (2GERMUN,1USANOT,2FR ILL,2GERGAR,3CZRCHU,3CZRCTI)      D027500100008 
REFERENCE  (J,PR/C,70,034316,2004)                                D027500100009 
           (T,GRANJA,2001) Tables from thesis (partly)            D027500100010 
REL-REF    (O,22768002,C.Granja+,J,PR/C,70,034316,2004)           D027500100011 
            158Gd(n,g)159Gd spectra from the same work given      D027500100012 
METHOD     Faraday cup                                            D027500100013 
ERR-ANALYS (E-LVL-ERR) A systematic error                         D027500100014 
           (ERR-S) Statistical uncertainties                      D027500100015 
STATUS     (TABLE) Tables were received from Dr. C.Granja         D027500100016 
           (APRVD) Entry approved by Dr. C.Granja                 D027500100017 
HISTORY    (20060614C) SD                                         D027500100018 
           (20080124U) SD. Entry number for ADD-RES was added.    D027500100019 
           (20120502U) On. REL-REF added and ADD-RES removed      D027500100020 
ENDBIB              18          0                                 D027500100021 
NOCOMMON             0          0                                 D027500100022 
ENDSUBENT           21          0                                 D027500199999 
SUBENT        D0275002   20120502                             D083D027500200001 
BIB                  5         15                                 D027500200002 
REACTION   (64-GD-158(D,P)64-GD-159,PAR,DA)                       D027500200003 
FACILITY   (VDGT,2GERMUN)                                         D027500200004 
SAMPLE     (64-GD-158,ENR=0.970)                                  D027500200005 
           The target consisted of a 130 ug/cm2 thick layer of    D027500200006 
            Gd2O3 (enriched in 158Gd to 97.0%) evaporated on a    D027500200007 
            5.6 ug/cm2 thick carbon foil.                         D027500200008 
DETECTOR   (TELES,PROPC,SCIN) The reaction products were analysed D027500200009 
            with the Q3D magnetic spectrograph and detected in    D027500200010 
            its 1.8 m long focal plane.                           D027500200011 
           A long position sensitive detector consisting of two   D027500200012 
            single wire proportional chambers, a multiwire        D027500200013 
            proportional chamber and a plastic scintillator with  D027500200014 
            dE/Erest particle identification for background       D027500200015 
            suppression.                                          D027500200016 
HISTORY    (20120502U) On. SAMPLE: Irrelevant information removed D027500200017 
ENDBIB              15          0                                 D027500200018 
COMMON               1          3                                 D027500200019 
EN                                                                D027500200020 
MEV                                                               D027500200021 
 18.0                                                             D027500200022 
ENDCOMMON            3          0                                 D027500200023 
DATA                 5        819                                 D027500200024 
E-LVL      E-LVL-ERR  ANG        DATA       ERR-S                 D027500200025 
KEV        KEV        ADEG       MB/SR      MB/SR                 D027500200026 
     0.0     0.58       13.       0.234685   0.005655             D027500200027 
     0.0     0.58       17.       0.194134   0.004704             D027500200028 
     0.0     0.58       21.       0.166459   0.003686             D027500200029 
     0.0     0.58       25.       0.177227   0.004280             D027500200030 
     0.0     0.58       30.       0.196668   0.003950             D027500200031 
     0.0     0.58       35.       0.147416   0.002771             D027500200032 
     0.0     0.58       40.       0.090231   0.002911             D027500200033 
     0.0     0.58       45.       0.062903   0.002077             D027500200034 
     0.0     0.58       55.       0.078907   0.001988             D027500200035 
    51.19    0.67       13.       0.010230   0.002154             D027500200036 
    51.19    0.67       17.       0.011964   0.001491             D027500200037 
    51.19    0.67       21.       0.018095   0.001404             D027500200038 
    51.19    0.67       25.       0.013809   0.001498             D027500200039 
    51.19    0.67       30.       0.006714   0.000905             D027500200040 
    51.19    0.67       35.       0.003875   0.000577             D027500200041 
    51.19    0.67       40.       0.002551   0.000728             D027500200042 
    51.19    0.67       45.       0.003057   0.000456             D027500200043 
    51.19    0.67       55.       0.002473   0.000459             D027500200044 
    66.65    1.35       17.       0.007482   0.001377             D027500200045 
    66.65    1.35       21.       0.004954   0.000965             D027500200046 
    66.65    1.35       30.       0.002866   0.000658             D027500200047 
    66.65    1.35       35.       0.003482   0.000577             D027500200048 
    66.65    1.35       45.       0.001731   0.000405             D027500200049 
    66.65    1.35       55.       0.002074   0.000459             D027500200050 
   122.14    0.18       13.       0.229744   0.006058             D027500200051 
   122.14    0.18       17.       0.248189   0.005392             D027500200052 
   122.14    0.18       21.       0.282228   0.005090             D027500200053 
   122.14    0.18       25.       0.302357   0.006206             D027500200054 
   122.14    0.18       30.       0.242308   0.004279             D027500200055 
   122.14    0.18       35.       0.191635   0.003117             D027500200056 
   122.14    0.18       40.       0.168816   0.003951             D027500200057 
   122.14    0.18       45.       0.130550   0.002431             D027500200058 
   122.14    0.18       55.       0.090169   0.002039             D027500200059 
   146.79    0.15       13.       0.082126   0.004174             D027500200060 
   146.79    0.15       17.       0.072052   0.003098             D027500200061 
   146.79    0.15       21.       0.090007   0.002984             D027500200062 
   146.79    0.15       25.       0.088528   0.003424             D027500200063 
   146.79    0.15       30.       0.071408   0.002387             D027500200064 
   146.79    0.15       35.       0.050906   0.001674             D027500200065 
   146.79    0.15       40.       0.044363   0.002079             D027500200066 
   146.79    0.15       45.       0.039256   0.001367             D027500200067 
   146.79    0.15       55.       0.026083   0.001121             D027500200068 
   185.60    0.25       13.       0.040387   0.003635             D027500200069 
   185.60    0.25       17.       0.047606   0.002639             D027500200070 
   185.60    0.25       21.       0.059475   0.002457             D027500200071 
   185.60    0.25       25.       0.080363   0.002889             D027500200072 
