ENTRY            D0324   20050407                             D041D032400000001 
SUBENT        D0324001   20050407                             D041D032400100001 
BIB                 11         21                                 D032400100002 
TITLE      Angular distributions of the 12C(a,a)12C reaction      D032400100003 
           excitation function at the 20-24 energy range          D032400100004 
AUTHOR     (J.Aguilar,C.Fernandez Pineda,J.L.Ferrero,A.Garcia,    D032400100005 
           J.M.Chaveli,F.Senent,J.B.A.England)                    D032400100006 
INSTITUTE  (2SPNJNE,2SPNVAL,2UK BIR)                              D032400100007 
REFERENCE  (J,ARS,64,273,1968) In Spanish                         D032400100008 
FACILITY   (CYCLO,2UK BIR)                                        D032400100009 
SAMPLE     Gas target (acetylene)                                 D032400100010 
DETECTOR   (PLATE) Ilford K1 emulsions, size 5 x 2 inches,        D032400100011 
           100 mu-m thick. 2-7 plates were used.                  D032400100012 
           (SOLST) Au-Si solid state detector.                    D032400100013 
           The beam energy was monitored by measuring the energy  D032400100014 
           of the aplha - particles scattered at an angle of      D032400100015 
           45 degr. by a 0.3 mg/cm2 silver foil.                  D032400100016 
ANALYSIS   Part of the data analysis was done in Valencia and     D032400100017 
           another part was done in Madrid                        D032400100018 
MONITOR    Flux monitored by Faraday cap                          D032400100019 
ERR-ANALYS (ERR-DIG) Digitizing error                             D032400100020 
           (DATA-ERR) Experimental error                          D032400100021 
           (EN-ERR) Scale error                                   D032400100022 
HISTORY    (20050407C) SD                                         D032400100023 
ENDBIB              21          0                                 D032400100024 
COMMON               1          3                                 D032400100025 
EN-RSL                                                            D032400100026 
MEV                                                               D032400100027 
  0.15                                                            D032400100028 
ENDCOMMON            3          0                                 D032400100029 
ENDSUBENT           28          0                                 D032400199999 
SUBENT        D0324002   20050407                             D041D032400200001 
BIB                  4          5                                 D032400200002 
REACTION   (6-C-12(A,EL)6-C-12,,DA)                               D032400200003 
DETECTOR   (PLATE) Ilford K1 emulsions, size 5 x 2 inches,        D032400200004 
           100 mu-m thick. 7 plates were used.                    D032400200005 
ERR-ANALYS (ANG-ERR-D) Digitizing error                           D032400200006 
STATUS     (CURVE)Curves from fig.1 of the article                D032400200007 
ENDBIB               5          0                                 D032400200008 
COMMON               2          3                                 D032400200009 
ANG-ERR-D  ERR-DIG                                                D032400200010 
ADEG       PER-CENT                                               D032400200011 
  1.        0.5                                                   D032400200012 
ENDCOMMON            3          0                                 D032400200013 
DATA                 5        200                                 D032400200014 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              D032400200015 
MEV        MEV        ADEG       MB/SR      MB/SR                 D032400200016 
 23.950     0.18       19.045     427.92     40.157               D032400200017 
 23.950     0.18       22.199     125.04     4.8301               D032400200018 
 23.950     0.18       25.721     69.314     7.1202               D032400200019 
 23.950     0.18       28.836     136.87     23.350               D032400200020 
 23.950     0.18       32.416     257.31     14.764               D032400200021 
 23.950     0.18       35.851     265.26     18.915               D032400200022 
 23.950     0.18       38.630     217.99     15.544               D032400200023 
 23.950     0.18       42.634     103.23     6.8770               D032400200024 
 23.950     0.18       45.076     35.657     2.9230               D032400200025 
 23.950     0.18       47.995     10.838     1.2080               D032400200026 
 23.950     0.18       50.722     12.949     1.4420               D032400200027 
 23.950     0.18       56.934     56.822     5.3262               D032400200028 
 23.950     0.18       60.774     86.019     7.9780               D032400200029 
 23.950     0.18       64.040     58.059     4.9246               D032400200030 
 23.950     0.18       67.522     42.822     3.6369               D032400200031 
 23.950     0.18       69.634     30.353     2.4882               D032400200032 
 23.950     0.18       72.957     13.681     1.2839               D032400200033 
 23.950     0.18       80.530     2.5695    0.26395               D032400200034 
 23.950     0.18       82.131     2.6476    0.29512               D032400200035 
 23.950     0.18       83.249     3.2250    0.29890               D032400200036 
 23.950     0.18       84.632     3.0711    0.18694               D032400200037 
 23.950     0.18       87.030     1.4538    0.16643               D032400200038 
 23.950     0.18       90.752     1.0009    0.14790               D032400200039 
 23.950     0.18       93.658     1.7048    0.17633               D032400200040 
 23.950     0.18       95.898     2.4801    0.18804               D032400200041 
 23.950     0.18       98.965     6.8449    0.51859               D032400200042 
 23.950     0.18       101.20     10.156    0.61755               D032400200043 
 23.950     0.18       104.14     13.523     1.0246               D032400200044 
 23.950     0.18       106.86     16.807     1.5763               D032400200045 
 23.950     0.18       109.15     18.195     1.0450               D032400200046 
 23.950     0.18       113.97     17.514     1.6427               D032400200047 
 23.950     0.18       118.58     14.119     1.5738               D032400200048 
 23.950     0.18       123.34     21.170     1.9855               D032400200049 
 23.950     0.18       128.33     30.819     2.8564               D032400200050 
 23.950     0.18       132.50     22.960     1.7395               D032400200051 
 23.950     0.18       136.19     20.622     1.9353               D032400200052 
 23.950     0.18       140.87     10.261     1.0535               D032400200053 
 23.950     0.18       145.24     9.4941    0.97527               D032400200054 
 23.950     0.18       148.38     15.245     1.2487               D032400200055 
 23.950     0.18       152.70     20.307     3.4657               D032400200056 
 23.950     0.18       155.92     18.237     2.0328               D032400200057 
