ENTRY            D5191   20211209                             D135D519100000001 
SUBENT        D5191001   20211209                             D135D519100100001 
BIB                 13         33                                 D519100100002 
TITLE      14C(11B,10B)15C reaction at Elab = 45 MeV and          D519100100003 
           the 10B+15C optical potential                          D519100100004 
AUTHOR     (S.Yu.Mezhevych,A.T.Rudchik,A.A.Rudchik,K.W.Kemper,    D519100100005 
            K.Rusek,O.A.Ponkratenko,E.I.Koshchy,S.B.Sakuta)       D519100100006 
INSTITUTE  (4UKRIJD,3POLWWA,1USAFSU,4RUSKUR)                      D519100100007 
FACILITY   (CYCLO,3POLWWA) Cyclotron U-200P                       D519100100008 
REFERENCE  (J,APP/B,52,109,2021)                                  D519100100009 
           #doi:10.5506/APhysPolB.52.109                          D519100100010 
           (J,YFE,21,231,2020) The same data                      D519100100011 
           #doi:10.15407/jnpae2020.03.231                         D519100100012 
SAMPLE     A self-supporting 280 mu-g/cm2 foil of carbon          D519100100013 
           (6-C-14,ENR=0.86)                                      D519100100014 
DETECTOR   (TELES,SI,IOCH) Three dE-E telescope were used:        D519100100015 
           a silicon dE-E telescope with a 40mu-m silicon dE      D519100100016 
           detector and two telescopes with an ionization chamber D519100100017 
           as the dE detector. The three 1mm silicon E detectors  D519100100018 
           were used in the telescopes.                           D519100100019 
REL-REF    (I,D5094001,S.Yu.Mezhevych+,J,EPJ/A,50,4,2014)         D519100100020 
METHOD     (EXTB,EDE)                                             D519100100021 
ADD-RES    (POT,COMP) Spectroscopic amplitudes, parameters of the D519100100022 
           nucleus-nucleus potentials were determined. Optical    D519100100023 
           model and the coupled-reaction-channels method were    D519100100024 
           used.                                                  D519100100025 
ERR-ANALYS (DATA-ERR) Errors include both the statistical errors  D519100100026 
           and uncertainties from the spectrum fitting procedure. D519100100027 
           The area errors of the peaks were estimated to be aboutD519100100028 
           20%, if the peaks were well resolved and 30-40% for    D519100100029 
           poorly resolved peaks.                                 D519100100030 
           The overall absolute error was estimated to be less    D519100100031 
           than 20%.                                              D519100100032 
HISTORY    (20211209C) UkrNDC                                     D519100100033 
STATUS     Data were digitized as the authors did not provide     D519100100034 
           numerical data.                                        D519100100035 
ENDBIB              33          0                                 D519100100036 
COMMON               1          3                                 D519100100037 
EN                                                                D519100100038 
MEV                                                               D519100100039 
45.                                                               D519100100040 
ENDCOMMON            3          0                                 D519100100041 
ENDSUBENT           40          0                                 D519100199999 
SUBENT        D5191002   20211209                             D135D519100200001 
BIB                  6         15                                 D519100200002 
REACTION   (6-C-14(5-B-11,5-B-10)6-C-15,PAR,DA)                   D519100200003 
EN-SEC     (E-LVL1,5-B-10)                                        D519100200004 
           (E-LVL2,6-C-15)                                        D519100200005 
LEVEL-PROP (5-B-10,E-LVL=0.72,SPIN=1.,PARITY=+1.)                 D519100200006 
           (5-B-10,E-LVL=1.740,SPIN=0.,PARITY=+1.)                D519100200007 
           (5-B-10,E-LVL=2.154,SPIN=1.,PARITY=+1.)                D519100200008 
           (5-B-10,E-LVL=3.587,SPIN=2.,PARITY=+1.)                D519100200009 
           (6-C-15,E-LVL=0.74,SPIN=2.5,PARITY=+1.)                D519100200010 
           (6-C-15,E-LVL=3.103,SPIN=0.5,PARITY=-1.)               D519100200011 
           (6-C-15,E-LVL=4.22,SPIN=2.5,PARITY=-1.)                D519100200012 
           (6-C-15,E-LVL=4.66,SPIN=1.5,PARITY=-1.)                D519100200013 
MONITOR    (6-C-14(5-B-11,EL)6-C-14,,DA)                          D519100200014 
MONIT-REF  (D5094002,S.Yu.Mezhevych+,J,EPJ/A,50,4,2014)           D519100200015 
STATUS     (CURVE) Figs.4-7 in Acta Phys.Pol.B.52.109,2921        D519100200016 
           was digitized by GSYS2.4.7.                            D519100200017 
ENDBIB              15          0                                 D519100200018 
NOCOMMON             0          0                                 D519100200019 
DATA                 5        247                                 D519100200020 
E-LVL1     E-LVL2     ANG-CM     DATA-CM    DATA-ERR              D519100200021 
         0.      3.103     97.538  1.827E-02  5.556E-03           D519100200083 
         0.      3.103    100.687  1.442E-02  4.244E-03           D519100200084 
         0.      3.103    103.835  1.729E-02  6.207E-03           D519100200085 
         0.       4.22     34.747  5.361E-02  1.666E-02           D519100200086 
         0.       4.22     38.092  3.178E-02  9.652E-03           D519100200087 
         0.       4.22     41.240  4.128E-02  1.282E-02           D519100200088 
         0.       4.22     47.536  5.308E-02  1.612E-02           D519100200089 
         0.       4.22     54.028  4.385E-02  1.332E-02           D519100200090 
         0.       4.22     57.176  3.659E-02  1.187E-02           D519100200091 
         0.       4.22     60.226  2.789E-02  8.470E-03           D519100200092 
         0.       4.22     63.472  4.254E-02  1.232E-02           D519100200093 
         0.       4.22     66.719  2.933E-02  8.492E-03           D519100200094 
         0.       4.22     69.867  2.706E-02  8.028E-03           D519100200095 
         0.       4.22     73.113  3.115E-02  9.020E-03           D519100200096 
         0.       4.22     76.360  2.042E-02  5.913E-03           D519100200097 
         0.       4.22     79.508  2.126E-02  6.456E-03           D519100200098 
         0.       4.22     82.656  2.351E-02  6.806E-03           D519100200099 
         0.       4.22     87.575  2.147E-02  6.370E-03           D519100200100 
         0.       4.22     90.723  3.053E-02  8.621E-03           D519100200101 
         0.       4.22     94.067  2.761E-02  7.394E-03           D519100200102 
         0.       4.22     97.215  2.497E-02  7.407E-03           D519100200103 
         0.       4.22    100.560  2.472E-02  7.850E-03           D519100200104 
         0.       4.22    103.610  2.104E-02  6.391E-03           D519100200105 
         0.       4.66     35.140  3.846E-02  1.100E-02           D519100200106 
         0.       4.66     44.683  1.874E-02  5.953E-03           D519100200107 
         0.       4.66     48.028  2.507E-02  7.169E-03           D519100200108 
         0.       4.66     54.422  2.148E-02  6.689E-03           D519100200109 
         0.       4.66     57.668  3.091E-02  9.432E-03           D519100200110 
         0.       4.66     60.915  3.008E-02  8.987E-03           D519100200111 
         0.       4.66     63.964  1.874E-02  5.836E-03           D519100200112 
         0.       4.66     67.309  2.148E-02  6.280E-03           D519100200113 
         0.       4.66     70.556  2.090E-02  5.976E-03           D519100200114 
         0.       4.66     73.802  3.091E-02  9.432E-03           D519100200115 
         0.       4.66     76.950  2.015E-02  5.630E-03           D519100200116 
         0.       4.66     80.196  1.790E-02  5.235E-03           D519100200117 
         0.       4.66     83.443  1.605E-02  4.485E-03           D519100200118 
         0.       4.66     88.460  1.520E-02  4.638E-03           D519100200119 
         0.       4.66     91.608  1.680E-02  5.441E-03           D519100200120 
         0.       4.66     94.953  1.426E-02  4.261E-03           D519100200121 
         0.       4.66     98.101  1.576E-02  4.909E-03           D519100200122 
       0.72       0.74     25.529  1.038E+00  3.314E-01           D519100200123 
       0.72       0.74     27.499  8.277E-01  2.641E-01           D519100200124 
       0.72       0.74     29.559  6.750E-01  2.154E-01           D519100200125 
       0.72       0.74     33.410  4.009E-01  1.400E-01           D519100200126 
       0.72       0.74     35.469  2.790E-01  8.026E-02           D519100200127 
       0.72       0.74     37.351  2.666E-01  8.091E-02           D519100200128 
       0.72       0.74     39.411  2.125E-01  7.421E-02           D519100200129 
       0.72       0.74     41.292  1.940E-01  5.890E-02           D519100200130 
       0.72       0.74     43.263  1.896E-01  6.340E-02           D519100200131 
       0.72       0.74     45.324  2.220E-01  6.739E-02           D519100200132 
       0.72       0.74     47.117  2.375E-01  6.831E-02           D519100200133 
       0.72       0.74     49.087  2.120E-01  6.766E-02           D519100200134 
       0.72       0.74     51.058  1.936E-01  6.178E-02           D519100200135 
       0.72       0.74     54.105  2.024E-01  6.459E-02           D519100200136 
       0.72       0.74     55.987  2.165E-01  6.571E-02           D519100200137 
       0.72       0.74     57.957  1.473E-01  4.926E-02           D519100200138 
       0.72       0.74     59.838  1.541E-01  4.181E-02           D519100200139 
       0.72       0.74     61.898  1.228E-01  4.107E-02           D519100200140 
       0.72       0.74     63.779  9.150E-02  2.920E-02           D519100200141 
