ENTRY            D0891   20180223                             D115D089100000001 
SUBENT        D0891001   20180223                             D115D089100100001 
BIB                 13         24                                 D089100100002 
TITLE      A study of the Ca(p,n)Sc reactions (II).               D089100100003 
           Fluctuation analysis of the reaction 48Ca(p,n)48Sc     D089100100004 
AUTHOR     (W.R.McMurray, M.Peisach, R.Pretorius, P.van der Merwe,D089100100005 
           I.J.van Heerden)                                       D089100100006 
INSTITUTE  (3SAFSUN)                                              D089100100007 
REFERENCE  (J,NP/A,99,17,1967)                                    D089100100008 
           #doi:10.1016/0375-9474(67)90205-9                      D089100100009 
REL-REF    (M,,W.R.McMurray+,J,NP/A,99,6,1967)                    D089100100010 
           Experimental details are given.                        D089100100011 
           Values of energy levels are given.                     D089100100012 
FACILITY   (VDG,3SAFSUN) 5.5 MV accelerator.                      D089100100013 
INC-SOURCE Beam pulse length was 4 ns, beam current of protons    D089100100014 
           was 5 mu-A.                                            D089100100015 
DETECTOR   (SCIN) Detector with liquid NE-213 scintillator was    D089100100016 
           used.                                                  D089100100017 
SAMPLE     CaO (prepared from enriched CaCO(3) material) was      D089100100018 
           evaporated onto 0.025 cm tantalum discs 2.5 cm diam.   D089100100019 
METHOD     (BCINT)                                                D089100100020 
ERR-ANALYS (ERR-T) Absolute cross section error.                  D089100100021 
           (ERR-1) Uncertainty in detector efficiency.            D089100100022 
           (ERR-2) Uncertainty in target thickness.               D089100100023 
           (ERR-3,,5.) Uncertainty in counting statistics.        D089100100024 
STATUS     (CURVE) Figure 1 from Nucl.Phys.A99,17(1967).          D089100100025 
HISTORY    (20180223C) SS+On                                      D089100100026 
ENDBIB              24          0                                 D089100100027 
COMMON               5          3                                 D089100100028 
ERR-T      ERR-1      ERR-2      EN-ERR-DIG ERR-DIG               D089100100029 
PER-CENT   PER-CENT   PER-CENT   MEV        MB/SR                 D089100100030 
        25.        20.        15.     0.0022     0.0270           D089100100031 
ENDCOMMON            3          0                                 D089100100032 
ENDSUBENT           31          0                                 D089100199999 
SUBENT        D0891002   20180223                             D115D089100200001 
BIB                  1          1                                 D089100200002 
REACTION   (20-CA-48(P,N)21-SC-48,PAR,DA)                         D089100200003 
ENDBIB               1          0                                 D089100200004 
NOCOMMON             0          0                                 D089100200005 
DATA                 6       1201                                 D089100200006 
E-LVL      E-LVL      E-LVL-ERR  ANG        EN         DATA       D089100200007 
KEV        KEV        KEV        ADEG       MEV        MB/SR      D089100200008 
       151.       237.        20.         0.     4.0155     2.5707D089100200009 
       151.       237.        20.         0.     4.0343     2.3687D089100200010 
       151.       237.        20.         0.     4.0562     4.9430D089100200011 
       151.       237.        20.         0.     4.0780     3.4286D089100200012 
       151.       237.        20.         0.     4.0967     1.7627D089100200013 
       151.       237.        20.         0.     4.1155     2.7722D089100200014 
       151.       237.        20.         0.     4.1374     1.0558D089100200015 
       151.       237.        20.         0.     4.1562     3.1758D089100200016 
       151.       237.        20.         0.     4.1749     2.3176D089100200017 
       151.       237.        20.         0.     4.1968     3.2261D089100200018 
       151.       237.        20.         0.     4.2156     4.7403D089100200019 
       151.       237.        20.         0.     4.2374     4.1849D089100200020 
       151.       237.        20.         0.     4.2562     6.1535D089100200021 
       151.       237.        20.         0.     4.2812     3.5790D089100200022 
       151.       237.        20.         0.     4.2968     1.9636D089100200023 
       151.       237.        20.         0.     4.3186     2.9226D089100200024 
       151.       237.        20.         0.     4.3405     2.4177D089100200025 
       151.       237.        20.         0.     4.3593     5.1939D089100200026 
       151.       237.        20.         0.     4.3780     2.6699D089100200027 
       151.       237.        20.         0.     4.3999     2.3669D089100200028 
       151.       237.        20.         0.     4.4187     6.1527D089100200029 
       151.       237.        20.         0.     4.4312     3.5278D089100200030 
       151.       237.        20.         0.     4.4374     4.6888D089100200031 
       151.       237.        20.         0.     4.4593     6.2030D089100200032 
       151.       237.        20.         0.     4.4686     2.9723D089100200033 
       151.       237.        20.         0.     4.4812     3.1237D089100200034 
       151.       237.        20.         0.     4.4999     4.0322D089100200035 
       151.       237.        20.         0.     4.5124     3.1740D089100200036 
       151.       237.        20.         0.     4.5218     3.7797D089100200037 
       151.       237.        20.         0.     4.5405     2.8206D089100200038 
       151.       237.        20.         0.     4.5499     1.8110D089100200039 
       151.       237.        20.         0.     4.5593     3.2748D089100200040 
       151.       237.        20.         0.     4.5811     2.7699D089100200041 
       151.       237.        20.         0.     4.5905     2.5679D089100200042 
       151.       237.        20.         0.     4.6030     2.3155D089100200043 
       151.       237.        20.         0.     4.6187     4.8393D089100200044 
       151.       237.        20.         0.     4.6312     3.3249D089100200045 
       151.       237.        20.         0.     4.6405     3.4763D089100200046 
       151.       237.        20.         0.     4.6593     3.0219D089100200047 
       151.       237.        20.         0.     4.6718     2.2142D089100200048 
       151.       237.        20.         0.     4.6811     2.4160D089100200049 
       151.       237.        20.         0.     4.6999     3.7789D089100200050 
       151.       237.        20.         0.     4.7218     2.7692D089100200051 
       151.       237.        20.         0.     4.7436     1.4062D089100200052 
       151.       237.        20.         0.     4.7624     1.6080D089100200053 
       151.       237.        20.         0.     4.7843     3.1727D089100200054 
       151.       237.        20.         0.     4.7999     3.6774D089100200055 
       151.       237.        20.        90.     4.8215     2.5297D089100200056 
       151.       237.        20.        90.     4.8261     3.1220D089100200057 
       151.       237.        20.        90.     4.8309     4.4550D089100200058 
       151.       237.        20.        90.     4.8418     5.7384D089100200059 
       151.       237.        20.        90.     4.8510     4.1084D089100200060 
       151.       237.        20.        90.     4.8633     2.6263D089100200061 
       151.       237.        20.        90.     4.8727     3.9097D089100200062 
       151.       237.        20.        90.     4.8820     4.4031D089100200063 
       151.       237.        20.        90.     4.8928     3.9581D089100200064 
       151.       237.        20.        90.     4.9021     2.8219D089100200065 
       151.       237.        20.        90.     4.9129     3.6608D089100200066 
       151.       237.        20.        90.     4.9237     2.4257D089100200067 
       151.       237.        20.        90.     4.9330     2.5240D089100200068 
       151.       237.        20.        90.     4.9424     3.8568D089100200069 
       151.       237.        20.        90.     4.9517     4.0045D089100200070 
       151.       237.        20.        90.     4.9626     4.4978D089100200071 
       151.       237.        20.        90.     4.9702     2.5221D089100200072 
       151.       237.        20.        90.     4.9826     1.5832D089100200073 
       151.       237.        20.        90.     4.9903     1.8791D089100200074 
       151.       237.        20.        90.     5.0027     2.1254D089100200075 
       151.       237.        20.        90.     5.0121     2.9150D089100200076 
       151.       237.        20.        90.     5.0214     4.2972D089100200077 
       151.       237.        20.        90.     5.0308     5.2844D089100200078 
       151.       237.        20.        90.     5.0416     4.2962D089100200079 
       151.       237.        20.        90.     5.0509     4.1970D089100200080 
       151.       237.        20.        90.     5.0617     3.6533D089100200081 
       151.       237.        20.        90.     5.0725     2.1219D089100200082 
       151.       237.        20.        90.     5.0818     2.8621D089100200083 
       151.       237.        20.        90.     5.0911     2.7629D089100200084 
       151.       237.        20.        90.     5.1004     3.1081D089100200085 
       151.       237.        20.        90.     5.1097     2.4657D089100200086 
       151.       237.        20.        90.     5.1205     3.1071D089100200087 
       151.       237.        20.        90.     5.1314     2.5633D089100200088 
       151.       237.        20.        90.     5.1407     2.4147D089100200089 
       151.       237.        20.        90.     5.1500     2.8093D089100200090 
       151.       237.        20.        90.     5.1593     3.2533D089100200091 
       151.       237.        20.        90.     5.1717     3.3514D089100200092 
       151.       237.        20.        90.     5.1810     2.8571D089100200093 
       151.       237.        20.        90.     5.1918     3.0541D089100200094 
       151.       237.        20.        90.     5.2011     2.4610D089100200095 
       151.       237.        20.        90.     5.2119     1.5716D089100200096 
       151.       237.        20.        90.     5.2212     1.5712D089100200097 
       151.       237.        20.        90.     5.2305     2.5089D089100200098 
       151.       237.        20.        90.     5.2399     3.0517D089100200099 
       151.       237.        20.        90.     5.2523     4.1868D089100200100 
       151.       237.        20.        90.     5.2615     2.8530D089100200101 
       151.       237.        20.        90.     5.2709     3.1982D089100200102 
       151.       237.        20.        90.     5.2817     2.5557D089100200103 
       151.       237.        20.        90.     5.2894     3.1479D089100200104 
       151.       237.        20.        90.     5.3003     3.1474D089100200105 
       151.       237.        20.        90.     5.3111     3.0974D089100200106 
       151.       237.        20.        90.     5.3204     2.0106D089100200107 
       151.       237.        20.        90.     5.3312     1.5162D089100200108 
       151.       237.        20.        90.     5.3405     2.1577D089100200109 
       151.       237.        20.        90.     5.3514     2.2065D089100200110 
       151.       237.        20.        90.     5.3592     3.2431D089100200111 
       151.       237.        20.        90.     5.3700     3.5389D089100200112 
       151.       237.        20.        90.     5.3808     2.6495D089100200113 
       151.       237.        20.        90.     5.3902     3.1922D089100200114 
       151.       237.        20.        90.     5.3994     2.3029D089100200115 
       151.       237.        20.        90.     5.4102     1.7591D089100200116 
       151.       237.        20.        90.     5.4196     2.2524D089100200117 
       151.       237.        20.        90.     5.4304     2.7951D089100200118 
       151.       237.        20.        90.     5.4397     1.4119D089100200119 
       151.       237.        20.        90.     5.4505     0.8188D089100200120 
       151.       237.        20.        90.     5.4613     1.1639D089100200121 
       151.       237.        20.        90.     5.4692     2.3981D089100200122 
       151.       237.        20.        90.     5.4800     2.4963D089100200123 
       151.       237.        20.        90.     5.4893     1.5576D089100200124 
       151.       237.        20.        90.     5.5016     1.5076D089100200125 
       151.       237.        20.        90.     5.5094     1.8528D089100200126 
       151.       237.        20.        90.     5.5203     2.2473D089100200127 
       151.       237.        20.        90.     5.5311     1.9505D089100200128 
       151.       237.        20.        90.     5.5405     2.7895D089100200129 
       151.       237.        20.        90.     5.5482     3.5792D089100200130 
       151.       237.        20.        90.     5.5607     3.9243D089100200131 
       151.       237.        20.        90.     5.5700     4.5164D089100200132 
       151.       237.        20.        90.     5.5792     2.9357D089100200133 
       151.       237.        20.        90.     5.5900     2.2438D089100200134 
       151.       237.        20.        90.     5.5993     3.0828D089100200135 
       151.       237.        20.        90.     5.6102     2.7860D089100200136 
       151.       237.        20.        90.     5.6194     1.9460D089100200137 
       151.       237.        20.        90.     5.6304     3.7726D089100200138 
       151.       237.        20.        90.     5.6397     3.4758D089100200139 
       628.                    6.         0.     4.0183     0.8712D089100200140 
       628.                    6.         0.     4.0402     1.5652D089100200141 
       628.                    6.         0.     4.0590     1.6576D089100200142 
       628.                    6.         0.     4.0777     2.3979D089100200143 
       628.                    6.         0.     4.1027     2.9993D089100200144 
       628.                    6.         0.     4.1215     2.5364D089100200145 
       628.                    6.         0.     4.1403     6.0530D089100200146 
       628.                    6.         0.     4.1621     3.3228D089100200147 
       628.                    6.         0.     4.1809     4.4795D089100200148 
       628.                    6.         0.     4.2027     2.9061D089100200149 
       628.                    6.         0.     4.2215     2.3970D089100200150 
       628.                    6.         0.     4.2434     5.0344D089100200151 
       628.                    6.         0.     4.2622     4.0626D089100200152 
       628.                    6.         0.     4.2871     1.4712D089100200153 
       628.                    6.         0.     4.3028     5.8207D089100200154 
       628.                    6.         0.     4.3279    10.1700D089100200155 
       628.                    6.         0.     4.3434     4.3860D089100200156 
       628.                    6.         0.     4.3654     6.9308D089100200157 
       628.                    6.         0.     4.3841     6.5606D089100200158 
       628.                    6.         0.     4.3997     6.4679D089100200159 
       628.                    6.         0.     4.4154     6.9305D089100200160 
       628.                    6.         0.     4.4247     7.3007D089100200161 
       628.                    6.         0.     4.4341     8.1335D089100200162 
       628.                    6.         0.     4.4404     7.9484D089100200163 
       628.                    6.         0.     4.4466     6.9304D089100200164 
       628.                    6.         0.     4.4652     2.1179D089100200165 
       628.                    6.         0.     4.4747     4.4315D089100200166 
       628.                    6.         0.     4.4871     3.2283D089100200167 
       628.                    6.         0.     4.5060     6.5135D089100200168 
       628.                    6.         0.     4.5153     4.3387D089100200169 
       628.                    6.         0.     4.5247     6.4209D089100200170 
       628.                    6.         0.     4.5465     4.4773D089100200171 
       628.                    6.         0.     4.5591     5.4027D089100200172 
       628.                    6.         0.     4.5685     6.5132D089100200173 
       628.                    6.         0.     4.5872     4.0143D089100200174 
       628.                    6.         0.     4.5933     1.4693D089100200175 
       628.                    6.         0.     4.6090     1.7006D089100200176 
       628.                    6.         0.     4.6277     1.9318D089100200177 
       628.                    6.         0.     4.6340     3.3662D089100200178 
       628.                    6.         0.     4.6496     3.6438D089100200179 
       628.                    6.         0.     4.6652     2.1630D089100200180 
       628.                    6.         0.     4.6777     2.7182D089100200181 
       628.                    6.         0.     4.6902     1.8389D089100200182 
       628.                    6.         0.     4.7091     5.3555D089100200183 
       628.                    6.         0.     4.7278     6.6973D089100200184 
       628.                    6.         0.     4.7465     3.9671D089100200185 
       628.                    6.         0.     4.7653     5.4477D089100200186 
       628.                    6.         0.     4.7871     2.4862D089100200187 
       628.                    6.         0.     4.8091     6.1878D089100200188 
       628.                    6.        90.     4.8244     3.3810D089100200189 
       628.                    6.        90.     4.8353     4.9434D089100200190 
       628.                    6.        90.     4.8446     5.0810D089100200191 
       628.                    6.        90.     4.8555     4.4372D089100200192 
       628.                    6.        90.     4.8662     2.6905D089100200193 
       628.                    6.        90.     4.8755     2.4144D089100200194 
       628.                    6.        90.     4.8864     4.3904D089100200195 
       628.                    6.        90.     4.8942     3.4250D089100200196 
       628.                    6.        90.     4.9050     2.9192D089100200197 
       628.                    6.        90.     4.9158     1.6780D089100200198 
       628.                    6.        90.     4.9251     2.6888D089100200199 
       628.                    6.        90.     4.9344     3.3779D089100200200 
       628.                    6.        90.     4.9437     2.6883D089100200201 
       628.                    6.        90.     4.9545     1.8147D089100200202 
       628.                    6.        90.     4.9669     2.2740D089100200203 
       628.                    6.        90.     4.9747     3.3768D089100200204 
       628.                    6.        90.     4.9841     4.2038D089100200205 
       628.                    6.        90.     4.9949     3.8818D089100200206 
       628.                    6.        90.     5.0042     3.7896D089100200207 
       628.                    6.        90.     5.0150     4.0650D089100200208 
       628.                    6.        90.     5.0244     5.3976D089100200209 
       628.                    6.        90.     5.0352     5.3054D089100200210 
       628.                    6.        90.     5.0445     3.6506D089100200211 
       628.                    6.        90.     5.0554     5.2588D089100200212 
       628.                    6.        90.     5.0662     5.8101D089100200213 
       628.                    6.        90.     5.0755     5.3962D089100200214 
       628.                    6.        90.     5.0848     5.0742D089100200215 
       628.                    6.        90.     5.0956     4.2006D089100200216 
       628.                    6.        90.     5.1065     6.5902D089100200217 
       628.                    6.        90.     5.1158     6.3142D089100200218 
       628.                    6.        90.     5.1251     4.8892D089100200219 
       628.                    6.        90.     5.1359     4.7970D089100200220 
       628.                    6.        90.     5.1452     4.7507D089100200221 
       628.                    6.        90.     5.1545     4.6586D089100200222 
       628.                    6.        90.     5.1653     3.9229D089100200223 
       628.                    6.        90.     5.1761     2.8196D089100200224 
       628.                    6.        90.     5.1855     3.2789D089100200225 
       628.                    6.        90.     5.1963     2.8190D089100200226 
       628.                    6.        90.     5.2041     4.8410D089100200227 
       628.                    6.        90.     5.2164     1.7154D089100200228 
       628.                    6.        90.     5.2257     2.7263D089100200229 
       628.                    6.        90.     5.2350     2.5881D089100200230 
       628.                    6.        90.     5.2459     2.8636D089100200231 
       628.                    6.        90.     5.2567     1.8981D089100200232 
       628.                    6.        90.     5.2660     2.2655D089100200233 
       628.                    6.        90.     5.2769     2.4490D089100200234 
       628.                    6.        90.     5.2846     2.9084D089100200235 
       628.                    6.        90.     5.2954     1.9430D089100200236 
       628.                    6.        90.     5.3063     2.1265D089100200237 
       628.                    6.        90.     5.3156     2.8616D089100200238 
       628.                    6.        90.     5.3265     2.9992D089100200239 
       628.                    6.        90.     5.3357     2.7231D089100200240 
       628.                    6.        90.     5.3451     3.3663D089100200241 
       628.                    6.        90.     5.3559     2.7685D089100200242 
       628.                    6.        90.     5.3652     3.5036D089100200243 
       628.                    6.        90.     5.3760     2.3543D089100200244 
       628.                    6.        90.     5.3869     1.8944D089100200245 
       628.                    6.        90.     5.3962     3.3189D089100200246 
       628.                    6.        90.     5.4056     5.4328D089100200247 
       628.                    6.        90.     5.4163     3.2264D089100200248 
       628.                    6.        90.     5.4272     3.3640D089100200249 
       628.                    6.        90.     5.4350     6.7188D089100200250 
       628.                    6.        90.     5.4458     5.3857D089100200251 
       628.                    6.        90.     5.4551     3.4092D089100200252 
       628.                    6.        90.     5.4659     3.4089D089100200253 
       628.                    6.        90.     5.4753     4.4657D089100200254 
       628.                    6.        90.     5.4861     4.9709D089100200255 
       628.                    6.        90.     5.4954     3.5459D089100200256 
       628.                    6.        90.     5.5062     3.3618D089100200257 
       628.                    6.        90.     5.5155     2.4883D089100200258 
       628.                    6.        90.     5.5248     2.1663D089100200259 
       628.                    6.        90.     5.5356     2.2119D089100200260 
       628.                    6.        90.     5.5450     3.3607D089100200261 
       628.                    6.        90.     5.5558     2.7169D089100200262 
       628.                    6.        90.     5.5666     2.1191D089100200263 
       628.                    6.        90.     5.5759     2.7163D089100200264 
       628.                    6.        90.     5.5868     3.0378D089100200265 
       628.                    6.        90.     5.5961     3.4052D089100200266 
       628.                    6.        90.     5.6162     2.8990D089100200267 
       628.                    6.        90.     5.6271     3.7260D089100200268 
       628.                    6.        90.     5.6348     3.4960D089100200269 
       628.                    6.        90.     5.6457     3.9093D089100200270 
      1139.                    7.         0.     4.0182     4.3057D089100200271 
      1139.                    7.         0.     4.0370     6.5564D089100200272 
      1139.                    7.         0.     4.0589     7.2764D089100200273 
      1139.                    7.         0.     4.0807     3.3146D089100200274 
      1139.                    7.         0.     4.0996    16.9100D089100200275 
      1139.                    7.         0.     4.1182     5.1149D089100200276 
      1139.                    7.         0.     4.1432     4.6644D089100200277 
      1139.                    7.         0.     4.1620     7.7254D089100200278 
      1139.                    7.         0.     4.1807     6.5547D089100200279 
      1139.                    7.         0.     4.2027    12.1370D089100200280 
