ENTRY            D0907   20230222                             D138D090700000001 
SUBENT        D0907001   20230222                             D138D090700100001 
BIB                 10         20                                 D090700100002 
TITLE      Elastic and inelastic scattering of 4He-particles by   D090700100003 
            20Ne nuclei at energy of 48.8 MeV                     D090700100004 
AUTHOR     (N.Burtebayev, A.Duisebayev, B.A.Duisebayev,           D090700100005 
            T.Zholdybayev, Marzhan Nassurlla, B.M.Sadykov,        D090700100006 
            S.B.Sakuta, Maulen Nassurlla)                         D090700100007 
INSTITUTE  (4KASKAZ,4RUSKUR,4KASAFU)                              D090700100008 
REFERENCE  (J,IMP/E,27,1850042,2018)                              D090700100009 
           (R,IYFK-P-88-01,1988)                                  D090700100010 
            Numerical data in table                               D090700100011 
FACILITY   (ISOCY,4KASKAZ) U-150M                                 D090700100012 
SAMPLE     (10-NE-20,ENR=0.9092)                                  D090700100013 
           Effective thickness of 1-5 mg/cm2 determined by the    D090700100014 
            gas pressure in the container                         D090700100015 
METHOD     (EDE)                                                  D090700100016 
DETECTOR   (TELES,SI,SI) 100 um dE detector and 2 mm E detector   D090700100017 
ERR-ANALYS (ERR-S) Statistical error was 1-5%.                    D090700100018 
           (ERR-1,,5.) Effective sample thickness                 D090700100019 
HISTORY    (20180618C) T.Zholdybayev                              D090700100020 
           (20180618R) Received from T.Zholdybayev                D090700100021 
           (20230222A) On. Major revisions in 002-003             D090700100022 
ENDBIB              20          0                                 D090700100023 
COMMON               3          3                                 D090700100024 
EN         EN-ERR     EN-RSL                                      D090700100025 
MEV        MEV        PER-CENT                                    D090700100026 
 48.8       0.6        1.                                         D090700100027 
ENDCOMMON            3          0                                 D090700100028 
ENDSUBENT           27          0                                 D090700199999 
SUBENT        D0907002   20230222                             D138D090700200001 
BIB                  3          4                                 D090700200002 
REACTION  1(10-NE-20(A,EL)10-NE-20,,DA)                           D090700200003 
          2(10-NE-20(A,EL)10-NE-20,,DA,,RTH)                      D090700200004 
STATUS     (TABLE) Table 13 of Preprint IYaF 88-01 (1988)         D090700200005 
HISTORY    (20230222T) On. D0925.016 data adopted.                D090700200006 
ENDBIB               4          0                                 D090700200007 
NOCOMMON             0          0                                 D090700200008 
DATA                 4         71                                 D090700200009 
ANG-CM     DATA-CM   1ERR-S     1DATA      2                      D090700200010 
ADEG       MB/SR      MB/SR      NO-DIM                           D090700200011 
  12.0      385.0      10.6       0.146                           D090700200012 
  14.4       46.7       0.70      0.037                           D090700200013 
  16.8      173.0       2.4       0.25                            D090700200014 
  19.2      249.0       3.5       0.609                           D090700200015 
  21.5      145.0       2.2       0.564                           D090700200016 
  23.9       42.1       0.40      0.247                           D090700200017 
  26.3        4.26      0.08      0.0354                          D090700200018 
  28.7       14.2       0.15      0.170                           D090700200019 
  31.0       29.6       0.30      0.483                           D090700200020 
  33.4       26.4       0.26      0.607                           D090700200021 
  35.7       14.9       0.15      0.421                           D090700200022 
  38.1        6.28      0.07      0.227                           D090700200023 
  40.4        5.41      0.06      0.246                           D090700200024 
  42.8        7.92      0.08      0.446                           D090700200025 
  45.1        9.38      0.094     0.646                           D090700200026 
  47.4        7.65      0.080     0.633                           D090700200027 
  49.7        4.74      0.050     0.500                           D090700200028 
  52.0        2.58      0.030     0.304                           D090700200029 
  54.3        1.47      0.016     0.203                           D090700200030 
  56.5        1.38      0.016     0.222                           D090700200031 
  58.8        1.40      0.018     0.260                           D090700200032 
  61.1        1.19      0.020     0.253                           D090700200033 
  63.3        0.897     0.006     0.217                           D090700200034 
  65.5        0.592     0.010     0.162                           D090700200035 
  67.8        0.436     0.010     0.134                           D090700200036 
  70.0        0.419     0.014     0.144                           D090700200037 
  72.2        0.376     0.010     0.144                           D090700200038 
  74.4        0.452     0.012     0.192                           D090700200039 
  76.5        0.504     0.013     0.237                           D090700200040 
  78.7        0.492     0.012     0.253                           D090700200041 
  80.8        0.440     0.012     0.248                           D090700200042 
  83.0        0.444     0.013     0.273                           D090700200043 
  85.1        0.368     0.011     0.245                           D090700200044 
  87.2        0.459     0.015     0.331                           D090700200045 
  89.3        0.365     0.012     0.284                           D090700200046 
  92.4        0.323     0.011     0.280                           D090700200047 
  95.5        0.298     0.010     0.310                           D090700200048 
  98.5        0.274     0.011     0.288                           D090700200049 
 101.5        0.216     0.009     0.249                           D090700200050 
 105.5        0.168     0.008     0.219                           D090700200051 
 109.4        0.118     0.006     0.169                           D090700200052 
 113.3        0.089     0.005     0.139                           D090700200053 
 117.1        0.060     0.004     0.102                           D090700200054 
 120.8        0.046     0.004     0.0832                          D090700200055 
 122.7        0.031     0.003     0.0583                          D090700200056 
 124.0        0.025     0.003     0.0483                          D090700200057 
