ENTRY            D6430   20231115                             D141D643000000001 
SUBENT        D6430001   20231115                             D141D643000100001 
BIB                 11         30                                 D643000100002 
TITLE      Thick target neutron spectral yield and dose           D643000100003 
           measurements with natC(p,n) system at intermediate     D643000100004 
           proton energies between 8-20 MeV                       D643000100005 
AUTHOR     (S.Paul, M.Sen, S.S.Ghodke, A.A.Shanbhag,              D643000100006 
           S.P.Tripathy, G.S.Sahoo, S.C.Sharma, N.G.Ninawe,       D643000100007 
           Y.Singh, R.B.Rakesh, M.S.Kulkarni)                     D643000100008 
INSTITUTE  (3INDTRM)                                              D643000100009 
           (3INDIND) Homi Bhabha National Institute, Mumbai       D643000100010 
REFERENCE  (J,NIM/A,1034,166767,2022)                             D643000100011 
FACILITY   (VDGT,3INDTAT) BARC-TIFR Pelletron-LINAC facility      D643000100012 
SAMPLE     Thick carbon block of 7 mm thickness with natural      D643000100013 
           abundance (12C = 98.93% and 13C = 1.07%).              D643000100014 
           A 7 mm thick graphite block used as a stopping target. D643000100015 
DETECTOR   (HE3SP) 3He detector for thermal neutron detection.    D643000100016 
           (SCIN) A 2 inch X 2 inch liquid scintillator (NE-213)  D643000100017 
           with pulse height unfolding for fast neutrons in the   D643000100018 
           range between 800 keV to 20 MeV.                       D643000100019 
METHOD     (TOF)                                                  D643000100020 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty D643000100021 
           The cumulative uncertainties were estimated to be      D643000100022 
           around (5-9%) based on                                 D643000100023 
            - Statistical                                         D643000100024 
            - target thickness,                                   D643000100025 
            - weight and beam parameters,                         D643000100026 
            - energy resolution,                                  D643000100027 
            - beam energy spread, beam shape fluctuations etc.    D643000100028 
STATUS     (APRVD) Approved by S.Paul (2023-12-26)                D643000100029 
           (TABLE,,S.Paul+,J,NIM/A,1034,166767,2022) Fig.3+4      D643000100030 
HISTORY    (20230417R) Data received from S.Paul                  D643000100031 
           (20231115C) Anjali                                     D643000100032 
ENDBIB              30          0                                 D643000100033 
NOCOMMON             0          0                                 D643000100034 
ENDSUBENT           33          0                                 D643000199999 
SUBENT        D6430002   20231115                             D141D643000200001 
BIB                  1          1                                 D643000200002 
REACTION   (6-C-0(P,X)0-NN-1,,PY/DA/DE,,TT/CH)                    D643000200003 
ENDBIB               1          0                                 D643000200004 
NOCOMMON             0          0                                 D643000200005 
DATA                 5        150                                 D643000200006 
ANG        EN         E          DATA       DATA-ERR              D643000200007 
ADEG       MEV        MEV        P/MEVMUCSR P/MEVMUCSR            D643000200008 
         0.         8.       0.25   1.17E+05   7.04E+03           D643000200009 
         0.         8.         1.   2.14E+05   8.56E+03           D643000200010 
         0.         8.        1.5   1.19E+05   3.57E+03           D643000200011 
         0.         8.       2.25   9.83E+04   2.95E+03           D643000200012 
         0.         8.         3.   5.43E+04   1.63E+03           D643000200013 
         0.         8.         4.   1.20E+04   9.61E+02           D643000200014 
         0.         8.         5.   1.10E+03   5.48E+01           D643000200015 
         0.        10.       0.25   6.94E+05   5.55E+04           D643000200016 
         0.        10.         1.   4.15E+05   1.24E+04           D643000200017 
         0.        10.        1.5   2.63E+05   1.84E+04           D643000200018 
         0.        10.       2.25   4.20E+05   1.68E+04           D643000200019 
         0.        10.         3.   2.49E+05   9.98E+03           D643000200020 
         0.        10.         4.   5.52E+04   1.66E+03           D643000200021 
         0.        10.         5.   8.14E+03   3.25E+02           D643000200022 
         0.        10.         6.   5.13E+03   2.56E+02           D643000200023 
         0.        10.         7.   1.01E+03   5.03E+01           D643000200024 
         0.        12.         1.   9.01E+05   1.80E+04           D643000200025 
         0.        12.        1.5   7.72E+05   6.94E+04           D643000200026 
         0.        12.       2.25   1.01E+06   3.04E+04           D643000200027 
         0.        12.         3.   4.29E+05   2.14E+04           D643000200028 
         0.        12.         4.   2.67E+05   8.00E+03           D643000200029 
         0.        12.         5.   6.44E+04   3.22E+03           D643000200030 
         0.        12.         6.   3.44E+04   2.75E+03           D643000200031 
         0.        12.         7.   7.10E+03   6.39E+02           D643000200032 
         0.        12.         8.   3.50E+03   3.15E+02           D643000200033 
         0.        12.         9.   2.37E+03   1.89E+02           D643000200034 
         0.        14.       0.25   1.60E+06   3.19E+04           D643000200035 
         0.        14.         1.   1.10E+06   2.20E+04           D643000200036 
         0.        14.        1.5   7.51E+05   6.01E+04           D643000200037 
         0.        14.       2.25   1.38E+06   1.11E+05           D643000200038 
         0.        14.         3.   1.10E+06   6.59E+04           D643000200039 
         0.        14.         4.   4.31E+05   1.73E+04           D643000200040 
         0.        14.         5.   1.24E+05   7.42E+03           D643000200041 
         0.        14.         6.   6.77E+04   2.03E+03           D643000200042 
         0.        14.         7.   2.48E+04   1.73E+03           D643000200043 
         0.        14.         8.   7.27E+03   1.45E+02           D643000200044 
         0.        14.         9.   6.21E+03   3.10E+02           D643000200045 
