ENTRY            D6165   20121201                             D088D616500000001 
SUBENT        D6165001   20121201                             D088D616500100001 
BIB                 12         32                                 D616500100002 
TITLE      Study of statistical emissions in 28Si+natSi and       D616500100003 
           28Si+27Al reactions at 4-5 MeV/A incident energies     D616500100004 
AUTHOR     (C.Basu,S.Adhikari,S.K.Ghosh,P.Basu,S.Ray, B.R.Behera, D616500100005 
           S.K.Datta)                                             D616500100006 
INSTITUTE  (3INDSAH,3INDNSD)                                      D616500100007 
           (3INDIND) Physics Department, Kalyani University,      D616500100008 
           Kalyani, West Bengal                                   D616500100009 
           (3INDIND) Physics Department, Utkal University,        D616500100010 
           Bhubaneswar, Orissa                                    D616500100011 
REFERENCE  (J,IMP/E,14,(7),1063,2005) All data given in fig.2 to  D616500100012 
           fig.4                                                  D616500100013 
           (J,EPJ/A,25,(S1),277,2005) Part of data given in fig.1 D616500100014 
SAMPLE     Spectroscopically pure, 1 mg/cm2, self-supporting      D616500100015 
           natSi and 0.8 mg/cm2 27Al were used as targets.        D616500100016 
FACILITY   (VDGT,3INDNSD) 14 UD Pelletron                         D616500100017 
DETECTOR   (TELES,SOLST,SOLST) Two counter telescopes consisting  D616500100018 
           of two element, dE-E, Si solid state detectors, were   D616500100019 
           used for particle identification and energy            D616500100020 
           measurements. The thickness of dE and E were 50        D616500100021 
           microns and 3150 microns for T1 and 35 microns and     D616500100022 
           3050 microns for T2. T1 covered 54 degree, 66 degree,  D616500100023 
           102 degree and T2 covered 114 degree, 126 degree, 138  D616500100024 
           degree for natSi and 27Al targets. Monitor detectors   D616500100025 
           were setup at +/- 9.6 degree for normalization.        D616500100026 
METHOD     (EDE)                                                  D616500100027 
ERR-ANALYS (DATA-ERR) No information on the sources of            D616500100028 
           uncertainty is given in the article.                   D616500100029 
ADD-RES    (COMP) The theoretical analysis of the data has been   D616500100030 
           done using the statistical model code CASCADE.         D616500100031 
STATUS     (UNOBT) Request sent to Chinmay Basu by e-mail on      D616500100032 
           2012-12-01 and no reply is received.                   D616500100033 
HISTORY    (20121201C) Compiled by R.Ghosh,B.Jyrwa,NEHU,INDIA.    D616500100034 
ENDBIB              32          0                                 D616500100035 
COMMON               1          3                                 D616500100036 
EN                                                                D616500100037 
MEV                                                               D616500100038 
130.                                                              D616500100039 
ENDCOMMON            3          0                                 D616500100040 
ENDSUBENT           39          0                                 D616500199999 
SUBENT        D6165002   20121201                             D088D616500200001 
BIB                  2          2                                 D616500200002 
REACTION   (14-SI-0(14-SI-28,X)2-HE-4,,DA/DE)                     D616500200003 
STATUS     (CURVE) Figure 2 of J,IMP/E,14,(7),1063,2005           D616500200004 
ENDBIB               2          0                                 D616500200005 
NOCOMMON             0          0                                 D616500200006 
DATA                 5         97                                 D616500200007 
ANG        E          DATA       +DATA-ERR  -DATA-ERR             D616500200008 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV  MB/SR/MEV             D616500200009 
        54.       8.20   1.65E-03   6.64E-04   6.83E-04           D616500200010 
        54.       8.63   1.26E-02   1.68E-03   1.92E-03           D616500200011 
        54.       9.10   1.21E-01   4.95E-03   8.20E-03           D616500200012 
        54.       9.62   4.09E-01   4.85E-03   1.65E-02           D616500200013 
        54.      10.80   6.68E-01   6.72E-03   2.30E-02           D616500200014 
        54.      12.40   9.92E-01   9.99E-03   2.45E-02           D616500200015 
        54.      14.10   1.28E+00   1.52E-02   3.72E-02           D616500200016 
        54.      15.50   1.33E+00   2.02E-02   4.59E-02           D616500200017 
        54.      17.30   1.30E+00   1.54E-02   3.77E-02           D616500200018 
        54.      18.60   1.10E+00   1.11E-02   2.73E-02           D616500200019 
        54.      20.70   8.62E-01   2.19E-02   2.13E-02           D616500200020 
        54.      22.00   6.92E-01   6.96E-03   1.71E-02           D616500200021 
        54.      23.80   5.08E-01   1.27E-02   1.85E-02           D616500200022 
        54.      25.10   3.85E-01   9.19E-03   1.77E-02           D616500200023 
        54.      26.60   2.66E-01   6.34E-03   1.07E-02           D616500200024 
        54.      28.10   1.70E-01   8.20E-03   7.82E-03           D616500200025 
        54.      30.10   9.65E-02   4.66E-03   6.06E-03           D616500200026 
        54.      32.40   5.07E-02   3.22E-03   4.47E-03           D616500200027 
        54.      34.20   2.65E-02   2.50E-03   3.24E-03           D616500200028 
        54.      36.20   1.32E-02   1.87E-03   1.94E-03           D616500200029 
        54.      38.80   4.87E-03   1.14E-03   1.12E-03           D616500200030 
        54.      40.50   3.90E-03   9.12E-04   1.11E-03           D616500200031 
        54.      43.40   2.50E-03   7.59E-04   8.65E-04           D616500200032 
        54.      45.30   1.10E-03   5.41E-04   5.50E-04           D616500200033 
        54.      46.90   8.25E-04   4.57E-04   4.83E-04           D616500200034 
        54.      49.20   5.47E-04   3.83E-04   3.89E-04           D616500200035 
        66.      14.00   7.41E-01   2.26E-02   1.76E-02           D616500200036 
        66.      15.90   6.49E-01   1.18E-02   2.68E-02           D616500200037 
        66.      17.80   4.86E-01   8.86E-03   2.01E-02           D616500200038 
        66.      19.80   3.47E-01   1.07E-02   1.82E-02           D616500200039 
        66.      21.60   2.36E-01   8.68E-03   1.11E-02           D616500200040 
        66.      23.80   1.44E-01   7.11E-03   1.00E-02           D616500200041 
        66.      25.70   7.53E-02   5.15E-03   6.08E-03           D616500200042 
        66.      27.40   5.55E-02   3.97E-03   6.32E-03           D616500200043 
        66.      29.70   1.97E-02   2.78E-03   3.35E-03           D616500200044 
        66.      31.70   1.17E-02   2.15E-03   2.56E-03           D616500200045 
        66.      33.80   6.99E-03   1.71E-03   1.90E-03           D616500200046 
        66.      35.50   1.86E-03   9.25E-04   9.41E-04           D616500200047 
        66.      36.60   2.33E-03   1.00E-03   1.05E-03           D616500200048 
        66.      38.20   1.40E-03   7.86E-04   8.15E-04           D616500200049 
        66.      40.20   9.30E-04   6.49E-04   6.61E-04           D616500200050 
        66.      40.70   1.39E-03   7.96E-04   8.05E-04           D616500200051 
       102.       8.68   3.54E-01   1.24E-02   1.20E-02           D616500200052 
       102.       9.04   5.42E-01   6.27E-03   2.44E-02           D616500200053 
       102.      10.40   3.73E-01   1.09E-02   1.68E-02           D616500200054 
       102.      11.20   2.93E-01   6.82E-03   1.32E-02           D616500200055 
       102.      12.10   2.04E-01   5.95E-03   1.14E-02           D616500200056 
       102.      13.10   1.44E-01   5.07E-03   1.04E-02           D616500200057 
       102.      14.20   8.80E-02   3.62E-03   5.87E-03           D616500200058 
       102.      15.30   5.95E-02   3.53E-03   5.24E-03           D616500200059 
       102.      16.20   3.53E-02   3.18E-03   4.01E-03           D616500200060 
       102.      17.30   1.75E-02   2.00E-03   2.89E-03           D616500200061 
       102.      18.00   1.84E-02   2.48E-03   2.56E-03           D616500200062 
       102.      18.90   1.07E-02   1.80E-03   2.06E-03           D616500200063 
       102.      20.10   6.24E-03   1.44E-03   1.51E-03           D616500200064 
       102.      21.20   2.62E-03   9.20E-04   1.02E-03           D616500200065 
       102.      21.70   3.72E-03   1.10E-03   1.22E-03           D616500200066 
       102.      22.70   1.11E-03   4.86E-04   6.48E-04           D616500200067 
       102.      23.50   1.47E-03   7.18E-04   7.43E-04           D616500200068 
       102.      24.40   1.47E-03   7.18E-04   7.43E-04           D616500200069 
       114.       8.62   2.14E-01   4.68E-03   9.79E-03           D616500200070 
       114.      10.70   1.14E-01   3.41E-03   4.44E-03           D616500200071 
       114.      12.00   6.58E-02   2.52E-03   3.82E-03           D616500200072 
       114.      14.20   2.83E-02   2.03E-03   2.43E-03           D616500200073 
       114.      16.10   1.23E-02   1.26E-03   1.58E-03           D616500200074 
       114.      18.60   3.80E-03   7.85E-04   8.17E-04           D616500200075 
       114.      21.50   1.38E-03   4.95E-04   4.91E-04           D616500200076 
       114.      22.20   3.46E-04   2.38E-04   2.45E-04           D616500200077 
       126.       7.44   9.54E-02   2.32E-03   4.48E-03           D616500200078 
       126.       8.68   6.16E-02   2.97E-03   3.11E-03           D616500200079 
       126.       9.84   4.56E-02   1.96E-03   3.23E-03           D616500200080 
       126.      10.90   2.91E-02   1.99E-03   2.24E-03           D616500200081 
       126.      12.30   1.89E-02   1.38E-03   1.78E-03           D616500200082 
       126.      13.40   1.41E-02   1.30E-03   1.55E-03           D616500200083 
       126.      14.60   1.01E-02   1.07E-03   1.29E-03           D616500200084 
       126.      15.60   6.62E-03   9.66E-04   9.57E-04           D616500200085 
       126.      16.10   4.16E-03   7.03E-04   8.22E-04           D616500200086 
       126.      17.50   3.27E-03   6.77E-04   7.50E-04           D616500200087 
       126.      18.10   2.24E-03   5.42E-04   6.09E-04           D616500200088 
       126.      19.60   1.64E-03   4.73E-04   5.05E-04           D616500200089 
       126.      20.60   7.45E-04   3.16E-04   3.41E-04           D616500200090 
       126.      21.30   4.43E-04   2.56E-04   2.56E-04           D616500200091 
       126.      22.90   4.43E-04   2.57E-04   2.57E-04           D616500200092 
       126.      24.40   2.98E-04   2.03E-04   1.96E-04           D616500200093 
       138.       7.36   5.98E-02   2.78E-03   4.25E-03           D616500200094 
       138.       7.52   7.14E-02   3.59E-03   4.25E-03           D616500200095 
       138.       8.24   5.10E-02   3.23E-03   3.62E-03           D616500200096 
       138.       9.36   4.19E-02   2.65E-03   3.45E-03           D616500200097 
       138.      10.20   2.85E-02   2.20E-03   2.79E-03           D616500200098 
       138.      11.40   1.46E-02   1.67E-03   2.00E-03           D616500200099 
       138.      12.30   9.37E-03   1.43E-03   1.57E-03           D616500200100 
       138.      13.40   4.26E-03   8.96E-04   1.07E-03           D616500200101 
       138.      14.40   3.73E-03   9.51E-04   9.33E-04           D616500200102 
       138.      15.10   4.49E-03   9.49E-04   1.06E-03           D616500200103 
       138.      16.00   1.65E-03   5.96E-04   6.32E-04           D616500200104 
       138.      17.70   7.12E-04   3.96E-04   4.16E-04           D616500200105 
       138.      18.90   4.75E-04   3.20E-04   3.39E-04           D616500200106 
ENDDATA             99          0                                 D616500200107 
ENDSUBENT          106          0                                 D616500299999 
SUBENT        D6165003   20130108                             D088D616500300001 
BIB                  2          2                                 D616500300002 
REACTION   (14-SI-0(14-SI-28,X)1-H-1,,DA/DE)                      D616500300003 
STATUS     (CURVE) Figure 3 of J,IMP/E,14,(7),1063,2005           D616500300004 
ENDBIB               2          0                                 D616500300005 
NOCOMMON             0          0                                 D616500300006 
DATA                 5        105                                 D616500300007 
ANG        E          DATA       +DATA-ERR  -DATA-ERR             D616500300008 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV  MB/SR/MEV             D616500300009 
        54.       3.26   9.99E-03   1.56E-03   1.73E-03           D616500300010 
        54.       3.31   6.10E-02   3.29E-03   4.96E-03           D616500300011 
        54.       3.47   5.87E-01   1.20E-02   1.64E-02           D616500300012 
        54.       4.02   2.34E+00   1.89E-02   3.74E-02           D616500300013 
        54.       4.26   2.61E+00   1.05E-02   5.21E-02           D616500300014 
        54.       5.00   3.24E+00   1.31E-02   7.75E-02           D616500300015 
        54.       5.65   3.92E+00   3.18E-02   4.72E-02           D616500300016 
        54.       6.88   4.53E+00   5.47E-02   5.50E-02           D616500300017 
        54.       7.71   4.46E+00   3.61E-02   8.91E-02           D616500300018 
        54.       9.89   2.99E+00   2.42E-02   5.97E-02           D616500300019 
        54.      11.99   1.86E+00   2.26E-02   4.44E-02           D616500300020 
        54.      14.25   9.38E-01   1.53E-02   2.25E-02           D616500300021 
        54.      17.59   3.17E-01   7.76E-03   1.13E-02           D616500300022 
        54.      19.54   1.76E-01   6.50E-03   8.31E-03           D616500300023 
        54.      21.36   8.15E-02   4.39E-03   5.10E-03           D616500300024 
        66.       2.36   2.78E-03   1.09E-03   1.15E-03           D616500300025 
        66.       2.44   8.82E-03   1.89E-03   2.11E-03           D616500300026 
        66.       2.57   4.19E-02   3.61E-03   5.04E-03           D616500300027 
        66.       3.33   2.09E+00   2.61E-02   5.97E-02           D616500300028 
        66.       4.38   2.66E+00   2.21E-02   7.58E-02           D616500300029 
        66.       5.38   2.85E+00   3.56E-02   3.52E-02           D616500300030 
        66.       5.57   3.12E+00   2.59E-02   7.65E-02           D616500300031 
        66.       8.32   1.90E+00   2.63E-02   3.63E-02           D616500300032 
        66.       9.82   1.36E+00   1.82E-02   3.21E-02           D616500300033 
        66.      11.10   9.34E-01   1.95E-02   2.67E-02           D616500300034 
        66.      13.12   5.04E-01   1.35E-02   1.56E-02           D616500300035 
        66.      15.35   2.36E-01   7.86E-03   1.35E-02           D616500300036 
        66.      17.34   1.31E-01   6.28E-03   8.21E-03           D616500300037 
        66.      19.07   6.70E-02   4.48E-03   6.19E-03           D616500300038 
        66.      21.17   2.42E-02   2.97E-03   3.60E-03           D616500300039 
        66.      21.92   1.57E-02   2.64E-03   2.79E-03           D616500300040 
       102.       2.35   1.47E-03   7.32E-04   4.64E-04           D616500300041 
       102.       2.48   1.56E-02   1.77E-03   2.27E-03           D616500300042 
       102.       2.58   1.47E-01   5.65E-03   6.83E-03           D616500300043 
       102.       2.92   4.17E+00   3.39E-02   7.14E-02           D616500300044 
       102.       4.00   3.53E+00   2.83E-02   6.08E-02           D616500300045 
       102.       4.62   2.95E+00   4.30E-02   4.24E-02           D616500300046 
       102.       5.58   2.15E+00   3.14E-02   5.39E-02           D616500300047 
       102.       6.73   1.56E+00   8.70E-03   3.61E-02           D616500300048 
       102.       7.89   9.99E-01   1.28E-02   1.97E-02           D616500300049 
       102.       8.85   6.80E-01   1.41E-02   1.55E-02           D616500300050 
       102.       9.54   4.77E-01   7.82E-03   1.28E-02           D616500300051 
       102.      10.66   3.23E-01   9.58E-03   1.26E-02           D616500300052 
       102.      11.58   2.35E-01   5.89E-03   1.10E-02           D616500300053 
       102.      12.23   1.53E-01   5.21E-03   7.44E-03           D616500300054 
       102.      13.12   1.11E-01   4.43E-03   6.71E-03           D616500300055 
       102.      14.04   6.97E-02   3.94E-03   5.99E-03           D616500300056 
       102.      15.55   3.89E-02   3.38E-03   4.64E-03           D616500300057 
       102.      16.93   2.09E-02   2.70E-03   3.43E-03           D616500300058 
       102.      17.93   1.15E-02   1.89E-03   2.12E-03           D616500300059 
       102.      18.87   1.11E-02   1.87E-03   2.14E-03           D616500300060 
       102.      19.97   5.15E-03   1.35E-03   1.38E-03           D616500300061 
       102.      20.35   5.60E-03   1.33E-03   1.52E-03           D616500300062 
