ENTRY            D1003   20210716                             D135D100300000001 
SUBENT        D1003001   20210716                             D135D100300100001 
BIB                  8         22                                 D100300100002 
TITLE      Isoscalar monopole and dipole transitions in 24Mg,     D100300100003 
            26Mg, and 28Si                                        D100300100004 
AUTHOR     (P.Adsley, V.O.Nesterenko, M.Kimura, L.M.Donaldson,    D100300100005 
            R.Neveling, J.W.Bruemmer, D.G.Jenkins, N.Y.Kheswa,    D100300100006 
            J.Kvasil, K.C.W.Li, D.J.Marin-Lambarri, Z.Mabika,     D100300100007 
            P.Papka, L.Pellegri, V.Pesudo, B.Rebeiro,             D100300100008 
            P.-G.Reinhard, F.D.Smit, W.Yahia-Cherif)              D100300100009 
REFERENCE  (J,PR/C,103,044315,2021)                               D100300100010 
REL-REF    (I,D0903001,P.Adsley+,J,PR/C,96,055802,2017)           D100300100011 
            Experimental details                                  D100300100012 
INSTITUTE  (3SAFWIT,3SAFSTL,3SAFITH,2FR PAR,4ZZZDUB,4RUSMFT,      D100300100013 
            2JPNHOK,2UK YRK,3CZRCHU,3SAFUWC,3MEXUMX,2SPNPCM,      D100300100014 
            2GERUEN,3ALGUHB)                                      D100300100015 
           (4RUSRUS) State University "Dubna", Dubna              D100300100016 
FACILITY   (CYCLO,3SAFITH)                                        D100300100017 
DETECTOR   (MAGSP) K600 Q2D magnetic spectrometer                 D100300100018 
           (SCIN) Plastic scintillator at the focal plane to      D100300100019 
            trigger data acquisition and to measure the energy    D100300100020 
            deposited by the particle hitting the focal plane     D100300100021 
           (DRFTC) To measure particle positions and trajectories D100300100022 
            at the focal plane                                    D100300100023 
HISTORY    (20210716C) On                                         D100300100024 
ENDBIB              22          0                                 D100300100025 
COMMON               1          3                                 D100300100026 
EN                                                                D100300100027 
MEV                                                               D100300100028 
 200.                                                             D100300100029 
ENDCOMMON            3          0                                 D100300100030 
ENDSUBENT           29          0                                 D100300199999 
SUBENT        D1003002   20210716                             D135D100300200001 
BIB                  4          6                                 D100300200002 
REACTION   (12-MG-24(A,INL)12-MG-24,ICL,DA/DE,A/RSD)              D100300200003 
ERR-ANALYS (ERR-S) Statistical uncertainty                        D100300200004 
           (ERR-1) Target thickness (10%)                         D100300200005 
STATUS     (TABLE) Data (not shown in the article) received from  D100300200006 
                   Philip Adsley.                                 D100300200007 
HISTORY    (20210715R) On. Data received from Philip Adsley       D100300200008 
ENDBIB               6          0                                 D100300200009 
COMMON               1          3                                 D100300200010 
ERR-1                                                             D100300200011 
PER-CENT                                                          D100300200012 
 10.                                                              D100300200013 
ENDCOMMON            3          0                                 D100300200014 
DATA                 5       4300                                 D100300200015 
ANG-MIN    ANG-MAX    E-EXC      DATA       ERR-S                 D100300200016 
ADEG       ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D100300200017 
 0.         2.          9.005     10.0267    0.587775             D100300200018 
 0.         2.          9.015     10.0956    0.589792             D100300200019 
 0.         2.          9.025      9.395     0.568959             D100300200020 
 0.         2.          9.035      7.64923   0.513383             D100300200021 
 0.         2.          9.045      5.03058   0.416333             D100300200022 
 0.         2.          9.055      1.81468   0.291012             D100300200023 
 0.         2.          9.065      0.735061  0.243641             D100300200024 
 0.         2.          9.075      1.35527   0.242011             D100300200025 
 0.         2.          9.085      2.12479   0.291691             D100300200026 
 0.         2.          9.095      3.34223   0.339352             D100300200027 
 0.         2.          9.105      2.84836   0.320768             D100300200028 
 0.         2.          9.115      5.38662   0.430815             D100300200029 
 0.         2.          9.125      7.77557   0.517605             D100300200030 
 0.         2.          9.135     10.199     0.592803             D100300200031 
 0.         2.          9.145     10.6814    0.60666              D100300200032 
 0.         2.          9.155      8.24647   0.535271             D100300200033 
 0.         2.          9.165      8.68291   0.557009             D100300200034 
 0.         2.          9.175      6.70743   0.48074              D100300200035 
 0.         2.          9.185      5.05355   0.421998             D100300200036 
 0.         2.          9.195      3.67531   0.35586              D100300200037 
 0.         2.          9.205      1.82617   0.277793             D100300200038 
 0.         2.          9.215      2.43489   0.315794             D100300200039 
 0.         2.          9.225      3.29629   0.337012             D100300200040 
 0.         2.          9.235      5.74267   0.45101              D100300200041 
 0.         2.          9.245     10.6584    0.606008             D100300200042 
 0.         2.          9.255     19.3068    0.81562              D100300200043 
 0.         2.          9.265     38.2117    1.14744              D100300200044 
 0.         2.          9.275     71.232     1.56664              D100300200045 
 0.         2.          9.285    108.238     1.93118              D100300200046 
 0.         2.          9.295    134.976     2.15655              D100300200047 
 0.         2.          9.305    140.087     2.197                D100300200048 
 0.         2.          9.315    126.787     2.09011              D100300200049 
 0.         2.          9.325     89.1951    1.75308              D100300200050 
 0.         2.          9.335     59.8386    1.4359               D100300200051 
 0.         2.          9.345     38.8204    1.15655              D100300200052 
 0.         2.          9.355     24.1307    0.911837             D100300200053 
 0.         2.          9.365     13.5871    0.687683             D100300200054 
 0.         2.          9.375      8.13162   0.535271             D100300200055 
 0.         2.          9.385      5.21434   0.446601             D100300200056 
 0.         2.          9.395      4.05432   0.379016             D100300200057 
 0.         2.          9.405      2.29707   0.313278             D100300200058 
 0.         2.          9.415      2.30855   0.311378             D100300200059 
 0.         2.          9.425      1.01071   0.265408             D100300200060 
 0.         2.          9.435      1.12556   0.242011             D100300200061 
 0.         2.          9.445      1.28636   0.271307             D100300200062 
 0.         2.          9.455      0.620208  0.226817             D100300200063 
 0.         2.          9.465      1.03368   0.259375             D100300200064 
