ENTRY            D1046   20230503                             D139D104600000001 
SUBENT        D1046001   20230503                             D139D104600100001 
BIB                 11         25                                 D104600100002 
TITLE      Determination and benchmarking of 27Al(d,alpha) and    D104600100003 
            27Al(d,p) reaction cross sections for energies and    D104600100004 
            angles relevant to NRA                                D104600100005 
AUTHOR     (M.Salimi, O.Kakuee, S.F.Masoudi, H.Rafi-Kheiri,       D104600100006 
            E.Briand, J.-J.Ganem, I.Vickridge)                    D104600100007 
INSTITUTE  (3IRNNRT)                                              D104600100008 
           (3IRNIRN) K.N. Toosi University of Technology, Tehran  D104600100009 
           (2FR FR) Sorbonne Universite, Institut des NanoSciencesD104600100010 
           de Paris, Paris                                        D104600100011 
REFERENCE  (J,SCR,11,18036,2021)                                  D104600100012 
           #doi:10.1038/s41598-021-97372-7                        D104600100013 
FACILITY   (VDGT,3IRNNRT)                                         D104600100014 
DETECTOR   (SIBAR) Three 25 mm2 x 300 um thick surface barrier    D104600100015 
           detectors.                                             D104600100016 
SAMPLE     A thin Al target. A 10 +- 0.5 nm Ag film was           D104600100017 
           deposited onto the thin self-supporting vacuum         D104600100018 
           evaporated Al target as an internal reference.         D104600100019 
           The thickness and stoichiometry of the Al/Au target    D104600100020 
           were measured by alpha particle beams of 1.8 MeV.      D104600100021 
MONITOR    (47-AG-0(D,EL)47-AG-0,,DA,,RTH)                        D104600100022 
ANALYSIS   (NTRTH) Ag+d elastic scattering                        D104600100023 
ERR-ANALYS (ERR-S) Estimated uncertainties from counting          D104600100024 
           statistics.                                            D104600100025 
HISTORY    (20210630R) Data received from M.Salimi for IBANDL     D104600100026 
           (20230503C) VS                                         D104600100027 
ENDBIB              25          0                                 D104600100028 
NOCOMMON             0          0                                 D104600100029 
ENDSUBENT           28          0                                 D104600199999 
SUBENT        D1046002   20230503                             D139D104600200001 
BIB                  3          5                                 D104600200002 
REACTION   (13-AL-27(D,A)12-MG-25,PAR,DA)                         D104600200003 
REL-REF    (O,O2572002,M.Salimi+,J,SCR,11,18036,2021)             D104600200004 
STATUS     (TABLE) Figs. 4, 6a), and 7a) of                       D104600200005 
           Scient.Rep.11(2012)18036                               D104600200006 
           Converted by R33toX4 from R33 files.                   D104600200007 
ENDBIB               5          0                                 D104600200008 
NOCOMMON             0          0                                 D104600200009 
DATA                 5        647                                 D104600200010 
Q-VAL      ANG        EN         DATA       ERR-S                 D104600200011 
KEV        ADEG       KEV        MB/SR      MB/SR                 D104600200012 
    6706.73       135.  1921.8298     0.2867     0.0059           D104600200013 
    6706.73       135.  1911.7032     0.2746      0.006           D104600200014 
    6706.73       135.  1901.5777     0.2622     0.0056           D104600200015 
    6706.73       135.  1891.4507     0.2548     0.0059           D104600200016 
    6706.73       135.  1881.3237     0.2632     0.0059           D104600200017 
    6706.73       135.  1871.1961     0.2697      0.006           D104600200018 
    6706.73       135.  1861.0686     0.2706      0.006           D104600200019 
    6706.73       135.  1850.9406     0.2515     0.0057           D104600200020 
    6706.73       135.   1840.813     0.2389     0.0056           D104600200021 
    6706.73       135.   1830.684     0.1972      0.005           D104600200022 
    6706.73       135.   1820.555     0.1877     0.0049           D104600200023 
    6706.73       135.  1810.4254      0.184     0.0048           D104600200024 
    6706.73       135.  1800.2269     0.1798     0.0064           D104600200025 
    6706.73       135.  1790.0969      0.211     0.0069           D104600200026 
    6706.73       135.  1779.9664     0.2412     0.0073           D104600200027 
    6706.73       135.  1769.8353     0.2425     0.0065           D104600200028 
    6706.73       135.  1759.7038     0.2446     0.0064           D104600200029 
    6706.73       135.  1749.5723     0.2471     0.0065           D104600200030 
    6706.73       135.  1739.4402     0.2344     0.0063           D104600200031 
    6706.73       135.  1729.3082     0.1829     0.0055           D104600200032 
    6706.73       135.  1719.1757     0.1626     0.0052           D104600200033 
    6706.73       135.  1709.0416     0.1427     0.0049           D104600200034 
    6706.73       135.  1698.9081     0.1433     0.0049           D104600200035 
    6706.73       135.  1688.7741     0.1432     0.0044           D104600200036 
    6706.73       135.  1678.6391       0.15     0.0045           D104600200037 
    6706.73       135.  1668.5045     0.1483     0.0045           D104600200038 
    6706.73       135.    1658.37     0.1505     0.0045           D104600200039 
    6706.73       135.  1648.2335     0.1429     0.0044           D104600200040 
    6706.73       135.  1638.0969     0.1406     0.0044           D104600200041 
    6706.73       135.  1628.0609     0.1304     0.0042           D104600200042 
    6706.73       135.  1617.8234     0.1482     0.0044           D104600200043 
    6706.73       135.  1607.6853     0.1531     0.0045           D104600200044 
    6706.73       135.  1597.5483     0.1434     0.0044           D104600200045 
    6706.73       135.  1587.4098     0.1366     0.0043           D104600200046 
    6706.73       135.  1577.3378     0.1405     0.0031           D104600200047 
    6706.73       135.  1567.1982     0.1368     0.0031           D104600200048 
    6706.73       135.  1556.9907     0.1465     0.0032           D104600200049 
    6706.73       135.  1546.8507     0.1274      0.003           D104600200050 
    6706.73       135.  1536.7086     0.0994     0.0026           D104600200051 
    6706.73       135.  1526.5671     0.0873     0.0024           D104600200052 
    6706.73       135.  1516.4256     0.0943     0.0026           D104600200053 
