ENTRY            D4340   20220316                             D136D434000000001 
SUBENT        D4340001   20220316                             D136D434000100001 
BIB                  9         24                                 D434000100002 
TITLE      The 106Cd(a,a)106Cd elastic scattering in a wide       D434000100003 
            energy range for gamma process studies                D434000100004 
AUTHOR     (A.Ornelas, G.G.Kiss, P.Mohr, D.Galaviz, Zs.Fulop,     D434000100005 
            Gy.Gyurky, Z.Mate, T.Rauscher, E.Somorjai,            D434000100006 
            K.Sonnabend, A.Zilges)                                D434000100007 
INSTITUTE  (3HUNDEB,2PRTLIS,2UK HFS,2SWTBAS,2GERFRK,2GERKLN)      D434000100008 
REFERENCE  (J,NP/A,940,194,2015)                                  D434000100009 
           (J,JP/CS,337,012030,2012) preliminary results          D434000100010 
           (C,2010HEIDLB,,241,2010)  preliminary results          D434000100011 
           (J,EPJ/A,27,(S1),197,2006) preliminary results         D434000100012 
FACILITY   (CYCLO,3HUNDEB)                                        D434000100013 
SAMPLE     (48-CD-106,ENR=0.97) 106Cd (250 ug/cm2 thick) onto     D434000100014 
            thin carbon foils (~20 ug/cm2).                       D434000100015 
DETECTOR   (SI) Two pairs of Si detectors mounted on two          D434000100016 
            independently rotatable turntables. Additional two Si D434000100017 
            detectors under 15 deg for absolute normalization, to D434000100018 
            monitor the target thickness and to take into account D434000100019 
            the beam position on the target.                      D434000100020 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainty.   D434000100021 
           (ERR-S,0.1,4.) Statistical uncertainties between 0.1%  D434000100022 
            and 4%.                                               D434000100023 
HISTORY    (20160519C) TS                                         D434000100024 
           (20170815U) On. REFERENCE: EPJ/A -> EPJ/AS             D434000100025 
           (20220316U) VT. REFERENCE: EPJ/AS-> EPJ/A,(S1)         D434000100026 
ENDBIB              24          0                                 D434000100027 
    101.00      0.541      0.009                                  D4340  2   93 
    101.99      0.523      0.010                                  D4340  2   94 
    103.48      0.499      0.009                                  D4340  2   95 
    104.97      0.474      0.009                                  D4340  2   96 
    106.45      0.463      0.009                                  D4340  2   97 
    107.94      0.442      0.009                                  D4340  2   98 
    109.42      0.432      0.008                                  D4340  2   99 
    110.91      0.428      0.008                                  D4340  2  100 
    111.90      0.417      0.009                                  D4340  2  101 
    112.39      0.417      0.008                                  D4340  2  102 
    113.38      0.402      0.008                                  D4340  2  103 
    113.87      0.403      0.008                                  D4340  2  104 
    114.86      0.385      0.008                                  D4340  2  105 
    115.35      0.390      0.007                                  D4340  2  106 
    116.34      0.358      0.008                                  D4340  2  107 
    116.83      0.374      0.007                                  D4340  2  108 
    117.82      0.362      0.008                                  D4340  2  109 
    119.29      0.350      0.007                                  D4340  2  110 
    120.77      0.341      0.007                                  D4340  2  111 
    122.24      0.338      0.007                                  D4340  2  112 
    123.72      0.321      0.007                                  D4340  2  113 
    125.19      0.310      0.007                                  D4340  2  114 
    126.66      0.306      0.007                                  D4340  2  115 
    128.13      0.282      0.008                                  D4340  2  116 
    129.60      0.284      0.008                                  D4340  2  117 
    131.07      0.287      0.008                                  D4340  2  118 
    132.53      0.285      0.007                                  D4340  2  119 
    134.00      0.299      0.007                                  D4340  2  120 
    135.46      0.288      0.007                                  D4340  2  121 
    136.44      0.268      0.007                                  D4340  2  122 
    136.93      0.275      0.007                                  D4340  2  123 
    137.90      0.272      0.007                                  D4340  2  124 
    138.39      0.272      0.007                                  D4340  2  125 
    139.36      0.260      0.007                                  D4340  2  126 
    139.85      0.261      0.006                                  D4340  2  127 
    140.82      0.249      0.007                                  D4340  2  128 
    141.31      0.259      0.006                                  D4340  2  129 
    142.28      0.254      0.007                                  D4340  2  130 
    143.74      0.238      0.006                                  D4340  2  131 
    145.20      0.232      0.006                                  D4340  2  132 
    146.66      0.233      0.006                                  D4340  2  133 
    148.11      0.222      0.006                                  D4340  2  134 
    149.57      0.228      0.006                                  D4340  2  135 
    151.02      0.224      0.005                                  D4340  2  136 
    152.96      0.223      0.004                                  D4340  2  137 
    154.90      0.222      0.004                                  D4340  2  138 
    156.83      0.217      0.004                                  D4340  2  139 
    158.77      0.216      0.005                                  D4340  2  140 
    160.70      0.207      0.004                                  D4340  2  141 
    162.63      0.203      0.004                                  D4340  2  142 
    164.57      0.205      0.004                                  D4340  2  143 
    166.50      0.202      0.004                                  D4340  2  144 
    168.43      0.200      0.004                                  D4340  2  145 
    170.36      0.200      0.004                                  D4340  2  146 
ENDDATA            135          0                                 D4340  2  147 
ENDSUBENT          146          0                                 D4340  299999 
SUBENT        D4340003   20120119                             D105D4340  3    1 
BIB                  2          2                                 D4340  3    2 
REACTION   (48-CD-106(A,EL)48-CD-106,,DA,,RTH)                    D4340  3    3 
STATUS     (TABLE) Data were received from author G.G.Kiss        D4340  3    4 
ENDBIB               2          0                                 D4340  3    5 
COMMON               4          3                                 D4340  3    6 
EN         EN-CM      EN-ERR     ANG-ERR                          D4340  3    7 
MEV        MEV        MEV        ADEG                             D4340  3    8 
 17.7        17.00        0.1        0.2                          D4340  3    9 
ENDCOMMON            3          0                                 D4340  3   10 
DATA                 3        146                                 D4340  3   11 
ANG-CM     DATA       DATA-ERR                                    D4340  3   12 
ADEG       NO-DIM     NO-DIM                                      D4340  3   13 
     20.80     1.000     0.014                                    D4340  3   14 
     21.83     1.014     0.014                                    D4340  3   15 
     22.88     1.016     0.014                                    D4340  3   16 
     23.89     1.006     0.014                                    D4340  3   17 
     24.93     0.995     0.014                                    D4340  3   18 
     25.96     0.987     0.013                                    D4340  3   19 
     27.03     0.948     0.013                                    D4340  3   20 
     28.03     0.959     0.013                                    D4340  3   21 
     29.12     0.948     0.013                                    D4340  3   22 
     30.11     0.948     0.013                                    D4340  3   23 
     31.14     0.983     0.013                                    D4340  3   24 
     31.17     0.981     0.013                                    D4340  3   25 
     32.17     0.993     0.013                                    D4340  3   26 
     33.21     0.991     0.013                                    D4340  3   27 
     34.22     0.988     0.013                                    D4340  3   28 
     35.25     0.995     0.014                                    D4340  3   29 
     36.28     0.998     0.014                                    D4340  3   30 
     37.35     1.017     0.014                                    D4340  3   31 
     38.34     1.032     0.014                                    D4340  3   32 
     39.42     1.045     0.014                                    D4340  3   33 
     40.42     1.053     0.014                                    D4340  3   34 
     41.47     1.067     0.014                                    D4340  3   35 
     41.48     1.060     0.014                                    D4340  3   36 
     42.49     1.066     0.014                                    D4340  3   37 
     43.46     1.075     0.015                                    D4340  3   38 
     44.51     1.088     0.015                                    D4340  3   39 
     45.56     1.084     0.015                                    D4340  3   40 
     46.56     1.095     0.015                                    D4340  3   41 
     47.58     1.092     0.015                                    D4340  3   42 
     48.61     1.093     0.015                                    D4340  3   43 
     49.62     1.090     0.015                                    D4340  3   44 
     50.68     1.098     0.015                                    D4340  3   45 
     51.66     1.075     0.015                                    D4340  3   46 
     51.73     1.089     0.015                                    D4340  3   47 
     52.74     1.085     0.015                                    D4340  3   48 
     53.72     1.071     0.014                                    D4340  3   49 
     54.76     1.061     0.014                                    D4340  3   50 
     55.80     1.033     0.014                                    D4340  3   51 
     56.80     1.025     0.014                                    D4340  3   52 
     57.81     1.020     0.014                                    D4340  3   53 
     58.84     1.002     0.014                                    D4340  3   54 
     59.85     0.979     0.013                                    D4340  3   55 
     60.89     0.969     0.013                                    D4340  3   56 
     61.88     0.930     0.013                                    D4340  3   57 
     61.88     0.935     0.013                                    D4340  3   58 
     62.89     0.938     0.013                                    D4340  3   59 
     63.93     0.911     0.013                                    D4340  3   60 
     64.96     0.881     0.012                                    D4340  3   61 
     65.96     0.858     0.012                                    D4340  3   62 
     66.97     0.843     0.012                                    D4340  3   63 
     68.00     0.823     0.012                                    D4340  3   64 
     69.01     0.809     0.011                                    D4340  3   65 
     70.04     0.773     0.011                                    D4340  3   66 
     71.04     0.752     0.011                                    D4340  3   67 
     72.04     0.728     0.010                                    D4340  3   68 
     72.05     0.740     0.010                                    D4340  3   69 
     73.05     0.715     0.010                                    D4340  3   70 
     74.07     0.696     0.010                                    D4340  3   71 
     75.09     0.686     0.010                                    D4340  3   72 
