ENTRY            D6424   20231114                             D141D642400000001 
SUBENT        D6424001   20231114                             D141D642400100001 
BIB                 11         26                                 D642400100002 
TITLE      Inclusive alpha production for the 6Li + 51V system    D642400100003 
AUTHOR     (C.Joshi, H.Kumawat, V.V.Parkar, D.Dutta,              D642400100004 
           S.V.Suryanarayana, V.Jha, R.K.Singh, N.L.Singh,        D642400100005 
           S.Kailas)                                              D642400100006 
INSTITUTE  (3INDBDA,3INDTRM)                                      D642400100007 
           (3INDIND) Homi Bhabha Institute, Mumbai                D642400100008 
           (3INDIND) UM-DAE, Centre for Excellence in Basic       D642400100009 
              Science, Mumbai                                     D642400100010 
REFERENCE  (J,PR/C,105,034615,2022)                               D642400100011 
FACILITY   (VDGT,3INDTAT) 14-UD BARC-TIFR Pelletron-Linac facilityD642400100012 
SAMPLE     Self-supported 51V target of thickness 1.17 mg/cm2.    D642400100013 
DETECTOR   (TELES,SIBAR,SIBAR) A set of four solid state silicon  D642400100014 
           surface barrier telescope detectors in dE + E          D642400100015 
           arrangement.                                           D642400100016 
           (SIBAR) Two surface barrier detectors mounted at       D642400100017 
           +/- 10 degree for beam monitoring and absolute         D642400100018 
           normalization.                                         D642400100019 
METHOD     (EDE)                                                  D642400100020 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty D642400100021 
           -Statistical errors were ~ 1% at forward angles and    D642400100022 
            ~ 10% above 70 degree for 19.7, 22.7, and 25.7 MeV.   D642400100023 
            In case of 13.6 MeV the statistical error < 5%  at allD642400100024 
           angles.                                                D642400100025 
STATUS     (APRVD) Proof-read by H.Kumawat (2024-01-02)           D642400100026 
HISTORY    (20221103R) Data received from C.Joshi                 D642400100027 
           (20231114C) B.SATHEESH                                 D642400100028 
ENDBIB              26          0                                 D642400100029 
NOCOMMON             0          0                                 D642400100030 
ENDSUBENT           29          0                                 D642400199999 
SUBENT        D6424002   20231114                             D141D642400200001 
BIB                  2          3                                 D642400200002 
REACTION   (23-V-51(3-LI-6,X)2-HE-4,,DA/DE)                       D642400200003 
STATUS     (TABLE,,C.Joshi+,J,PR/C,105,034615,2022) Fig.2(a-f) +  D642400200004 
            Fig.3(a-f)                                            D642400200005 
ENDBIB               3          0                                 D642400200006 
NOCOMMON             0          0                                 D642400200007 
DATA                 5        274                                 D642400200008 
EN-CM      ANG        E          DATA       DATA-ERR              D642400200009 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D642400200010 
       19.7        30.         6.     0.1358     0.0272           D642400200011 
       19.7        30.         7.      0.989     0.0734           D642400200012 
       19.7        30.         8.     2.5268     0.1175           D642400200013 
       19.7        30.         9.     4.8689     0.1635           D642400200014 
       19.7        30.        10.     8.9063      0.222           D642400200015 
       19.7        30.        11.    12.8133     0.2674           D642400200016 
       19.7        30.        12.    19.3178     0.3305           D642400200017 
       19.7        30.        13.     21.611     0.3504           D642400200018 
       19.7        30.        14.    20.5785     0.3415           D642400200019 
       19.7        30.        15.    17.6007     0.3149           D642400200020 
       19.7        30.        16.    13.4437     0.2741           D642400200021 
       19.7        30.        17.    10.3572     0.2398           D642400200022 
       19.7        30.        18.     6.8686     0.1946           D642400200023 
       19.7        30.        19.     4.8797     0.1637           D642400200024 
       19.7        30.        20.     3.2061     0.1324           D642400200025 
       19.7        30.        21.     1.5596     0.0922           D642400200026 
       19.7        30.        22.      0.413     0.0474           D642400200027 
       19.7        30.        23.     0.2282     0.0352           D642400200028 
       19.7        30.        24.     0.1032     0.0237           D642400200029 
       19.7        30.        25.     0.0706     0.0196           D642400200030 
       19.7        30.        26.     0.0326     0.0133           D642400200031 
       19.7        30.        27.   5.43E-03   5.43E-03           D642400200032 
       19.7        50.         4.       0.11     0.0225           D642400200033 
       19.7        50.         5.       0.15     0.0258           D642400200034 
       19.7        50.         6.       0.27     0.0351           D642400200035 
       19.7        50.         7.       0.44     0.0447           D642400200036 
       19.7        50.         8.        1.1     0.0707           D642400200037 
       19.7        50.         9.       3.52     0.1271           D642400200038 
       19.7        50.        10.       6.17     0.1698           D642400200039 
       19.7        50.        11.      10.58     0.2254           D642400200040 
       19.7        50.        12.      14.86     0.2707           D642400200041 
       19.7        50.        13.      14.74     0.2695           D642400200042 
       19.7        50.        14.      13.86     0.2606           D642400200043 
       19.7        50.        15.      10.08     0.2197           D642400200044 
       19.7        50.        16.       6.38     0.1728           D642400200045 
       19.7        50.        17.       4.86     0.1501           D642400200046 
       19.7        50.        18.        3.2     0.1211           D642400200047 
       19.7        50.        19.       1.81     0.0908           D642400200048 
       19.7        50.        20.       1.06     0.0694           D642400200049 
       19.7        50.        21.       0.61     0.0525           D642400200050 
       19.7        50.        22.       0.21     0.0308           D642400200051 
       19.7        50.        23.       0.09     0.0206           D642400200052 
       19.7        50.        24.       0.08     0.0191           D642400200053 
       19.7        50.        25.       0.04     0.0135           D642400200054 
       19.7        50.        26.       0.01   6.35E-03           D642400200055 
       19.7        50.        27.       0.01   7.78E-03           D642400200056 
       19.7        50.        28.       0.01   6.35E-03           D642400200057 
       19.7        50.        29.       0.01   7.78E-03           D642400200058 
       19.7        60.         5.     0.0603     0.0132           D642400200059 
       19.7        60.         6.      0.342     0.0315           D642400200060 
       19.7        60.         7.      0.727     0.0461           D642400200061 
       19.7        60.         8.     1.6897     0.0709           D642400200062 
       19.7        60.         9.     3.3937     0.1023           D642400200063 
       19.7        60.        10.     5.5288     0.1334           D642400200064 
       19.7        60.        11.     7.7042     0.1608           D642400200065 
       19.7        60.        12.     9.3105     0.1793           D642400200066 
       19.7        60.        13.     9.5289     0.1818           D642400200067 
       19.7        60.        14.     7.7128     0.1609           D642400200068 
       19.7        60.        15.     5.3133     0.1305           D642400200069 
       19.7        60.        16.     3.6208     0.1059           D642400200070 
       19.7        60.        17.     2.3679     0.0846           D642400200071 
       19.7        60.        18.     1.7156     0.0715           D642400200072 
       19.7        60.        19.      1.023     0.0548           D642400200073 
       19.7        60.        20.     0.5402     0.0396           D642400200074 
       19.7        60.        21.     0.2874     0.0288           D642400200075 
       19.7        60.        22.     0.1063     0.0175           D642400200076 
       19.7        60.        23.     0.0374     0.0104           D642400200077 
       19.7        60.        24.     0.0259   8.62E-03           D642400200078 
       19.7        60.        25.     0.0172   7.04E-03           D642400200079 
       19.7        60.        26.     0.0115   5.75E-03           D642400200080 
       19.7        60.        27.   2.87E-03   2.87E-03           D642400200081 
       19.7        70.         6.     0.6367      0.044           D642400200082 
       19.7        70.         7.     2.5908     0.0942           D642400200083 
       19.7        70.         8.     3.9811     0.1213           D642400200084 
       19.7        70.         9.     5.0151     0.1398           D642400200085 
       19.7        70.        10.     6.1922     0.1598           D642400200086 
       19.7        70.        11.     5.4094     0.1466           D642400200087 
       19.7        70.        12.     5.0297       0.14           D642400200088 
       19.7        70.        13.     3.4086     0.1105           D642400200089 
       19.7        70.        14.     2.1614      0.085           D642400200090 
       19.7        70.        15.     1.4692     0.0686           D642400200091 
       19.7        70.        16.     0.9405      0.054           D642400200092 
       19.7        70.        17.     0.6017     0.0428           D642400200093 
       19.7        70.        18.     0.3388     0.0318           D642400200094 
       19.7        70.        19.     0.2074     0.0248           D642400200095 
       19.7        70.        20.     0.0643     0.0137           D642400200096 
       19.7        70.        21.      0.038     0.0105           D642400200097 
       19.7        70.        22.     0.0175   7.16E-03           D642400200098 
       19.7        70.        23.   5.84E-03   4.13E-03           D642400200099 
       19.7        70.        24.   5.84E-03   4.13E-03           D642400200100 
       19.7        70.        25.   8.76E-03   5.06E-03           D642400200101 
       19.7        90.         4.       0.12     0.0178           D642400200102 
       19.7        90.         5.       0.31     0.0296           D642400200103 
       19.7        90.         6.       0.77     0.0501           D642400200104 
       19.7        90.         7.       1.58     0.0802           D642400200105 
       19.7        90.         8.       2.36     0.1068           D642400200106 
       19.7        90.         9.       2.94     0.1261           D642400200107 
       19.7        90.        10.       3.07     0.1305           D642400200108 
       19.7        90.        11.       3.12     0.1324           D642400200109 
       19.7        90.        12.       2.61     0.1152           D642400200110 
       19.7        90.        13.       1.46     0.0758           D642400200111 
       19.7        90.        14.       0.99     0.0585           D642400200112 
       19.7        90.        15.       0.63     0.0443           D642400200113 
       19.7        90.        16.       0.35     0.0316           D642400200114 
       19.7        90.        17.       0.29     0.0281           D642400200115 
       19.7        90.        18.       0.15       0.02           D642400200116 
       19.7        90.        19.       0.08      0.014           D642400200117 
       19.7        90.        20.       0.05     0.0109           D642400200118 
       19.7        90.        21.       0.03   8.28E-03           D642400200119 
       19.7        90.        22.         0.   3.52E-03           D642400200120 
       19.7        90.        23.       0.01   4.98E-03           D642400200121 
       19.7        90.        24.         0.   2.48E-03           D642400200122 
       19.7       100.         5.     0.2267     0.0246           D642400200123 
       19.7       100.         6.     1.0748     0.0665           D642400200124 
       19.7       100.         7.     1.5623      0.088           D642400200125 
       19.7       100.         8.     2.1087     0.1116           D642400200126 
       19.7       100.         9.     2.6121      0.133           D642400200127 
       19.7       100.        10.     2.7005     0.1367           D642400200128 
       19.7       100.        11.     2.3491     0.1218           D642400200129 
       19.7       100.        12.      1.848     0.1004           D642400200130 
       19.7       100.        13.     1.2811     0.0757           D642400200131 
       19.7       100.        14.     0.7913     0.0536           D642400200132 
