ENTRY            D0443   20141125                             D096D044300000001 
SUBENT        D0443001   20141125                             D096D044300100001 
BIB                 11         28                                 D044300100002 
TITLE      Multistep direct mechanism in the (p,3He) inclusive    D044300100003 
            reaction on 59Co and 93Nb at incident energies        D044300100004 
            between 100 and 160 MeV                               D044300100005 
AUTHOR     (A.A.Cowley, J.Bezuidenhout, S.S.Dimitrova,            D044300100006 
            P.E.Hodgson, S.V.Fortsch, G.C.Hillhouse, N.M.Jacobs,  D044300100007 
            R.Neveling, F.D.Smit, J.A.Stander, G.F.Steyn,         D044300100008 
            J.J.Van Zyl)                                          D044300100009 
INSTITUTE  (3SAFSTL,3SAFITH,3BULBLA,2UK OXF)                      D044300100010 
REFERENCE  (J,PR/C,75,054617,2007)                                D044300100011 
           (J,PR/C,62,064605,2000) Data for 100 MeV               D044300100012 
           (C,2007TOKYO,2,473,2008) analysis                      D044300100013 
FACILITY   (CYCLO,3SAFITH)                                        D044300100014 
SAMPLE     Self-supporting metals of natural elements with        D044300100015 
            thicknesses in the range of 1 to 5 mg/cm2.            D044300100016 
DETECTOR   (TELES,SIBAR,SIBAR) Two detector telescopes, each      D044300100017 
            consisting of a 500 um Si surface barrier detector    D044300100018 
            followed by a NaI(Tl) crystal.                        D044300100019 
METHOD     (EDE)                                                  D044300100020 
ERR-ANALYS (ERR-SYS,,8.) Uncertainty in the thicknesses (<8%)     D044300100021 
           (ERR-S) Statistical error                              D044300100022 
STATUS     (TABLE) Data were received from Prof. A.A.Cowley       D044300100023 
           (APRVD) Entry was approved by Prof. A.A.Cowley         D044300100024 
HISTORY    (20070620C) SD                                         D044300100025 
           (20080407A) Second reference was added.                D044300100026 
           (20090306A) SD. Reference on publication in Conf.      D044300100027 
                       Proceedings was added.                     D044300100028 
           (20091021A) SD: correction in author's name was made.  D044300100029 
           (20141125A) On. REACTION corrected in 002-005          D044300100030 
ENDBIB              28          0                                 D044300100031 
NOCOMMON             0          0                                 D044300100032 
ENDSUBENT           31          0                                 D044300199999 
SUBENT        D0443002   20141125                             D096D044300200001 
BIB                  2          2                                 D044300200002 
REACTION   (27-CO-59(P,X)2-HE-3,,DA/DE)                           D044300200003 
HISTORY    (20141125A) On. REACTION (SF3,SF4) corrected           D044300200004 
ENDBIB               2          0                                 D044300200005 
NOCOMMON             0          0                                 D044300200006 
DATA                 5        521                                 D044300200007 
EN         ANG        E          DATA       ERR-S                 D044300200008 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D044300200009 
       100.        10.        34.       55.5       1.05           D044300200010 
       100.        10.        38.       53.3       1.02           D044300200011 
       100.        10.        42.       52.1       1.01           D044300200012 
       100.        10.        46.       51.1         1.           D044300200013 
       100.        10.        50.       50.6      0.999           D044300200014 
       100.        10.        54.       50.1      0.994           D044300200015 
       100.        10.        58.       48.3      0.976           D044300200016 
       100.        10.        62.       48.3      0.975           D044300200017 
       100.        10.        66.       48.4      0.977           D044300200018 
       100.        10.        70.       49.3      0.985           D044300200019 
       100.        10.        74.       56.8       1.06           D044300200020 
       100.        10.        78.       59.7       1.08           D044300200021 
       100.        10.        82.       69.1       1.17           D044300200022 
       100.        10.        86.       72.5        1.2           D044300200023 
       100.        10.        90.       53.6       1.03           D044300200024 
       100.        15.        34.       47.8      0.378           D044300200025 
       100.        15.        38.       45.5      0.368           D044300200026 
       100.        15.        42.       44.5      0.364           D044300200027 
       100.        15.        46.       43.1      0.358           D044300200028 
       100.        15.        50.       41.7      0.353           D044300200029 
       100.        15.        54.       40.9      0.349           D044300200030 
       100.        15.        58.       39.4      0.343           D044300200031 
       100.        15.        62.       37.8      0.336           D044300200032 
       100.        15.        66.       37.5      0.335           D044300200033 
       100.        15.        70.       38.4      0.338           D044300200034 
       100.        15.        74.       42.5      0.356           D044300200035 
       100.        15.        78.       41.8      0.353           D044300200036 
       100.        15.        82.        47.      0.374           D044300200037 
       100.        15.        86.        48.      0.378           D044300200038 
       100.        15.        90.       34.9      0.323           D044300200039 
       100.        20.        34.       44.3      0.255           D044300200040 
       100.        20.        38.       42.2      0.249           D044300200041 
       100.        20.        42.        41.      0.245           D044300200042 
       100.        20.        46.       39.4       0.24           D044300200043 
       100.        20.        50.       37.3      0.234           D044300200044 
       100.        20.        54.       35.3      0.228           D044300200045 
       100.        20.        58.        34.      0.223           D044300200046 
       100.        20.        62.       31.8      0.216           D044300200047 
       100.        20.        66.       31.1      0.213           D044300200048 
       100.        20.        70.       30.3      0.211           D044300200049 
       100.        20.        74.       32.1      0.217           D044300200050 
       100.        20.        78.       31.9      0.216           D044300200051 
       100.        20.        82.       30.7      0.212           D044300200052 
       100.        20.        86.       32.4      0.218           D044300200053 
       100.        20.        90.       22.9      0.183           D044300200054 
       100.        25.        34.       39.9      0.195           D044300200055 
       100.        25.        38.       37.1      0.188           D044300200056 
       100.        25.        42.       35.5      0.184           D044300200057 
       100.        25.        46.       33.3      0.178           D044300200058 
       100.        25.        50.       31.1      0.172           D044300200059 
       100.        25.        54.       29.2      0.167           D044300200060 
       100.        25.        58.        27.      0.161           D044300200061 
       100.        25.        62.       25.6      0.156           D044300200062 
       100.        25.        66.       23.8      0.151           D044300200063 
       100.        25.        70.       21.7      0.144           D044300200064 
       100.        25.        74.       21.3      0.142           D044300200065 
       100.        25.        78.       21.6      0.144           D044300200066 
       100.        25.        82.       18.3      0.132           D044300200067 
       100.        25.        86.       19.7      0.137           D044300200068 
       100.        25.        90.       14.2      0.116           D044300200069 
       100.        30.        34.       35.7      0.178           D044300200070 
       100.        30.        38.        33.      0.171           D044300200071 
       100.        30.        42.       30.6      0.165           D044300200072 
       100.        30.        46.       28.4      0.159           D044300200073 
       100.        30.        50.        26.      0.152           D044300200074 
       100.        30.        54.       24.1      0.146           D044300200075 
       100.        30.        58.       21.4      0.138           D044300200076 
       100.        30.        62.       19.3      0.131           D044300200077 
       100.        30.        66.       17.8      0.126           D044300200078 
       100.        30.        70.       16.1       0.12           D044300200079 
       100.        30.        74.       14.3      0.113           D044300200080 
       100.        30.        78.       13.2      0.108           D044300200081 
       100.        30.        82.       10.9     0.0984           D044300200082 
       100.        30.        86.       11.4      0.101           D044300200083 
       100.        30.        90.       6.87     0.0782           D044300200084 
       100.        35.        34.       30.4      0.144           D044300200085 
       100.        35.        38.       27.7      0.137           D044300200086 
       100.        35.        42.        25.      0.131           D044300200087 
       100.        35.        46.       22.8      0.124           D044300200088 
       100.        35.        50.       20.6      0.118           D044300200089 
       100.        35.        54.       18.2      0.111           D044300200090 
       100.        35.        58.       16.3      0.105           D044300200091 
       100.        35.        62.       14.4      0.099           D044300200092 
       100.        35.        66.       12.6     0.0926           D044300200093 
       100.        35.        70.       11.2     0.0874           D044300200094 
       100.        35.        74.        9.4       0.08           D044300200095 
       100.        35.        78.       7.72     0.0725           D044300200096 
       100.        35.        82.        6.6      0.067           D044300200097 
       100.        35.        86.       6.21      0.065           D044300200098 
       100.        35.        90.       3.16     0.0463           D044300200099 
       100.        40.        34.       26.6      0.122           D044300200100 
       100.        40.        38.       24.1      0.116           D044300200101 
       100.        40.        42.       21.1      0.109           D044300200102 
       100.        40.        46.       18.7      0.103           D044300200103 
