ENTRY            D0976   20200310                             D127D097600000001 
SUBENT        D0976001   20200310                             D127D097600100001 
BIB                 10         41                                 D097600100002 
TITLE      Neutron spectra from the Li(d,xn) and 7Li(d,n)         D097600100003 
           reactions initiated by 16.3 and 17 MeV deuterons       D097600100004 
AUTHOR     (P.Bem, V.Burjan, M.Gotz, M.Honusek, V.Kroha, J.Novak, D097600100005 
            S.P.Simakov, E.Simeckova)                             D097600100006 
INSTITUTE  (3CZRUJF)                                              D097600100007 
REFERENCE  (S,ISINN-12,168,2004)                                  D097600100008 
FACILITY   (CYCLO,3CZRUJF) External deuteron beam of U-120M.      D097600100009 
DETECTOR   (SCIN) Cylindrical NE213-equivalent liquid scintillatorD097600100010 
           BC5O1A BICRON 2inch in diameter and 2inch in length,   D097600100011 
           optically coupled to PMT Hamamatsu R329-02. To cover   D097600100012 
           dynamic range of registered neutron from 0.7 to 35 MeV,D097600100013 
           pulse-height spectra were registered at two values of  D097600100014 
           PMT supply (1500 and 2200 V).                          D097600100015 
           Detector response and efficiency were calculated using D097600100016 
           Monte Carlo code SCINFUL-R and tested by calibrated    D097600100017 
           Cf-252 neutron source.                                 D097600100018 
           Detector was housed in double-conical iron collimator  D097600100019 
           and in shield of iron, borated polyethylene and lead.  D097600100020 
METHOD     (PSD) Neutron spectrometer was operated with           D097600100021 
           two-dimensional n-g discrimination hardware. List-mode D097600100022 
           registration of pulse-height and monitoring events in  D097600100023 
           external buffer permits to perform dead-time and       D097600100024 
           systematical error corrections. Employing off-line     D097600100025 
           Gaussian analysis of two-dimensional pulse height      D097600100026 
           spectra, a complete discrimination between neutrons andD097600100027 
           photons was achieved above recoil proton energy 0.7MeV.D097600100028 
           Neutron spectra were obtained from pulse-height        D097600100029 
           distribution of recoils by unfolding code GRAVEL.      D097600100030 
           (BCINT) Absolute normalization was performed by        D097600100031 
           measuring of d-beam charge in electrically isolated    D097600100032 
           thick Li target or in Faraday cup which collected      D097600100033 
           deuterons passed thin Li target.                       D097600100034 
ERR-ANALYS (ERR-1,4.,6.) Uncertainty of detector efficiency   4-6%D097600100035 
           (ERR-2,,2.) Uncertainty of d-beam charge on target  <2%D097600100036 
           (ERR-3,,1.) Uncertainty of correction for dead-time <1%D097600100037 
           (ERR-S) Statistical uncertainty from pulse-height      D097600100038 
           statistics, errors of background subtraction and (n,g) D097600100039 
           discrimination procedure was generated by deconvolutionD097600100040 
           process and simulation of detector response function.  D097600100041 
STATUS     (TABLE) Data were provided by P.Bem in March 2020.     D097600100042 
HISTORY    (20200310C) Compiled by SS                             D097600100043 
ENDBIB              41          0                                 D097600100044 
NOCOMMON             0          0                                 D097600100045 
ENDSUBENT           44          0                                 D097600199999 
SUBENT        D0976002   20200319                             D127D097600200001 
BIB                  3         12                                 D097600200002 
REACTION   (3-LI-0(D,X)0-NN-1,,PY/DA/DE,,TT/CH)                   D097600200003 
SAMPLE     Deuteron beam was focused on thick Li-nat target of    D097600200004 
           40 mm in diameter and 6 mm overall thickness sufficientD097600200005 
           to stop incident deuterons. Target consisted of 1.5 mm D097600200006 
           metallic foil (density 0.534 g/cm2) pressurized into   D097600200007 
           stainless steel chamber (wall thickness of 2 mm)       D097600200008 
           in argon atmosphere.                                   D097600200009 
ADD-RES    Naohiko Otsuka (2020-03-21):                           D097600200010 
            There is an additional TTY data set at Ed=17.0 MeV    D097600200011 
            and 120 deg on Fig.4 of ISINN-12 Conf. Proc. p168.,   D097600200012 
            but Pavel Bem recommends not to include it in the     D097600200013 
            EXFOR entry.                                          D097600200014 
ENDBIB              12          0                                 D097600200015 
NOCOMMON             0          0                                 D097600200016 
DATA                 5        290                                 D097600200017 
EN         ANG        E          DATA       ERR-S                 D097600200018 
MEV        ADEG       MEV        P/MEVMUCSR P/MEVMUCSR            D097600200019 
       16.3         0.       3.25  3.000E+09  9.541E+06           D097600200020 
       16.3         0.       3.75  3.480E+09  8.882E+06           D097600200021 
       16.3         0.       4.25  4.150E+09  8.343E+06           D097600200022 
       16.3         0.       4.75  4.360E+09  7.892E+06           D097600200023 
       16.3         0.       5.25  3.930E+09  7.507E+06           D097600200024 
       16.3         0.       5.75  3.630E+09  7.173E+06           D097600200025 
       16.3         0.       6.25  3.590E+09  6.880E+06           D097600200026 
       16.3         0.       6.75  3.620E+09  6.620E+06           D097600200027 
       16.3         0.       7.25  3.660E+09  6.388E+06           D097600200028 
       16.3         0.       7.75  3.580E+09  6.178E+06           D097600200029 
       16.3         0.       8.25  3.250E+09  5.988E+06           D097600200030 
       16.3         0.       8.75  2.930E+09  5.815E+06           D097600200031 
       16.3         0.       9.25  2.550E+09  5.655E+06           D097600200032 
       16.3         0.       9.75  2.250E+09  5.508E+06           D097600200033 
       16.3         0.      10.25  1.970E+09  5.372E+06           D097600200034 
       16.3         0.      10.75  1.700E+09  5.246E+06           D097600200035 
       16.3         0.      11.25  1.380E+09  5.128E+06           D097600200036 
       16.3         0.      11.75  1.140E+09  5.018E+06           D097600200037 
       16.3         0.      12.25  9.330E+08  4.914E+06           D097600200038 
       16.3         0.      12.75  7.940E+08  4.817E+06           D097600200039 
       16.3         0.      13.25  6.490E+08  4.725E+06           D097600200040 
       16.3         0.      13.75  4.680E+08  4.638E+06           D097600200041 
       16.3         0.      14.25  2.770E+08  4.556E+06           D097600200042 
       16.3         0.      14.75  1.760E+08  4.478E+06           D097600200043 
       16.3         0.      15.25  1.180E+08  4.404E+06           D097600200044 
       16.3         0.      15.75  8.510E+07  4.334E+06           D097600200045 
       16.3         0.      16.25  6.590E+07  4.267E+06           D097600200046 
       16.3         0.      16.75  5.460E+07  4.203E+06           D097600200047 
       16.3         0.      17.25  6.030E+07  4.141E+06           D097600200048 
       16.3         0.      17.75  6.590E+07  4.083E+06           D097600200049 
       16.3         0.      18.25  6.720E+07  4.026E+06           D097600200050 
       16.3         0.      18.75  6.260E+07  3.972E+06           D097600200051 
       16.3         0.      19.25  5.920E+07  3.920E+06           D097600200052 
       16.3         0.      19.75  5.390E+07  3.870E+06           D097600200053 
       16.3         0.      20.25  4.780E+07  3.822E+06           D097600200054 
       16.3         0.      20.75  4.740E+07  3.776E+06           D097600200055 
       16.3         0.      21.25  4.100E+07  3.731E+06           D097600200056 
       16.3         0.      21.75  3.780E+07  3.688E+06           D097600200057 
       16.3         0.      22.25  3.530E+07  3.646E+06           D097600200058 
       16.3         0.      22.75  3.440E+07  3.606E+06           D097600200059 
       16.3         0.      23.25  3.730E+07  3.567E+06           D097600200060 
       16.3         0.      23.75  3.680E+07  3.529E+06           D097600200061 
       16.3         0.      24.25  3.980E+07  3.493E+06           D097600200062 
       16.3         0.      24.75  3.780E+07  3.457E+06           D097600200063 
       16.3         0.      25.25  3.870E+07  3.423E+06           D097600200064 
       16.3         0.      25.75  3.630E+07  3.390E+06           D097600200065 
       16.3         0.      26.25  3.200E+07  3.357E+06           D097600200066 
       16.3         0.      26.75  2.600E+07  3.326E+06           D097600200067 
       16.3         0.      27.25  1.990E+07  3.295E+06           D097600200068 
       16.3         0.      27.75  1.490E+07  3.265E+06           D097600200069 
       16.3         0.      28.25  8.600E+06  3.236E+06           D097600200070 
       16.3         0.      28.75  5.600E+06  3.208E+06           D097600200071 
       16.3         0.      29.25  3.560E+06  3.180E+06           D097600200072 
       16.3         0.      29.75  2.710E+06  3.153E+06           D097600200073 
       16.3         0.      30.25  2.180E+06  3.127E+06           D097600200074 
       16.3         0.      30.75  1.600E+06  3.102E+06           D097600200075 
       16.3         0.      31.25  1.110E+06  3.077E+06           D097600200076 
       16.3         0.      31.75  6.760E+05  3.053E+06           D097600200077 
       16.3         0.      32.25  5.620E+05  3.029E+06           D097600200078 
       16.3         0.      32.75  4.350E+05  3.006E+06           D097600200079 
       16.3         0.      33.25  3.340E+05  2.983E+06           D097600200080 
       16.3         0.      33.75  2.660E+05  2.961E+06           D097600200081 
       16.3         0.      34.25  2.420E+05  2.939E+06           D097600200082 
       16.3         0.      34.75  2.840E+05  2.918E+06           D097600200083 
       17.0         0.       3.25  3.350E+09  1.869E+07           D097600200084 
       17.0         0.       3.75  3.820E+09  1.740E+07           D097600200085 
       17.0         0.       4.25  4.310E+09  1.635E+07           D097600200086 
       17.0         0.       4.75  4.510E+09  1.546E+07           D097600200087 
       17.0         0.       5.25  4.490E+09  1.471E+07           D097600200088 
       17.0         0.       5.75  4.140E+09  1.405E+07           D097600200089 
       17.0         0.       6.25  3.750E+09  1.348E+07           D097600200090 
       17.0         0.       6.75  3.920E+09  1.297E+07           D097600200091 
       17.0         0.       7.25  4.320E+09  1.252E+07           D097600200092 
       17.0         0.       7.75  4.030E+09  1.211E+07           D097600200093 
       17.0         0.       8.25  3.590E+09  1.173E+07           D097600200094 
       17.0         0.       8.75  3.590E+09  1.139E+07           D097600200095 
       17.0         0.       9.25  3.460E+09  1.108E+07           D097600200096 
       17.0         0.       9.75  2.940E+09  1.079E+07           D097600200097 
       17.0         0.      10.25  2.440E+09  1.053E+07           D097600200098 
       17.0         0.      10.75  2.040E+09  1.028E+07           D097600200099 
       17.0         0.      11.25  1.780E+09  1.005E+07           D097600200100 
       17.0         0.      11.75  1.580E+09  9.831E+06           D097600200101 
       17.0         0.      12.25  1.320E+09  9.629E+06           D097600200102 
       17.0         0.      12.75  1.050E+09  9.438E+06           D097600200103 
       17.0         0.      13.25  8.640E+08  9.258E+06           D097600200104 
       17.0         0.      13.75  6.710E+08  9.088E+06           D097600200105 
       17.0         0.      14.25  4.620E+08  8.927E+06           D097600200106 
       17.0         0.      14.75  3.290E+08  8.775E+06           D097600200107 
       17.0         0.      15.25  2.330E+08  8.630E+06           D097600200108 
       17.0         0.      15.75  1.550E+08  8.492E+06           D097600200109 
       17.0         0.      16.25  9.769E+07  8.360E+06           D097600200110 
       17.0         0.      16.75  6.551E+07  8.234E+06           D097600200111 
       17.0         0.      17.25  6.185E+07  8.114E+06           D097600200112 
       17.0         0.      17.75  6.491E+07  7.999E+06           D097600200113 
       17.0         0.      18.25  6.603E+07  7.889E+06           D097600200114 
       17.0         0.      18.75  6.512E+07  7.783E+06           D097600200115 
       17.0         0.      19.25  6.555E+07  7.681E+06           D097600200116 
       17.0         0.      19.75  5.982E+07  7.583E+06           D097600200117 
       17.0         0.      20.25  5.384E+07  7.489E+06           D097600200118 
       17.0         0.      20.75  5.385E+07  7.398E+06           D097600200119 
       17.0         0.      21.25  4.543E+07  7.311E+06           D097600200120 
       17.0         0.      21.75  4.130E+07  7.226E+06           D097600200121 
       17.0         0.      22.25  3.714E+07  7.144E+06           D097600200122 
       17.0         0.      22.75  3.451E+07  7.065E+06           D097600200123 
       17.0         0.      23.25  3.412E+07  6.989E+06           D097600200124 
       17.0         0.      23.75  3.293E+07  6.915E+06           D097600200125 
       17.0         0.      24.25  3.814E+07  6.843E+06           D097600200126 
       17.0         0.      24.75  3.865E+07  6.774E+06           D097600200127 
       17.0         0.      25.25  4.080E+07  6.707E+06           D097600200128 
       17.0         0.      25.75  4.007E+07  6.641E+06           D097600200129 
       17.0         0.      26.25  3.543E+07  6.578E+06           D097600200130 
       17.0         0.      26.75  3.159E+07  6.516E+06           D097600200131 
       17.0         0.      27.25  2.825E+07  6.456E+06           D097600200132 
       17.0         0.      27.75  2.857E+07  6.397E+06           D097600200133 
       17.0         0.      28.25  2.634E+07  6.340E+06           D097600200134 
       17.0         0.      28.75  2.636E+07  6.285E+06           D097600200135 
       17.0         0.      29.25  2.481E+07  6.231E+06           D097600200136 
       17.0         0.      29.75  1.844E+07  6.179E+06           D097600200137 
       17.0         0.      30.25  1.156E+07  6.127E+06           D097600200138 
       17.0         0.      30.75  7.129E+06  6.077E+06           D097600200139 
       17.0         0.      31.25  4.354E+06  6.028E+06           D097600200140 
       17.0         0.      31.75  2.337E+06  5.981E+06           D097600200141 
       17.0         0.      32.25  1.344E+06  5.934E+06           D097600200142 
       17.0         0.      32.75  7.774E+05  5.889E+06           D097600200143 
       17.0         0.      33.25  4.481E+05  5.844E+06           D097600200144 
       17.0         0.      33.75  2.222E+05  5.801E+06           D097600200145 
       17.0         0.      34.25  1.270E+05  5.758E+06           D097600200146 
       17.0         0.      34.75  1.357E+05  5.717E+06           D097600200147 
       17.0         0.      35.25  2.933E+05  5.676E+06           D097600200148 
       17.0         0.      35.75  1.218E+06  5.636E+06           D097600200149 
       17.0        30.       3.25  1.070E+09  1.636E+07           D097600200150 
       17.0        30.       3.75  1.200E+09  1.523E+07           D097600200151 
       17.0        30.       4.25  1.310E+09  1.431E+07           D097600200152 
       17.0        30.       4.75  1.200E+09  1.354E+07           D097600200153 
       17.0        30.       5.25  1.010E+09  1.287E+07           D097600200154 
       17.0        30.       5.75  8.510E+08  1.230E+07           D097600200155 
       17.0        30.       6.25  7.300E+08  1.180E+07           D097600200156 
       17.0        30.       6.75  6.540E+08  1.135E+07           D097600200157 
       17.0        30.       7.25  6.210E+08  1.096E+07           D097600200158 
       17.0        30.       7.75  5.750E+08  1.060E+07           D097600200159 
       17.0        30.       8.25  5.180E+08  1.027E+07           D097600200160 
       17.0        30.       8.75  4.670E+08  9.973E+06           D097600200161 
       17.0        30.       9.25  4.100E+08  9.700E+06           D097600200162 
       17.0        30.       9.75  3.600E+08  9.448E+06           D097600200163 
       17.0        30.      10.25  3.120E+08  9.214E+06           D097600200164 
       17.0        30.      10.75  2.710E+08  8.997E+06           D097600200165 
       17.0        30.      11.25  2.310E+08  8.795E+06           D097600200166 
       17.0        30.      11.75  1.990E+08  8.606E+06           D097600200167 
       17.0        30.      12.25  1.710E+08  8.429E+06           D097600200168 
       17.0        30.      12.75  1.490E+08  8.262E+06           D097600200169 
       17.0        30.      13.25  1.340E+08  8.104E+06           D097600200170 
       17.0        30.      13.75  1.090E+08  7.956E+06           D097600200171 
       17.0        30.      14.25  7.930E+07  7.815E+06           D097600200172 
       17.0        30.      14.75  6.619E+07  7.681E+06           D097600200173 
       17.0        30.      15.25  5.914E+07  7.554E+06           D097600200174 
       17.0        30.      15.75  5.353E+07  7.433E+06           D097600200175 
       17.0        30.      16.25  5.001E+07  7.318E+06           D097600200176 
       17.0        30.      16.75  4.830E+07  7.208E+06           D097600200177 
       17.0        30.      17.25  5.582E+07  7.103E+06           D097600200178 
       17.0        30.      17.75  6.195E+07  7.002E+06           D097600200179 
       17.0        30.      18.25  6.521E+07  6.905E+06           D097600200180 
       17.0        30.      18.75  6.170E+07  6.813E+06           D097600200181 
       17.0        30.      19.25  5.893E+07  6.724E+06           D097600200182 
       17.0        30.      19.75  5.474E+07  6.638E+06           D097600200183 
       17.0        30.      20.25  5.381E+07  6.556E+06           D097600200184 
       17.0        30.      20.75  5.609E+07  6.476E+06           D097600200185 
       17.0        30.      21.25  5.257E+07  6.399E+06           D097600200186 
       17.0        30.      21.75  5.218E+07  6.325E+06           D097600200187 
       17.0        30.      22.25  5.252E+07  6.254E+06           D097600200188 
       17.0        30.      22.75  5.006E+07  6.185E+06           D097600200189 
       17.0        30.      23.25  4.720E+07  6.118E+06           D097600200190 
       17.0        30.      23.75  4.168E+07  6.053E+06           D097600200191 
       17.0        30.      24.25  4.022E+07  5.991E+06           D097600200192 
       17.0        30.      24.75  3.811E+07  5.930E+06           D097600200193 
       17.0        30.      25.25  3.750E+07  5.871E+06           D097600200194 
       17.0        30.      25.75  3.216E+07  5.813E+06           D097600200195 
       17.0        30.      26.25  2.388E+07  5.758E+06           D097600200196 
       17.0        30.      26.75  1.711E+07  5.704E+06           D097600200197 
       17.0        30.      27.25  1.262E+07  5.651E+06           D097600200198 
       17.0        30.      27.75  8.646E+06  5.600E+06           D097600200199 
       17.0        30.      28.25  5.592E+06  5.550E+06           D097600200200 
       17.0        30.      28.75  3.923E+06  5.502E+06           D097600200201 
       17.0        30.      29.25  2.702E+06  5.455E+06           D097600200202 
       17.0        30.      29.75  2.159E+06  5.409E+06           D097600200203 
       17.0        30.      30.25  1.849E+06  5.364E+06           D097600200204 
       17.0        30.      30.75  1.788E+06  5.320E+06           D097600200205 
       17.0        30.      31.25  1.955E+06  5.277E+06           D097600200206 
       17.0        30.      31.75  1.820E+06  5.235E+06           D097600200207 
       17.0        60.       3.25  6.980E+08  1.403E+07           D097600200208 
       17.0        60.       3.75  6.950E+08  1.306E+07           D097600200209 
       17.0        60.       4.25  6.600E+08  1.227E+07           D097600200210 
       17.0        60.       4.75  6.050E+08  1.161E+07           D097600200211 
       17.0        60.       5.25  4.780E+08  1.104E+07           D097600200212 
       17.0        60.       5.75  3.570E+08  1.055E+07           D097600200213 
       17.0        60.       6.25  2.980E+08  1.012E+07           D097600200214 
       17.0        60.       6.75  2.640E+08  9.738E+06           D097600200215 
       17.0        60.       7.25  2.360E+08  9.396E+06           D097600200216 
       17.0        60.       7.75  2.100E+08  9.088E+06           D097600200217 
       17.0        60.       8.25  1.790E+08  8.808E+06           D097600200218 
       17.0        60.       8.75  1.570E+08  8.553E+06           D097600200219 
       17.0        60.       9.25  1.340E+08  8.319E+06           D097600200220 
       17.0        60.       9.75  1.140E+08  8.102E+06           D097600200221 
       17.0        60.      10.25  9.537E+07  7.902E+06           D097600200222 
       17.0        60.      10.75  8.157E+07  7.716E+06           D097600200223 
       17.0        60.      11.25  7.154E+07  7.543E+06           D097600200224 
       17.0        60.      11.75  6.933E+07  7.381E+06           D097600200225 
       17.0        60.      12.25  6.808E+07  7.229E+06           D097600200226 
       17.0        60.      12.75  6.498E+07  7.085E+06           D097600200227 
       17.0        60.      13.25  6.062E+07  6.950E+06           D097600200228 
       17.0        60.      13.75  5.726E+07  6.823E+06           D097600200229 
       17.0        60.      14.25  5.309E+07  6.702E+06           D097600200230 
       17.0        60.      14.75  5.279E+07  6.588E+06           D097600200231 
       17.0        60.      15.25  5.064E+07  6.479E+06           D097600200232 
       17.0        60.      15.75  4.471E+07  6.375E+06           D097600200233 
       17.0        60.      16.25  4.165E+07  6.276E+06           D097600200234 
       17.0        60.      16.75  3.747E+07  6.182E+06           D097600200235 
       17.0        60.      17.25  3.460E+07  6.092E+06           D097600200236 
       17.0        60.      17.75  3.864E+07  6.005E+06           D097600200237 
       17.0        60.      18.25  4.375E+07  5.922E+06           D097600200238 
       17.0        60.      18.75  4.238E+07  5.843E+06           D097600200239 
       17.0        60.      19.25  3.569E+07  5.766E+06           D097600200240 
       17.0        60.      19.75  3.364E+07  5.693E+06           D097600200241 
       17.0        60.      20.25  3.366E+07  5.622E+06           D097600200242 
       17.0        60.      20.75  3.574E+07  5.554E+06           D097600200243 
       17.0        60.      21.25  3.494E+07  5.488E+06           D097600200244 
       17.0        60.      21.75  3.494E+07  5.425E+06           D097600200245 
       17.0        60.      22.25  3.306E+07  5.364E+06           D097600200246 
       17.0        60.      22.75  2.963E+07  5.304E+06           D097600200247 
       17.0        60.      23.25  2.707E+07  5.247E+06           D097600200248 
       17.0        60.      23.75  2.283E+07  5.191E+06           D097600200249 
       17.0        60.      24.25  1.908E+07  5.138E+06           D097600200250 
       17.0        60.      24.75  1.474E+07  5.085E+06           D097600200251 
       17.0        60.      25.25  1.211E+07  5.035E+06           D097600200252 
       17.0        60.      25.75  8.992E+06  4.986E+06           D097600200253 
       17.0        60.      26.25  6.296E+06  4.938E+06           D097600200254 
       17.0        60.      26.75  4.814E+06  4.892E+06           D097600200255 
       17.0        60.      27.25  4.107E+06  4.847E+06           D097600200256 
       17.0        60.      27.75  3.348E+06  4.803E+06           D097600200257 
       17.0        60.      28.25  2.763E+06  4.760E+06           D097600200258 
       17.0        60.      28.75  2.571E+06  4.718E+06           D097600200259 
       17.0        75.       3.25  5.880E+08  1.387E+07           D097600200260 
       17.0        75.       3.75  5.840E+08  1.291E+07           D097600200261 
       17.0        75.       4.25  5.380E+08  1.213E+07           D097600200262 
       17.0        75.       4.75  4.700E+08  1.147E+07           D097600200263 
       17.0        75.       5.25  3.570E+08  1.091E+07           D097600200264 
       17.0        75.       5.75  2.490E+08  1.043E+07           D097600200265 
       17.0        75.       6.25  1.970E+08  1.000E+07           D097600200266 
       17.0        75.       6.75  1.720E+08  9.623E+06           D097600200267 
       17.0        75.       7.25  1.590E+08  9.285E+06           D097600200268 
       17.0        75.       7.75  1.470E+08  8.980E+06           D097600200269 
       17.0        75.       8.25  1.230E+08  8.704E+06           D097600200270 
       17.0        75.       8.75  1.030E+08  8.452E+06           D097600200271 
       17.0        75.       9.25  7.984E+07  8.220E+06           D097600200272 
       17.0        75.       9.75  6.663E+07  8.006E+06           D097600200273 
       17.0        75.      10.25  6.015E+07  7.809E+06           D097600200274 
       17.0        75.      10.75  5.605E+07  7.625E+06           D097600200275 
       17.0        75.      11.25  5.233E+07  7.454E+06           D097600200276 
       17.0        75.      11.75  5.057E+07  7.293E+06           D097600200277 
       17.0        75.      12.25  5.038E+07  7.143E+06           D097600200278 
       17.0        75.      12.75  5.142E+07  7.001E+06           D097600200279 
       17.0        75.      13.25  5.246E+07  6.868E+06           D097600200280 
       17.0        75.      13.75  5.405E+07  6.742E+06           D097600200281 
       17.0        75.      14.25  5.313E+07  6.623E+06           D097600200282 
       17.0        75.      14.75  5.319E+07  6.509E+06           D097600200283 
       17.0        75.      15.25  5.012E+07  6.402E+06           D097600200284 
       17.0        75.      15.75  4.536E+07  6.299E+06           D097600200285 
       17.0        75.      16.25  4.291E+07  6.202E+06           D097600200286 
       17.0        75.      16.75  3.814E+07  6.108E+06           D097600200287 
       17.0        75.      17.25  3.447E+07  6.019E+06           D097600200288 
       17.0        75.      17.75  3.597E+07  5.934E+06           D097600200289 
       17.0        75.      18.25  3.939E+07  5.852E+06           D097600200290 
       17.0        75.      18.75  3.767E+07  5.774E+06           D097600200291 
       17.0        75.      19.25  3.004E+07  5.698E+06           D097600200292 
       17.0        75.      19.75  2.764E+07  5.625E+06           D097600200293 
       17.0        75.      20.25  2.633E+07  5.556E+06           D097600200294 
       17.0        75.      20.75  2.555E+07  5.488E+06           D097600200295 
       17.0        75.      21.25  2.279E+07  5.423E+06           D097600200296 
       17.0        75.      21.75  2.128E+07  5.361E+06           D097600200297 
       17.0        75.      22.25  1.878E+07  5.300E+06           D097600200298 
       17.0        75.      22.75  1.632E+07  5.241E+06           D097600200299 
       17.0        75.      23.25  1.447E+07  5.185E+06           D097600200300 
       17.0        75.      23.75  1.145E+07  5.130E+06           D097600200301 
       17.0        75.      24.25  8.732E+06  5.077E+06           D097600200302 
       17.0        75.      24.75  6.119E+06  5.025E+06           D097600200303 
