ENTRY            D0071   20040203                             0000D007100000001 
SUBENT        D0071001   20040203                             0000D007100100001 
BIB                 12         20                                 D007100100002 
TITLE      The (d,a) reaction on 19F                              D007100100003 
AUTHOR     (A.Z.El-Behay,M.A.Farouk,M.H.Nassef,I.I.Zaloubovsky)   D007100100004 
INSTITUTE  (3EGYCAI)                                              D007100100005 
REFERENCE  (J,NP,61,282,1965)                                     D007100100006 
FACILITY   (VDG)                                                  D007100100007 
DETECTOR   (SIBAR) Two n-silicon semiconductor detectors which    D007100100008 
           were able to rotate independently in the horizontal    D007100100009 
           plane from 20 to 160 degr. One of the detectors was    D007100100010 
           used as a monitor and was placed at the angle of       D007100100011 
           150 degr. with respect to beam.                        D007100100012 
SAMPLE     A layer of Ca F2 evaporated on a thin silver backing   D007100100013 
           aerved as a target. The thickness of the target was    D007100100014 
           about 0.7 mg/cm2.                                      D007100100015 
MONITOR    (20-CA-0(D,EL)20-CA-0,,DA)                             D007100100016 
           (47-AG-0(D,EL)47-AG-0,,DA)                             D007100100017 
EN-SEC     (E-LVL,8-O-17) The values for the levels compiler      D007100100018 
           took from the DB ENSDF. They are absent in the article D007100100019 
STATUS     (CURVE) Digitized curves from the article              D007100100020 
ERR-ANALYS (ERR-DIG)   Digitizing error                           D007100100021 
HISTORY    (20040203C) SD                                         D007100100022 
ENDBIB              20          0                                 D007100100023 
NOCOMMON             0          0                                 D007100100024 
ENDSUBENT           23          0                                 D007100199999 
SUBENT        D0071002   20040203                             0000D007100200001 
BIB                  3          5                                 D007100200002 
REACTION   (9-F-19(D,A)8-O-17,PAR,DA)                             D007100200003 
ERR-ANALYS (EN-ERR-DIG)    Digitizing error                       D007100200004 
           (DATA-ERR) Experimental error                          D007100200005 
STATUS     (CURVE) fig. 3,4 The data are given as function of     D007100200006 
           the energy                                             D007100200007 
ENDBIB               5          0                                 D007100200008 
COMMON               2          3                                 D007100200009 
EN-ERR-DIG ERR-DIG                                                D007100200010 
MEV        MB/SR                                                  D007100200011 
 0.002        0.005                                               D007100200012 
ENDCOMMON            3          0                                 D007100200013 
DATA                 5        405                                 D007100200014 
ANG        E-LVL      EN         DATA       DATA-ERR              D007100200015 
ADEG       MEV        MEV        MB/SR      MB/SR                 D007100200016 
 30.000     0.0000    0.99848    0.45540    0.68661E-01           D007100200017 
 30.000     0.0000     1.0208    0.46730    0.81144E-01           D007100200018 
 30.000     0.0000     1.0479    0.61016    0.81144E-01           D007100200019 
 30.000     0.0000     1.0748    0.66563    0.87386E-01           D007100200020 
 30.000     0.0000     1.0992    0.65874    0.87386E-01           D007100200021 
 30.000     0.0000     1.1240    0.75797    0.87386E-01           D007100200022 
 30.000     0.0000     1.1501    0.60122    0.74902E-01           D007100200023 
 30.000     0.0000     1.1745    0.56312    0.68719E-01           D007100200024 
 30.000     0.0000     1.1944    0.55011    0.87386E-01           D007100200025 
 30.000     0.0000     1.2184    0.41214    0.81144E-01           D007100200026 
 30.000     0.0000     1.2474    0.43634    0.87445E-01           D007100200027 
 30.000     0.0000     1.2742    0.47309    0.81144E-01           D007100200028 
 30.000     0.0000     1.2986    0.44123    0.81203E-01           D007100200029 
 30.000     0.0000     1.3253    0.45301    0.93628E-01           D007100200030 
 30.000     0.0000     1.3498    0.46485    0.81144E-01           D007100200031 
 30.000     0.0000     1.3765    0.47039    0.74902E-01           D007100200032 
 30.000     0.0000     1.3989    0.51974    0.93628E-01           D007100200033 
 30.000     0.0000     1.4234    0.55030    0.93628E-01           D007100200034 
 30.000     0.0000     1.4505    0.67443    0.74961E-01           D007100200035 
 30.000     0.0000     1.4776    0.77984    0.81262E-01           D007100200036 
 30.000     0.0000     1.4995    0.69811    0.74902E-01           D007100200037 
 30.000     0.0000     1.5243    0.80982    0.93628E-01           D007100200038 
 30.000     0.0000     1.5517     1.0151    0.81144E-01           D007100200039 
 30.000     0.0000     1.5767     1.1705    0.74961E-01           D007100200040 
 30.000     0.0000     1.5993     1.2823    0.74902E-01           D007100200041 
 30.000     0.0000     1.6245     1.5063    0.99870E-01           D007100200042 
 30.000     0.0000     1.6492     1.5868    0.93569E-01           D007100200043 
 30.000     0.0000     1.6740     1.6736    0.10611               D007100200044 
 30.000     0.0000     1.7009     1.7478    0.11235               D007100200045 
 30.000     0.0000     1.7217     1.9782    0.11235               D007100200046 
