ENTRY            D7019   20170612                             D111D7019  0    1 
SUBENT        D7019001   20170612                             D111D7019  1    1 
BIB                 11         17                                 D7019  1    2 
TITLE      A study on the 9Be(p,g)10B reaction at low energies    D7019  1    3 
AUTHOR     (Y.H.Park, B.N.Sung, C.B.Moon, J.W.Kwon, J.C.Kim,      D7019  1    4 
            H.C.Bhang, W.H.Chung, S.W.Cho)                        D7019  1    5 
INSTITUTE  (3KORNSU,3KORPNU,3KORKAE)                              D7019  1    6 
REFERENCE  (J,NPSM,29,430,1989)                                   D7019  1    7 
FACILITY   (VDG,3KORNSU)                                          D7019  1    8 
SAMPLE     Beryllium (purity:99.5%, thickness:168 ug/cm2)         D7019  1    9 
METHOD     (BCINT) Digital current integrator                     D7019  1   10 
           (GSPEC)                                                D7019  1   11 
DETECTOR   (GE) Reverse electrode coaxial germanium detector      D7019  1   12 
             (RE-Ge) for cross section and branching ratio        D7019  1   13 
           (NAICR) 3 in x 3 in NaI(Tl) scintillation detector     D7019  1   14 
             to determine absolute efficiency of RE-Ge detector   D7019  1   15 
ERR-ANALYS (DATA-ERR) Standard error.                             D7019  1   16 
            No inforomation on source of uncertainties            D7019  1   17 
STATUS     (TABLE) Table 1 and 2 of J.New Phys.(KPS),29,430,1989  D7019  1   18 
HISTORY    (20170612C) S.C.Yang                                   D7019  1   19 
ENDBIB              17          0                                 D7019  1   20 
NOCOMMON             0          0                                 D7019  1   21 
ENDSUBENT           20          0                                 D7019  199999 
SUBENT        D7019002   20170612                             D111D7019  2    1 
BIB                  1          1                                 D7019  2    2 
REACTION   (4-BE-9(P,G)5-B-10,PAR,SIG)                            D7019  2    3 
ENDBIB               1          0                                 D7019  2    4 
NOCOMMON             0          0                                 D7019  2    5 
DATA                 6         59                                 D7019  2    6 
EN         E          DATA       DATA-ERR   LVL-INI    LVL-FIN    D7019  2    7 
KEV        MEV        MICRO-B    MICRO-B    MEV        MEV        D7019  2    8 
221.       6.16       0.38       0.06       6.88       0.72       D7019  2    9 
221.       5.14       0.39       0.20       6.88       1.74       D7019  2   10 
221.       4.73       0.20       0.03       6.88       2.15       D7019  2   11 
233.       6.16       0.56       0.07       6.88       0.72       D7019  2   12 
233.       5.14       0.42       0.05       6.88       1.74       D7019  2   13 
233.       4.73       0.29       0.03       6.88       2.15       D7019  2   14 
245.       6.16       0.64       0.09       6.88       0.72       D7019  2   15 
245.       5.14       0.78       0.10       6.88       1.74       D7019  2   16 
245.       4.73       0.52       0.07       6.88       2.15       D7019  2   17 
260.       6.16       1.10       0.15       6.88       0.72       D7019  2   18 
260.       5.14       1.38       0.17       6.88       1.74       D7019  2   19 
260.       4.73       0.87       0.12       6.88       2.15       D7019  2   20 
275.       6.16       1.48       0.20       6.88       0.72       D7019  2   21 
275.       5.14       1.93       0.23       6.88       1.74       D7019  2   22 
275.       4.73       0.98       0.14       6.88       2.15       D7019  2   23 
289.       6.16       2.03       0.28       6.88       0.72       D7019  2   24 
289.       5.14       3.21       0.38       6.88       1.74       D7019  2   25 
289.       4.73       1.52       0.21       6.88       2.15       D7019  2   26 
307.       6.16       3.03       0.41       6.88       0.72       D7019  2   27 
307.       5.14       4.17       0.50       6.88       1.74       D7019  2   28 
307.       4.73       1.72       0.24       6.88       2.15       D7019  2   29 
323.       6.16       3.22       0.43       6.88       0.72       D7019  2   30 
323.       5.14       5.43       0.64       6.88       1.74       D7019  2   31 
323.       4.73       2.23       0.30       6.88       2.15       D7019  2   32 
334.       6.16       4.26       0.56       6.88       0.72       D7019  2   33 
334.       5.14       5.04       0.60       6.88       1.74       D7019  2   34 
334.       4.73       2.23       0.31       6.88       2.15       D7019  2   35 
340.       6.88       1.13       0.15       6.88       0.         D7019  2   36 
