ENTRY            D0154   20040326                             0000D015400000001 
SUBENT        D0154001   20040326                             0000D015400100001 
BIB                  9         11                                 D015400100002 
TITLE      Microanalysis of fluorine by nuclear reactions         D015400100003 
           II. 19F+d reactions                                    D015400100004 
AUTHOR     (B.Maurel,G.Amsel,D.Dieumegard)                        D015400100005 
INSTITUTE  (2FR ENS,2FR FAR)                                      D015400100006 
REFERENCE  (J,NIM,191,349,1981)                                   D015400100007 
FACILITY   (ACCEL,2FR ENS)                                        D015400100008 
DETECTOR   (SIBAR)                                                D015400100009 
ERR-ANALYS (EN-ERR-DIG) Digitizing error                          D015400100010 
           (ERR-DIG)    Digitizing error                          D015400100011 
STATUS     (CURVE)Curves from the article                         D015400100012 
HISTORY    (20040326C) SD                                         D015400100013 
ENDBIB              11          0                                 D015400100014 
COMMON               3          3                                 D015400100015 
ANG        EN-ERR-DIG ERR-DIG                                     D015400100016 
ADEG       MEV        MB/SR                                       D015400100017 
  150.      0.003       0.0004                                    D015400100018 
ENDCOMMON            3          0                                 D015400100019 
ENDSUBENT           18          0                                 D015400199999 
SUBENT        D0154002   20040326                             0000D015400200001 
BIB                  3          7                                 D015400200002 
REACTION   (9-F-19(D,A)8-O-17,PAR,DA)                             D015400200003 
SAMPLE     LiF targets on tantalum backing containing 9.3 mu-g/cm2D015400200004 
           19F were used for Aplha1 registration above 1.5 MeV forD015400200005 
           Alpha0 registration and a CaF2 taget on tantalum       D015400200006 
           backing containing 95 mu-g/cm2 19F was used for Alpha1 D015400200007 
           registration below 1.5 MeV                             D015400200008 
STATUS     (CURVE) fig.2,3                                        D015400200009 
ENDBIB               7          0                                 D015400200010 
NOCOMMON             0          0                                 D015400200011 
DATA                 3        209                                 D015400200012 
E-LVL      EN         DATA                                        D015400200013 
MEV        MEV        MB/SR                                       D015400200014 
 0.0000    0.71141    0.10112E-01                                 D015400200015 
 0.0000    0.71994    0.15937E-01                                 D015400200016 
 0.0000    0.72916    0.10599E-01                                 D015400200017 
 0.0000    0.73761    0.17579E-01                                 D015400200018 
 0.0000    0.75150    0.18815E-01                                 D015400200019 
 0.0000    0.76803    0.18525E-01                                 D015400200020 
 0.0000    0.78336    0.17073E-01                                 D015400200021 
 0.0000    0.78676    0.23639E-01                                 D015400200022 
 0.0000    0.80199    0.23726E-01                                 D015400200023 
 0.0000    0.81064    0.27627E-01                                 D015400200024 
 0.0000    0.82245    0.21534E-01                                 D015400200025 
 0.0000    0.82853    0.25805E-01                                 D015400200026 
 0.0000    0.84269    0.22805E-01                                 D015400200027 
 0.0000    0.84994    0.28623E-01                                 D015400200028 
 0.0000    0.86158    0.25225E-01                                 D015400200029 
 0.0000    0.87401    0.29532E-01                                 D015400200030 
 0.0000    0.88136    0.33811E-01                                 D015400200031 
 0.0000    0.89049    0.30012E-01                                 D015400200032 
 0.0000    0.90443    0.30478E-01                                 D015400200033 
 0.0000    0.91181    0.34371E-01                                 D015400200034 
 0.0000    0.91962    0.31335E-01                                 D015400200035 
 0.0000    0.92809    0.37930E-01                                 D015400200036 
 0.0000    0.94316    0.40713E-01                                 D015400200037 
 0.0000    0.95305    0.45006E-01                                 D015400200038 
 0.0000    0.96426    0.48536E-01                                 D015400200039 
