ENTRY            D0506   20080823                             D063D050600000001 
SUBENT        D0506001   20080823                             D063D050600100001 
BIB                 13         34                                 D050600100002 
TITLE      Nuclear structure of 187W studied with (n,gamma)       D050600100003 
           and (d,p) reactions                                    D050600100004 
AUTHOR     (V.Bondarenko,I.Tomandl,H.-F.Wirth,J.Honzatko,         D050600100005 
           A.M.Sukhovoj,L.A.Malov,L.I.Simonova,R.Hertenberger,    D050600100006 
           T.von Egidy,J.Berzins)                                 D050600100007 
INSTITUTE  (4LATULR,3CZRUJV,2GERMUN,2GERLMU,3CZRUJF,4ZZZDUB)      D050600100008 
REFERENCE  (J,NP/A,811,28,2008)                                   D050600100009 
           (J,NP/A,619,1,1997) results on polarised beam are      D050600100010 
           given only in relative units and measurements were     D050600100011 
           made on sample with relatively big additions of W+Te   D050600100012 
FACILITY   (VDGT,2GERMUN) Tandem Van de Graaff accelerator of     D050600100013 
           the University and the Technical University of Munich. D050600100014 
           An unpolarized deuteron beam.                          D050600100015 
METHOD     (BCINT) The integration of the beam current in a       D050600100016 
           Faraday cup allowed the determination of absolute      D050600100017 
           cross sections.                                        D050600100018 
SAMPLE     The isotopically enriched target (99.8%) with a        D050600100019 
           thickness 120 mu-g/cm2 was prepared by vacuum          D050600100020 
           evaporation on a 4 mu-g/cm2 thick carbon backing.      D050600100021 
DETECTOR   (MAGSP,PS) Reaction products were momentum-separated   D050600100022 
           by the Q3D spectrograph within a solid angle           D050600100023 
           acceptance of up to 7 msr and detected in a 890 mm     D050600100024 
           long position sensitive cathode strip detector         D050600100025 
ERR-ANALYS (E-EXC-ERR) Statistical uncertainty in the energy levelD050600100026 
           (ERR-S) The accuracy of absolute intensity  calibrationD050600100027 
           (DATA-ERR) Estimated uncertainties on absolute cross   D050600100028 
           sections should not be greater than +-20% according    D050600100029 
           to the beam current integrated method.                 D050600100030 
EN-SEC     (E-EXC,74-W-187)                                       D050600100031 
STATUS     (TABLE) Data were received from Dr. V.Bondarenko       D050600100032 
           (APRVD) Entry approved by Dr. V.Bondarenko             D050600100033 
ADD-RES    Results from (n,g) reaction are                        D050600100034 
           included in Entry 31650                                D050600100035 
HISTORY    (20080823C)                                            D050600100036 
ENDBIB              34          0                                 D050600100037 
COMMON               1          3                                 D050600100038 
DATA-ERR                                                          D050600100039 
PER-CENT                                                          D050600100040 
  20.0                                                            D050600100041 
ENDCOMMON            3          0                                 D050600100042 
ENDSUBENT           41          0                                 D050600199999 
SUBENT        D0506002   20080823                             D063D050600200001 
BIB                  1          1                                 D050600200002 
REACTION   (74-W-186(D,P)74-W-187,PAR,DA)                         D050600200003 
ENDBIB               1          0                                 D050600200004 
COMMON               1          3                                 D050600200005 
EN                                                                D050600200006 
MEV                                                               D050600200007 
  22.0                                                            D050600200008 
ENDCOMMON            3          0                                 D050600200009 
DATA                 5        549                                 D050600200010 
ANG        E-EXC      E-EXC-ERR  DATA       ERR-S                 D050600200011 
ADEG       KEV        KEV        MU-B/SR    PER-CENT              D050600200012 
       10.0        0.3        0.2       86.0        3.0           D050600200013 
       10.0       77.1        0.2      452.0        7.0           D050600200014 
       10.0      145.9        0.2       18.0        1.0           D050600200015 
       10.0      200.7        0.4        8.0        6.0           D050600200016 
       10.0      204.8        0.2      662.0       10.0           D050600200017 
       10.0      303.1        0.2       42.0        2.0           D050600200018 
       10.0      330.9        0.2       11.0        1.0           D050600200019 
       10.0      350.4        0.2      449.0        6.0           D050600200020 
       10.0      364.1        0.4       39.0        3.0           D050600200021 
       10.0      432.1        0.3       88.0        3.0           D050600200022 
       10.0      522.3        0.2        2.7        0.6           D050600200023 
       10.0      597.7        0.2       15.0        1.0           D050600200024 
       10.0      640.4        0.2      216.0       16.0           D050600200025 
       10.0      728.3        0.2       16.0        2.0           D050600200026 
       10.0      762.4        0.3        2.4        0.9           D050600200027 
       10.0      852.1        0.1      200.0        6.0           D050600200028 
       10.0      863.3        0.2       53.0        4.0           D050600200029 
       10.0      892.0        0.2       70.0        3.0           D050600200030 
       10.0      914.2        0.2       10.0        1.0           D050600200031 
       10.0      959.9        0.2       29.0        2.0           D050600200032 
       10.0      971.5        0.3        5.5        0.9           D050600200033 
       10.0      978.9        0.1       85.0        2.0           D050600200034 
       10.0      988.9        0.2       15.0        1.0           D050600200035 
       10.0      999.6        0.2        9.3        0.9           D050600200036 
       10.0     1033.5        0.2        9.1        0.8           D050600200037 
       10.0     1056.8        0.4        4.3        1.0           D050600200038 
       10.0     1070.0        0.2       85.0        3.0           D050600200039 
       10.0     1085.8        0.2       49.0        2.0           D050600200040 
       10.0     1104.9        0.3        1.8        0.6           D050600200041 
       10.0     1114.2        0.2       10.0        1.0           D050600200042 
       10.0     1130.0        0.4        6.7        0.9           D050600200043 
       10.0     1138.0        0.2       39.0        2.0           D050600200044 
       10.0     1192.5        0.2       28.0        2.0           D050600200045 
       10.0     1199.2        0.6       12.0        1.0           D050600200046 
       10.0     1207.7        0.6        7.8        1.1           D050600200047 
       10.0     1217.5        0.3       11.0        1.0           D050600200048 
       10.0     1234.2        0.1      101.0        3.0           D050600200049 
       10.0     1268.4        0.2       39.0        2.0           D050600200050 
       10.0     1307.0        0.2       28.0        3.0           D050600200051 
       10.0     1312.6        0.1      524.0        7.0           D050600200052 
       10.0     1347.6        0.1      223.0        5.0           D050600200053 
       10.0     1359.3        0.1      233.0        5.0           D050600200054 
       10.0     1374.1        0.2       24.0        2.0           D050600200055 
       10.0     1384.1        0.1      227.0        5.0           D050600200056 
       10.0     1415.5        0.1      153.0        4.0           D050600200057 
       10.0     1424.6        0.1      354.0        7.0           D050600200058 
       10.0     1450.8        0.2        6.0        1.4           D050600200059 
       10.0     1476.8        0.1      101.0        3.0           D050600200060 
       10.0     1486.9        0.5       18.0        2.0           D050600200061 
       10.0     1502.1        0.2        8.9        1.1           D050600200062 
