ENTRY            D0845   20170719                             D111D0845  0    1 
SUBENT        D0845001   20170719                             D111D0845  1    1 
BIB                 11         16                                 D0845  1    2 
TITLE      Multinucleon transfer processes in 40Ca+208Pb          D0845  1    3 
AUTHOR     (S.Szilner, L.Corradi, G.Pollarolo, S.Beghini,         D0845  1    4 
            B.R.Behera, E.Fioretto, A.Gadea, F.Haas, A.Latina,    D0845  1    5 
            G.Montagnoli, F.Scarlassara, A.M.Stefanini, M.Trotta, D0845  1    6 
            A.M.Vinodkumar, Y.Wu)                                 D0845  1    7 
INSTITUTE  (2ITYPAD,2ITYTUR,2ITYUPV,2FR ULP,3CRORBZ)              D0845  1    8 
REFERENCE  (J,PR/C,71,044610,2005)                                D0845  1    9 
SAMPLE     200 ug/cm2 208Pb target sandwiched between carbon foilsD0845  1   10 
METHOD     (TOF,EDE)                                              D0845  1   11 
FACILITY   (VDGT,2ITYPAD) Tandem+ALPI accelerator complex.        D0845  1   12 
DETECTOR   (MCPLT,IOCH) Detection of light reaction products      D0845  1   13 
           (SI) Monitor for absolute normalization.               D0845  1   14 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   D0845  1   15 
STATUS     (APRVD) Approved by Suzana Szilner (2017-07-21)        D0845  1   16 
HISTORY    (20170627R) Received by e-mail from S.Szilner          D0845  1   17 
           (20170713C) M.Odsuren, N.Otsuka                        D0845  1   18 
ENDBIB              16          0                                 D0845  1   19 
NOCOMMON             0          0                                 D0845  1   20 
ENDSUBENT           19          0                                 D0845  199999 
SUBENT        D0845002   20170719                             D111D0845  2    1 
BIB                  2          2                                 D0845  2    2 
REACTION   (82-PB-208(20-CA-40,X)ELEM/MASS,,DA)                   D0845  2    3 
STATUS     (TABLE) Fig.6 of Phys.Rev.C71(2005)044610              D0845  2    4 
ENDBIB               2          0                                 D0845  2    5 
NOCOMMON             0          0                                 D0845  2    6 
DATA                 6        172                                 D0845  2    7 
EN         ELEMENT    MASS       ANG-CM     DATA-CM    DATA-ERR   D0845  2    8 
 235.       19.        39.        110.8         4.07    0.05      D0845  2   43 
 235.       19.        39.        110.8         4.41    0.08      D0845  2   44 
 235.       19.        39.        120.3         1.52    0.12      D0845  2   45 
 235.       19.        39.        124.7         0.83    0.28      D0845  2   46 
 235.       19.        40.         69.5         0.27    0.19      D0845  2   47 
 235.       19.        40.         80.3         1.69    0.04      D0845  2   48 
 235.       19.        40.         90.8         8.31    0.05      D0845  2   49 
 235.       19.        40.         90.8         9.83    0.03      D0845  2   50 
 235.       19.        40.         94.9         8.40    0.10      D0845  2   51 
 235.       19.        40.         94.9         8.42    0.02      D0845  2   52 
 235.       19.        40.        101.0         6.37    0.05      D0845  2   53 
 235.       19.        40.        110.8         3.39    0.06      D0845  2   54 
 235.       19.        40.        110.8         4.07    0.09      D0845  2   55 
 235.       19.        40.        120.3         1.17    0.14      D0845  2   56 
 235.       19.        41.         69.5         0.28    0.18      D0845  2   57 
 235.       19.        41.         80.3         1.03    0.06      D0845  2   58 
 235.       19.        41.         90.8         2.57    0.10      D0845  2   59 
 235.       19.        41.         90.8         3.62    0.04      D0845  2   60 
 235.       19.        41.         94.9         5.72    0.02      D0845  2   61 
 235.       19.        41.        101.0         4.92    0.06      D0845  2   62 
 235.       19.        41.        110.8         1.45    0.14      D0845  2   63 
 235.       19.        41.        110.8         2.68    0.07      D0845  2   64 
 235.       19.        41.        120.3         0.47    0.21      D0845  2   65 
 235.       20.        40.         49.4      2427.065   0.008     D0845  2   66 
 235.       20.        40.         58.4      1226.631   0.010     D0845  2   67 
 235.       20.        40.         69.5       599.081   0.004     D0845  2   68 
 235.       20.        40.         80.3       361.772   0.003     D0845  2   69 
 235.       20.        40.         90.8       178.590   0.012     D0845  2   70 
 235.       20.        40.         94.9       112.619   0.005     D0845  2   71 
 235.       20.        40.        101.0        46.125   0.019     D0845  2   72 
 235.       20.        40.        110.8        10.092   0.052     D0845  2   73 
 235.       20.        40.        120.3         2.253   0.097     D0845  2   74 
 235.       20.        40.        124.7         1.564   0.206     D0845  2   75 
 235.       20.        41.         69.5         9.93    0.03      D0845  2   76 
 235.       20.        41.         80.3        26.80    0.01      D0845  2   77 
 235.       20.        41.         90.8        49.42    0.01      D0845  2   78 
 235.       20.        41.         90.8        53.85    0.02      D0845  2   79 
 235.       20.        41.         94.9        39.90    0.01      D0845  2   80 
 235.       20.        41.         94.9        40.63    0.05      D0845  2   81 
 235.       20.        41.        101.0        22.31    0.03      D0845  2   82 
 235.       20.        41.        110.8         8.67    0.06      D0845  2   83 
 235.       20.        41.        110.8         9.49    0.04      D0845  2   84 
 235.       20.        41.        120.3         2.72    0.09      D0845  2   85 
 235.       20.        41.        124.7         0.83    0.28      D0845  2   86 
 235.       20.        42.         69.5         1.33    0.08      D0845  2   87 
 235.       20.        42.         80.3         1.80    0.04      D0845  2   88 
 235.       20.        42.         90.8        12.36    0.05      D0845  2   89 
 235.       20.        42.         94.9        13.70    0.08      D0845  2   90 
 235.       20.        42.        101.0        10.84    0.04      D0845  2   91 
 235.       20.        42.        110.8         4.18    0.09      D0845  2   92 
 235.       20.        42.        120.3         0.78    0.17      D0845  2   93 
 235.       20.        42.        124.7         0.18    0.60      D0845  2   94 
 249.       18.        38.         49.9         0.18    0.18      D0845  2   95 
 249.       18.        38.         58.4         0.45    0.15      D0845  2   96 
 249.       18.        38.         69.5         5.82    0.02      D0845  2   97 
 249.       18.        38.         74.9        12.17    0.03      D0845  2   98 
 249.       18.        38.         80.3        16.32    0.02      D0845  2   99 
 249.       18.        38.         85.6        12.38    0.03      D0845  2  100 
 249.       18.        38.         90.8         7.92    0.05      D0845  2  101 
 249.       18.        38.         90.8         7.94    0.03      D0845  2  102 
 249.       18.        38.        101.0         1.61    0.05      D0845  2  103 
 249.       18.        38.        110.8         0.35    0.20      D0845  2  104 
 249.       18.        39.         49.9         0.70    0.09      D0845  2  105 
 249.       18.        39.         58.4         0.98    0.10      D0845  2  106 
