ENTRY            D0733   20141209                             D096D073300000001 
SUBENT        D0733001   20141209                             D096D073300100001 
BIB                 14         30                                 D073300100002 
TITLE      Sequential and simultaneous emission of particles from D073300100003 
            p+Al collisions at GeV energies                       D073300100004 
AUTHOR     (M.Fidelus, D.Filges, F.Goldenbaum, H.Hodde, A.Jany,   D073300100005 
            L.Jarczyk, B.Kamys, M.Kistryn, St.Kistryn,            D073300100006 
            St.Kliczewski, E.Kozik, P.Kulessa, H.Machner,         D073300100007 
            A.Magiera, B.Piskor-Ignatowicz, K.Pysz, Z.Rudy,       D073300100008 
            Sushil K.Sharma, R.Siudak, M.Wojciechowski)           D073300100009 
INSTITUTE  (3POLUJK,2GERJUL,2GERBON,3POLIFJ,2GERUDE)              D073300100010 
REFERENCE  (J,PR/C,89,054617,2014)                                D073300100011 
FACILITY   (SYNCH,2GERJUL) COSY                                   D073300100012 
EXP-YEAR   (2005)                                                 D073300100013 
SAMPLE     Self-supporting Al of 170 ug/cm2                       D073300100014 
DETECTOR   (TELES,SI,SI) Telescopes at 15.6, 20 and 65 deg were   D073300100015 
            installed in air behind 50 um stainless steel foils   D073300100016 
           (CSICR) Telescopes at 15.6, 20, 65 and 100 deg were    D073300100017 
            backed by a 7 cm thick CSI detector to detect high-   D073300100018 
            energy light charged-particles passing through the Si D073300100019 
            detectors.                                            D073300100020 
METHOD     (EDE) Mass and charge identification                   D073300100021 
MONITOR    (13-AL-27(P,X)4-BE-7,,SIG)                             D073300100022 
            8.023 mb at 1.2 GeV, 9.515 mb at 1.9 GeV, and         D073300100023 
            10.099 mb at 2.5 GeV                                  D073300100024 
MONIT-REF  (,A.Bubak+,J,NIM/B,226,507,2004)                       D073300100025 
ERR-ANALYS (ERR-S) Only statistical                               D073300100026 
           (ERR-1) Normalization at 3 proton energies (~9%)       D073300100027 
STATUS     (TABLE) Data received from Boguslaw Kamys              D073300100028 
           (APRVD) Approved by Boguslaw Kamys (2014-06-04)        D073300100029 
HISTORY    (20140603R) On. Received from Boguslaw Kamys.          D073300100030 
           (20140604C) On                                         D073300100031 
           (20141209A) On. Important corrections in 002-017.      D073300100032 
ENDBIB              30          0                                 D073300100033 
COMMON               1          3                                 D073300100034 
ERR-1                                                             D073300100035 
PER-CENT                                                          D073300100036 
 9.                                                               D073300100037 
ENDCOMMON            3          0                                 D073300100038 
ENDSUBENT           37          0                                 D073300199999 
SUBENT        D0733002   20141209                             D096D073300200001 
BIB                  2          2                                 D073300200002 
REACTION   (13-AL-27(P,X)1-H-1,,DA/DE)                            D073300200003 
HISTORY    (20141209A) On. Unit of EN corrected (MeV -> GeV)      D073300200004 
ENDBIB               2          0                                 D073300200005 
NOCOMMON             0          0                                 D073300200006 
DATA                 5        653                                 D073300200007 
EN         ANG        E          DATA       ERR-S                 D073300200008 
GEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D073300200009 
 1.2         15.6        7.0      4.2510     0.0900               D073300200010 
 1.2         15.6       10.5      2.9730     0.0930               D073300200011 
 1.2         15.6       12.5      1.8510     0.0420               D073300200012 
 1.2         15.6       15.5      1.7450     0.0720               D073300200013 
 1.2         15.6       18.0      1.8040     0.0600               D073300200014 
 1.2         15.6       33.5      1.2120     0.0610               D073300200015 
 1.2         15.6       36.5      1.2170     0.0610               D073300200016 
 1.2         15.6       39.5      1.2630     0.0620               D073300200017 
 1.2         15.6       42.5      1.3170     0.0630               D073300200018 
 1.2         15.6       45.5      1.2730     0.0620               D073300200019 
 1.2         15.6       48.5      1.3200     0.0630               D073300200020 
 1.2         15.6       51.5      1.3210     0.0630               D073300200021 
 1.2         15.6       54.5      1.2950     0.0630               D073300200022 
 1.2         15.6       57.5      1.2990     0.0630               D073300200023 
 1.2         15.6       60.5      1.2890     0.0620               D073300200024 
 1.2         15.6       63.5      1.3100     0.0630               D073300200025 
 1.2         15.6       66.5      1.2280     0.0610               D073300200026 
 1.2         15.6       69.5      1.2760     0.0620               D073300200027 
 1.2         15.6       72.5      1.2470     0.0610               D073300200028 
 1.2         15.6       75.5      1.2730     0.0620               D073300200029 
 1.2         15.6       78.5      1.2820     0.0620               D073300200030 
 1.2         15.6       81.5      1.2720     0.0620               D073300200031 
 1.2         15.6       84.5      1.2230     0.0610               D073300200032 
 1.2         15.6       87.5      1.2270     0.0610               D073300200033 
 1.2         15.6       90.5      1.1730     0.0600               D073300200034 
 1.2         15.6       93.5      1.1760     0.0600               D073300200035 
 1.2         15.6       96.5      1.1670     0.0590               D073300200036 
 1.2         15.6       99.5      1.1710     0.0590               D073300200037 
 1.2         15.6      102.5      1.1350     0.0590               D073300200038 
 1.2         15.6      105.5      1.1250     0.0580               D073300200039 
 1.2         15.6      108.5      1.0900     0.0570               D073300200040 
 1.2         15.6      111.5      1.1190     0.0580               D073300200041 
 1.2         15.6      114.5      1.1030     0.0580               D073300200042 
 1.2         15.6      117.5      1.1000     0.0580               D073300200043 
 1.2         15.6      120.5      1.0520     0.0560               D073300200044 
 1.2         15.6      123.5      1.0280     0.0560               D073300200045 
 1.2         15.6      126.5      1.0060     0.0550               D073300200046 
 1.2         15.6      129.5      0.9970     0.0550               D073300200047 
 1.2         15.6      132.5      0.9910     0.0550               D073300200048 
 1.2         15.6      135.5      0.9450     0.0530               D073300200049 
 1.2         15.6      138.5      0.9290     0.0530               D073300200050 
 1.2         15.6      141.5      0.8820     0.0520               D073300200051 
 1.2         15.6      144.5      0.8730     0.0510               D073300200052 
 1.2         15.6      147.5      0.8070     0.0490               D073300200053 
 1.2         15.6      150.5      0.7860     0.0490               D073300200054 
