ENTRY            D0977   20200414                             D127D097700000001 
SUBENT        D0977001   20200414                             D127D097700100001 
BIB                 10         25                                 D097700100002 
TITLE      Differential cross section measurements of the         D097700100003 
            9Be(3He,p)11B reaction for NRA applications           D097700100004 
AUTHOR     (G.Provatas, S.Fazinic, N.Soic, N.Vukman, D.Cosic,     D097700100005 
            M.Krmpotic, M.Vuksic, A.Crnjac, R.Popocovski,         D097700100006 
            L.Palada, P.Colovic, D.Dell'Aquila, I.Gasparic,       D097700100007 
            D.Jelavic Malenica, T.Mijatovic, M.Uroic)             D097700100008 
INSTITUTE  (3CRORBZ)                                              D097700100009 
REFERENCE  (J,NIM/B,472,36,2020)                                  D097700100010 
FACILITY   (VDGT,3CRORBZ) 1 MV Tandetron accelerator (TDT)        D097700100011 
SAMPLE     A thin 9Be layer (65(10%) ug/cm2 thick) evaporated on  D097700100012 
            top of a self supporting Au foil (73(10%) ug/cm2      D097700100013 
            thick).                                               D097700100014 
           The nominal thickness was checked by proton-EBS        D097700100015 
            measurement at Ep=2 MeV which also confirmed that     D097700100016 
            C and O impurities were not greater than 5 ug/cm2.    D097700100017 
METHOD     (BCINT)                                                D097700100018 
DETECTOR   (SISD) Two double-sided Si strip detectors (1.5 mm     D097700100019 
            thick 16x16 segments, 50x50 mm2 area) placed 12 cm    D097700100020 
            from the target.                                      D097700100021 
           The solid angle was determined by measurement of       D097700100022 
            elastic scattering by additional irradiation with     D097700100023 
            an accuracy of 3%.                                    D097700100024 
STATUS     (APRVD) Approved by Georgios Provatas (2020-04-14)     D097700100025 
HISTORY    (20190409R) On. Data received from Georgios Provatas.  D097700100026 
           (20190409C) On                                         D097700100027 
ENDBIB              25          0                                 D097700100028 
NOCOMMON             0          0                                 D097700100029 
ENDSUBENT           28          0                                 D097700199999 
SUBENT        D0977002   20200414                             D127D097700200001 
BIB                  3          8                                 D097700200002 
REACTION   (4-BE-9(HE3,P)5-B-11,PAR,DA)                           D097700200003 
ERR-ANALYS (EN-ERR) Energy straggling in the target determined    D097700200004 
            with SRIM                                             D097700200005 
           (ERR-T) Total uncertainty originated from statistics   D097700200006 
            as well as                                            D097700200007 
           (ERR-1) solid angle determination (3%)                 D097700200008 
           (ERR-2) target thickness          (3%)                 D097700200009 
STATUS     (TABLE) On. Data received from Georgios Provatas.      D097700200010 
ENDBIB               8          0                                 D097700200011 
COMMON               2          3                                 D097700200012 
ERR-1      ERR-2                                                  D097700200013 
PER-CENT   PER-CENT                                               D097700200014 
 3.         3.                                                    D097700200015 
ENDCOMMON            3          0                                 D097700200016 
DATA                 6       4680                                 D097700200017 
Q-VAL      ANG        EN         EN-ERR     DATA       ERR-T      D097700200018 
KEV        ADEG       KEV        KEV        MB/SR      MB/SR      D097700200019 
 10321.90   107.00     1275.550   80.010     0.131      0.016     D097700200020 
 10321.90   107.00     1336.410   78.370     0.195      0.023     D097700200021 
 10321.90   107.00     1397.270   76.790     0.169      0.020     D097700200022 
 10321.90   107.00     1458.130   75.270     0.210      0.020     D097700200023 
 10321.90   107.00     1518.990   73.800     0.242      0.025     D097700200024 
 10321.90   107.00     1579.850   72.390     0.363      0.032     D097700200025 
 10321.90   107.00     1640.710   71.030     0.490      0.042     D097700200026 
 10321.90   107.00     1701.570   69.730     0.502      0.049     D097700200027 
 10321.90   107.00     1762.430   68.470     0.536      0.050     D097700200028 
 10321.90   107.00     1823.290   67.260     0.643      0.059     D097700200029 
 10321.90   107.00     1843.580   66.860     0.490      0.055     D097700200030 
 10321.90   107.00     1884.150   66.090     0.617      0.060     D097700200031 
 10321.90   107.00     1945.010   64.970     0.654      0.058     D097700200032 
 10321.90   107.00     2005.870   63.890     0.650      0.058     D097700200033 
 10321.90   107.00     2066.730   62.850     0.613      0.062     D097700200034 
 10321.90   107.00     2127.590   61.850     0.682      0.070     D097700200035 
 10321.90   107.00     2188.450   60.880     0.663      0.065     D097700200036 
 10321.90   107.00     2249.310   59.950     0.671      0.071     D097700200037 
 10321.90   107.00     2310.170   59.050     0.757      0.081     D097700200038 
 10321.90   107.00     2371.030   58.190     0.614      0.068     D097700200039 
 10321.90   107.00     2431.890   57.350     0.680      0.071     D097700200040 
 10321.90   107.00     2492.750   56.530     0.649      0.067     D097700200041 
 10321.90   107.00     2553.610   55.750     0.835      0.085     D097700200042 
 10321.90   107.00     2614.470   54.980     0.854      0.087     D097700200043 
 10321.90   107.00     2675.330   54.240     0.851      0.095     D097700200044 
 10321.90   107.00     2736.190   53.520     0.738      0.083     D097700200045 
 10321.90   107.00     2797.050   52.810     0.827      0.084     D097700200046 
 10321.90   107.00     2857.910   52.120     0.985      0.086     D097700200047 
 10321.90   109.00     1275.550   80.010     0.132      0.015     D097700200048 
 10321.90   109.00     1336.410   78.370     0.163      0.018     D097700200049 
 10321.90   109.00     1397.270   76.790     0.140      0.016     D097700200050 
 10321.90   109.00     1458.130   75.270     0.208      0.019     D097700200051 
 10321.90   109.00     1518.990   73.800     0.224      0.022     D097700200052 
 10321.90   109.00     1579.850   72.390     0.361      0.030     D097700200053 
 10321.90   109.00     1640.710   71.030     0.461      0.038     D097700200054 
 10321.90   109.00     1701.570   69.730     0.503      0.045     D097700200055 
 10321.90   109.00     1762.430   68.470     0.481      0.043     D097700200056 
 10321.90   109.00     1823.290   67.260     0.531      0.048     D097700200057 
