ENTRY            D6308   20180911                             D118D630800000001 
SUBENT        D6308001   20180911                             D118D630800100001 
BIB                 10         26                                 D630800100002 
TITLE      Fragment emission mechanism in the 32S+12C reaction    D630800100003 
AUTHOR     (Ratnesh Pandey, S.Kundu, C.Bhattacharya, K.Banerjee,  D630800100004 
           T.K.Rana, S.Manna, G.Mukherjee, J.K.Meena, A.Chaudhuri,D630800100005 
           T.Roy, Pratap Roy, Md.A.Asgar, V.Srivastava, A.Dey,    D630800100006 
           M.Sinha, T.K.Ghosh, S.Bhattacharya, S.K.Pandit,        D630800100007 
           K.Mahata, P.Patle, S.Pal, A.Shrivastava, V.Nanal)      D630800100008 
INSTITUTE  (3INDVEC,3INDTRM,3INDTAT)                              D630800100009 
           (3INDIND) Homi Bhabha National Institute.              D630800100010 
REFERENCE  (J,PR/C,95,064603,2017)                                D630800100011 
FACILITY   (VDGT,3INDTRM) BARC-TIFR Pelletron-Linac facility.     D630800100012 
SAMPLE     A self-supported 12C target of thickness ~390 ug/cm2.  D630800100013 
DETECTOR   (TELES,SI,SI) Single-sided ~50-um-thick Si(delta E)    D630800100014 
           strip detector (16 vertical strips of 3 mm width) and  D630800100015 
           a double-sided ~525-um-thick Si (E) strip detector     D630800100016 
            (16 strips, width 3 mm, both sides mutually orthogonalD630800100017 
           to each other).                                        D630800100018 
           (CSICR) The Silicon detectors were backed by four      D630800100019 
           CsI(Tl) detectors, each of thickness 6 cm. The solid   D630800100020 
           angle subtended by each detector were ~3 msr.          D630800100021 
ERR-ANALYS (ERR-SYS) The systematic errors in the data, arising   D630800100022 
           from the uncertainties in the measurements of target   D630800100023 
           thickness, solid angle and the calibration of current  D630800100024 
           digitizer, have been estimated to be ~15%              D630800100025 
STATUS     Data request sent to R.Pandey on 19 Feb. 2018 but      D630800100026 
           without success.                                       D630800100027 
HISTORY    (20180911C) VT                                         D630800100028 
ENDBIB              26          0                                 D630800100029 
COMMON               2          3                                 D630800100030 
ERR-SYS    ANG-RSL                                                D630800100031 
PER-CENT   ADEG                                                   D630800100032 
        15.        0.8                                            D630800100033 
ENDCOMMON            3          0                                 D630800100034 
ENDSUBENT           33          0                                 D630800199999 
SUBENT        D6308002   20180911                             D118D630800200001 
BIB                  2          2                                 D630800200002 
REACTION   (6-C-12(16-S-32,X)ELEM/MASS,,DA/DE)                    D630800200003 
STATUS     (UNOBT) Fig. 2(a) of Phys. Rev. C 95 (2017) 064603     D630800200004 
ENDBIB               2          0                                 D630800200005 
NOCOMMON             0          0                                 D630800200006 
NODATA               0          0                                 D630800200007 
ENDSUBENT            6          0                                 D630800299999 
SUBENT        D6308003   20180911                             D118D630800300001 
BIB                  3          4                                 D630800300002 
REACTION   (6-C-12(16-S-32,X)ELEM/MASS,,DA)                       D630800300003 
ERR-ANALYS (DATA-ERR) No information on the source of the         D630800300004 
           uncertainty                                            D630800300005 
STATUS     (CURVE) Fig. 2(b) of Phys. Rev. C 95 (2017) 064603     D630800300006 
ENDBIB               4          0                                 D630800300007 
COMMON               1          3                                 D630800300008 
EN                                                                D630800300009 
MEV                                                               D630800300010 
       220.                                                       D630800300011 
ENDCOMMON            3          0                                 D630800300012 
DATA                 5         83                                 D630800300013 
ELEMENT    MASS       ANG-CM     DATA-CM    DATA-ERR              D630800300014 
         5.        11.     41.480      0.020      0.003           D630800300084 
         5.        11.     42.808      0.034      0.005           D630800300085 
         5.        11.     45.572      0.036      0.006           D630800300086 
         5.        11.     47.318      0.038      0.006           D630800300087 
         5.        11.     50.894      0.026      0.004           D630800300088 
         5.        11.     52.308      0.034      0.005           D630800300089 
         5.        11.     56.133      0.035      0.005           D630800300090 
         5.        11.     58.235      0.041      0.006           D630800300091 
         5.        11.     61.017      0.036      0.006           D630800300092 
         5.        11.     66.861      0.029      0.004           D630800300093 
         5.        11.     67.775      0.027      0.004           D630800300094 
         5.        11.     68.796      0.030      0.004           D630800300095 
         5.        11.     73.014      0.036      0.006           D630800300096 
         5.        11.     77.456      0.030      0.004           D630800300097 
         5.        11.     80.499      0.026      0.004           D630800300098 
ENDDATA             85          0                                 D630800300099 
ENDSUBENT           98          0                                 D630800399999 
SUBENT        D6308004   20180911                             D118D630800400001 
BIB                  2          2                                 D630800400002 
REACTION   (6-C-12(16-S-32,X)ELEM,,DA/DE)                         D630800400003 
STATUS     (UNOBT) Fig. 3 of Phys. Rev. C 95 (2017) 064603        D630800400004 
ENDBIB               2          0                                 D630800400005 
NOCOMMON             0          0                                 D630800400006 
NODATA               0          0                                 D630800400007 
ENDSUBENT            6          0                                 D630800499999 
SUBENT        D6308005   20180911                             D118D630800500001 
BIB                  3          4                                 D630800500002 
REACTION   (6-C-12(16-S-32,X)ELEM,,DA)                            D630800500003 
ERR-ANALYS (DATA-ERR) No information on the source of the         D630800500004 
           uncertainty                                            D630800500005 
STATUS     (CURVE) Fig. 5 of Phys. Rev. C 95 (2017) 064603        D630800500006 
ENDBIB               4          0                                 D630800500007 
NOCOMMON             0          0                                 D630800500008 
DATA                 5        167                                 D630800500009 
EN         ELEMENT    ANG-CM     DATA-CM    DATA-ERR              D630800500010 
MEV        NO-DIM     ADEG       MB/SR      MB/SR                 D630800500011 
       200.         3.     42.056      0.148      0.022           D630800500012 
       200.         3.     43.940      0.153      0.023           D630800500013 
       200.         3.     47.280      0.141      0.021           D630800500014 
       200.         3.     49.079      0.139      0.020           D630800500015 
       200.         3.     50.792      0.137      0.022           D630800500016 
       200.         3.     53.619      0.133      0.020           D630800500017 
       200.         3.     55.246      0.130      0.020           D630800500018 
       200.         3.     57.816      0.127      0.020           D630800500019 
       200.         3.     60.642      0.118      0.019           D630800500020 
       200.         3.     63.726      0.118      0.019           D630800500021 
       200.         3.     65.696      0.121      0.019           D630800500022 
       200.         3.     67.923      0.121      0.019           D630800500023 
       200.         3.     71.349      0.110      0.017           D630800500024 
       200.         3.     72.462      0.110      0.017           D630800500025 
       200.         3.     72.583      0.106      0.017           D630800500026 
       200.         4.     45.754      0.048      0.007           D630800500027 
       200.         4.     50.594      0.043      0.006           D630800500028 
       200.         4.     52.677      0.037      0.006           D630800500029 
       200.         4.     54.561      0.042      0.006           D630800500030 
       200.         4.     56.531      0.040      0.006           D630800500031 
       200.         4.     57.816      0.041      0.006           D630800500032 
       200.         4.     61.700      0.033      0.005           D630800500033 
       200.         4.     64.095      0.033      0.005           D630800500034 
       200.         4.     65.610      0.039      0.006           D630800500035 
       200.         4.     68.009      0.032      0.005           D630800500036 
       200.         4.     71.533      0.033      0.005           D630800500037 
       200.         4.     74.861      0.039      0.006           D630800500038 
       200.         4.     76.146      0.039      0.006           D630800500039 
       200.         4.     78.258      0.039      0.006           D630800500040 
       200.         5.     46.510      0.062      0.010           D630800500041 
       200.         5.     48.565      0.067      0.010           D630800500042 
       200.         5.     51.135      0.058      0.010           D630800500043 
       200.         5.     53.704      0.057      0.009           D630800500044 
       200.         5.     55.503      0.053      0.008           D630800500045 
