EN         ANG        E          DATA       DATA-ERR              D085000200010 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D085000200011 
 30.0        69.2      21.5       0.71       0.29                 D085000200079 
 30.0        69.2      22.5       0.11       0.21                 D085000200080 
 30.0        69.2      23.5       0.27       0.18                 D085000200081 
 30.0        69.2      24.5       0.01       0.09                 D085000200082 
 30.0        75.4      15.5       0.01       0.30                 D085000200083 
 30.0        75.4      16.5       1.15       0.36                 D085000200084 
 30.0        75.4      17.5       1.54       0.33                 D085000200085 
 30.0        75.4      18.5       2.04       0.37                 D085000200086 
 30.0        75.4      19.5       0.92       0.27                 D085000200087 
 30.0        75.4      20.5       0.00       0.13                 D085000200088 
 30.0        78.4      16.5       1.19       0.21                 D085000200089 
 30.0        78.4      17.5       1.57       0.23                 D085000200090 
 30.0        78.4      18.5       0.94       0.17                 D085000200091 
 30.0        78.4      19.5       1.40       0.18                 D085000200092 
 30.0        78.4      20.5       0.82       0.14                 D085000200093 
 30.0        79.6      14.5       0.31       0.28                 D085000200094 
 30.0        79.6      15.5       1.36       0.31                 D085000200095 
 30.0        79.6      16.5       1.11       0.28                 D085000200096 
 30.0        79.6      17.5       0.77       0.24                 D085000200097 
 30.0        79.6      18.5       0.64       0.23                 D085000200098 
 30.0        79.6      19.5       0.55       0.21                 D085000200099 
 30.0        79.6      20.5       0.30       0.14                 D085000200100 
 30.0        79.6      21.5       0.03       0.11                 D085000200101 
 30.0        79.6      22.5       0.19       0.12                 D085000200102 
 30.0        79.6      23.5       0.20       0.10                 D085000200103 
 30.0        82.6      15.5       0.01       0.25                 D085000200104 
 30.0        82.6      16.5       0.64       0.27                 D085000200105 
 30.0        82.6      17.5       0.96       0.27                 D085000200106 
 30.0        82.6      18.5       0.35       0.21                 D085000200107 
 30.0        82.6      19.5       0.51       0.20                 D085000200108 
 30.0        82.6      20.5       0.56       0.21                 D085000200109 
 30.0        82.6      21.5       0.27       0.15                 D085000200110 
 30.0        82.6      22.5       0.20       0.11                 D085000200111 
 30.0        82.6      23.5       0.19       0.10                 D085000200112 
 30.0        84.6      13.5       0.28       0.22                 D085000200113 
 30.0        84.6      14.5       0.41       0.20                 D085000200114 
 30.0        84.6      15.5       0.77       0.22                 D085000200115 
 30.0        84.6      16.5       0.66       0.20                 D085000200116 
 30.0        84.6      17.5       0.57       0.17                 D085000200117 
 30.0        84.6      18.5       0.29       0.15                 D085000200118 
 30.0        84.6      19.5       0.43       0.15                 D085000200119 
 30.0        84.6      20.5       0.18       0.12                 D085000200120 
 30.0        84.6      21.5       0.17       0.08                 D085000200121 
 30.0        84.6      22.5       0.10       0.06                 D085000200122 
 30.0        84.6      23.5       0.08       0.05                 D085000200123 
 30.0        84.6      24.5       0.05       0.04                 D085000200124 
 30.0        87.6      14.5       0.45       0.24                 D085000200125 
 30.0        87.6      15.5       0.63       0.22                 D085000200126 
 30.0        87.6      16.5       0.59       0.21                 D085000200127 
 30.0        87.6      17.5       0.27       0.17                 D085000200128 
 30.0        87.6      18.5       0.77       0.21                 D085000200129 
 30.0        87.6      19.5       0.12       0.11                 D085000200130 
 30.0        87.6      20.5       0.12       0.10                 D085000200131 
 30.0        87.6      21.5       0.16       0.08                 D085000200132 
 30.0        87.6      22.5       0.14       0.08                 D085000200133 
 30.0        87.6      23.5       0.16       0.08                 D085000200134 
 30.0        87.6      24.5       0.14       0.08                 D085000200135 
 30.0        88.2      15.5       0.48       0.28                 D085000200136 
 30.0        88.2      16.5       0.76       0.29                 D085000200137 
 30.0        88.2      17.5       0.34       0.25                 D085000200138 
 30.0        88.2      18.5       0.93       0.29                 D085000200139 
 30.0        88.2      19.5       0.33       0.19                 D085000200140 
 30.0        88.2      20.5       0.20       0.15                 D085000200141 
 30.0        88.2      21.5       0.09       0.08                 D085000200142 
 30.0        88.2      22.5       0.13       0.09                 D085000200143 
 30.0        91.2      15.5       0.19       0.25                 D085000200144 
 30.0        91.2      16.5       0.85       0.27                 D085000200145 
 30.0        91.2      17.5       0.74       0.25                 D085000200146 
 30.0        91.2      18.5       0.74       0.23                 D085000200147 
 30.0        91.2      19.5       0.57       0.20                 D085000200148 
 30.0        91.2      20.5       0.29       0.13                 D085000200149 
 30.0        91.2      21.5       0.19       0.10                 D085000200150 
 30.0        91.2      22.5       0.11       0.08                 D085000200151 
 30.0        93.2      14.5       0.47       0.28                 D085000200152 
 30.0        93.2      15.5       0.75       0.29                 D085000200153 
 30.0        93.2      16.5       0.58       0.28                 D085000200154 
 30.0        93.2      17.5       0.74       0.26                 D085000200155 
 30.0        93.2      18.5       0.54       0.23                 D085000200156 
 30.0        93.2      19.5       0.38       0.18                 D085000200157 
 30.0        93.2      20.5       0.36       0.16                 D085000200158 
 30.0        93.2      21.5       0.21       0.12                 D085000200159 
 30.0        93.2      22.5       0.07       0.07                 D085000200160 
 30.0        93.2      23.5       0.04       0.05                 D085000200161 
 30.0        93.2      24.5       0.04       0.05                 D085000200162 
 30.0        94.2      13.5       0.46       0.29                 D085000200163 
 30.0        94.2      14.5       0.80       0.32                 D085000200164 
 30.0        94.2      15.5       0.80       0.30                 D085000200165 
 30.0        94.2      16.5       0.19       0.25                 D085000200166 
 30.0        94.2      17.5       0.54       0.25                 D085000200167 
 30.0        94.2      18.5       0.41       0.19                 D085000200168 
 30.0        94.2      19.5       0.36       0.16                 D085000200169 
 30.0        94.2      20.5       0.08       0.08                 D085000200170 
 30.0        94.2      21.5       0.13       0.09                 D085000200171 
 30.0        94.2      22.5       0.03       0.04                 D085000200172 
 30.0        94.2      23.5       0.03       0.04                 D085000200173 
 30.0        96.2      14.5       0.39       0.35                 D085000200174 
 30.0        96.2      15.5       0.82       0.31                 D085000200175 
 30.0        96.2      16.5       0.93       0.31                 D085000200176 
 30.0        96.2      17.5       0.76       0.28                 D085000200177 
 30.0        96.2      18.5       0.34       0.20                 D085000200178 
 30.0        96.2      19.5       0.49       0.19                 D085000200179 
 30.0        96.2      20.5       0.19       0.12                 D085000200180 
 30.0        96.2      21.5       0.26       0.14                 D085000200181 
 30.0        96.2      22.5       0.04       0.05                 D085000200182 
 30.0        96.2      23.5       0.04       0.05                 D085000200183 
 30.0        99.2      14.5       0.25       0.27                 D085000200184 
 30.0        99.2      15.5       0.67       0.36                 D085000200185 
 30.0        99.2      16.5       0.75       0.29                 D085000200186 
 30.0        99.2      17.5       0.31       0.22                 D085000200187 
 30.0        99.2      18.5       0.55       0.20                 D085000200188 
 30.0        99.2      19.5       0.43       0.18                 D085000200189 
 30.0        99.2      20.5       0.21       0.12                 D085000200190 
 30.0        99.2      21.5       0.04       0.05                 D085000200191 
 30.0        99.2      22.5       0.07       0.07                 D085000200192 
 30.0        99.2      23.5       0.07       0.07                 D085000200193 
 30.0       100.4      12.5       0.39       0.24                 D085000200194 
 30.0       100.4      13.5       0.58       0.23                 D085000200195 
 30.0       100.4      14.5       0.30       0.25                 D085000200196 
 30.0       100.4      15.5       0.80       0.24                 D085000200197 
 30.0       100.4      16.5       0.72       0.23                 D085000200198 
 30.0       100.4      17.5       0.54       0.21                 D085000200199 
 30.0       100.4      18.5       0.75       0.21                 D085000200200 
 30.0       100.4      19.5       0.46       0.16                 D085000200201 
 30.0       100.4      20.5       0.09       0.07                 D085000200202 
 30.0       103.4      13.5       0.18       0.21                 D085000200203 
 30.0       103.4      14.5       0.61       0.26                 D085000200204 
 30.0       103.4      15.5       0.43       0.20                 D085000200205 
 30.0       103.4      16.5       0.40       0.20                 D085000200206 
 30.0       103.4      17.5       0.47       0.19                 D085000200207 
 30.0       103.4      18.5       0.35       0.15                 D085000200208 
 30.0       103.4      19.5       0.31       0.15                 D085000200209 
 30.0       103.4      20.5       0.28       0.14                 D085000200210 
 30.0       103.4      21.5       0.07       0.07                 D085000200211 
 30.0       105.4      12.5       0.21       0.16                 D085000200212 
 30.0       105.4      13.5       0.18       0.16                 D085000200213 
 30.0       105.4      14.5       0.59       0.19                 D085000200214 
 30.0       105.4      15.5       0.58       0.18                 D085000200215 
 30.0       105.4      16.5       0.39       0.14                 D085000200216 
 30.0       105.4      17.5       0.71       0.18                 D085000200217 
 30.0       105.4      18.5       0.30       0.12                 D085000200218 
 30.0       108.4      13.5       0.12       0.24                 D085000200219 
 30.0       108.4      14.5       0.88       0.33                 D085000200220 
 30.0       108.4      15.5       0.44       0.25                 D085000200221 
 30.0       108.4      16.5       0.52       0.24                 D085000200222 
 30.0       108.4      17.5       0.43       0.20                 D085000200223 
 30.0       108.4      18.5       0.34       0.18                 D085000200224 
 30.0       114.6      12.5       0.14       0.08                 D085000200225 
 30.0       114.6      13.5       0.25       0.08                 D085000200226 
 30.0       114.6      14.5       0.37       0.09                 D085000200227 
 30.0       114.6      15.5       0.62       0.09                 D085000200228 
 30.0       114.6      16.5       0.54       0.08                 D085000200229 
 30.0       114.6      17.5       0.49       0.08                 D085000200230 
 30.0       114.6      18.5       0.34       0.06                 D085000200231 
 30.0       114.6      19.5       0.17       0.04                 D085000200232 
 30.0       114.6      20.5       0.05       0.03                 D085000200233 
 30.0       114.6      21.5       0.02       0.01                 D085000200234 
 30.0       114.6      22.5       0.02       0.02                 D085000200235 
 30.0       114.6      23.5       0.01       0.01                 D085000200236 
 30.0       117.6      11.5       0.00       0.08                 D085000200237 
 30.0       117.6      12.5       0.12       0.07                 D085000200238 
 30.0       117.6      13.5       0.43       0.08                 D085000200239 
 30.0       117.6      14.5       0.41       0.08                 D085000200240 
 30.0       117.6      15.5       0.63       0.09                 D085000200241 
