EN         ANG        E          DATA       DATA-ERR              D801100200009 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D801100200010 
 23.         45.       11.75      4.9824E+00  7.080E-01           D801100200070 
 23.         45.       12.25      4.8157E+00  6.194E-01           D801100200071 
 23.         45.       12.75      4.7657E+00  6.009E-01           D801100200072 
 23.         45.       13.25      3.6493E+00  5.954E-01           D801100200073 
 23.         45.       13.75      1.7658E+00  4.713E-01           D801100200074 
 23.         45.       14.25      3.6403E+00  4.527E-01           D801100200075 
 23.         45.       14.75      3.4826E+00  3.598E-01           D801100200076 
 23.         45.       15.25      2.6495E+00  3.500E-01           D801100200077 
 23.         45.       15.75      2.5662E+00  3.048E-01           D801100200078 
 23.         45.       16.25      2.1662E+00  2.459E-01           D801100200079 
 23.         45.       16.75      1.6497E+00  2.303E-01           D801100200080 
 23.         45.       17.25      1.5164E+00  2.401E-01           D801100200081 
 23.         45.       17.75      1.5967E+00  1.716E-01           D801100200082 
 23.         45.       18.25      1.0165E+00  1.836E-01           D801100200083 
 23.         45.       18.75      1.1164E+00  1.389E-01           D801100200084 
 23.         45.       19.25      7.4985E-01  1.615E-01           D801100200085 
 23.         45.       19.75      9.3315E-01  1.389E-01           D801100200086 
 23.         45.       20.25      7.4985E-01  1.326E-01           D801100200087 
 23.         45.       20.75      6.9986E-01  1.263E-01           D801100200088 
 23.         45.       21.25      6.4987E-01  8.793E-02           D801100200089 
 23.         45.       21.75      3.6659E-01  8.306E-02           D801100200090 
 23.         45.       22.25      3.3387E-01  1.088E-01           D801100200091 
 23.         45.       22.75      5.1657E-01  9.274E-02           D801100200092 
 23.         45.       23.25      4.4991E-01  9.974E-02           D801100200093 
 23.         45.       23.75      3.4993E-01  8.552E-02           D801100200094 
 23.         60.        3.25      4.2101E+00  5.128E-01           D801100200095 
 23.         60.        3.75      6.6650E+00  7.839E-01           D801100200096 
 23.         60.        4.25      8.2822E+00  9.622E-01           D801100200097 
 23.         60.        4.75      1.0198E+01  1.117E+00           D801100200098 
 23.         60.        5.25      1.0565E+01  1.214E+00           D801100200099 
 23.         60.        5.75      1.0325E+01  1.187E+00           D801100200100 
 23.         60.        6.25      1.1242E+01  1.288E+00           D801100200101 
 23.         60.        6.75      1.0520E+01  1.209E+00           D801100200102 
 23.         60.        7.25      9.6591E+00  1.114E+00           D801100200103 
 23.         60.        7.75      8.8905E+00  1.029E+00           D801100200104 
 23.         60.        8.25      8.2252E+00  9.559E-01           D801100200105 
 23.         60.        8.75      8.0187E+00  9.331E-01           D801100200106 
 23.         60.        9.25      7.4107E+00  8.661E-01           D801100200107 
 23.         60.        9.75      6.3094E+00  7.447E-01           D801100200108 
 23.         60.       10.25      5.4376E+00  6.484E-01           D801100200109 
 23.         60.       10.75      4.9787E+00  5.978E-01           D801100200110 
 23.         60.       11.25      3.8774E+00  4.760E-01           D801100200111 
 23.         60.       11.75      3.7054E+00  4.569E-01           D801100200112 
 23.         60.       12.25      3.6021E+00  4.455E-01           D801100200113 
 23.         60.       12.75      2.6958E+00  3.449E-01           D801100200114 
