ENTRY            D0797   20220322                             D136D079700000001 
SUBENT        D0797001   20220322                             D136D079700100001 
BIB                 12         30                                 D079700100002 
TITLE      Measurements of the 24Mg(d,p0,1,2,3,4) and             D079700100003 
           natMg(d,d0) reactions cross sections in the energy     D079700100004 
           range of 1.2-2 MeV for NRA and EBS applications        D079700100005 
AUTHOR     (H.Rafi-Kheiri, O.Kakuee, M.Lamehi-Rachti)             D079700100006 
INSTITUTE  (3IRNNRT)                                              D079700100007 
REFERENCE  (J,NIM/B,373,63,2016)                                  D079700100008 
           #doi:10.1016/j.nimb.2016.03.001                        D079700100009 
FACILITY   (VDG,3IRNNRT)                                          D079700100010 
SAMPLE     A thin Mg target (76.7 +/-3.1 ug/cm2) prepared by Mg   D079700100011 
            evaporation on silver backing.                        D079700100012 
INC-SPECT  The energy calibration of the accelerator was          D079700100013 
           performed using the 7Li(p,n) threshold reaction at     D079700100014 
           1880.4 keV. Maximum beam current 50-60 nA.             D079700100015 
DETECTOR   (SIBAR) Four 300 um-thick surface barrier detectors    D079700100016 
           located at 90, 135, 150 and 165 degree relative to the D079700100017 
           incident beam.                                         D079700100018 
REL-REF    (I,,O.Kakuee+,J,NIM/B,371,156,2016) IBA exp. chamber   D079700100019 
MONITOR    (47-AG-0(D,EL)47-AG-0,,DA,,RTH)                        D079700100020 
ERR-ANALYS (ERR-T) The total uncertainty was determined from the  D079700100021 
           following partial uncertainties                        D079700100022 
           Statistical uncertainty of 10% was the dominant unc.   D079700100023 
           for cross sections less than 0.1 mb/sr.                D079700100024 
           (ERR-1) Target Ag to Mg areal density ratio  3%        D079700100025 
           (ERR-2,,1.4) The solid angle ratios between            D079700100026 
           measurement and monitor detectors     <1.4%            D079700100027 
HISTORY    (20160329R) Numerical data received from Dr. O.Kakuee. D079700100028 
           (20160330C) VS.                                        D079700100029 
           (20220322A) VT. Subent 003-006 merged in 002           D079700100030 
           (20220322A) VT. Revision in 002 ERR-ANALYS:            D079700100031 
           ERR-SYS deleted in 001.                                D079700100032 
ENDBIB              30          0                                 D079700100033 
COMMON               4          3                                 D079700100034 
EN-RSL     ANG-NRM    EN-ERR     ERR-1                            D079700100035 
KEV        ADEG       KEV        PER-CENT                         D079700100036 
         1.       165.         7.  3.                             D079700100037 
ENDCOMMON            3          0                                 D079700100038 
ENDSUBENT           37          0                                 D079700199999 
SUBENT        D0797002   20220322                             D136D079700200001 
BIB                  4          5                                 D079700200002 
REACTION   (12-MG-24(D,P)12-MG-25,PAR,DA)                         D079700200003 
SAMPLE     (12-MG-24,NAT=0.7899)                                  D079700200004 
STATUS     (TABLE) Fig.3 of Nucl.Inst.Meth.B373(2016)63           D079700200005 
HISTORY    (20220318A) VT.  E-LVL:MEV->KEV, 16 duplicate data     D079700200006 
           lines removed                                          D079700200007 
ENDBIB               5          0                                 D079700200008 
NOCOMMON             0          0                                 D079700200009 
DATA                 5        752                                 D079700200010 
E-LVL      ANG        EN         DATA       ERR-T                 D079700200011 
KEV        ADEG       KEV        MB/SR      MB/SR                 D079700200012 
         0.        90.      2000.      0.830      0.030           D079700200013 
         0.        90.      1994.      0.840      0.030           D079700200014 
         0.        90.      1969.      0.860      0.030           D079700200015 
         0.        90.      1944.      1.060      0.040           D079700200016 
         0.        90.      1919.      1.200      0.040           D079700200017 
         0.        90.      1893.      1.500      0.050           D079700200018 
         0.        90.      1888.      1.480      0.050           D079700200019 
         0.        90.      1883.      1.500      0.050           D079700200020 
         0.        90.      1878.      1.430      0.050           D079700200021 
         0.        90.      1868.      1.710      0.060           D079700200022 
         0.        90.      1858.      1.860      0.060           D079700200023 
         0.        90.      1843.      1.780      0.060           D079700200024 
         0.        90.      1818.      1.820      0.060           D079700200025 
         0.        90.      1798.      1.510      0.050           D079700200026 
         0.        90.      1793.      1.600      0.060           D079700200027 
         0.        90.      1782.      1.490      0.050           D079700200028 
         0.        90.      1777.      1.310      0.050           D079700200029 
         0.        90.      1767.      1.180      0.040           D079700200030 
         0.        90.      1742.      0.780      0.030           D079700200031 
         0.        90.      1716.      0.580      0.020           D079700200032 
         0.        90.      1691.      0.440      0.020           D079700200033 
         0.        90.      1666.      0.370      0.020           D079700200034 
         0.        90.      1641.      0.440      0.020           D079700200035 
         0.        90.      1615.      0.480      0.020           D079700200036 
         0.        90.      1590.      0.570      0.020           D079700200037 
         0.        90.      1565.      0.580      0.020           D079700200038 
         0.        90.      1540.      0.540      0.020           D079700200039 
         0.        90.      1515.      0.470      0.020           D079700200040 
         0.        90.      1489.      0.400      0.020           D079700200041 
         0.        90.      1463.      0.290      0.010           D079700200042 
         0.        90.      1438.      0.200      0.010           D079700200043 
         0.        90.      1412.      0.210      0.010           D079700200044 
         0.        90.      1387.      0.260      0.010           D079700200045 
         0.        90.      1361.      0.280      0.010           D079700200046 
         0.        90.      1336.      0.290      0.010           D079700200047 
         0.        90.      1310.      0.290      0.010           D079700200048 
         0.        90.      1285.      0.310      0.010           D079700200049 
         0.        90.      1260.      0.190      0.010           D079700200050 
         0.       135.      2000.      1.120      0.040           D079700200051 
         0.       135.      1994.      1.220      0.040           D079700200052 
         0.       135.      1969.      1.060      0.040           D079700200053 
         0.       135.      1944.      1.040      0.040           D079700200054 
         0.       135.      1919.      1.270      0.050           D079700200055 
         0.       135.      1893.      1.170      0.050           D079700200056 
         0.       135.      1888.      1.150      0.040           D079700200057 
         0.       135.      1883.      1.100      0.040           D079700200058 
         0.       135.      1878.      1.070      0.040           D079700200059 
         0.       135.      1868.      1.060      0.040           D079700200060 
         0.       135.      1858.      0.970      0.040           D079700200061 
         0.       135.      1843.      0.890      0.040           D079700200062 
         0.       135.      1818.      0.960      0.040           D079700200063 
         0.       135.      1798.      0.870      0.030           D079700200064 
         0.       135.      1793.      0.890      0.040           D079700200065 
         0.       135.      1782.      0.840      0.030           D079700200066 
         0.       135.      1777.      0.860      0.030           D079700200067 
         0.       135.      1767.      0.760      0.030           D079700200068 
