ENTRY            S0210   20181011                             S025S021000000001 
SUBENT        S0210001   20181011                             S025S021000100001 
BIB                  9         20                                 S021000100002 
TITLE      Optical model potentials for 6He+64Zn from             S021000100003 
           63Cu(7Li,6He)64Zn reactions                            S021000100004 
AUTHOR     (L.Yang, C.J.Lin, H.M.Jia, D.X.Wang, L.J.Sun, N.R.Ma,  S021000100005 
           F.Yang, Z.D.Wu, X.X.Xu, H.Q.Zhang, Z.H.Liu, P.F.Bao)   S021000100006 
INSTITUTE  (3CPRAEP,2JPNTOK)                                      S021000100007 
           (3CPRCPR) Guangxi Normal University, Guilin            S021000100008 
REFERENCE  (J,PR/C,95,034616,2017)                                S021000100009 
           #doi:10.1103/PhysRevC.95.034616                        S021000100010 
FACILITY   (VDGT,3CPRAEP) The 7Li beam accelerated by the HI-13   S021000100011 
           tandem accelerator                                     S021000100012 
SAMPLE     A self-supported 63Cu target with thickness of about   S021000100013 
           80 ug/cm2 for measurements at above-barrier energies,  S021000100014 
           and another thicker self-supported 63Cu target with    S021000100015 
           the thickness of 140 ug/cm2 for measurements at near-  S021000100016 
           and below-barrier energies.                            S021000100017 
DETECTOR   (SIBAR) Two Si(Au) detectors were placed at +-10       S021000100018 
           degree to monitor the current quality.                 S021000100019 
STATUS     (TABLE) Data were presented by the first author        S021000100020 
HISTORY    (20181009R) Data were received from L.Yang             S021000100021 
           (20181011C) Compiled by WANG Jimin (CNDC)              S021000100022 
ENDBIB              20          0                                 S021000100023 
NOCOMMON             0          0                                 S021000100024 
ENDSUBENT           23          0                                 S021000199999 
SUBENT        S0210002   20181011                             S025S021000200001 
BIB                  3         12                                 S021000200002 
REACTION   (29-CU-63(3-LI-7,EL)29-CU-63,,DA,,RTH)                 S021000200003 
DETECTOR   (SIBAR) A detector array including 7 Si(Au)            S021000200004 
           surface-barrier detectors with an interval of 10       S021000200005 
           degree for measurements at above-barrier energies      S021000200006 
           was mounted on a rotatable arm in the reaction chamber S021000200007 
           to detect scattering particles.                        S021000200008 
           (SI) 8 silicon-PIN detectors were fixed with an angle  S021000200009 
           coverage from 20 to 68 degree and with an interval of  S021000200010 
           7 degree for measurements at near- and below-barrier   S021000200011 
           energies, to measure the elastic scattering.           S021000200012 
ERR-ANALYS (DATA-ERR) Errors include statistical errors and       S021000200013 
           fitting uncertainties                                  S021000200014 
ENDBIB              12          0                                 S021000200015 
NOCOMMON             0          0                                 S021000200016 
DATA                 4        234                                 S021000200017 
EN         ANG-CM     DATA       DATA-ERR                         S021000200018 
MEV        ADEG       NO-DIM     NO-DIM                           S021000200019 
      12.67   22.17789   1.005347   0.000399                      S021000200020 
      12.67   29.89142   1.015734   0.000660                      S021000200021 
      12.67   36.46940   1.027059   0.001081                      S021000200022 
      12.67   44.09560   1.043052   0.001290                      S021000200023 
      12.67   52.73640   1.064908   0.001290                      S021000200024 
      12.67   60.22211   1.087047   0.002160                      S021000200025 
      12.67   66.57680   1.081525   0.003904                      S021000200026 
      12.67   73.91313   1.050960   0.008605                      S021000200027 
      12.67  155.63013   0.798101   0.004606                      S021000200028 
      12.67  156.59384   0.769886   0.004365                      S021000200029 
      12.67  157.55657   0.718525   0.004046                      S021000200030 
      12.67  158.52736   0.710500   0.004168                      S021000200031 
      12.67  159.49723   0.720287   0.004073                      S021000200032 
      12.67  160.47519   0.748085   0.004241                      S021000200033 
      12.67  161.44335   0.732301   0.004288                      S021000200034 
      12.67  162.41966   0.722523   0.004123                      S021000200035 
      12.67  163.38625   0.726227   0.004173                      S021000200036 
      12.67  164.36107   0.710626   0.004185                      S021000200037 
      12.67  165.32627   0.747701   0.004314                      S021000200038 
      12.67  166.28190   0.746513   0.004262                      S021000200039 
      12.67  167.23695   0.720474   0.004243                      S021000200040 
      12.67  168.19146   0.706322   0.004184                      S021000200041 
      12.67  169.13655   0.712947   0.004206                      S021000200042 
      12.67  170.07227   0.731115   0.004418                      S021000200043 
      15.21   22.17789   1.021621   0.000535                      S021000200044 
      15.21   29.89142   1.008437   0.000878                      S021000200045 
      15.21   36.46940   1.033580   0.001354                      S021000200046 
      15.21   44.09560   1.056515   0.001613                      S021000200047 
      15.21   52.73640   0.953245   0.002186                      S021000200048 
      15.21   60.22211   0.940042   0.003132                      S021000200049 
      15.21   66.57680   0.775008   0.005195                      S021000200050 
      15.21   73.91313   0.761499   0.008359                      S021000200051 
      15.21  105.45032   0.570730   0.001286                      S021000200052 
      15.21  107.17360   0.504091   0.000882                      S021000200053 
      15.21  108.91292   0.475947   0.000859                      S021000200054 
      15.21  110.66322   0.548060   0.000941                      S021000200055 
      15.21  112.42437   0.502418   0.000926                      S021000200056 
      15.21  114.19385   0.452050   0.000889                      S021000200057 
      15.21  115.96434   0.420778   0.000875                      S021000200058 
      15.21  117.73104   0.395766   0.000874                      S021000200059 
      15.21  119.49880   0.365101   0.000859                      S021000200060 
      15.21  121.25809   0.365229   0.000885                      S021000200061 
      15.21  123.00667   0.349267   0.000882                      S021000200062 
      15.21  124.73521   0.348176   0.000907                      S021000200063 
      15.21  126.45104   0.347851   0.000929                      S021000200064 
      15.21  128.14258   0.344780   0.000945                      S021000200065 
      15.21  129.81012   0.345139   0.000969                      S021000200066 
      15.21  131.45159   0.325260   0.001380                      S021000200067 
      15.21  145.46622   0.268492   0.000470                      S021000200068 
      15.21  147.10740   0.241684   0.000295                      S021000200069 
      15.21  148.99016   0.237944   0.000331                      S021000200070 
      15.21  150.77760   0.231160   0.000293                      S021000200071 
      15.21  152.55196   0.226026   0.000327                      S021000200072 
      15.21  154.16913   0.219557   0.000324                      S021000200073 
      15.21  155.76529   0.209224   0.000318                      S021000200074 
      15.21  157.48463   0.194537   0.000277                      S021000200075 
      15.21  159.27280   0.158728   0.000284                      S021000200076 
      15.21  160.82490   0.150243   0.000279                      S021000200077 
      15.21  162.82249   0.142515   0.000274                      S021000200078 
      15.21  163.96765   0.156926   0.000259                      S021000200079 
      15.21  165.75504   0.149300   0.000261                      S021000200080 
      16.33   23.83386   1.191932   0.003459                      S021000200081 
      16.33   26.59025   1.199707   0.002326                      S021000200082 
      16.33   29.45170   1.119559   0.002081                      S021000200083 
      16.33   35.04716   1.101250   0.005159                      S021000200084 
      16.33   37.78066   1.043459   0.003196                      S021000200085 
      16.33   40.61632   1.039798   0.002821                      S021000200086 
      16.33   44.09560   1.148308   0.005537                      S021000200087 
      16.33   44.52963   1.128964   0.004290                      S021000200088 
      16.33   47.23775   1.112721   0.002620                      S021000200089 
      16.33   50.04546   1.112297   0.002244                      S021000200090 
      16.33   54.77552   1.101117   0.004542                      S021000200091 
      16.33   55.09700   1.106076   0.006350                      S021000200092 
      16.33   57.45041   1.124632   0.002770                      S021000200093 
      16.33   60.22211   1.038786   0.002230                      S021000200094 
      16.33   64.35942   1.052880   0.004233                      S021000200095 
      16.33   65.41624   0.897135   0.004988                      S021000200096 
