ENTRY            S0144   20151009                             S019S014400000001 
SUBENT        S0144001   20151009                             S019S014400100001 
BIB                 11         20                                 S014400100002 
TITLE      Angular distributions of fission fragments in          S014400100003 
           interactions of 12C ions with various targets          S014400100004 
AUTHOR     (Liu Guoxing,Chen Keliang,Wang Sufang,Cai Wei)         S014400100005 
INSTITUTE  (3CPRIMP)                                              S014400100006 
REFERENCE  (J,PHE,12,379,1988)                                    S014400100007 
FACILITY   (CYCLO,3CPRIMP) heavy ion cyclotron, 1.5 m in diameter.S014400100008 
INC-SOURCE 12C(4+) ions, incident ion beam energy is 72.7 MeV.    S014400100009 
SAMPLE     Self-supporting thin metallic foil of the targets      S014400100010 
           with ~200-500 ug/cm2 in thickness, and set at 45       S014400100011 
           degree with incident beam direction.                   S014400100012 
METHOD     (BCINT,EDEG)                                           S014400100013 
DETECTOR   (TRD) A 4*12 cm2 natural white mica track detector     S014400100014 
           was set at 70-120 deg. with incident beam direction    S014400100015 
           and 10 cm with the center of target to obtain the      S014400100016 
           fission fragment angular distribution.                 S014400100017 
           (SIBAR) A silicon surface barrier detector was set at  S014400100018 
           25 deg. with the incident beam direction to monitor    S014400100019 
           the beam current.                                      S014400100020 
ERR-ANALYS (ERR-S) Statistical uncertainty was given only.        S014400100021 
HISTORY    (20151008C) Compiled by X4 group (CNDC).               S014400100022 
ENDBIB              20          0                                 S014400100023 
NOCOMMON             0          0 3                               S014400100024 
ENDSUBENT           23          0                                 S014400199999 
SUBENT        S0144002   20151009                             S019S014400200001 
BIB                  2          2                                 S014400200002 
REACTION   (79-AU-197(6-C-12,F),,DA,FF,REL)                       S014400200003 
STATUS     (CURVE) Digitized from Fig.1.                          S014400200004 
ENDBIB               2          0                                 S014400200005 
NOCOMMON             0          0                                 S014400200006 
DATA                 5         96                                 S014400200007 
EN         ANG-CM     DATA-CM    +ERR-S     -ERR-S                S014400200008 
MEV        ADEG       ARB-UNITS  ARB-UNITS  ARB-UNITS             S014400200009 
       63.4     99.042     13.091      0.912      0.743           S014400200010 
       63.4    108.670     13.581      0.845      0.709           S014400200011 
       63.4    117.879     14.662      0.693      0.794           S014400200012 
       63.4    128.428     15.845      0.760      0.777           S014400200013 
       63.4    131.526     16.537      0.676      0.574           S014400200014 
       63.4    136.381     16.233      0.693      0.794           S014400200015 
       63.4    141.237     18.497      0.794      0.929           S014400200016 
       63.4    145.926     19.527      0.878      0.777           S014400200017 
       63.4    150.781     19.628      0.659      0.642           S014400200018 
       63.4    154.800     20.794      0.625      0.828           S014400200019 
       63.4    157.228     20.253      0.507      0.828           S014400200020 
       63.4    160.074     22.787      0.625      0.845           S014400200021 
       63.4    163.005     22.889      0.591      0.709           S014400200022 
       63.4    164.260     23.564      0.676      0.709           S014400200023 
       63.4    168.195     24.274      0.557      0.743           S014400200024 
       63.4    170.288     24.696      0.625      0.845           S014400200025 
       63.4    171.963     25.355      0.456      0.524           S014400200026 
       63.4    174.474     25.270      0.659      0.760           S014400200027 
       65.4     92.857     10.616      0.511      0.450           S014400200028 
       65.4     98.346     11.562      0.526      0.511           S014400200029 
       65.4    107.368     12.417      0.526      0.541           S014400200030 
       65.4    116.617     12.793      0.586      0.526           S014400200031 
       65.4    126.541     14.024      0.631      0.541           S014400200032 
       65.4    136.391     15.420      0.345      0.480           S014400200033 
       65.4    144.812     17.402      0.526      0.601           S014400200034 
       65.4    149.850     18.423      0.661      0.420           S014400200035 
       65.4    154.812     20.736      0.300      0.526           S014400200036 
       65.4    156.917     20.330      0.480      0.541           S014400200037 
       65.4    157.820     21.006      0.526      0.420           S014400200038 
       65.4    159.925     20.766      0.541      0.571           S014400200039 
       65.4    162.782     22.673      0.435      0.616           S014400200040 
       65.4    166.992     24.159      0.465      0.571           S014400200041 
