ENTRY            S0247   20230912                             S033S024700000001 
SUBENT        S0247001   20230912                             S033S024700100001 
BIB                 12         23                                 S024700100002 
TITLE      Study of 7Li+11B phenomenological optical model        S024700100003 
           potentials                                             S024700100004 
AUTHOR     (Yang Lei,Lin Chengjian,Yang Feng,Jia Huiming,         S024700100005 
           Xu Xinxing,Zhang Huanqiao,Liu Zuhua,Zhang Shitao,      S024700100006 
           Bao Pengfei,Sun Lijie)                                 S024700100007 
INSTITUTE  (3CPRAEP)                                              S024700100008 
REFERENCE  (J,CNPR,30,117,2013)                                   S024700100009 
           #doi:10.11804/NuclPhysRev.30.02.117                    S024700100010 
FACILITY   (VDGT,3CPRAEP) HI-13 Tandem Van der Graaff accelerator S024700100011 
INC-SOURCE The 7Li beam current was about 100 enA                 S024700100012 
SAMPLE     Natrual B sample (about 80% 11B), 55 ug/cm2 thickness  S024700100013 
DETECTOR   (SIBAR) Six Au-Si surface barrier detectors used to    S024700100014 
           measure, two Au-Si surface barrier detectors used to   S024700100015 
           monitor.                                               S024700100016 
ADD-RES    The optical potential parameters were extracted from   S024700100017 
           fitting the angular distributions of 11B(7Li,EL)11B    S024700100018 
           reaction with distorted-wave Born approximation        S024700100019 
           analysis.                                              S024700100020 
ERR-ANALYS (DATA-ERR) The main source of uncertainty from         S024700100021 
           statistics and fitting of energy spectrum.             S024700100022 
STATUS     (TABLE) Data presented by author                       S024700100023 
HISTORY    (20230912C) Jimin Wang (CNDC)                          S024700100024 
           (20230913R) Data received from Yang Lei                S024700100025 
ENDBIB              23          0                                 S024700100026 
NOCOMMON             0          0                                 S024700100027 
ENDSUBENT           26          0                                 S024700199999 
SUBENT        S0247002   20230912                             S033S024700200001 
BIB                  1          1                                 S024700200002 
REACTION   (5-B-11(3-LI-7,EL)5-B-11,,DA,,RTH)                     S024700200003 
ENDBIB               1          0                                 S024700200004 
NOCOMMON             0          0                                 S024700200005 
DATA                 4        101                                 S024700200006 
EN         ANG-CM     DATA       DATA-ERR                         S024700200007 
MEV        ADEG       NO-DIM     NO-DIM                           S024700200008 
       9.85      18.63     0.7918     0.0101                      S024700200009 
       9.85      21.88     0.8110     0.0195                      S024700200010 
       9.85      25.13     0.7094     0.0102                      S024700200011 
       9.85      28.37     0.6851     0.0146                      S024700200012 
       9.85      29.83     0.6044     0.0278                      S024700200013 
       9.85      35.47     0.4984     0.0137                      S024700200014 
       9.85      38.68     0.4784     0.0267                      S024700200015 
       9.85      41.88     0.4342     0.0149                      S024700200016 
       9.85      45.06     0.4285     0.0213                      S024700200017 
       9.85      47.29     0.4665     0.0275                      S024700200018 
       9.85      48.24     0.4634     0.0188                      S024700200019 
       9.85      52.02     0.4235     0.0130                      S024700200020 
       9.85      55.16     0.4126     0.0243                      S024700200021 
       9.85      58.28     0.3942     0.0133                      S024700200022 
       9.85      61.37     0.4136     0.0190                      S024700200023 
       9.85      64.45     0.3585     0.0143                      S024700200024 
       13.3      15.53     0.6845     0.0182                      S024700200025 
       13.3      18.79     0.7108     0.0151                      S024700200026 
       13.3      22.04     0.6957     0.0163                      S024700200027 
       13.3      25.29     0.6537     0.0186                      S024700200028 
       13.3      28.53     0.5199     0.0184                      S024700200029 
       13.3      31.76     0.3639     0.0154                      S024700200030 
       13.3      32.41     0.3643     0.0224                      S024700200031 
       13.3      35.63     0.3141     0.0180                      S024700200032 
       13.3      38.84     0.3501     0.0222                      S024700200033 
       13.3      42.04     0.2887     0.0243                      S024700200034 
       13.3      45.22     0.2761     0.0272                      S024700200035 
       13.3      48.39     0.2170     0.0243                      S024700200036 
       13.3      49.03     0.2365     0.0188                      S024700200037 
       13.3      52.18     0.1993     0.0144                      S024700200038 
       13.3      55.31     0.2000     0.0160                      S024700200039 
       13.3      58.59     0.2180     0.0197                      S024700200040 
       13.3      61.68     0.2154     0.0216                      S024700200041 
       13.3      64.76     0.2009     0.0203                      S024700200042 
