ANG        E-MIN      E-MAX      DATA                             S000900200017 
ADEG       MEV        MEV        ARB-UNITS                        S000900200018 
60.0       14.9       15.3       0.059                            S000900200120 
60.0       15.3       15.7       0.060                            S000900200121 
60.0       15.7       16.1       0.0                              S000900200122 
60.0       16.1       16.5       0.069                            S000900200123 
60.0       16.5       16.9       0.0                              S000900200124 
60.0       16.9       17.3       0.078                            S000900200125 
60.0       17.3       17.7       0.0                              S000900200126 
60.0       17.7       18.1       0.0                              S000900200127 
60.0       18.1       18.5       0.0                              S000900200128 
60.0       18.5       18.9       0.0                              S000900200129 
60.0       18.9       19.3       0.105                            S000900200130 
60.0       19.3       19.7       0.0                              S000900200131 
60.0       19.7       20.1       0.0                              S000900200132 
60.0       20.1       20.5       0.0                              S000900200133 
60.0       20.5       20.9       0.0                              S000900200134 
60.0       20.9       21.3       0.0                              S000900200135 
60.0       21.3       21.7       0.0                              S000900200136 
60.0       21.7       22.1       0.159                            S000900200137 
60.0       22.1       22.5       0.166                            S000900200138 
60.0       22.5       22.9       0.343                            S000900200139 
60.0       22.9       23.3       0.0                              S000900200140 
60.0       23.3       23.7       0.0                              S000900200141 
60.0       23.7       24.1       0.0                              S000900200142 
60.0       24.1       24.5       0.0                              S000900200143 
60.0       24.5       24.9       0.0                              S000900200144 
60.0       24.9       25.3       0.0                              S000900200145 
60.0       25.3       25.7       0.238                            S000900200146 
90.0        0.1        0.5       0.630                            S000900200147 
90.0        0.5        0.9       4.120                            S000900200148 
90.0        0.9        1.3       1.980                            S000900200149 
90.0        1.3        1.7       1.463                            S000900200150 
90.0        1.7        2.1       1.690                            S000900200151 
90.0        2.1        2.5       1.900                            S000900200152 
90.0        2.5        2.9       1.496                            S000900200153 
90.0        2.9        3.3       1.450                            S000900200154 
90.0        3.3        3.7       1.925                            S000900200155 
90.0        3.7        4.1       1.422                            S000900200156 
90.0        4.1        4.5       0.773                            S000900200157 
90.0        4.5        4.9       0.756                            S000900200158 
90.0        4.9        5.3       0.689                            S000900200159 
90.0        5.3        5.7       0.584                            S000900200160 
90.0        5.7        6.1       0.694                            S000900200161 
90.0        6.1        6.5       0.595                            S000900200162 
90.0        6.5        6.9       0.805                            S000900200163 
90.0        6.9        7.3       0.442                            S000900200164 
90.0        7.3        7.7       0.065                            S000900200165 
90.0        7.7        8.1       1.124                            S000900200166 
90.0        8.1        8.5       0.358                            S000900200167 
