ENTRY            S0250   20211208                             S030S025000000001 
SUBENT        S0250001   20211208                             S030S025000100001 
BIB                 11         31                                 S025000100002 
TITLE      Measurement of (n,f) and (n,xn) cross sections of      S025000100003 
           actinides with the surrogate reaction method           S025000100004 
AUTHOR     (Ma Nanru,Lin Chengjian,Jia Huiming,Xu Xinxing,        S025000100005 
           Yang Feng,Yang Lei,Sun Lijie,Wang Dongxi,Liu Zuhua,    S025000100006 
           Zhang Huanqiao)                                        S025000100007 
INSTITUTE  (3CPRAEP)                                              S025000100008 
REFERENCE  (J,CNPR,34,351,2017) In Chinese                        S025000100009 
           #doi:10.11804/NuclPhysRev.34.03.351                    S025000100010 
FACILITY   (VDGT,3CPRAEP) The HI-13 Tandem Accelerator            S025000100011 
INC-SOURCE The alpha beam intensity was about 100 - 200 enA for   S025000100012 
           the on-line experiment. The alpha beam intensity for   S025000100013 
           the on-line irradiation was about 1.0 euA, and it was  S025000100014 
           monitored by a water-cooling Faraday cup.              S025000100015 
SAMPLE     236U target with a diameter of 5 mm was electroplated  S025000100016 
           onto 2 um thick aluminum foil. Two thick targets of    S025000100017 
           5.0 ug/cm2 were made for on-line experiment and        S025000100018 
           eighteen thin targets of 1.0 ug/cm2 were made for      S025000100019 
           on-line irradiation and off-line measurement.          S025000100020 
DETECTOR   (SIBAR) In the on-line experiment, eight diameter of   S025000100021 
           8 mm Si(Au) detectors were used with a rotatable base  S025000100022 
           for the angular distribution measurement of elastic    S025000100023 
           scattering and fission fragments. Four Si(Au)          S025000100024 
           detectors were placed symmetrically at the forward     S025000100025 
           angle of 25 deg for monitoring the beam quality and    S025000100026 
           cross section normalization. For the off-line          S025000100027 
           measurement of alpha radioactivity, 18 target-detector S025000100028 
           measurement systems were manufactured.                 S025000100029 
METHOD     (ACTIV,STTA)                                           S025000100030 
ERR-ANALYS (DATA-ERR) No information                              S025000100031 
HISTORY    (20211206R) Data received from Ma Nanru                S025000100032 
           (20211208C) Jimin Wang (CNDC)                          S025000100033 
ENDBIB              31          0                                 S025000100034 
NOCOMMON             0          0                                 S025000100035 
ENDSUBENT           34          0                                 S025000199999 
SUBENT        S0250002   20211208                             S030S025000200001 
BIB                  2          3                                 S025000200002 
REACTION   (92-U-236(A,F),,DA,FF)                                 S025000200003 
STATUS     (TABLE) Fig.6 of J,Nucl.Phys.Rev.,34,351,2017          S025000200004 
                   Data obtained from AUTHOR                      S025000200005 
ENDBIB               3          0                                 S025000200006 
NOCOMMON             0          0                                 S025000200007 
DATA                 4        288                                 S025000200008 
EN         ANG-CM     DATA-CM    DATA-ERR                         S025000200009 
MEV        ADEG       MB/SR      MB/SR                            S025000200010 
      17.93      92.36     0.0176     0.0055                      S025000200011 
      17.93      97.35     0.0239     0.0097                      S025000200012 
      17.93     102.32     0.0251     0.0065                      S025000200013 
      17.93     107.28     0.0304     0.0107                      S025000200014 
      17.93     112.22     0.0180     0.0054                      S025000200015 
      17.93     117.14     0.0223     0.0091                      S025000200016 
      17.93     122.04     0.0154     0.0051                      S025000200017 
      17.93     126.93     0.0194     0.0086                      S025000200018 
      17.93     131.81     0.0250     0.0066                      S025000200019 
      17.93     136.67     0.0324     0.0114                      S025000200020 
      17.93     141.52     0.0249     0.0049                      S025000200021 
      17.93     146.35     0.0239     0.0072                      S025000200022 
      17.93     151.18     0.0304     0.0054                      S025000200023 
      17.93     156.00     0.0378     0.0091                      S025000200024 
      17.93     160.81     0.0239     0.0048                      S025000200025 
      17.93     165.61     0.0217     0.0068                      S025000200026 
      17.93     170.41     0.0234     0.0067                      S025000200027 
      17.93     175.21     0.0221     0.0099                      S025000200028 
      19.00      92.43     0.1352     0.0162                      S025000200029 
      19.00      97.42     0.1784     0.0190                      S025000200030 
      19.00     102.39     0.1698     0.0177                      S025000200031 
      19.00     107.35     0.1159     0.0149                      S025000200032 
      19.00     112.28     0.1808     0.0181                      S025000200033 
      19.00     117.20     0.2080     0.0198                      S025000200034 
      19.00     122.10     0.1830     0.0186                      S025000200035 
      19.00     126.99     0.1737     0.0184                      S025000200036 
      19.00     131.86     0.2069     0.0202                      S025000200037 
      19.00     136.72     0.1813     0.0193                      S025000200038 
      19.00     141.56     0.2208     0.0153                      S025000200039 
      19.00     146.39     0.1634     0.0134                      S025000200040 
      19.00     151.21     0.2241     0.0156                      S025000200041 
      19.00     156.03     0.2489     0.0167                      S025000200042 
      19.00     160.83     0.2002     0.0146                      S025000200043 
      19.00     165.63     0.2392     0.0162                      S025000200044 
      19.00     170.42     0.2020     0.0209                      S025000200045 
      19.00     175.21     0.2496     0.0236                      S025000200046 
      20.03      92.49     0.6208     0.0327                      S025000200047 
      20.03      97.48     0.7370     0.0388                      S025000200048 
      20.03     102.46     0.7302     0.0346                      S025000200049 
      20.03     107.41     0.8058     0.0396                      S025000200050 
      20.03     112.34     0.7164     0.0339                      S025000200051 
      20.03     117.26     0.8041     0.0391                      S025000200052 
      20.03     122.16     0.8574     0.0379                      S025000200053 
      20.03     127.04     0.8992     0.0422                      S025000200054 
      20.03     131.91     0.8843     0.0393                      S025000200055 
      20.03     136.76     0.9135     0.0435                      S025000200056 
      20.03     141.60     0.9517     0.0299                      S025000200057 
      20.03     146.43     0.9156     0.0319                      S025000200058 
      20.03     151.25     0.9618     0.0304                      S025000200059 
