ENTRY            K2534   20200117                             K020K253400000001 
SUBENT        K2534001   20200117                             K020K253400100001 
BIB                 11         21                                 K253400100002 
TITLE      Effect of the nuclear medium on alpha-cluster          K253400100003 
           excitation in 6Li                                      K253400100004 
AUTHOR     (T.Yamagata, S.Nakayama, H.Akimune, S.Miyamoto)        K253400100005 
INSTITUTE  (2JPNKON) Department of Physics                        K253400100006 
           (2JPNTKS) Department of Physics                        K253400100007 
           (2JPNHIT) Laboratory of Advanced Science & Technology  K253400100008 
                     for Industry (LASTI)                         K253400100009 
REFERENCE  (J,PR/C,95,044307,2017)                                K253400100010 
PART-DET   (N)                                                    K253400100011 
INC-SOURCE (LCS) lambda=1064 nm and lambda=532 nm laser photons   K253400100012 
SAMPLE     - Chemical-form of target is element.                  K253400100013 
           - Physical-form of target is solid.                    K253400100014 
           - Target-thickness: contained in plastic cylinder with K253400100015 
             an inner diameter of 8 mm and a length of 9 cm       K253400100016 
           (3-LI-6,ENR=0.96)                                      K253400100017 
FACILITY   (ESTRG,2JPNHIT) NewSUBARU at Ring for Accelerating and K253400100018 
                           Storage                                K253400100019 
DETECTOR   (PROPC) 3He gas counter, to detect neutron             K253400100020 
           (NAICR) To measure the intensity of the LCS gamma-ray  K253400100021 
ERR-ANALYS (ERR-S) Statistical uncertainty                        K253400100022 
HISTORY    (20170707C) Ichiko                                     K253400100023 
ENDBIB              21          0                                 K253400100024 
NOCOMMON             0          0                                 K253400100025 
ENDSUBENT           24          0                                 K253400199999 
SUBENT        K2534002   20200117                             K020K253400200001 
BIB                  2          2                                 K253400200002 
REACTION   (3-LI-6(G,X)0-NN-1,NUM,SIG)                            K253400200003 
STATUS     (TABLE) Presented in Table 1 of J,PR/C,95,044307,2017  K253400200004 
ENDBIB               2          0                                 K253400200005 
NOCOMMON             0          0                                 K253400200006 
DATA                 4         87                                 K253400200007 
PART-OUT   EN         DATA       ERR-S                            K253400200008 
NO-DIM     MEV        MB         MB                               K253400200009 
         1.        4.9       0.07       0.01                      K253400200010 
         1.        5.9       0.28       0.01                      K253400200011 
         1.        6.3       0.43       0.01                      K253400200012 
         1.        6.8       0.59       0.01                      K253400200013 
         1.        7.8       0.87       0.01                      K253400200014 
         1.        8.6       1.06       0.01                      K253400200015 
         1.        9.0       1.11       0.01                      K253400200016 
         1.        9.3       1.16       0.01                      K253400200017 
         1.        9.8       1.35       0.01                      K253400200018 
         1.       10.2       1.31       0.01                      K253400200019 
         1.       10.7       1.35       0.01                      K253400200020 
         1.       11.2       1.41       0.01                      K253400200021 
         1.       11.7       1.56       0.01                      K253400200022 
         1.       12.2       1.49       0.01                      K253400200023 
         1.       12.7       1.45       0.01                      K253400200024 
         1.       13.2       1.49       0.01                      K253400200025 
         1.       13.7       1.49       0.02                      K253400200026 
         1.       15.1       1.46       0.01                      K253400200027 
         1.       15.6       1.46       0.01                      K253400200028 
         1.       16.1       1.62       0.01                      K253400200029 
         1.       17.6       1.60       0.01                      K253400200030 
         1.       18.5       1.45       0.02                      K253400200031 
         1.       19.5       1.42       0.01                      K253400200032 
         1.       20.5       1.39       0.01                      K253400200033 
         1.       21.5       1.27       0.01                      K253400200034 
         1.       22.4       1.34       0.01                      K253400200035 
         1.       23.4       1.24       0.01                      K253400200036 
         1.       24.4       1.25       0.02                      K253400200037 
         1.       25.4       1.25       0.01                      K253400200038 
         1.       26.3       1.28       0.02                      K253400200039 
         1.       27.3       1.32       0.01                      K253400200040 
         1.       28.3       1.37       0.03                      K253400200041 
         1.       28.8       1.31       0.02                      K253400200042 
         1.       29.3       1.31       0.03                      K253400200043 
         1.       30.2       1.42       0.03                      K253400200044 
         1.       32.2       1.16       0.06                      K253400200045 
         1.       33.2       1.34       0.03                      K253400200046 
         1.       35.1       1.22       0.03                      K253400200047 
         1.       36.1       1.19       0.03                      K253400200048 
         1.       37.1       1.19       0.02                      K253400200049 
         1.       38.0       1.24       0.03                      K253400200050 
         1.       39.0       1.07       0.03                      K253400200051 
         1.       40.0       1.13       0.03                      K253400200052 
         1.       41.0       0.99       0.03                      K253400200053 
         1.       41.9       0.89       0.03                      K253400200054 
         1.       43.9       0.89       0.04                      K253400200055 
         1.       45.8       0.93       0.03                      K253400200056 
         1.       47.8       1.13       0.04                      K253400200057 
         1.       49.7       0.69       0.03                      K253400200058 
         1.       51.7       0.65       0.03                      K253400200059 
         1.       53.6       0.66       0.03                      K253400200060 
         2.      23.40       0.00       0.01                      K253400200061 
         2.      24.40       0.00       0.02                      K253400200062 
         2.      25.40       0.00       0.01                      K253400200063 
         2.      26.30       0.01       0.02                      K253400200064 
         2.      27.30       0.00       0.01                      K253400200065 
         2.      28.30       0.00       0.02                      K253400200066 
         2.      28.80       0.02       0.01                      K253400200067 
         2.      29.30       0.05       0.02                      K253400200068 
         2.      30.20       0.03       0.02                      K253400200069 
         2.      32.20       0.18       0.04                      K253400200070 
         2.      33.20       0.07       0.02                      K253400200071 
         2.      35.10       0.07       0.02                      K253400200072 
         2.      36.10       0.09       0.02                      K253400200073 
         2.      37.10       0.06       0.01                      K253400200074 
         2.      38.00       0.00       0.02                      K253400200075 
         2.      39.00       0.09       0.02                      K253400200076 
         2.      40.00       0.00       0.02                      K253400200077 
         2.      41.00       0.08       0.02                      K253400200078 
         2.      41.90       0.11       0.02                      K253400200079 
         2.      43.90       0.02       0.03                      K253400200080 
         2.      45.80       0.00       0.02                      K253400200081 
         2.      47.80       0.00       0.03                      K253400200082 
         2.      49.70       0.00       0.02                      K253400200083 
         2.      51.70       0.05       0.02                      K253400200084 
         2.      53.60       0.00       0.02                      K253400200085 
         3.      38.00       0.03       0.01                      K253400200086 
         3.      39.00       0.00       0.01                      K253400200087 
         3.      40.00       0.04       0.01                      K253400200088 
         3.      41.00       0.00       0.01                      K253400200089 
         3.      41.90       0.03       0.01                      K253400200090 
         3.      43.90       0.06       0.01                      K253400200091 
         3.      45.80       0.10       0.01                      K253400200092 
