ENTRY            K2285   20110502                             K010K228500000001 
SUBENT        K2285001   20110502                             K010K228500100001 
BIB                 12         26                                 K228500100002 
TITLE      pi0 photoproduction on deuteron for photon energies    K228500100003 
           from 0.6 to 1.15 GeV                                   K228500100004 
AUTHOR     (F.Miyahara, H.Fukasawa, R.Hashimoto, T.Ishikawa,      K228500100005 
            M.Itoh, T.Iwata, H.Kanda, J.Kasagi, H.Kato,           K228500100006 
            T.Kinoshita, K.Maeda, M.Matsuzawa, T.Michigami,       K228500100007 
            K.Motiduki, K.Murakami, T.Nakabayashi, K.Nawa,        K228500100008 
            T.Nomura, K.Okamura, H.Okamura, H.Okuyama, Y.Onodera, K228500100009 
            Y.Saito, T.Sasaki, H.Shimizu, T.Shishido, S.Suzuki,   K228500100010 
            K.Suzuki, Y.Tajima, S.Takita, T.Takahashi, H.Ueno,    K228500100011 
            S.Yamagushi, H.Yamazaki, H.Y.Yoshida)                 K228500100012 
INSTITUTE  (2JPNTOH) Laboratory of Nuclear Science                K228500100013 
           (2JPNTOH) Cyclotron and Radioisotope Center            K228500100014 
           (2JPNYMG) Department of Physics                        K228500100015 
           (2JPNTOH) Department of Physics                        K228500100016 
           (2JPNOSA) Research Center for Nuclear Physics          K228500100017 
           (2JPNKEK)                                              K228500100018 
REFERENCE  (J,CNPR,26,(S),104,200907)                             K228500100019 
PART-DET   (G)                                                    K228500100020 
INC-SOURCE (TAGD)                                                 K228500100021 
SAMPLE     - Chemical-form of target is element.                  K228500100022 
           - Physical-form of target is solid.                    K228500100023 
METHOD     (COINC) Invariant mass analysis of two gammas          K228500100024 
FACILITY   (SRING,2JPNTOH) Laboratory for Nuclear Science         K228500100025 
DETECTOR   (CSICR,SCIN) Electromagnetic calorimeter SCISSORS II   K228500100026 
STATUS     (PRELM) Indicated by authors in figures                K228500100027 
HISTORY    (20100820C)                                            K228500100028 
ENDBIB              26          0                                 K228500100029 
NOCOMMON             0          0                                 K228500100030 
ENDSUBENT           29          0                                 K228500199999 
SUBENT        K2285002   20110502                             K010K228500200001 
BIB                  3          3                                 K228500200002 
REACTION   (1-H-1(G,PI0)1-H-1,,DA)                                K228500200003 
ERR-ANALYS (ERR-S) Statistical uncertainty                        K228500200004 
STATUS     (TABLE) Plotted in Fig.2 of J,CNPR,26,(S),104,2009     K228500200005 
ENDBIB               3          0                                 K228500200006 
NOCOMMON             0          0                                 K228500200007 
DATA                 4        766                                 K228500200008 
EN         COS-CM     DATA-CM    ERR-S                            K228500200009 
GEV        NO-DIM     MU-B/SR    MU-B/SR                          K228500200010 
      0.645      -0.85       1.21       0.49                      K228500200011 
      0.645      -0.75       0.90       0.25                      K228500200012 
      0.645      -0.65       1.65       0.26                      K228500200013 
      0.645      -0.55       2.21       0.26                      K228500200014 
      0.645      -0.45       2.27       0.27                      K228500200015 
      0.645      -0.35       2.47       0.29                      K228500200016 
      0.645      -0.25       2.59       0.26                      K228500200017 
      0.645      -0.15       3.05       0.28                      K228500200018 
      0.645      -0.05       2.90       0.27                      K228500200019 
      0.645       0.05       2.96       0.46                      K228500200020 
      0.645       0.15       2.27       0.26                      K228500200021 
      0.645       0.25       2.79       0.26                      K228500200022 
      0.645       0.35       2.61       0.23                      K228500200023 
      0.645       0.45       1.97       0.19                      K228500200024 
      0.645       0.55       1.82       0.19                      K228500200025 
      0.645       0.65       1.86       0.19                      K228500200026 
      0.645       0.75       1.50       0.22                      K228500200027 
      0.660      -0.85       0.44       0.36                      K228500200028 
      0.660      -0.75       1.74       0.36                      K228500200029 
      0.660      -0.65       2.01       0.31                      K228500200030 
      0.660      -0.55       1.46       0.31                      K228500200031 
      0.660      -0.45       2.23       0.36                      K228500200032 
      0.660      -0.35       2.64       0.34                      K228500200033 
      0.660      -0.25       2.88       0.33                      K228500200034 
      0.660      -0.15       3.64       0.33                      K228500200035 
      0.660      -0.05       2.76       0.30                      K228500200036 
      0.660       0.05       2.87       0.51                      K228500200037 
      0.660       0.15       2.72       0.33                      K228500200038 
      0.660       0.25       2.52       0.28                      K228500200039 
      0.660       0.35       2.08       0.23                      K228500200040 
      0.660       0.45       2.06       0.20                      K228500200041 
      0.660       0.55       1.78       0.20                      K228500200042 
      0.660       0.65       1.42       0.18                      K228500200043 
      0.660       0.75       1.27       0.20                      K228500200044 
      0.672      -0.85       1.24       0.64                      K228500200045 
      0.672      -0.75       1.34       0.40                      K228500200046 
      0.672      -0.65       2.04       0.40                      K228500200047 
      0.672      -0.55       2.21       0.41                      K228500200048 
      0.672      -0.45       2.54       0.41                      K228500200049 
      0.672      -0.35       3.79       0.48                      K228500200050 
      0.672      -0.25       2.41       0.38                      K228500200051 
      0.672      -0.15       3.18       0.40                      K228500200052 
      0.672      -0.05       2.91       0.34                      K228500200053 
      0.672       0.05       4.04       0.65                      K228500200054 
      0.672       0.15       3.10       0.41                      K228500200055 
      0.672       0.25       2.75       0.34                      K228500200056 
      0.672       0.35       2.65       0.31                      K228500200057 
      0.672       0.45       1.82       0.26                      K228500200058 
      0.672       0.55       2.37       0.27                      K228500200059 
      0.672       0.65       1.66       0.22                      K228500200060 
      0.672       0.75       1.97       0.31                      K228500200061 
      0.684      -0.85       0.95       0.38                      K228500200062 
      0.684      -0.75       1.39       0.28                      K228500200063 
      0.684      -0.65       1.85       0.25                      K228500200064 
      0.684      -0.55       2.15       0.26                      K228500200065 
      0.684      -0.45       2.70       0.30                      K228500200066 
      0.684      -0.35       2.83       0.29                      K228500200067 
      0.684      -0.25       2.84       0.26                      K228500200068 
      0.684      -0.15       3.16       0.27                      K228500200069 
      0.684      -0.05       3.77       0.27                      K228500200070 
      0.684       0.05       3.63       0.38                      K228500200071 
      0.684       0.15       3.27       0.28                      K228500200072 
      0.684       0.25       3.60       0.27                      K228500200073 
      0.684       0.35       2.51       0.21                      K228500200074 
      0.684       0.45       2.38       0.20                      K228500200075 
      0.684       0.55       1.93       0.17                      K228500200076 
      0.684       0.65       1.75       0.16                      K228500200077 
      0.684       0.75       1.76       0.19                      K228500200078 
      0.684       0.85       2.19       0.45                      K228500200079 
      0.703      -0.85       1.67       0.52                      K228500200080 
      0.703      -0.75       1.45       0.39                      K228500200081 
      0.703      -0.65       2.52       0.30                      K228500200082 
      0.703      -0.55       2.67       0.30                      K228500200083 
      0.703      -0.45       2.69       0.32                      K228500200084 
      0.703      -0.35       3.99       0.34                      K228500200085 
      0.703      -0.25       3.60       0.32                      K228500200086 
      0.703      -0.15       4.19       0.32                      K228500200087 
      0.703      -0.05       3.90       0.31                      K228500200088 
      0.703       0.05       4.45       0.45                      K228500200089 
      0.703       0.15       3.98       0.34                      K228500200090 
      0.703       0.25       3.54       0.29                      K228500200091 
      0.703       0.35       2.85       0.24                      K228500200092 
