ENTRY            K2114   20090707                             K005K211400000001 
SUBENT        K2114001   20090707                             K005K211400100001 
BIB                 12         50                                 K211400100002 
TITLE      Backward-angle photoproduction of pi0 mesons on the    K211400100003 
           proton at E(gamma) = 1.5-2.4 GeV                       K211400100004 
AUTHOR     (M.Sumihama, J.K.Ahn, H.Akimune, Y.Asano, W.C.Chang,   K211400100005 
           S.Date, H.Ejiri, H.Fujimura, M.Fujiwara, K.Hicks,      K211400100006 
           T.Hotta, K.Imai, T.Ishikawa, T.Iwata, H.Kawai,         K211400100007 
           Z.Y.Kim, K.Kino, H.Kohri, N.Kumagai, S.Makino,         K211400100008 
           T.Matsumura, N.Matsuoka, T.Mibe, M.Miyabe, Y.Miyachi,  K211400100009 
           M.Morita, N.Muramatsu, T.Nakano, M.Niiyama, M.Nomachi, K211400100010 
           Y.Ohashi, H.Ohkuma, T.Ooba, D.S.Oshuev,                K211400100011 
           C.Rangacharyulu, A.Sakaguchi, T.Sato, P.M.Shagin,      K211400100012 
           Y.Shiino, H.Shimizu, Y.Sugaya, H.Toyokawa, A.Wakai,    K211400100013 
           C.W.Wang, S.C.Wang, K.Yonehara, T.Yorita, M.Yosoi,     K211400100014 
           R.G.T.Zegers)                                          K211400100015 
INSTITUTE  (2JPNOSA) Research Center for Nuclear Physics          K211400100016 
           (2JPNJAE) Kansai Photon Science Institute              K211400100017 
           (3KORPNU) Department of Physics                        K211400100018 
           (2JPNKON) Department of Physics                        K211400100019 
           (3CHFCHF) Institute of Physics, Academia Sinica        K211400100020 
           (2JPNJSR)                                              K211400100021 
           (2JPNKTO) Department of Physics                        K211400100022 
           (1USAOHO) Department of Physics and Astronomy          K211400100023 
           (3KORNSU) School of Physics                            K211400100024 
           (2JPNYMG) Department of Physics                        K211400100025 
           (2JPNJPN) Wakayama Medical College, Wakayama           K211400100026 
           (2JPNTIT) Department of Physics                        K211400100027 
           (2JPNJPN) Graduate School of Science and Technology,   K211400100028 
                     Chiba Univ., Chiba                           K211400100029 
           (1CANSAS) Department of Physics and Engineering        K211400100030 
                     Physics                                      K211400100031 
           (1USAMIN) School of Physics and Astronomy              K211400100032 
           (2JPNJPN) Akita Research Institute of Brain and Blood  K211400100033 
                     Vessels, Akita                               K211400100034 
           (2JPNOSA) Department of Physics                        K211400100035 
           (2JPNTOH) Laboratory of Nuclear Science                K211400100036 
           (1USAIIT)                                              K211400100037 
           (1USAMSU) National Superconducting Cyclotron           K211400100038 
                     Laboratory                                   K211400100039 
REFERENCE  (J,PL/B,657,(1-3),32,200711)                           K211400100040 
PART-DET   (P)                                                    K211400100041 
INC-SOURCE (LCS) lambda=351 nm laser photons used                 K211400100042 
SAMPLE     - Chemical-form of target is element.                  K211400100043 
           - Physical-form of target is liquid.                   K211400100044 
METHOD     (TOF) To determine particle mass (flight path of 4.2   K211400100045 
                 m)                                               K211400100046 
FACILITY   (ESTRG,2JPNJSR) To store electron beam at 8 GeV        K211400100047 
DETECTOR   (MAGSP,SCIN,SI,MWDC) To detect proton (LEPS            K211400100048 
                                spectrometer)                     K211400100049 
ERR-ANALYS (ERR-S) Statistical uncertainty                        K211400100050 
HISTORY    (20071118R) Received by e-mail from M.Sumihama         K211400100051 
           (20080131C)                                            K211400100052 
ENDBIB              50          0                                 K211400100053 
NOCOMMON             0          0                                 K211400100054 
ENDSUBENT           53          0                                 K211400199999 
SUBENT        K2114002   20090707                             K005K211400200001 
BIB                  3          4                                 K211400200002 
REACTION   (1-H-1(G,PI0)1-H-1,,DA)                                K211400200003 
COMMENT    By author: Data in c.m. system with unit of            K211400200004 
           micro-b/sr.                                            K211400200005 
STATUS     (TABLE) Plotted in Fig.2, p35 of J,PL/B,657,32,2007    K211400200006 
ENDBIB               4          0                                 K211400200007 
NOCOMMON             0          0                                 K211400200008 
DATA                 5        112                                 K211400200009 
EN-MIN     EN-MAX     COS-CM     DATA-CM    ERR-S                 K211400200010 
GEV        GEV        NO-DIM     MU-B/SR    MU-B/SR               K211400200011 
 1.50       1.55       -0.975     0.9573     0.0188               K211400200012 
 1.50       1.55       -0.925     1.0803     0.0179               K211400200013 
 1.50       1.55       -0.875     1.0581     0.0202               K211400200014 
 1.50       1.55       -0.825     1.0145     0.0237               K211400200015 
 1.50       1.55       -0.775     0.8437     0.0236               K211400200016 
 1.50       1.55       -0.725     0.7483     0.0233               K211400200017 
 1.50       1.55       -0.675     0.6027     0.0222               K211400200018 
 1.50       1.55       -0.625     0.5139     0.0215               K211400200019 
 1.55       1.60       -0.975     0.7877     0.0164               K211400200020 
 1.55       1.60       -0.925     0.8821     0.0157               K211400200021 
 1.55       1.60       -0.875     0.9159     0.0181               K211400200022 
 1.55       1.60       -0.825     0.8179     0.0204               K211400200023 
 1.55       1.60       -0.775     0.7293     0.0213               K211400200024 
 1.55       1.60       -0.725     0.6348     0.0208               K211400200025 
 1.55       1.60       -0.675     0.5331     0.0200               K211400200026 
 1.55       1.60       -0.625     0.4511     0.0193               K211400200027 
 1.60       1.65       -0.975     0.5867     0.0134               K211400200028 
 1.60       1.65       -0.925     0.6756     0.0132               K211400200029 
 1.60       1.65       -0.875     0.6731     0.0149               K211400200030 
 1.60       1.65       -0.825     0.6406     0.0174               K211400200031 
 1.60       1.65       -0.775     0.5870     0.0184               K211400200032 
 1.60       1.65       -0.725     0.4920     0.0179               K211400200033 
 1.60       1.65       -0.675     0.4503     0.0176               K211400200034 
 1.60       1.65       -0.625     0.3431     0.0163               K211400200035 
 1.65       1.70       -0.975     0.4899     0.0127               K211400200036 
 1.65       1.70       -0.925     0.5156     0.0118               K211400200037 
 1.65       1.70       -0.875     0.5314     0.0135               K211400200038 
 1.65       1.70       -0.825     0.5312     0.0162               K211400200039 
 1.65       1.70       -0.775     0.4961     0.0173               K211400200040 
 1.65       1.70       -0.725     0.4187     0.0169               K211400200041 
 1.65       1.70       -0.675     0.3773     0.0166               K211400200042 
 1.65       1.70       -0.625     0.3499     0.0168               K211400200043 
 1.70       1.75       -0.975     0.3499     0.0107               K211400200044 
 1.70       1.75       -0.925     0.3584     0.0100               K211400200045 
 1.70       1.75       -0.875     0.3905     0.0116               K211400200046 
 1.70       1.75       -0.825     0.3500     0.0132               K211400200047 
 1.70       1.75       -0.775     0.3309     0.0143               K211400200048 
 1.70       1.75       -0.725     0.2940     0.0142               K211400200049 
 1.70       1.75       -0.675     0.2807     0.0145               K211400200050 
 1.70       1.75       -0.625     0.2370     0.0139               K211400200051 
 1.75       1.80       -0.975     0.2662     0.0089               K211400200052 
 1.75       1.80       -0.925     0.2759     0.0083               K211400200053 
 1.75       1.80       -0.875     0.3068     0.0097               K211400200054 
 1.75       1.80       -0.825     0.3059     0.0117               K211400200055 
 1.75       1.80       -0.775     0.2721     0.0124               K211400200056 
 1.75       1.80       -0.725     0.2835     0.0132               K211400200057 
 1.75       1.80       -0.675     0.2490     0.0127               K211400200058 
 1.75       1.80       -0.625     0.2141     0.0124               K211400200059 
 1.80       1.85       -0.975     0.1969     0.0072               K211400200060 
 1.80       1.85       -0.925     0.1947     0.0066               K211400200061 
 1.80       1.85       -0.875     0.2045     0.0075               K211400200062 
 1.80       1.85       -0.825     0.2055     0.0091               K211400200063 
 1.80       1.85       -0.775     0.2215     0.0105               K211400200064 
 1.80       1.85       -0.725     0.2292     0.0114               K211400200065 
 1.80       1.85       -0.675     0.1974     0.0110               K211400200066 
 1.80       1.85       -0.625     0.1899     0.0112               K211400200067 
 1.85       1.90       -0.975     0.1597     0.0064               K211400200068 
 1.85       1.90       -0.925     0.1463     0.0057               K211400200069 
 1.85       1.90       -0.875     0.1478     0.0063               K211400200070 
 1.85       1.90       -0.825     0.1428     0.0074               K211400200071 
 1.85       1.90       -0.775     0.1674     0.0089               K211400200072 
 1.85       1.90       -0.725     0.1707     0.0095               K211400200073 
 1.85       1.90       -0.675     0.1559     0.0095               K211400200074 
 1.85       1.90       -0.625     0.1552     0.0098               K211400200075 
 1.90       1.95       -0.975     0.1639     0.0067               K211400200076 
 1.90       1.95       -0.925     0.1212     0.0054               K211400200077 
 1.90       1.95       -0.875     0.1094     0.0056               K211400200078 
 1.90       1.95       -0.825     0.1108     0.0067               K211400200079 
 1.90       1.95       -0.775     0.1222     0.0080               K211400200080 
 1.90       1.95       -0.725     0.1318     0.0087               K211400200081 
 1.90       1.95       -0.675     0.1265     0.0088               K211400200082 
 1.90       1.95       -0.625     0.1305     0.0096               K211400200083 
 1.95       2.00       -0.975     0.1228     0.0053               K211400200084 
 1.95       2.00       -0.925     0.0791     0.0040               K211400200085 
 1.95       2.00       -0.875     0.0713     0.0041               K211400200086 
 1.95       2.00       -0.825     0.0788     0.0052               K211400200087 
 1.95       2.00       -0.775     0.0833     0.0060               K211400200088 
 1.95       2.00       -0.725     0.0891     0.0067               K211400200089 
 1.95       2.00       -0.675     0.0953     0.0071               K211400200090 
 1.95       2.00       -0.625     0.0977     0.0074               K211400200091 
 2.00       2.10       -0.975     0.1158     0.0036               K211400200092 
 2.00       2.10       -0.925     0.0922     0.0029               K211400200093 
 2.00       2.10       -0.875     0.0716     0.0028               K211400200094 
 2.00       2.10       -0.825     0.0533     0.0029               K211400200095 
 2.00       2.10       -0.775     0.0563     0.0034               K211400200096 
 2.00       2.10       -0.725     0.0582     0.0037               K211400200097 
 2.00       2.10       -0.675     0.0575     0.0038               K211400200098 
 2.00       2.10       -0.625     0.0835     0.0047               K211400200099 
 2.10       2.20       -0.975     0.1164     0.0037               K211400200100 
 2.10       2.20       -0.925     0.0976     0.0031               K211400200101 
 2.10       2.20       -0.875     0.0607     0.0026               K211400200102 
 2.10       2.20       -0.825     0.0402     0.0026               K211400200103 
 2.10       2.20       -0.775     0.0305     0.0026               K211400200104 
 2.10       2.20       -0.725     0.0263     0.0026               K211400200105 
 2.10       2.20       -0.675     0.0335     0.0030               K211400200106 
 2.10       2.20       -0.625     0.0436     0.0035               K211400200107 
 2.20       2.30       -0.975     0.1255     0.0036               K211400200108 
 2.20       2.30       -0.925     0.1068     0.0030               K211400200109 
 2.20       2.30       -0.875     0.0695     0.0026               K211400200110 
 2.20       2.30       -0.825     0.0417     0.0024               K211400200111 
 2.20       2.30       -0.775     0.0214     0.0021               K211400200112 
 2.20       2.30       -0.725     0.0218     0.0022               K211400200113 
 2.20       2.30       -0.675     0.0230     0.0023               K211400200114 
 2.20       2.30       -0.625     0.0323     0.0028               K211400200115 
 2.30       2.40       -0.975     0.1320     0.0040               K211400200116 
 2.30       2.40       -0.925     0.1060     0.0033               K211400200117 
 2.30       2.40       -0.875     0.0702     0.0028               K211400200118 
 2.30       2.40       -0.825     0.0459     0.0027               K211400200119 
 2.30       2.40       -0.775     0.0290     0.0025               K211400200120 
 2.30       2.40       -0.725     0.0209     0.0024               K211400200121 
 2.30       2.40       -0.675     0.0202     0.0023               K211400200122 
 2.30       2.40       -0.625     0.0263     0.0028               K211400200123 
ENDDATA            114          0                                 K211400200124 
ENDSUBENT          123          0                                 K211400299999 
ENDENTRY             2          0                                 K211499999999 
