ENTRY            40566   19850423                             00004056600000001 
SUBENT        40566001   19850423                             00004056600100001 
BIB                  9         13                                 4056600100002 
INSTITUTE  (4CCPIFL)                                              4056600100003 
REFERENCE  (J,IZV,43,(10),2131,7910)                              4056600100004 
AUTHOR     (V.A.BONDARENKO,P.T.PROKOF'EV)                         4056600100005 
TITLE       LEVELS OF ER-167 IN (N,N'G) REACTION                  4056600100006 
INC-SOURCE (REAC) PROMPT NEUTRONS WERE SEPARATED BY THE FILTERS   4056600100007 
                  OF B4-C(10 MM), CD(1 MM), LI-6(10 MM)           4056600100008 
INC-SPECT   FAST NEUTRON SPECTRUM OF THE REACTOR                  4056600100009 
SAMPLE      ERBIUM OXIDE,MASS IS 34.GRAMS,ENRICHMENT IS 95.2PER-  4056600100010 
            CENT OF ER-167                                        4056600100011 
DETECTOR   (GELI)VOLUME IS 46.CM3,RESOLUTION IS 3.KEV FOR         4056600100012 
            E=661.KEV                                             4056600100013 
HISTORY    (800917C)                                              4056600100014 
           (840518A) EN-DUMMY INTRODUCED                          4056600100015 
ENDBIB              13          0                                 4056600100016 
COMMON               2          3                                 4056600100017 
EN-DUMMY   ANG                                                    4056600100018 
MEV        ADEG                                                   4056600100019 
 1.0000E+00 9.0000E+01                                            4056600100020 
ENDCOMMON            3          0                                 4056600100021 
ENDSUBENT           20          0                                 4056600199999 
SUBENT        40566002   19850423                             00004056600200001 
BIB                  1          2                                 4056600200002 
REACTION   (68-ER-167(N,INL)68-ER-167,,SPC,,REL) RELATIVELY       4056600200003 
                                 TO INTENSITY WITH E=207.8KEV     4056600200004 
ENDBIB               2          0                                 4056600200005 
NOCOMMON             0          0                                 4056600200006 
DATA                 4         89                                 4056600200007 
E          E-ERR      DATA       DATA-ERR                         4056600200008 
KEV        KEV        ARB-UNITS  ARB-UNITS                        4056600200009 
 5.4240E+02 2.0000E-01 1.4000E+00 3.0000E-01                      4056600200065 
 5.4465E+02 1.5000E-01 3.3000E+00 5.0000E-01                      4056600200066 
 5.4761E+02 1.5000E-01 3.3000E+00 5.0000E-01                      4056600200067 
 5.5470E+02 3.0000E-01 1.1000E+00 3.0000E-01                      4056600200068 
 5.6067E+02 1.5000E-01 1.2300E+01 7.0000E-01                      4056600200069 
 5.7370E+02 1.0000E-01 1.8100E+01 9.0000E-01                      4056600200070 
 5.8340E+02 3.0000E-01 1.4000E+00 5.0000E-01                      4056600200071 
 5.9160E+02 2.0000E-01 4.1000E+00 5.0000E-01                      4056600200072 
 6.0040E+02 4.0000E-01 8.0000E-01 4.0000E-01                      4056600200073 
 6.1300E+02 2.0000E-01 2.7000E+00 4.0000E-01                      4056600200074 
 6.2350E+02 2.0000E-01 1.3000E+00 3.0000E-01                      4056600200075 
 6.2810E+02 3.0000E-01 2.8000E+00 6.0000E-01                      4056600200076 
 6.3179E+02 1.2000E-01 1.2700E+01 9.0000E-01                      4056600200077 
 6.4008E+02 1.6000E-01 5.3000E+00 4.0000E-01                      4056600200078 
 6.4641E+02 2.0000E-01 5.2000E+00 4.0000E-01                      4056600200079 
 6.5023E+02 2.0000E-01 4.1000E+00 4.0000E-01                      4056600200080 
 6.6137E+02 2.0000E-01 5.3000E+00 5.0000E-01                      4056600200081 
 6.7090E+02 2.0000E-01 2.2000E+00 4.0000E-01                      4056600200082 
 6.7600E+02 3.0000E-01 1.5000E+00 3.0000E-01                      4056600200083 
 7.1084E+02 1.3000E-01 1.6700E+01 1.1000E+00                      4056600200084 
 7.2760E+02 2.0000E-01 2.6000E+00 4.0000E-01                      4056600200085 
 7.4165E+02 2.5000E-01 3.3000E+00 4.0000E-01                      4056600200086 
 7.4890E+02 1.9000E-01 5.4000E+00 5.0000E-01                      4056600200087 
 7.5516E+02 1.8000E-01 4.3000E+00 4.0000E-01                      4056600200088 
 7.6380E+02 3.0000E-01 2.6000E+00 4.0000E-01                      4056600200089 
 7.7950E+02 3.0000E-01 1.4000E+00 3.0000E-01                      4056600200090 
 7.8850E+02 3.0000E-01 2.0000E+00 4.0000E-01                      4056600200091 
 7.9359E+02 1.8000E-01 4.5000E+00 4.0000E-01                      4056600200092 
 8.1053E+02 1.1000E-01 8.6000E+00 6.0000E-01                      4056600200093 
 8.3100E+02 3.0000E-01 1.4000E+00 3.0000E-01                      4056600200094 
 8.5353E+02 1.5000E-01 5.0000E+00 5.0000E-01                      4056600200095 
 8.7324E+02 2.0000E-01 3.6000E+00 4.0000E-01                      4056600200096 
 8.8004E+02 2.0000E-01 3.8000E+00 4.0000E-01                      4056600200097 
 1.1711E+03 8.0000E-01 6.0000E+00 8.0000E-01                      4056600200098 
ENDDATA             91          0                                 4056600200099 
ENDSUBENT           98          0                                 4056600299999 
ENDENTRY             2          0                                 4056699999999 
