ENTRY            41454   20141020                             41654145400000001 
SUBENT        41454001   20141020                             41654145400100001 
BIB                 12         20                                 4145400100002 
TITLE      Cascade gamma-decay of compound states of 60-Co nucleus4145400100003 
AUTHOR     (A.M.Sukhovoi,V.A.Khitrov)                             4145400100004 
INSTITUTE  (4ZZZDUB)                                              4145400100005 
REFERENCE  (J,IZV,67,(5),722,2003)                                4145400100006 
           (J,BAS,67,796,2003)                                    4145400100007 
           Engl.translation of J,IZV,67,(5),722,2003              4145400100008 
FACILITY   (REAC,4ZZZDUB) IBR-30 Reactor                          4145400100009 
SAMPLE      No information                                        4145400100010 
DETECTOR   (GE) Two Ge-detectors,relative efficiency 10% and 15%  4145400100011 
           were used to detect gamma-gamma coincidence during     4145400100012 
           600 h.                                                 4145400100013 
METHOD     (COINC)                                                4145400100014 
           Resolution 3 kev at the edges, 4.7 keV at the center.  4145400100015 
INC-SOURCE (REAC)                                                 4145400100016 
INC-SPECT   Thermal neutrons.                                     4145400100017 
ERR-ANALYS (DATA-ERR) Errors  not specified                       4145400100018 
HISTORY    (20050829C)  Compiled at CJD  (M.M.)                   4145400100019 
           (20051108A) SUB.002,.003 were corrected  (M.M.)        4145400100020 
           (20141020U) Engl.translation ref. was added.           4145400100021 
           Article was checked, BIB information was updated.      4145400100022 
ENDBIB              20          0                                 4145400100023 
COMMON               1          3                                 4145400100024 
EN-DUMMY                                                          4145400100025 
EV                                                                4145400100026 
   2.53E-02                                                       4145400100027 
ENDCOMMON            3          0                                 4145400100028 
ENDSUBENT           27          0                                 4145400199999 
SUBENT        41454002   20141020                             41654145400200001 
BIB                  5         12                                 4145400200002 
REACTION   (27-CO-59(N,2G)27-CO-60,,SPC,,SPA)  Intensity of       4145400200003 
            two-gamma cascade for Co-60 compound nucleus          4145400200004 
EN-SEC     (E1,G) First gamma energy                              4145400200005 
           (E2,G) Second gamma energy                             4145400200006 
            (E-LVL,27-CO-60)) Energy of cascade intermediate level4145400200007 
COMMENT     Of compiler:                                          4145400200008 
             2. data were given in particles/1.e5 decays units    4145400200009 
                in article, recalculated by compiler              4145400200010 
HISTORY    (20051207A) Error in DATA value for E1=5660.2,E2=1554.54145400200011 
              was corrected according to Tables, received from    4145400200012 
            author A.Sukhovoy.  (M.M.)                            4145400200013 
STATUS     (TABLE)  From Table 1 of J,IZV,67,(5),722,2003 .       4145400200014 
ENDBIB              12          0                                 4145400200015 
NOCOMMON             0          0                                 4145400200016 
DATA                 6        218                                 4145400200017 
E1         E2         DATA       DATA-ERR   E-LVL      E-LVL-ERR  4145400200018 
KEV        KEV        PC/REAC    PC/REAC    KEV        KEV        4145400200019 
7215.3      276.6     3.454      0.208       276.6     0.1        4145400200020 
7205.0      228.3     0.679      0.072       286.9     0.1        4145400200021 
7056.7      435.2     0.624      0.064       435.2     0.2        4145400200022 
6986.4      446.9     2.839      0.146       505.5     0.1        4145400200023 
6949.9      483.4     0.222      0.041       542.0     0.3        4145400200024 
6878.1      613.8     8.376      0.21        613.8     0.1        4145400200025 
6706.5      785.4     4.064      0.134       785.4     0.3        4145400200026 
6706.5      726.8     0.109      0.024       785.4     0.3        4145400200027 
6706.5      497.0     3.326      0.335       785.4     0.3        4145400200028 
6488.4      944.9     1.209      0.066      1003.5     0.4        4145400200029 
6488.4      461.7     0.311      0.092      1003.5     0.4        4145400200030 
6486.3     1005.6     0.218      0.032      1005.6     0.4        4145400200031 
6486.3      728.4     0.857      0.066      1005.6     0.4        4145400200032 
6486.3      717.2     1.513      0.099      1005.6     0.4        4145400200033 
6486.3      391.1     1.601      0.164      1005.6     0.4        4145400200034 
6476.3      727.2     0.08       0.024      1015.6     0.5        4145400200035 
6384.9      829.8     0.059      0.017      1107.0     0.6        4145400200036 
6283.7     1208.2     0.15       0.024      1208.2     0.4        4145400200037 
6283.7      931.0     0.469      0.04       1208.2     0.4        4145400200038 
6266.2     1167.1     0.042      0.015      1225.7     0.7        4145400200039 
6230.0     1203.3     0.028      0.013      1261.9     0.9        4145400200040 
6221.6      728.5     0.109      0.036      1270.3     0.7        4145400200041 
6150.4     1282.9     0.232      0.03       1341.5     0.2        4145400200042 
6110.9     1103.8     0.247      0.032      1381.0     0.4        4145400200043 
6110.9     1092.6     0.178      0.04       1381.0     0.4        4145400200044 
6040.4     1174.3     0.12       0.023      1451.5     0.8        4145400200045 
6040.4      909.7     0.072      0.033      1451.5     0.8        4145400200046 
6003.4      946.7     0.107      0.035      1488.5     0.7        4145400200047 
5976.3     1515.6     4.554      0.158      1515.6     0.6        4145400200048 
5976.3     1457.0     0.181      0.03       1515.6     0.6        4145400200049 
5976.3     1227.2     0.45       0.063      1515.6     0.6        4145400200050 
5976.3      973.8     0.142      0.038      1515.6     0.6        4145400200051 
5976.3      901.1     0.925      0.061      1515.6     0.6        4145400200052 
5968.7     1234.8     0.136      0.035      1523.2     0.6        4145400200053 
5930.7     1502.6     0.086      0.033      1561.2     0.5        4145400200054 
5930.7      946.7     0.19       0.031      1561.2     0.5        4145400200055 
5925.5     1507.8     1.1128     0.077      1566.4     0.4        4145400200056 
