ENTRY            41548   20141220                             41664154800000001 
SUBENT        41548001   20141220                             41664154800100001 
BIB                 12         28                                 4154800100002 
REFERENCE  ((S,ISINN-8,334,2000)=(S,JINR-E3-2000-192,2000))       4154800100003 
           ((S,ISINN-7,158,1999)=(S,JINR-E3-99-212,158,1999))     4154800100004 
            Preliminary results.                                  4154800100005 
COMMENT    Of compiler.                                           4154800100006 
           On first page of ISINN-7 : E3-98-212 is printed,       4154800100007 
           on last page of ISINN-7 : E3-99-212 .                  4154800100008 
AUTHOR     (S.B.Borzakov, H.Faikov-Stanczyk, Ts.Ts.Panteleev,     4154800100009 
           S.A.Telezhnikov, Yu.V.Grigoriev, L.M.Smotritsky,       4154800100010 
           B.P.Konstantinov)                                      4154800100011 
TITLE       Gamma-ray transitions of Sn-118 observed in radiative 4154800100012 
           capture of thermal neutrons.                           4154800100013 
INSTITUTE  (4ZZZDUB) S.B.Borzakov, H.Faikov-Stanczyk,             4154800100014 
           Ts.Ts.Panteleev, S.A.Telezhnikov                       4154800100015 
           (4RUSFEI) Yu.V.Grigoriev                               4154800100016 
           (4RUSLIN) L.M.Smotritsky, B.P.Konstantinov             4154800100017 
REL-REF    (R,,B.Krusche+,J,NP/A,386,245,1982)                    4154800100018 
FACILITY   (REAC,4ZZZDUB) IBR-2 pulsed reactor.                   4154800100019 
INC-SOURCE (REAC) Mirror guide at flight path 6b of IBR-2.        4154800100020 
            Distance from active zone - 34 m.                     4154800100021 
INC-SPECT   Neutron flux on the sample 3.E+6 n/cm**2/sec.         4154800100022 
SAMPLE       400 g metallic tin enriched in Sn-117 to 88 %.       4154800100023 
DETECTOR   (HPGE) 72 cm**3 HPGe detector to register gamma-rays.  4154800100024 
            Efficiency was determined by Cl(n,g) reaction using   4154800100025 
           intensities from REL-REF of Krusche+.                  4154800100026 
HISTORY    (20101202C)                                            4154800100027 
           (20111019A) E-LVL-INI/FIN -> LVL-INI/FIN.              4154800100028 
             Mistakes in headings were corrected.                 4154800100029 
           (20141220U) COMMENT was added.                         4154800100030 
ENDBIB              28          0                                 4154800100031 
NOCOMMON             0          0                                 4154800100032 
ENDSUBENT           31          0                                 4154800199999 
SUBENT        41548002   20111019                             41544154800200001 
BIB                  3          5                                 4154800200002 
REACTION   (50-SN-117(N,G)50-SN-118,,SPC,,SPA/REL) Gamma-intensity4154800200003 
           normalized using the sum of intensities of 14          4154800200004 
           transitions on the ground state as 100%.               4154800200005 
EN-SEC     (E,G)                                                  4154800200006 
STATUS     (TABLE) Table 1 of S,ISINN-8,334,2000                  4154800200007 
ENDBIB               5          0                                 4154800200008 
COMMON               2          3                                 4154800200009 
EN-MIN     EN-MAX                                                 4154800200010 
MILLI-EV   MILLI-EV                                               4154800200011 
 3.         60.                                                   4154800200012 
ENDCOMMON            3          0                                 4154800200013 
DATA                 6         78                                 4154800200014 
E          E-ERR      DATA       DATA-ERR   LVL-INI    LVL-FIN    4154800200015 
KEV        KEV        ARB-UNITS  ARB-UNITS  KEV        KEV        4154800200016 
 683.014   0.662       0.16      0.03       2963.44    2280.34    4154800200017 
 766.750   1.117       0.16      0.03       3048.35    2280.34    4154800200018 
 813.130   0.019       9.18      0.92       2042.88    1229.66    4154800200019 
 827.335   0.035       4.09      0.41       2056.91    1229.66    4154800200020 
 859.586   0.989       0.21      0.04       3592.54    2733.78    4154800200021 
 886.944   0.314       0.37      0.04       5379.40    4495.40    4154800200022 
1050.480   0.032       4.25      0.43       2280.34    1229.66    4154800200023 
1095.548   0.020       8.26      0.83       3374.60    2280.34    4154800200024 
1098.864   0.026       5.44      0.54       2328.02    1229.66    4154800200025 
1173.326   0.023       6.35      0.63       2403.22    1229.66    4154800200026 
1182.406   0.526       0.32      0.06       3460.49    2280.34    4154800200027 
1229.580   0.003      72.74      7.27       1229.67    0.         4154800200028 
1259.152   0.569       0.17      0.03       2499.87    1229.66    4154800200029 
1267.829   0.076       1.69      0.17       3753.85    2488.87    4154800200030 
1300.192   0.342       0.47      0.05       3704.84    2403.22    4154800200031 
1376.133   0.331       0.51      0.05       3704.84    2328.02    4154800200032 
1384.057   0.953       0.18      0.04       3709.87    2328.02    4154800200033 
1419.521   0.184       0.76      0.08       3460.49    2042.88    4154800200034 
1447.737   0.163       1.69      0.17       2677.35    1229.66    4154800200035 
1473.336   0.570       0.20      0.04       3753.85    2280.34    4154800200036 
1508.377   0.048       4.04      0.40       2738.01    1229.66    4154800200037 
1674.185   0.254       0.61      0.06       2903.87    1229.66    4154800200038 
1699.355   0.241       0.70      0.07       2929.72    1229.66    4154800200039 
1907.647   0.337       0.53      0.15       3137.48    1229.66    4154800200040 
1997.732   0.252       0.54      0.11       3227.67    1229.66    4154800200041 
2022.332   0.178       0.77      0.08       3252.03    1229.66    4154800200042 
2042.977   0.141       7.95      0.80       2042.88    0.         4154800200043 
2079.012   0.240       0.75      0.07       3308.54    1229.66    4154800200044 
2125.173   0.191       1.00      0.20       3355.86    1229.66    4154800200045 
2198.687   0.845       0.18      0.05       3427.11    1229.66    4154800200046 
2310.667   0.302       0.71      0.07       3540.57    1229.66    4154800200047 
2327.906   0.174       1.17      0.12       2328.02    0.         4154800200048 
2465.151   1.066       0.27      0.14       3696.78    1229.66    4154800200049 
2497.303   1.195       0.17      0.05       2496.88    0.         4154800200050 
2532.188   0.183       1.22      0.12       3762.13    1229.66    4154800200051 
2611.335   0.840       1.74      0.42       3838.88    1229.66    4154800200052 
2670.339   0.476       0.41      0.08       3898.90    1229.66    4154800200053 
2676.994   0.153       2.65      0.27       2677.35    0.         4154800200054 
2739.125   0.525       1.19      0.12       2738.01    0.         4154800200055 
2815.237   0.574       0.47      0.14       4044.60    1229.66    4154800200056 
2878.570   0.186       0.53      0.20       4109.00    1229.66    4154800200057 
2897.878   0.282       0.80      0.16       4126.70    1229.66    4154800200058 
