        4.5        40.   5.32E-02   0.11E-02                      40899  2  116 
        4.7         3.  12.48E-02   0.24E-02                      40899  2  117 
        4.7        10.  12.70E-02   0.24E-02                      40899  2  118 
        4.7        20.   9.93E-02   0.19E-02                      40899  2  119 
        4.7        30.   6.86E-02   0.13E-02                      40899  2  120 
        4.7        40.   4.75E-02   0.11E-02                      40899  2  121 
        4.9         3.  11.18E-02   0.23E-02                      40899  2  122 
        4.9        10.  11.44E-02   0.24E-02                      40899  2  123 
        4.9        20.   8.91E-02   0.19E-02                      40899  2  124 
        4.9        30.   6.10E-02   0.13E-02                      40899  2  125 
        4.9        40.   4.24E-02   0.10E-02                      40899  2  126 
        5.1         3.   9.98E-02   0.20E-02                      40899  2  127 
        5.1        10.  10.24E-02   0.21E-02                      40899  2  128 
        5.1        20.   7.99E-02   0.16E-02                      40899  2  129 
        5.1        30.   5.41E-02   0.11E-02                      40899  2  130 
        5.1        40.   3.81E-02   0.09E-02                      40899  2  131 
        5.3         3.   8.90E-02   0.16E-02                      40899  2  132 
        5.3        10.   9.20E-02   0.17E-02                      40899  2  133 
        5.3        20.   7.16E-02   0.14E-02                      40899  2  134 
        5.3        30.   4.82E-02   0.09E-02                      40899  2  135 
        5.3        40.   3.40E-02   0.08E-02                      40899  2  136 
        5.5         3.   7.94E-02   0.16E-02                      40899  2  137 
        5.5        10.   8.24E-02   0.17E-02                      40899  2  138 
        5.5        20.   6.41E-02   0.13E-02                      40899  2  139 
        5.5        30.   4.24E-02   0.09E-02                      40899  2  140 
        5.5        40.   3.02E-02   0.07E-02                      40899  2  141 
        5.7         3.   7.06E-02   0.17E-02                      40899  2  142 
        5.7        10.   7.34E-02   0.17E-02                      40899  2  143 
        5.7        20.   5.38E-02   0.14E-02                      40899  2  144 
        5.7        30.   3.76E-02   0.09E-02                      40899  2  145 
        5.7        40.   2.69E-02   0.08E-02                      40899  2  146 
        5.9         3.   6.28E-02   0.10E-02                      40899  2  147 
        5.9        10.   6.58E-02   0.10E-02                      40899  2  148 
        5.9        20.   5.09E-02   0.08E-02                      40899  2  149 
        5.9        30.   3.36E-02   0.05E-02                      40899  2  150 
        5.9        40.   2.42E-02   0.06E-02                      40899  2  151 
        6.1         3.   5.57E-02   0.10E-02                      40899  2  152 
        6.1        10.   5.80E-02   0.11E-02                      40899  2  153 
        6.1        20.   4.45E-02   0.09E-02                      40899  2  154 
        6.1        30.   2.96E-02   0.06E-02                      40899  2  155 
        6.1        40.   2.14E-02   0.06E-02                      40899  2  156 
        6.3         3.   4.9 E-02   0.10E-02                      40899  2  157 
        6.3        10.   5.11E-02   0.10E-02                      40899  2  158 
        6.3        20.   3.94E-02   0.08E-02                      40899  2  159 
        6.3        30.   2.6 E-02   0.05E-02                      40899  2  160 
        6.3        40.   1.91E-02   0.05E-02                      40899  2  161 
        6.5         3.   4.38E-02   0.08E-02                      40899  2  162 
        6.5        10.   4.55E-02   0.08E-02                      40899  2  163 
        6.5        20.   3.48E-02   0.07E-02                      40899  2  164 
        6.5        30.   2.30E-02   0.04E-02                      40899  2  165 
        6.5        40.   1.70E-02   0.05E-02                      40899  2  166 
        6.7         3.   3.86E-02   0.09E-02                      40899  2  167 
        6.7        10.   4.05E-02   0.10E-02                      40899  2  168 
        6.7        20.   3.08E-02   0.09E-02                      40899  2  169 
        6.7        30.   2.04E-02   0.05E-02                      40899  2  170 
        6.7        40.   1.52E-02   0.05E-02                      40899  2  171 
        6.9         3.   3.42E-02   0.05E-02                      40899  2  172 
        6.9        10.   3.58E-02   0.06E-02                      40899  2  173 
        6.9        20.   2.76E-02   0.04E-02                      40899  2  174 
        6.9        30.   1.80E-02   0.03E-02                      40899  2  175 
        6.9        40.   1.35E-02   0.04E-02                      40899  2  176 
        7.1         3.   3.02E-02   0.05E-02                      40899  2  177 
        7.1        10.   3.16E-02   0.06E-02                      40899  2  178 
        7.1        20.   2.43E-02   0.04E-02                      40899  2  179 
        7.1        30.   1.58E-02   0.03E-02                      40899  2  180 
        7.1        40.   1.20E-02   0.03E-02                      40899  2  181 
        7.3         3.   2.66E-02   0.05E-02                      40899  2  182 
        7.3        10.   2.77E-02   0.05E-02                      40899  2  183 
        7.3        20.   2.15E-02   0.04E-02                      40899  2  184 
        7.3        30.   1.39E-02   0.03E-02                      40899  2  185 
