ENTRY            40635   20231003                             421540635  0    1 
SUBENT        40635001   20231003                             421540635  1    1 
BIB                 11         18                                 40635  1    2 
TITLE      The investigation of Gd-156 in (n,n'gamma) reaction    40635  1    3 
AUTHOR     (Ya.Ya.Berzin',T.V.Guseva,P.T.Prokof'ev,Yu.Ya.Tamberg) 40635  1    4 
REFERENCE  (C,83MOSCOW,,119,1983)                                 40635  1    5 
INSTITUTE  (4LATIFL)                                              40635  1    6 
REL-REF    (I,40558001,Ya.Ya.Berzin',C,83MOSCOW,,123,1983)        40635  1    7 
FACILITY   (REAC,4LATIFL)                                         40635  1    8 
INC-SOURCE (REAC) Reactor IRT                                     40635  1    9 
SAMPLE      Gd(2)0(3) target, weight 17. g, enrichment 95.5 % of  40635  1   10 
            GD-156.                                               40635  1   11 
           (64-GD-156,ENR=0.955)                                  40635  1   12 
DETECTOR   (GELI)                                                 40635  1   13 
MONITOR    (26-FE-56(N,INL)26-FE-56,,SPC)                         40635  1   14 
HISTORY    (19840517C)                                            40635  1   15 
           (20231003A) BIB information was updated.               40635  1   16 
            Upper -> lower case correction.                       40635  1   17 
            Dates were corrected for 4-digits year.               40635  1   18 
           EN-MIN/MAX = 60./3000. keV -> EN-DUMMY = 1. MeV        40635  1   19 
            ( 60 - 3000 keV is range of gamma energy).            40635  1   20 
ENDBIB              18          0                                 40635  1   21 
COMMON               3          3                                 40635  1   22 
EN-DUMMY   ANG        E-NRM                                       40635  1   23 
MEV        ADEG       KEV                                         40635  1   24 
 1.         90.        846.                                       40635  1   25 
ENDCOMMON            3          0                                 40635  1   26 
ENDSUBENT           25          0                                 40635  199999 
SUBENT        40635002   20231003                             421540635  2    1 
BIB                  5         11                                 40635  2    2 
REACTION   (64-GD-156(N,INL)64-GD-156,,SPC/DA,,REL)               40635  2    3 
            Relative to SPC of Fe-56 for E=846.keV .              40635  2    4 
COMMENT     Of authors.                                           40635  2    5 
            290 transitions were detected, 80 of them - at        40635  2    6 
            first time.                                           40635  2    7 
            Only most intensive transitions are given in the      40635  2    8 
            article.                                              40635  2    9 
ERR-ANALYS (DATA-ERR) Type of uncertainty is not explained in the 40635  2   10 
            article.                                              40635  2   11 
STATUS     (TABLE,,Ya.Ya.Berzin',C,83MOSCOW,,119,1983)            40635  2   12 
HISTORY    (20231003A) SPC -> SPC/DA                              40635  2   13 
ENDBIB              11          0                                 40635  2   14 
NOCOMMON             0          0                                 40635  2   15 
DATA                 4         39                                 40635  2   16 
E          E-ERR      DATA       DATA-ERR                         40635  2   17 
KEV        KEV        ARB-UNITS  ARB-UNITS                        40635  2   18 
   120.75     0.27        3.0        0.3                          40635  2   19 
   126.35     0.19        3.8        0.4                          40635  2   20 
   421.72     0.23        2.1        0.3                          40635  2   21 
   663.40     0.29        2.1        0.4                          40635  2   22 
   794.08     0.28        2.0        0.3                          40635  2   23 
   819.55     0.23        3.7        0.4                          40635  2   24 
   924.37     0.33        3.6        0.7                          40635  2   25 
   956.23     0.25        3.4        0.4                          40635  2   26 
   999.02     0.30        2.7        0.5                          40635  2   27 
  1116.3      0.7         3.4        0.1                          40635  2   28 
  1138.1      0.5         2.2        0.3                          40635  2   29 
  1183.41     0.37        6.9        1.1                          40635  2   30 
  1198.6      0.7         3.0        0.9                          40635  2   31 
  1205.33     0.33        6.0        0.7                          40635  2   32 
  1215.12     0.24        4.1        0.5                          40635  2   33 
  1283.69     0.20        2.8        0.3                          40635  2   34 
  1291.06     0.13        5.8        0.4                          40635  2   35 
  1325.20     0.21        3.1        0.3                          40635  2   36 
  1353.77     0.33        2.1        0.3                          40635  2   37 
  1407.9      0.4         2.1        0.4                          40635  2   38 
  1409.4      0.5         2.9        0.7                          40635  2   39 
  1455.6      0.4         2.7        0.4                          40635  2   40 
  1462.84     0.22        2.5        0.4                          40635  2   41 
  1497.92     0.29        2.2        0.5                          40635  2   42 
  1507.12     0.18        4.6        0.5                          40635  2   43 
  1707.0      0.4         5.2        0.8                          40635  2   44 
  1810.34     0.24        3.3        0.3                          40635  2   45 
  1824.00     0.21        4.3        0.4                          40635  2   46 
  1909.3      0.8         3.2        0.9                          40635  2   47 
  2093.41     0.26        3.4        0.3                          40635  2   48 
  2104.06     0.36        2.3        0.3                          40635  2   49 
  2304.8      0.5         2.4        0.5                          40635  2   50 
  2348.9      0.6         2.1        0.5                          40635  2   51 
  2363.9      0.5         2.5        0.5                          40635  2   52 
  2437.8      0.7         1.7        0.5                          40635  2   53 
  2497.8      0.5         2.1        0.4                          40635  2   54 
  2577.6      0.5         2.4        0.4                          40635  2   55 
  2663.3      0.6         1.7        0.5                          40635  2   56 
  2824.1      0.6         1.5        0.4                          40635  2   57 
ENDDATA             41          0                                 40635  2   58 
ENDSUBENT           57          0                                 40635  299999 
ENDENTRY             2          0                                 4063599999999 
