ENTRY            41328   20200315                             418641328  0    1 
SUBENT        41328001   20200315                             418641328  1    1 
BIB                 13         45                                 41328  1    2 
INSTITUTE  (4RUSFEI)  First five authors                          41328  1    3 
           (3CUBHAB)  Last author                                 41328  1    4 
REFERENCE  (S,INDC(NDS)-272,131,1992)   Main reference            41328  1    5 
                            Numerical data and graphs.            41328  1    6 
           (C,88SMOLEN,,272,1988)    Experimental details, graphs 41328  1    7 
           (W,SIMAKOV,199903)  Numerical data given via internet  41328  1    8 
AUTHOR     (S.P.Simakov, B.V.Devkin, M.G.Kobosev, A.A.Lychagin,   41328  1    9 
            V.A.Talalaev, C.Sandin)                               41328  1   10 
TITLE       Differential neutron emission cross-sections for      41328  1   11 
            beryllium and tungsten at 14 MeV incident neutron     41328  1   12 
            energy                                                41328  1   13 
FACILITY   (CCW,4RUSFEI) Klystron neutron generator KG-0.3        41328  1   14 
           Time of flight spectrometer.                           41328  1   15 
METHOD     (TOF) Neutron flight path length was 709 cm,           41328  1   16 
            time resolution 3nsec, energy resolution 0.6 and 0.01 41328  1   17 
            MeV a for 14 and 1 MeV, respectively.                 41328  1   18 
           . Neutron detector efficiency was determined           41328  1   19 
           - by Cf-252 ionization chamber measurement and standard41328  1   20 
            CF-252 neutron spectrum,                              41328  1   21 
           - above 6-8 MeV -by measurement of n-p scattering cross41328  1   22 
            section and standard C-S from IAEA-TECDOC-227,1989.   41328  1   23 
DETECTOR   (SCIN) NE-218 liquid scintillator 10 cm in diameter    41328  1   24 
                  and 5 cm in length.                             41328  1   25 
           (LONGC) For monitoring of neutron yield and            41328  1   26 
           normalization of different runs.                       41328  1   27 
INC-SOURCE (D-T) 2.5 nsec pulsed neutrons were generated by       41328  1   28 
                 klystron neutron generator KG-0.3 of IPPE        41328  1   29 
SAMPLE     .Metallic Be-9 (natural abundance), hollow cylinder:   41328  1   30 
            outer diameter 45mm, inner diameter 30mm, height 56mm,41328  1   31 
            number of nuclei - 6.108E+24 .                        41328  1   32 
           .Metallic W (natural abundance), hollow cylinder:      41328  1   33 
            outer diameter 42mm, inner diameter 20mm, height 50mm,41328  1   34 
            number of nuclei - 1.838E+24 .                        41328  1   35 
CORRECTION .Data were corrected for multiple scattering,          41328  1   36 
            elastically scattered neutrons were subtracted        41328  1   37 
ERR-ANALYS (ERR-1) Uncertainty in determination of neutron        41328  1   38 
            detector efficiency.                                  41328  1   39 
           (ERR-2) uncertainty of absolute normalization.         41328  1   40 
           (ERR-3) calculation of multiple scattering correction  41328  1   41 
           in the sample.                                         41328  1   42 
STATUS     (APRVD)   S.Simakov, 1999-03-26                        41328  1   43 
HISTORY    (19990331C)  + +   Compiled at the CJD                 41328  1   44 
           (20200315U) Ref. INDC(NDS)-272 was corrected           41328  1   45 
                      (131) -> 131.                               41328  1   46 
           STATUS was added in data Subents.                      41328  1   47 
ENDBIB              45          0                                 41328  1   48 
COMMON               3          3                                 41328  1   49 
ERR-1      ERR-2      ERR-3                                       41328  1   50 
PER-CENT   PER-CENT   PER-CENT                                    41328  1   51 
 6.         3.         3.                                         41328  1   52 
ENDCOMMON            3          0                                 41328  1   53 
ENDSUBENT           52          0                                 41328  199999 
SUBENT        41328002   20200315                             418641328  2    1 
BIB                  3          7                                 41328  2    2 
REACTION   (4-BE-9(N,X)0-NN-1,EM,DA/DE)                           41328  2    3 
ERR-ANALYS (ERR-T) Total error                                    41328  2    4 
            (6-25% in double differential CS)                     41328  2    5 
           (ERR-S,2.,25.) Statistical uncertainty of measured     41328  2    6 
           spectra.                                               41328  2    7 
STATUS     (TABLE) From the author S.Simakov                      41328  2    8 
           Table 2 of INDC(NDS)-272,,131,1992                     41328  2    9 
ENDBIB               7          0                                 41328  2   10 
NOCOMMON             0          0                                 41328  2   11 
DATA                 5        245                                 41328  2   12 
EN         ANG        E          DATA       ERR-T                 41328  2   13 
  13.72       120.0    7.2         3.27       .42                 41328  2   80 
  13.72       120.0    7.4         4.84       .40                 41328  2   81 
  13.72       120.0    7.6         5.99       .52                 41328  2   82 
  13.72       120.0    7.8         5.98       .38                 41328  2   83 
  13.72       120.0    8.0         5.12       .62                 41328  2   84 
  13.72       120.0    8.2         2.78       .52                 41328  2   85 
  13.72       120.0    8.4         1.32       .25                 41328  2   86 
  13.72       120.0    8.6          .73       .21                 41328  2   87 
  13.72       120.0    8.8          .19       .27                 41328  2   88 
  14.10        90.0     .8        15.37      1.51                 41328  2   89 
  14.10        90.0    1.0        13.70       .99                 41328  2   90 
  14.10        90.0    1.2        12.93       .87                 41328  2   91 
  14.10        90.0    1.4        11.37       .76                 41328  2   92 
  14.10        90.0    1.6        10.66       .70                 41328  2   93 
  14.10        90.0    1.8         9.47       .63                 41328  2   94 
  14.10        90.0    2.0         8.05       .54                 41328  2   95 
  14.10        90.0    2.2         6.47       .45                 41328  2   96 
  14.10        90.0    2.4         5.80       .41                 41328  2   97 
  14.10        90.0    2.6         5.11       .37                 41328  2   98 
  14.10        90.0    2.8         4.33       .34                 41328  2   99 
  14.10        90.0    3.0         4.00       .32                 41328  2  100 
  14.10        90.0    3.2         3.41       .29                 41328  2  101 
  14.10        90.0    3.4         3.03       .26                 41328  2  102 
  14.10        90.0    3.6         2.88       .25                 41328  2  103 
  14.10        90.0    3.8         2.89       .26                 41328  2  104 
  14.10        90.0    4.0         3.08       .26                 41328  2  105 
  14.10        90.0    4.2         3.22       .28                 41328  2  106 
  14.10        90.0    4.4         3.32       .28                 41328  2  107 
  14.10        90.0    4.6         3.60       .30                 41328  2  108 
  14.10        90.0    4.8         3.87       .29                 41328  2  109 
  14.10        90.0    5.0         4.11       .33                 41328  2  110 
  14.10        90.0    5.2         4.30       .32                 41328  2  111 
  14.10        90.0    5.4         4.40       .34                 41328  2  112 
  14.10        90.0    5.6         4.20       .33                 41328  2  113 
  14.10        90.0    5.8         3.74       .29                 41328  2  114 
  14.10        90.0    6.0         3.24       .27                 41328  2  115 
  14.10        90.0    6.2         2.73       .27                 41328  2  116 
  14.10        90.0    6.4         2.31       .22                 41328  2  117 
  14.10        90.0    6.6         2.05       .22                 41328  2  118 
  14.10        90.0    6.8         1.94       .22                 41328  2  119 
  14.10        90.0    7.0         1.94       .21                 41328  2  120 
  14.10        90.0    7.2         1.50       .26                 41328  2  121 
  14.10        90.0    7.4         1.47       .20                 41328  2  122 
  14.10        90.0    7.6         1.51       .19                 41328  2  123 
  14.10        90.0    7.8         1.38       .25                 41328  2  124 
  14.10        90.0    8.0         1.65       .24                 41328  2  125 
  14.10        90.0    8.2         1.82       .19                 41328  2  126 
  14.10        90.0    8.4         2.47       .26                 41328  2  127 
  14.10        90.0    8.6         4.02       .34                 41328  2  128 
  14.10        90.0    8.8         5.60       .42                 41328  2  129 
  14.10        90.0    9.0         5.73       .42                 41328  2  130 
  14.10        90.0    9.2         6.05       .44                 41328  2  131 
  14.10        90.0    9.4         6.20       .44                 41328  2  132 
  14.10        90.0    9.6         4.75       .36                 41328  2  133 
  14.10        90.0    9.8         2.73       .24                 41328  2  134 
  14.10        90.0   10.0         1.25       .29                 41328  2  135 
  14.10        90.0   10.2          .46       .35                 41328  2  136 
  14.10        90.0   10.4          .08       .21                 41328  2  137 
  14.49        60.0     .8        24.29      2.49                 41328  2  138 
  14.49        60.0    1.0        17.15      1.38                 41328  2  139 
  14.49        60.0    1.2        17.24      1.23                 41328  2  140 
  14.49        60.0    1.4        14.48      1.04                 41328  2  141 
  14.49        60.0    1.6        13.99       .96                 41328  2  142 
  14.49        60.0    1.8        12.22       .85                 41328  2  143 
  14.49        60.0    2.0        10.61       .75                 41328  2  144 
  14.49        60.0    2.2         9.65       .69                 41328  2  145 
  14.49        60.0    2.4         9.36       .66                 41328  2  146 
  14.49        60.0    2.6         8.44       .63                 41328  2  147 
  14.49        60.0    2.8         7.12       .56                 41328  2  148 
  14.49        60.0    3.0         5.95       .50                 41328  2  149 
  14.49        60.0    3.2         5.70       .48                 41328  2  150 
  14.49        60.0    3.4         4.82       .42                 41328  2  151 
  14.49        60.0    3.6         4.66       .41                 41328  2  152 
  14.49        60.0    3.8         4.54       .41                 41328  2  153 
  14.49        60.0    4.0         4.25       .41                 41328  2  154 
  14.49        60.0    4.2         4.43       .40                 41328  2  155 
  14.49        60.0    4.4         3.66       .41                 41328  2  156 
  14.49        60.0    4.6         3.48       .36                 41328  2  157 
  14.49        60.0    4.8         3.62       .38                 41328  2  158 
  14.49        60.0    5.0         3.65       .37                 41328  2  159 
  14.49        60.0    5.2         3.55       .39                 41328  2  160 
  14.49        60.0    5.4         4.04       .40                 41328  2  161 
  14.49        60.0    5.6         3.94       .39                 41328  2  162 
  14.49        60.0    5.8         3.99       .39                 41328  2  163 
  14.49        60.0    6.0         4.63       .41                 41328  2  164 
  14.49        60.0    6.2         5.38       .48                 41328  2  165 
  14.49        60.0    6.4         5.70       .45                 41328  2  166 
  14.49        60.0    6.6         5.89       .48                 41328  2  167 
  14.49        60.0    6.8         6.12       .49                 41328  2  168 
  14.49        60.0    7.0         5.46       .45                 41328  2  169 
  14.49        60.0    7.2         4.80       .51                 41328  2  170 
  14.49        60.0    7.4         4.25       .40                 41328  2  171 
  14.49        60.0    7.6         4.00       .47                 41328  2  172 
  14.49        60.0    7.8         3.89       .38                 41328  2  173 
  14.49        60.0    8.0         2.63       .43                 41328  2  174 
  14.49        60.0    8.2         2.81       .38                 41328  2  175 
  14.49        60.0    8.4         2.77       .29                 41328  2  176 
  14.49        60.0    8.6         2.52       .34                 41328  2  177 
  14.49        60.0    8.8         2.50       .34                 41328  2  178 
  14.49        60.0    9.0         2.25       .32                 41328  2  179 
  14.49        60.0    9.2         2.11       .32                 41328  2  180 
  14.49        60.0    9.4         2.20       .32                 41328  2  181 
  14.49        60.0    9.6         2.35       .32                 41328  2  182 
  14.49        60.0    9.8         2.93       .33                 41328  2  183 
  14.49        60.0   10.0         4.41       .40                 41328  2  184 
  14.49        60.0   10.2         7.10       .54                 41328  2  185 
  14.49        60.0   10.4         9.09       .65                 41328  2  186 
  14.49        60.0   10.6        10.56       .73                 41328  2  187 
  14.49        60.0   10.8        10.41       .72                 41328  2  188 
  14.49        60.0   11.0         8.75       .63                 41328  2  189 
  14.49        60.0   11.2         5.78       .46                 41328  2  190 
  14.49        60.0   11.4         2.90       .29                 41328  2  191 
  14.49        60.0   11.6         1.51       .24                 41328  2  192 
  14.49        60.0   11.8         1.01       .28                 41328  2  193 
  14.49        60.0   12.0          .89       .41                 41328  2  194 
  14.49        60.0   12.2          .76       .57                 41328  2  195 
  14.49        60.0   12.4          .87       .35                 41328  2  196 
  14.49        60.0   12.6          .42       .41                 41328  2  197 
  14.78        30.0     .8        33.10     22.93                 41328  2  198 
  14.78        30.0    1.0        27.05      8.28                 41328  2  199 
  14.78        30.0    1.2        21.41      2.33                 41328  2  200 
  14.78        30.0    1.4        19.57      2.98                 41328  2  201 
  14.78        30.0    1.6        16.58      1.59                 41328  2  202 
  14.78        30.0    1.8        12.76      1.36                 41328  2  203 
  14.78        30.0    2.0        15.27      1.40                 41328  2  204 
  14.78        30.0    2.2        12.27      1.23                 41328  2  205 
  14.78        30.0    2.4        14.80      1.32                 41328  2  206 
  14.78        30.0    2.6        17.33      1.43                 41328  2  207 
  14.78        30.0    2.8        13.98      1.30                 41328  2  208 
  14.78        30.0    3.0        10.78      1.13                 41328  2  209 
  14.78        30.0    3.2         8.59      1.00                 41328  2  210 
  14.78        30.0    3.4         9.05       .99                 41328  2  211 
  14.78        30.0    3.6         7.29       .98                 41328  2  212 
  14.78        30.0    3.8         6.71       .90                 41328  2  213 
  14.78        30.0    4.0         5.64       .86                 41328  2  214 
  14.78        30.0    4.2         6.42       .92                 41328  2  215 
  14.78        30.0    4.4         5.23       .99                 41328  2  216 
  14.78        30.0    4.6         6.51       .87                 41328  2  217 
  14.78        30.0    4.8         5.52       .89                 41328  2  218 
  14.78        30.0    5.0         4.90       .98                 41328  2  219 
  14.78        30.0    5.2         4.01       .80                 41328  2  220 
  14.78        30.0    5.4         4.24       .89                 41328  2  221 
  14.78        30.0    5.6         4.64       .84                 41328  2  222 
  14.78        30.0    5.8         3.68       .98                 41328  2  223 
  14.78        30.0    6.0         4.47       .81                 41328  2  224 
  14.78        30.0    6.2         5.76       .93                 41328  2  225 
  14.78        30.0    6.4         5.80       .78                 41328  2  226 
  14.78        30.0    6.6         4.15       .83                 41328  2  227 
  14.78        30.0    6.8         4.57       .82                 41328  2  228 
  14.78        30.0    7.0         5.59      1.11                 41328  2  229 
  14.78        30.0    7.2         5.52       .84                 41328  2  230 
