ENTRY            40857   20231226                             421640857  0    1 
SUBENT        40857001   20231226                             421640857  1    1 
BIB                  8         18                                 40857  1    2 
TITLE       Gamma-ray spectra from the U-238(n,g)U-239 reaction   40857  1    3 
            arising at capture of neutrons with average energy    40857  1    4 
            2., 24 and 55. keV                                    40857  1    5 
AUTHOR     (A.V.Murzin,V.A.Libman,I.V.Kononenko,N.A.Lubchenko,    40857  1    6 
           I.N.Kharakoz)                                          40857  1    7 
REFERENCE  ((C,83KIEV,2,313,1983)=                                40857  1    8 
           (R,INDC(CCP)-235,(2),313,1983))                        40857  1    9 
INSTITUTE  (4UKRIJD)                                              40857  1   10 
DETECTOR   (GELI)                                                 40857  1   11 
           (NAICR)                                                40857  1   12 
SAMPLE       Metallic U-238, U-235 content is 0.3 %.              40857  1   13 
ERR-ANALYS (DATA-ERR) Type of uncertainty is not explained in the 40857  1   14 
            article.                                              40857  1   15 
HISTORY    (19850504C)                                            40857  1   16 
           (19851225A) New SUBENT introduced                      40857  1   17 
           (20231226A) Ref. INDC(CCP)-235,(2),313,1983 was added. 40857  1   18 
            Upper -> lower case correction .                      40857  1   19 
            Dates were corrected for 4-digits year.               40857  1   20 
ENDBIB              18          0                                 40857  1   21 
NOCOMMON             0          0                                 40857  1   22 
ENDSUBENT           21          0                                 40857  199999 
SUBENT        40857002   20231226                             421640857  2    1 
BIB                  5          8                                 40857  2    2 
REACTION   (92-U-238(N,G)92-U-239,,SPC,,REL/AV) Averaged over     40857  2    3 
                    resonances, reference value - U-232+U-233     40857  2    4 
MONITOR    (92-U-232(N,G)92-U-233,,SPC)                           40857  2    5 
METHOD      Method of scandium, iron and silicon filters          40857  2    6 
STATUS     (TABLE) From author.                                   40857  2    7 
           (PRELM) Murzin, 1984-05                                40857  2    8 
EN-SEC     (E,G) Energy entry in table is difference between the  40857  2    9 
                 gamma-ray and incident neutron energies          40857  2   10 
ENDBIB               8          0                                 40857  2   11 
COMMON               1          3                                 40857  2   12 
E-NRM                                                             40857  2   13 
KEV                                                               40857  2   14 
 2615.                                                            40857  2   15 
ENDCOMMON            3          0                                 40857  2   16 
DATA                 5        112                                 40857  2   17 
EN         E          E-LVL-FIN  DATA       DATA-ERR              40857  2   18 
KEV        KEV        KEV        ARB-UNITS  ARB-UNITS             40857  2   19 
  2.        4806.       0.         1468.       71.                40857  2   20 
  2.        4673.      134.        2046.       60.                40857  2   21 
  2.        4661.      146.        1881.       57.                40857  2   22 
  2.        4613.      194.         834.       52.                40857  2   23 
  2.        4268.      540.         159.       23.                40857  2   24 
  2.        4119.      688.        1000.       72.                40857  2   25 
  2.        4091.      716.         816.       56.                40857  2   26 
  2.        4080.      726.        1057.       63.                40857  2   27 
  2.        4069.      738.        2334.       82.                40857  2   28 
  2.        4061.      746.        2685.       89.                40857  2   29 
  2.        4050.      757.         326.       34.                40857  2   30 
  2.        4020.      787.         102.       34.                40857  2   31 
  2.        4009.      798.          92.       35.                40857  2   32 
  2.        3992.      815.        2380.       63.                40857  2   33 
  2.        3983.      824.        2190.       63.                40857  2   34 
  2.        3953.      853.         963.       66.                40857  2   35 
  2.        3918.      888.         369.       33.                40857  2   36 
  2.        3913.      893.         213.       32.                40857  2   37 
  2.        3874.      933.        1314.       46.                40857  2   38 
  2.        3869.      938.         143.       42.                40857  2   39 
  2.        3845.      962.        1368.      210.                40857  2   40 
  2.        3841.      966.        1177.      212.                40857  2   41 
  2.        3826.      981.         135.       35.                40857  2   42 
  2.        3818.      989.        1110.       43.                40857  2   43 
  2.        3801.     1006.         340.       35.                40857  2   44 
  2.        3744.     1062.         243.       66.                40857  2   45 
  2.        3740.     1067.         690.       78.                40857  2   46 
  2.        3655.     1150.        1604.       93.                40857  2   47 
  2.        3639.     1168.         630.       62.                40857  2   48 
  2.        3612.     1195.        1804.      100.                40857  2   49 
  2.        3602.     1206.         498.       59.                40857  2   50 
  2.        3584.     1223.        3267.      126.                40857  2   51 
  2.        3573.     1233.        1377.      105.                40857  2   52 
  2.        3565.     1241.        2053.      122.                40857  2   53 
  2.        3546.     1260.         529.       66.                40857  2   54 
  2.        3537.     1269.         785.       84.                40857  2   55 
  2.        3530.     1277.         701.       80.                40857  2   56 
  2.        3501.     1306.         886.       55.                40857  2   57 
  2.        3488.     1318.        2199.      104.                40857  2   58 
  2.        3483.     1323.        2036.      123.                40857  2   59 
  2.        3448.     1358.        1167.       76.                40857  2   60 
