EN         EN-RSL     E          DATA       ERR-T                 4115500200015 
MEV        MEV        MEV        MB/MEV     MB/MEV                4115500200016 
  8.01      0.05       2.8         189.       12.                 4115500500099 
  8.01      0.05       3.0         160.       10.                 4115500500100 
  8.01      0.05       3.2         140.        9.                 4115500500101 
  8.01      0.05       3.4         119.        8.                 4115500500102 
  8.01      0.05       3.6         100.        7.                 4115500500103 
  8.01      0.05       3.8          86.        6.                 4115500500104 
  8.01      0.05       4.0          74.        5.                 4115500500105 
  8.01      0.05       4.2          61.        5.                 4115500500106 
  8.01      0.05       4.4          56.        4.                 4115500500107 
  8.01      0.05       4.6          57.        4.                 4115500500108 
  8.01      0.05       4.8          57.        4.                 4115500500109 
  8.01      0.05       5.0          65.        5.                 4115500500110 
  8.01      0.05       5.2          64.        5.                 4115500500111 
  8.01      0.05       5.4          66.        5.                 4115500500112 
  8.01      0.05       5.6          70.        5.                 4115500500113 
  8.01      0.05       5.8          69.        5.                 4115500500114 
  8.01      0.05       6.0          65.        5.                 4115500500115 
  8.01      0.05       6.2          57.        5.                 4115500500116 
  8.01      0.05       6.4          57.        5.                 4115500500117 
  8.01      0.05       6.6          65.        5.                 4115500500118 
  8.01      0.05       6.8          72.        6.                 4115500500119 
  8.01      0.05       7.0          77.        7.                 4115500500120 
  8.01      0.05       7.2          63.        6.                 4115500500121 
ENDDATA            107          0                                 4115500500122 
ENDSUBENT          121          0                                 4115500599999 
SUBENT        41155006   19940910                             00004115500600001 
BIB                  4          9                                 4115500600002 
REACTION   (49-IN-113(N,INL)49-IN-113,,DE)                        4115500600003 
ANALYSIS   (INTAD)                                                4115500600004 
SAMPLE       HOLLOW CYLINDER 3.10 CM OUTER DIAMETER,              4115500600005 
             1.60 CM INNER DIAMETER, HEIGHT 5.00 CM,              4115500600006 
             MASS 282.1 GRAM, MO CONTENT IS 99.7 PC               4115500600007 
STATUS     (DEP,40519011)                                         4115500600008 
           (DEP,40519012)                                         4115500600009 
           (DEP,40519013)                                         4115500600010 
           (DEP,40519014)                                         4115500600011 
ENDBIB               9          0                                 4115500600012 
NOCOMMON             0          0                                 4115500600013 
DATA                 5        115                                 4115500600014 
EN         EN-RSL     E          DATA       ERR-T                 4115500600015 
MEV        MEV        MEV        MB/MEV     MB/MEV                4115500600016 
  5.34       0.07       .6        1639.      164.                 4115500600017 
  5.34       0.07       .8        1443.      144.                 4115500600018 
  5.34       0.07      1.0        1230.      123.                 4115500600019 
  5.34       0.07      1.2         961.       96.                 4115500600020 
  5.34       0.07      1.4         762.       76.                 4115500600021 
  5.34       0.07      1.6         590.       59.                 4115500600022 
  5.34       0.07      1.8         464.       46.                 4115500600023 
  5.34       0.07      2.0         362.       36.                 4115500600024 
  5.34       0.07      2.2         265.       27.                 4115500600025 
  5.34       0.07      2.4         192.       19.                 4115500600026 
  5.34       0.07      2.6         156.       16.                 4115500600027 
  5.34       0.07      2.8         156.       16.                 4115500600028 
  5.34       0.07      3.0         139.       14.                 4115500600029 
  5.34       0.07      3.2         105.       11.                 4115500600030 
  5.34       0.07      3.4          80.        8.                 4115500600031 
  5.34       0.07      3.6          91.        9.                 4115500600032 
  5.34       0.07      3.8         106.       11.                 4115500600033 
  5.34       0.07      4.0         132.       13.                 4115500600034 
  5.34       0.07      4.2         111.       11.                 4115500600035 
  5.34       0.07      4.4          97.       10.                 4115500600036 
  5.34       0.07      4.6          90.        9.                 4115500600037 
  6.47       0.06       .6        1414.      141.                 4115500600038 
  6.47       0.06       .8        1242.      124.                 4115500600039 
  6.47       0.06      1.0        1066.      107.                 4115500600040 
  6.47       0.06      1.2         921.       92.                 4115500600041 
  6.47       0.06      1.4         751.       75.                 4115500600042 
  6.47       0.06      1.6         613.       61.                 4115500600043 
  6.47       0.06      1.8         491.       49.                 4115500600044 
  6.47       0.06      2.0         373.       37.                 4115500600045 
  6.47       0.06      2.2         303.       30.                 4115500600046 
  6.47       0.06      2.4         234.       23.                 4115500600047 
  6.47       0.06      2.6         192.       19.                 4115500600048 
  6.47       0.06      2.8         155.       15.                 4115500600049 
  6.47       0.06      3.0         129.       13.                 4115500600050 
  6.47       0.06      3.2         108.       11.                 4115500600051 
  6.47       0.06      3.4          85.        8.                 4115500600052 
  6.47       0.06      3.6          82.        8.                 4115500600053 
  6.47       0.06      3.8          89.        9.                 4115500600054 
  6.47       0.06      4.0          90.        9.                 4115500600055 
  6.47       0.06      4.2          79.        8.                 4115500600056 
  6.47       0.06      4.4          57.        6.                 4115500600057 
  6.47       0.06      4.6          58.        6.                 4115500600058 
  6.47       0.06      4.8          72.        7.                 4115500600059 
  6.47       0.06      5.0         103.       10.                 4115500600060 
  6.47       0.06      5.2          97.       10.                 4115500600061 
  6.47       0.06      5.4          80.        8.                 4115500600062 
  6.47       0.06      5.6          75.        7.                 4115500600063 
  6.47       0.06      5.8          95.        9.                 4115500600064 
  7.49       0.05       .6        1283.      128.                 4115500600065 
  7.49       0.05       .8        1150.      115.                 4115500600066 
  7.49       0.05      1.0        1016.      102.                 4115500600067 
  7.49       0.05      1.2         899.       90.                 4115500600068 
  7.49       0.05      1.4         806.       81.                 4115500600069 
  7.49       0.05      1.6         661.       66.                 4115500600070 
  7.49       0.05      1.8         533.       53.                 4115500600071 
  7.49       0.05      2.0         432.       43.                 4115500600072 
  7.49       0.05      2.2         354.       35.                 4115500600073 
  7.49       0.05      2.4         286.       29.                 4115500600074 
  7.49       0.05      2.6         231.       23.                 4115500600075 
  7.49       0.05      2.8         189.       19.                 4115500600076 
  7.49       0.05      3.0         147.       15.                 4115500600077 
  7.49       0.05      3.2         120.       12.                 4115500600078 
  7.49       0.05      3.4         103.       10.                 4115500600079 
  7.49       0.05      3.6          90.        9.                 4115500600080 
  7.49       0.05      3.8          77.        8.                 4115500600081 
  7.49       0.05      4.0          78.        8.                 4115500600082 
  7.49       0.05      4.2          70.        7.                 4115500600083 
  7.49       0.05      4.4          63.        6.                 4115500600084 
  7.49       0.05      4.6          66.        7.                 4115500600085 
  7.49       0.05      4.8          76.        8.                 4115500600086 
  7.49       0.05      5.0          89.        9.                 4115500600087 
  7.49       0.05      5.2          86.        9.                 4115500600088 
  7.49       0.05      5.4          74.        7.                 4115500600089 
  7.49       0.05      5.6          70.        7.                 4115500600090 
  7.49       0.05      5.8          76.        8.                 4115500600091 
  7.49       0.05      6.0          99.       10.                 4115500600092 
  7.49       0.05      6.2         108.       11.                 4115500600093 
  7.49       0.05      6.4          90.        9.                 4115500600094 
  7.49       0.05      6.6          54.        5.                 4115500600095 
  8.53       0.05       .6        1120.      112.                 4115500600096 
  8.53       0.05       .8        1040.      104.                 4115500600097 
  8.53       0.05      1.0         925.       93.                 4115500600098 
  8.53       0.05      1.2         815.       82.                 4115500600099 
  8.53       0.05      1.4         708.       71.                 4115500600100 
  8.53       0.05      1.6         607.       61.                 4115500600101 
  8.53       0.05      1.8         496.       50.                 4115500600102 
  8.53       0.05      2.0         423.       42.                 4115500600103 
  8.53       0.05      2.2         344.       34.                 4115500600104 
  8.53       0.05      2.4         296.       30.                 4115500600105 
  8.53       0.05      2.6         233.       23.                 4115500600106 
  8.53       0.05      2.8         189.       19.                 4115500600107 
  8.53       0.05      3.0         152.       15.                 4115500600108 
  8.53       0.05      3.2         139.       14.                 4115500600109 
  8.53       0.05      3.4         122.       12.                 4115500600110 
  8.53       0.05      3.6         108.       11.                 4115500600111 
  8.53       0.05      3.8          86.        9.                 4115500600112 
  8.53       0.05      4.0          74.        7.                 4115500600113 
  8.53       0.05      4.2          68.        7.                 4115500600114 
  8.53       0.05      4.4          53.        5.                 4115500600115 
  8.53       0.05      4.6          54.        5.                 4115500600116 
  8.53       0.05      4.8          45.        4.                 4115500600117 
  8.53       0.05      5.0          50.        5.                 4115500600118 
  8.53       0.05      5.2          56.        6.                 4115500600119 
  8.53       0.05      5.4          54.        5.                 4115500600120 
  8.53       0.05      5.6          51.        5.                 4115500600121 
  8.53       0.05      5.8          65.        7.                 4115500600122 
  8.53       0.05      6.0          84.        8.                 4115500600123 
  8.53       0.05      6.2          77.        8.                 4115500600124 
  8.53       0.05      6.4          74.        7.                 4115500600125 
  8.53       0.05      6.6          83.        8.                 4115500600126 
  8.53       0.05      6.8          79.        8.                 4115500600127 
  8.53       0.05      7.0          89.        9.                 4115500600128 
  8.53       0.05      7.2         104.       10.                 4115500600129 
  8.53       0.05      7.4         115.       12.                 4115500600130 
  8.53       0.05      7.6         120.       12.                 4115500600131 
ENDDATA            117          0                                 4115500600132 
ENDSUBENT          131          0                                 4115500699999 
SUBENT        41155007   19940910                             00004115500700001 
BIB                  4          9                                 4115500700002 
REACTION   (49-IN-115(N,INL)49-IN-115,,DE)                        4115500700003 
ANALYSIS   (INTAD)                                                4115500700004 
SAMPLE       HOLLOW CYLINDER 3.10 CM OUTER DIAMETER,              4115500700005 
             1.60 CM INNER DIAMETER, HEIGHT 5.00 CM,              4115500700006 
             MASS 282.1 GRAM, MO CONTENT IS 99.7 PC               4115500700007 
STATUS     (DEP,40519015)                                         4115500700008 
           (DEP,40519016)                                         4115500700009 
           (DEP,40519017)                                         4115500700010 
           (DEP,40519018)                                         4115500700011 
ENDBIB               9          0                                 4115500700012 
NOCOMMON             0          0                                 4115500700013 
DATA                 5        116                                 4115500700014 
EN         EN-RSL     E          DATA       ERR-T                 4115500700015 
MEV        MEV        MEV        MB/MEV     MB/MEV                4115500700016 
  5.19       0.07       .6        1639.      164.                 4115500700017 
  5.19       0.07       .8        1664.      150.                 4115500700018 
  5.19       0.07      1.0        1487.      134.                 4115500700019 
  5.19       0.07      1.2        1255.      113.                 4115500700020 
  5.19       0.07      1.4         972.       87.                 4115500700021 
  5.19       0.07      1.6         767.       69.                 4115500700022 
  5.19       0.07      1.8         595.       54.                 4115500700023 
  5.19       0.07      2.0         448.       40.                 4115500700024 
  5.19       0.07      2.2         338.       30.                 4115500700025 
  5.19       0.07      2.4         249.       22.                 4115500700026 
  5.19       0.07      2.6         184.       17.                 4115500700027 
  5.19       0.07      2.8         166.       15.                 4115500700028 
  5.19       0.07      3.0         158.       14.                 4115500700029 
  5.19       0.07      3.2         128.       11.                 4115500700030 
  5.19       0.07      3.4          79.        7.                 4115500700031 
  5.19       0.07      3.6          63.        6.                 4115500700032 
  5.19       0.07      3.8          92.        8.                 4115500700033 
  5.19       0.07      4.0         137.       12.                 4115500700034 
  5.19       0.07      4.2         145.       13.                 4115500700035 
  5.19       0.07      4.4          85.        8.                 4115500700036 
  5.19       0.07      4.6          56.        5.                 4115500700037 
  5.19       0.07      4.8          91.        8.                 4115500700038 
  6.47       0.06       .6        1547.      139.                 4115500700039 
  6.47       0.06       .8        1348.      121.                 4115500700040 
  6.47       0.06      1.0        1198.      108.                 4115500700041 
  6.47       0.06      1.2        1034.       93.                 4115500700042 
  6.47       0.06      1.4         841.       76.                 4115500700043 
  6.47       0.06      1.6         675.       61.                 4115500700044 
  6.47       0.06      1.8         537.       48.                 4115500700045 
  6.47       0.06      2.0         434.       39.                 4115500700046 
  6.47       0.06      2.2         336.       30.                 4115500700047 
  6.47       0.06      2.4         268.       24.                 4115500700048 
  6.47       0.06      2.6         206.       19.                 4115500700049 
  6.47       0.06      2.8         167.       15.                 4115500700050 
  6.47       0.06      3.0         134.       12.                 4115500700051 
  6.47       0.06      3.2         113.       10.                 4115500700052 
  6.47       0.06      3.4          97.        9.                 4115500700053 
  6.47       0.06      3.6          90.        8.                 4115500700054 
  6.47       0.06      3.8         102.        9.                 4115500700055 
  6.47       0.06      4.0         104.        9.                 4115500700056 
  6.47       0.06      4.2          89.        8.                 4115500700057 
  6.47       0.06      4.4          67.        6.                 4115500700058 
  6.47       0.06      4.6          54.        5.                 4115500700059 
  6.47       0.06      4.8          68.        6.                 4115500700060 
  6.47       0.06      5.0         101.        9.                 4115500700061 
  6.47       0.06      5.2         115.       10.                 4115500700062 
  6.47       0.06      5.4         107.       10.                 4115500700063 
  6.47       0.06      5.6          98.        9.                 4115500700064 
  6.47       0.06      5.8         116.       10.                 4115500700065 
  7.49       0.05       .6        1197.      108.                 4115500700066 
  7.49       0.05       .8        1024.       92.                 4115500700067 
  7.49       0.05      1.0         912.       82.                 4115500700068 
  7.49       0.05      1.2         818.       74.                 4115500700069 
  7.49       0.05      1.4         710.       64.                 4115500700070 
  7.49       0.05      1.6         607.       55.                 4115500700071 
  7.49       0.05      1.8         483.       43.                 4115500700072 
  7.49       0.05      2.0         404.       36.                 4115500700073 
  7.49       0.05      2.2         333.       30.                 4115500700074 
  7.49       0.05      2.4         256.       23.                 4115500700075 
  7.49       0.05      2.6         204.       18.                 4115500700076 
  7.49       0.05      2.8         175.       16.                 4115500700077 
  7.49       0.05      3.0         144.       13.                 4115500700078 
  7.49       0.05      3.2         118.       11.                 4115500700079 
  7.49       0.05      3.4          95.        9.                 4115500700080 
  7.49       0.05      3.6          88.        8.                 4115500700081 
  7.49       0.05      3.8          78.        7.                 4115500700082 
  7.49       0.05      4.0          68.        6.                 4115500700083 
  7.49       0.05      4.2          63.        6.                 4115500700084 
  7.49       0.05      4.4          63.        6.                 4115500700085 
  7.49       0.05      4.6          70.        6.                 4115500700086 
  7.49       0.05      4.8          81.        7.                 4115500700087 
  7.49       0.05      5.0          84.        8.                 4115500700088 
  7.49       0.05      5.2          78.        7.                 4115500700089 
  7.49       0.05      5.4          71.        6.                 4115500700090 
  7.49       0.05      5.6          71.        6.                 4115500700091 
  7.49       0.05      5.8          82.        7.                 4115500700092 
  7.49       0.05      6.0         109.       10.                 4115500700093 
  7.49       0.05      6.2         118.       11.                 4115500700094 
  7.49       0.05      6.4          98.        9.                 4115500700095 
  7.49       0.05      6.6          85.        8.                 4115500700096 
  8.53       0.05       .6        1081.       97.                 4115500700097 
  8.53       0.05       .8         982.       88.                 4115500700098 
  8.53       0.05      1.0         873.       79.                 4115500700099 
  8.53       0.05      1.2         775.       70.                 4115500700100 
  8.53       0.05      1.4         677.       61.                 4115500700101 
  8.53       0.05      1.6         578.       52.                 4115500700102 
  8.53       0.05      1.8         472.       42.                 4115500700103 
  8.53       0.05      2.0         383.       34.                 4115500700104 
  8.53       0.05      2.2         314.       28.                 4115500700105 
  8.53       0.05      2.4         266.       24.                 4115500700106 
  8.53       0.05      2.6         218.       20.                 4115500700107 
  8.53       0.05      2.8         183.       17.                 4115500700108 
  8.53       0.05      3.0         152.       14.                 4115500700109 
  8.53       0.05      3.2         130.       12.                 4115500700110 
  8.53       0.05      3.4         110.       10.                 4115500700111 
  8.53       0.05      3.6          90.        8.                 4115500700112 
  8.53       0.05      3.8          77.        7.                 4115500700113 
  8.53       0.05      4.0          65.        6.                 4115500700114 
  8.53       0.05      4.2          55.        5.                 4115500700115 
  8.53       0.05      4.4          54.        5.                 4115500700116 
  8.53       0.05      4.6          45.        4.                 4115500700117 
  8.53       0.05      4.8          44.        4.                 4115500700118 
  8.53       0.05      5.0          45.        4.                 4115500700119 
  8.53       0.05      5.2          50.        4.                 4115500700120 
  8.53       0.05      5.4          46.        4.                 4115500700121 
  8.53       0.05      5.6          54.        5.                 4115500700122 
  8.53       0.05      5.8          62.        6.                 4115500700123 
  8.53       0.05      6.0          79.        7.                 4115500700124 
  8.53       0.05      6.2          81.        7.                 4115500700125 
  8.53       0.05      6.4          66.        6.                 4115500700126 
  8.53       0.05      6.6          67.        6.                 4115500700127 
  8.53       0.05      6.8          79.        7.                 4115500700128 
  8.53       0.05      7.0          90.        8.                 4115500700129 
  8.53       0.05      7.2         101.        9.                 4115500700130 
  8.53       0.05      7.4         110.       10.                 4115500700131 
  8.53       0.05      7.6         110.       10.                 4115500700132 
ENDDATA            118          0                                 4115500700133 
ENDSUBENT          132          0                                 4115500799999 
SUBENT        41155008   19940910                             00004115500800001 
BIB                  4          9                                 4115500800002 
REACTION   (73-TA-181(N,INL)73-TA-181,,DE)                        4115500800003 
ANALYSIS   (INTAD)                                                4115500800004 
SAMPLE       HOLLOW CYLINDER 3.40 CM OUTER DIAMETER,              4115500800005 
             2.40 CM INNER DIAMETER, HEIGHT 5.00 CM,              4115500800006 
             MASS 373.2 GRAM, TA-181 CONTENT IS 99.5 PC           4115500800007 
STATUS     (DEP,40603010)                                         4115500800008 
           (DEP,40603011)                                         4115500800009 
           (DEP,40603012)                                         4115500800010 
           (DEP,40603013)                                         4115500800011 
ENDBIB               9          0                                 4115500800012 
NOCOMMON             0          0                                 4115500800013 
DATA                 5        115                                 4115500800014 
EN         EN-RSL     E          DATA       ERR-T                 4115500800015 
MEV        MEV        MEV        MB/MEV     MB/MEV                4115500800016 
  5.19       0.07       .6        2059.      124.                 4115500800017 
  5.19       0.07       .8        1875.      113.                 4115500800018 
  5.19       0.07      1.0        1570.       95.                 4115500800019 
  5.19       0.07      1.2        1245.       75.                 4115500800020 
  5.19       0.07      1.4         971.       59.                 4115500800021 
  5.19       0.07      1.6         736.       44.                 4115500800022 
  5.19       0.07      1.8         548.       33.                 4115500800023 
  5.19       0.07      2.0         416.       25.                 4115500800024 
  5.19       0.07      2.2         315.       19.                 4115500800025 
  5.19       0.07      2.4         237.       15.                 4115500800026 
  5.19       0.07      2.6         177.       11.                 4115500800027 
  5.19       0.07      2.8         133.        9.                 4115500800028 
  5.19       0.07      3.0         106.        7.                 4115500800029 
  5.19       0.07      3.2          82.        6.                 4115500800030 
  5.19       0.07      3.4          70.        5.                 4115500800031 
  5.19       0.07      3.6          76.        6.                 4115500800032 
  5.19       0.07      3.8          87.        7.                 4115500800033 
  5.19       0.07      4.0          84.        6.                 4115500800034 
  5.19       0.07      4.2          74.        6.                 4115500800035 
  5.19       0.07      4.4         111.        8.                 4115500800036 
  5.19       0.07      4.6         204.       14.                 4115500800037 
  6.47       0.06       .6        1549.       94.                 4115500800038 
  6.47       0.06       .8        1494.       90.                 4115500800039 
  6.47       0.06      1.0        1320.       80.                 4115500800040 
  6.47       0.06      1.2        1134.       69.                 4115500800041 
  6.47       0.06      1.4         901.       55.                 4115500800042 
  6.47       0.06      1.6         699.       42.                 4115500800043 
  6.47       0.06      1.8         550.       34.                 4115500800044 
  6.47       0.06      2.0         418.       26.                 4115500800045 
  6.47       0.06      2.2         337.       21.                 4115500800046 
  6.47       0.06      2.4         265.       17.                 4115500800047 
  6.47       0.06      2.6         206.       13.                 4115500800048 
  6.47       0.06      2.8         161.       11.                 4115500800049 
  6.47       0.06      3.0         129.        9.                 4115500800050 
  6.47       0.06      3.2         104.        8.                 4115500800051 
  6.47       0.06      3.4          83.        7.                 4115500800052 
  6.47       0.06      3.6          71.        6.                 4115500800053 
  6.47       0.06      3.8          65.        5.                 4115500800054 
  6.47       0.06      4.0          55.        5.                 4115500800055 
  6.47       0.06      4.2          50.        5.                 4115500800056 
  6.47       0.06      4.4          44.        5.                 4115500800057 
  6.47       0.06      4.6          48.        5.                 4115500800058 
  6.47       0.06      4.8          51.        5.                 4115500800059 
  6.47       0.06      5.0          62.        5.                 4115500800060 
  6.47       0.06      5.2          66.        6.                 4115500800061 
  6.47       0.06      5.4          76.        6.                 4115500800062 
  6.47       0.06      5.6         101.        8.                 4115500800063 
  6.47       0.06      5.8         134.       10.                 4115500800064 
  6.47       0.06      6.0         142.       11.                 4115500800065 
  7.45       0.05       .6        1785.      108.                 4115500800066 
  7.45       0.05       .8        1544.       93.                 4115500800067 
  7.45       0.05      1.0        1364.       82.                 4115500800068 
  7.45       0.05      1.2        1186.       72.                 4115500800069 
  7.45       0.05      1.4         999.       60.                 4115500800070 
  7.45       0.05      1.6         814.       49.                 4115500800071 
  7.45       0.05      1.8         640.       39.                 4115500800072 
  7.45       0.05      2.0         513.       31.                 4115500800073 
  7.45       0.05      2.2         407.       25.                 4115500800074 
  7.45       0.05      2.4         310.       19.                 4115500800075 
  7.45       0.05      2.6         251.       16.                 4115500800076 
  7.45       0.05      2.8         207.       13.                 4115500800077 
  7.45       0.05      3.0         172.       11.                 4115500800078 
  7.45       0.05      3.2         145.       10.                 4115500800079 
  7.45       0.05      3.4         125.        9.                 4115500800080 
  7.45       0.05      3.6         109.        8.                 4115500800081 
  7.45       0.05      3.8          97.        8.                 4115500800082 
  7.45       0.05      4.0          86.        7.                 4115500800083 
  7.45       0.05      4.2          71.        6.                 4115500800084 
  7.45       0.05      4.4          68.        6.                 4115500800085 
  7.45       0.05      4.6          65.        6.                 4115500800086 
  7.45       0.05      4.8          59.        5.                 4115500800087 
  7.45       0.05      5.0          61.        5.                 4115500800088 
  7.45       0.05      5.2          60.        5.                 4115500800089 
  7.45       0.05      5.4          65.        5.                 4115500800090 
  7.45       0.05      5.6          69.        5.                 4115500800091 
  7.45       0.05      5.8          75.        6.                 4115500800092 
  7.45       0.05      6.0          84.        6.                 4115500800093 
  7.45       0.05      6.2          95.        7.                 4115500800094 
  7.45       0.05      6.4         102.        7.                 4115500800095 
  7.45       0.05      6.6         112.        8.                 4115500800096 
  7.45       0.05      6.8          96.        8.                 4115500800097 
  7.94      0.05        .6        1519.       93.                 4115500800098 
  7.94      0.05        .8        1357.       82.                 4115500800099 
  7.94      0.05       1.0        1182.       72.                 4115500800100 
  7.94      0.05       1.2        1009.       61.                 4115500800101 
  7.94      0.05       1.4         856.       52.                 4115500800102 
  7.94      0.05       1.6         696.       42.                 4115500800103 
  7.94      0.05       1.8         546.       34.                 4115500800104 
  7.94      0.05       2.0         453.       28.                 4115500800105 
  7.94      0.05       2.2         360.       22.                 4115500800106 
  7.94      0.05       2.4         294.       19.                 4115500800107 
  7.94      0.05       2.6         230.       15.                 4115500800108 
  7.94      0.05       2.8         192.       13.                 4115500800109 
  7.94      0.05       3.0         159.       11.                 4115500800110 
  7.94      0.05       3.2         138.       10.                 4115500800111 
  7.94      0.05       3.4         113.       10.                 4115500800112 
  7.94      0.05       3.6         101.        8.                 4115500800113 
  7.94      0.05       3.8          89.        8.                 4115500800114 
  7.94      0.05       4.0          79.        7.                 4115500800115 
  7.94      0.05       4.2          71.        7.                 4115500800116 
  7.94      0.05       4.4          70.        7.                 4115500800117 
  7.94      0.05       4.6          58.        6.                 4115500800118 
  7.94      0.05       4.8          53.        6.                 4115500800119 
  7.94      0.05       5.0          52.        5.                 4115500800120 
  7.94      0.05       5.2          44.        5.                 4115500800121 
  7.94      0.05       5.4          43.        5.                 4115500800122 
  7.94      0.05       5.6          45.        5.                 4115500800123 
  7.94      0.05       5.8          53.        5.                 4115500800124 
  7.94      0.05       6.0          52.        5.                 4115500800125 
  7.94      0.05       6.2          63.        6.                 4115500800126 
  7.94      0.05       6.4          65.        6.                 4115500800127 
  7.94      0.05       6.6          70.        6.                 4115500800128 
  7.94      0.05       6.8          81.        7.                 4115500800129 
  7.94      0.05       7.0          89.        7.                 4115500800130 
  7.94      0.05       7.2          91.        8.                 4115500800131 
ENDDATA            117          0                                 4115500800132 
ENDSUBENT          131          0                                 4115500899999 
SUBENT        41155009   19940910                             00004115500900001 
BIB                  4          9                                 4115500900002 
REACTION   (83-BI-209(N,INL)83-BI-209,,DE)                        4115500900003 
ANALYSIS   (INTAD)                                                4115500900004 
SAMPLE       HOLLOW CYLINDER 4.49 CM OUTER DIAMETER,              4115500900005 
             3.01 CM INNER DIAMETER, HEIGHT 5.00 CM,              4115500900006 
             MASS 429.1 GRAM, TA-181 CONTENT IS 99.8 PC           4115500900007 
STATUS     (DEP,40603006)                                         4115500900008 
           (DEP,40603007)                                         4115500900009 
           (DEP,40603008)                                         4115500900010 
           (DEP,40603009)                                         4115500900011 
ENDBIB               9          0                                 4115500900012 
NOCOMMON             0          0                                 4115500900013 
DATA                 5        104                                 4115500900014 
EN         EN-RSL     E          DATA       ERR-T                 4115500900015 
MEV        MEV        MEV        MB/MEV     MB/MEV                4115500900016 
  4.99       0.07       .6        1791.      109.                 4115500900017 
  4.99       0.07       .8        2039.      123.                 4115500900018 
  4.99       0.07      1.0        1806.      109.                 4115500900019 
  4.99       0.07      1.2        1151.       69.                 4115500900020 
  4.99       0.07      1.4         854.       52.                 4115500900021 
  4.99       0.07      1.6         766.       46.                 4115500900022 
  4.99       0.07      1.8         752.       46.                 4115500900023 
  4.99       0.07      2.0         403.       25.                 4115500900024 
  4.99       0.07      2.2         678.       41.                 4115500900025 
  4.99       0.07      2.4         522.       32.                 4115500900026 
  4.99       0.07      2.6          75.        6.                 4115500900027 
  4.99       0.07      2.8          28.        4.                 4115500900028 
  4.99       0.07      3.0          41.        4.                 4115500900029 
  4.99       0.07      3.2         100.        7.                 4115500900030 
  4.99       0.07      3.4         104.        8.                 4115500900031 
  4.99       0.07      3.6          59.        6.                 4115500900032 
  4.99       0.07      3.8         112.        9.                 4115500900033 
  4.99       0.07      4.0         177.       12.                 4115500900034 
  4.99       0.07      4.2         124.       10.                 4115500900035 
  5.97       0.06       .6        1151.       72.                 4115500900036 
  5.97       0.06       .8        1267.       77.                 4115500900037 
  5.97       0.06      1.0        1338.       81.                 4115500900038 
  5.97       0.06      1.2        1179.       71.                 4115500900039 
  5.97       0.06      1.4         975.       59.                 4115500900040 
  5.97       0.06      1.6        1188.       72.                 4115500900041 
  5.97       0.06      1.8        1157.       70.                 4115500900042 
  5.97       0.06      2.0         872.       53.                 4115500900043 
  5.97       0.06      2.2         561.       34.                 4115500900044 
  5.97       0.06      2.4         392.       24.                 4115500900045 
  5.97       0.06      2.6         326.       20.                 4115500900046 
  5.97       0.06      2.8         279.       17.                 4115500900047 
  5.97       0.06      3.0         209.       14.                 4115500900048 
  5.97       0.06      3.2         285.       18.                 4115500900049 
  5.97       0.06      3.4         218.       14.                 4115500900050 
  5.97       0.06      3.6          61.        7.                 4115500900051 
  5.97       0.06      3.8          23.        4.                 4115500900052 
  5.97       0.06      4.0          26.        5.                 4115500900053 
  5.97       0.06      4.2          40.        5.                 4115500900054 
  5.97       0.06      4.4          52.        6.                 4115500900055 
  5.97       0.06      4.6          52.        6.                 4115500900056 
  5.97       0.06      4.8          60.        6.                 4115500900057 
  5.97       0.06      5.0          48.        6.                 4115500900058 
  5.97       0.06      5.2          98.       11.                 4115500900059 
  7.00       0.05       .6         782.       51.                 4115500900060 
  7.00       0.05       .8         893.       55.                 4115500900061 
  7.00       0.05      1.0         952.       58.                 4115500900062 
  7.00       0.05      1.2        1041.       63.                 4115500900063 
  7.00       0.05      1.4         970.       59.                 4115500900064 
  7.00       0.05      1.6         991.       60.                 4115500900065 
  7.00       0.05      1.8         920.       56.                 4115500900066 
  7.00       0.05      2.0         845.       51.                 4115500900067 
  7.00       0.05      2.2         723.       44.                 4115500900068 
  7.00       0.05      2.4         624.       38.                 4115500900069 
  7.00       0.05      2.6         627.       38.                 4115500900070 
  7.00       0.05      2.8         512.       31.                 4115500900071 
  7.00       0.05      3.0         355.       22.                 4115500900072 
  7.00       0.05      3.2         213.       14.                 4115500900073 
  7.00       0.05      3.4         156.       11.                 4115500900074 
  7.00       0.05      3.6         144.       10.                 4115500900075 
  7.00       0.05      3.8         130.       10.                 4115500900076 
  7.00       0.05      4.0         132.       10.                 4115500900077 
  7.00       0.05      4.2         169.       12.                 4115500900078 
  7.00       0.05      4.4         136.       10.                 4115500900079 
  7.00       0.05      4.6          54.        6.                 4115500900080 
  7.00       0.05      4.8          17.        5.                 4115500900081 
  7.00       0.05      5.0          16.        4.                 4115500900082 
  7.00       0.05      5.2          23.        5.                 4115500900083 
  7.00       0.05      5.4          29.        5.                 4115500900084 
  7.00       0.05      5.6          28.        5.                 4115500900085 
  7.00       0.05      5.8          25.        5.                 4115500900086 
  7.00       0.05      6.0          24.        6.                 4115500900087 
  8.09       0.05       .6         860.       55.                 4115500900088 
  8.09       0.05       .8         853.       52.                 4115500900089 
  8.09       0.05      1.0         835.       51.                 4115500900090 
  8.09       0.05      1.2         829.       50.                 4115500900091 
  8.09       0.05      1.4         780.       47.                 4115500900092 
