EN         EN-RSL     E          DATA       ERR-T                 4115500200015 
MEV        MEV        MEV        MB/MEV     MB/MEV                4115500200016 
  7.00       0.05      3.8         126.       13.                 4115500200074 
  7.00       0.05      4.0          93.        9.                 4115500200075 
  7.00       0.05      4.2          80.        8.                 4115500200076 
  7.00       0.05      4.4          74.        7.                 4115500200077 
  7.00       0.05      4.6          75.        8.                 4115500200078 
  7.00       0.05      4.8          66.        7.                 4115500200079 
  7.00       0.05      5.0          72.        7.                 4115500200080 
  7.00       0.05      5.2          94.        9.                 4115500200081 
  7.00       0.05      5.4         107.       11.                 4115500200082 
  7.00       0.05      5.6         102.       10.                 4115500200083 
  7.00       0.05      5.8          70.        7.                 4115500200084 
  7.00       0.05      6.0          31.        3.                 4115500200085 
  8.09       0.05       .6         435.       44.                 4115500200086 
  8.09       0.05       .8         463.       46.                 4115500200087 
  8.09       0.05      1.0         445.       44.                 4115500200088 
  8.09       0.05      1.2         420.       42.                 4115500200089 
  8.09       0.05      1.4         389.       39.                 4115500200090 
  8.09       0.05      1.6         373.       37.                 4115500200091 
  8.09       0.05      1.8         338.       34.                 4115500200092 
  8.09       0.05      2.0         324.       32.                 4115500200093 
  8.09       0.05      2.2         305.       31.                 4115500200094 
  8.09       0.05      2.4         276.       28.                 4115500200095 
  8.09       0.05      2.6         230.       23.                 4115500200096 
  8.09       0.05      2.8         194.       19.                 4115500200097 
  8.09       0.05      3.0         194.       19.                 4115500200098 
  8.09       0.05      3.2         176.       18.                 4115500200099 
  8.09       0.05      3.4         149.       15.                 4115500200100 
  8.09       0.05      3.6         133.       13.                 4115500200101 
  8.09       0.05      3.8         128.       13.                 4115500200102 
  8.09       0.05      4.0         123.       12.                 4115500200103 
  8.09       0.05      4.2         103.       10.                 4115500200104 
  8.09       0.05      4.4          88.        9.                 4115500200105 
  8.09       0.05      4.6          81.        8.                 4115500200106 
  8.09       0.05      4.8          73.        7.                 4115500200107 
  8.09       0.05      5.0          58.        6.                 4115500200108 
  8.09       0.05      5.2          53.        5.                 4115500200109 
  8.09       0.05      5.4          51.        5.                 4115500200110 
  8.09       0.05      5.6          51.        5.                 4115500200111 
  8.09       0.05      5.8          55.        6.                 4115500200112 
  8.09       0.05      6.0          66.        7.                 4115500200113 
  8.09       0.05      6.2          87.        9.                 4115500200114 
  8.09       0.05      6.4         102.       10.                 4115500200115 
  8.09       0.05      6.6         108.       11.                 4115500200116 
  8.09       0.05      6.8         102.       10.                 4115500200117 
  8.09       0.05      7.0          95.        9.                 4115500200118 
ENDDATA            104          0                                 4115500200119 
ENDSUBENT          118          0                                 4115500299999 
SUBENT        41155003   19940910                             00004115500300001 
BIB                  4         10                                 4115500300002 
REACTION   (39-Y-89(N,INL)39-Y-89,,DE)                            4115500300003 
ANALYSIS   (INTAD)                                                4115500300004 
SAMPLE       HOLLOW CYLINDER 4.49 CM OUTER DIAMETER, 3.02 MM      4115500300005 
             INNER DIAMETER, HEIGHT 4.40 CM, MASS 172.8 GRAM,     4115500300006 
             Y-89 CONTENT IS 99.8 PC                              4115500300007 
STATUS     (DEP,40627003)                                         4115500300008 
           (DEP,40627004)                                         4115500300009 
           (DEP,40627005)                                         4115500300010 
           (DEP,40627006)                                         4115500300011 
           (DEP,40627007)                                         4115500300012 
ENDBIB              10          0                                 4115500300013 
NOCOMMON             0          0                                 4115500300014 
DATA                 5        106                                 4115500300015 
EN         EN-RSL     E          DATA       ERR-T                 4115500300016 
MEV        MEV        MEV        MB/MEV     MB/MEV                4115500300017 
  4.86      0.07        .6         903.      57.                  4115500300018 
  4.86      0.07        .8         969.      59.                  4115500300019 
  4.86      0.07       1.0         726.      44.                  4115500300020 
  4.86      0.07       1.2         729.      44.                  4115500300021 
  4.86      0.07       1.4         552.      34.                  4115500300022 
  4.86      0.07       1.6         662.      40.                  4115500300023 
  4.86      0.07       1.8         541.      33.                  4115500300024 
  4.86      0.07       2.0         325.      20.                  4115500300025 
  4.86      0.07       2.2         317.      20.                  4115500300026 
  4.86      0.07       2.4         201.      13.                  4115500300027 
  4.86      0.07       2.6         166.      11.                  4115500300028 
  4.86      0.07       2.8         176.      12.                  4115500300029 
  4.86      0.07       3.0         359.      22.                  4115500300030 
  4.86      0.07       3.2         293.      18.                  4115500300031 
  4.86      0.07       3.4         128.      9.                   4115500300032 
  4.86      0.07       3.6          94.      8.                   4115500300033 
  4.86      0.07       3.8         144.      11.                  4115500300034 
  4.86      0.07       4.0         103.       9.                  4115500300035 
  6.08      0.06        .6         891.      53.                  4115500300036 
  6.08      0.06        .8         969.      58.                  4115500300037 
  6.08      0.06       1.0         871.      52.                  4115500300038 
  6.08      0.06       1.2         727.      44.                  4115500300039 
  6.08      0.06       1.4         595.      36.                  4115500300040 
  6.08      0.06       1.6         409.      25.                  4115500300041 
  6.08      0.06       1.8         378.      23.                  4115500300042 
  6.08      0.06       2.0         314.      19.                  4115500300043 
  6.08      0.06       2.2         304.      18.                  4115500300044 
  6.08      0.06       2.4         270.      16.                  4115500300045 
  6.08      0.06       2.6         210.      13.                  4115500300046 
  6.08      0.06       2.8         243.      15.                  4115500300047 
  6.08      0.06       3.0         198.      12.                  4115500300048 
  6.08      0.06       3.2         160.      10.                  4115500300049 
  6.08      0.06       3.4         140.       8.                  4115500300050 
  6.08      0.06       3.6         103.       6.                  4115500300051 
  6.08      0.06       3.8          75.       4.                  4115500300052 
  6.08      0.06       4.0          89.       5.                  4115500300053 
  6.08      0.06       4.2         113.       7.                  4115500300054 
  6.08      0.06       4.4         103.       6.                  4115500300055 
  6.08      0.06       4.6          87.       5.                  4115500300056 
  6.08      0.06       4.8          95.       6.                  4115500300057 
  6.08      0.06       5.0         115.       7.                  4115500300058 
  6.08      0.06       5.2         100.       6.                  4115500300059 
  6.08      0.06       5.4          66.       4.                  4115500300060 
  7.02      0.05        .6        1041.      62.                  4115500300061 
  7.02      0.05        .8         934.      56.                  4115500300062 
  7.02      0.05       1.0         842.      51.                  4115500300063 
  7.02      0.05       1.2         736.      44.                  4115500300064 
  7.02      0.05       1.4         649.      39.                  4115500300065 
  7.02      0.05       1.6         566.      34.                  4115500300066 
  7.02      0.05       1.8         513.      31.                  4115500300067 
  7.02      0.05       2.0         423.      25.                  4115500300068 
  7.02      0.05       2.2         371.      22.                  4115500300069 
  7.02      0.05       2.4         315.      19.                  4115500300070 
  7.02      0.05       2.6         237.      14.                  4115500300071 
  7.02      0.05       2.8         201.      12.                  4115500300072 
  7.02      0.05       3.0         171.      10.                  4115500300073 
  7.02      0.05       3.2         155.       9.                  4115500300074 
  7.02      0.05       3.4         127.       8.                  4115500300075 
  7.02      0.05       3.6         112.       7.                  4115500300076 
  7.02      0.05       3.8         121.       7.                  4115500300077 
  7.02      0.05       4.0         127.       8.                  4115500300078 
  7.02      0.05       4.2         110.       7.                  4115500300079 
  7.02      0.05       4.4          96.       6.                  4115500300080 
  7.02      0.05       4.6          78.       5.                  4115500300081 
  7.02      0.05       4.8          65.       4.                  4115500300082 
  7.02      0.05       5.0          65.       4.                  4115500300083 
  7.02      0.05       5.2          74.       4.                  4115500300084 
  7.02      0.05       5.4          78.       5.                  4115500300085 
  7.02      0.05       5.6          75.       4.                  4115500300086 
  7.02      0.05       5.8          76.       5.                  4115500300087 
  7.02      0.05       6.0          71.       4.                  4115500300088 
  7.02      0.05       6.2          56.       3.                  4115500300089 
  7.02      0.05       6.4          18.       1.                  4115500300090 
  7.94      0.05        .6         967.      61.                  4115500300091 
  7.94      0.05        .8         843.      52.                  4115500300092 
  7.94      0.05       1.0         724.      44.                  4115500300093 
  7.94      0.05       1.2         625.      38.                  4115500300094 
  7.94      0.05       1.4         563.      35.                  4115500300095 
  7.94      0.05       1.6         505.      31.                  4115500300096 
  7.94      0.05       1.8         438.      27.                  4115500300097 
  7.94      0.05       2.0         374.      23.                  4115500300098 
  7.94      0.05       2.2         317.      20.                  4115500300099 
  7.94      0.05       2.4         283.      18.                  4115500300100 
  7.94      0.05       2.6         264.      17.                  4115500300101 
  7.94      0.05       2.8         223.      15.                  4115500300102 
  7.94      0.05       3.0         190.      13.                  4115500300103 
  7.94      0.05       3.2         166.      12.                  4115500300104 
  7.94      0.05       3.4         140.      10.                  4115500300105 
  7.94      0.05       3.6         116.      10.                  4115500300106 
  7.94      0.05       3.8          93.       8.                  4115500300107 
  7.94      0.05       4.0          84.       8.                  4115500300108 
  7.94      0.05       4.2          73.       7.                  4115500300109 
  7.94      0.05       4.4          66.       6.                  4115500300110 
  7.94      0.05       4.6          55.       6.                  4115500300111 
  7.94      0.05       4.8          66.       6.                  4115500300112 
  7.94      0.05       5.0          70.       6.                  4115500300113 
  7.94      0.05       5.2          67.       6.                  4115500300114 
  7.94      0.05       5.4          63.       6.                  4115500300115 
  7.94      0.05       5.6          58.       6.                  4115500300116 
  7.94      0.05       5.8          48.       5.                  4115500300117 
  7.94      0.05       6.0          51.       5.                  4115500300118 
  7.94      0.05       6.2          55.       5.                  4115500300119 
  7.94      0.05       6.4          56.       5.                  4115500300120 
  7.94      0.05       6.6          58.       6.                  4115500300121 
  7.94      0.05       6.8          72.       6.                  4115500300122 
  7.94      0.05       7.0          76.       7.                  4115500300123 
ENDDATA            108          0                                 4115500300124 
ENDSUBENT          123          0                                 4115500399999 
SUBENT        41155004   19940910                             00004115500400001 
BIB                  4          9                                 4115500400002 
REACTION   (41-NB-93(N,INL)41-NB-93,,DE)                          4115500400003 
ANALYSIS   (INTAD)                                                4115500400004 
SAMPLE       HOLLOW CYLINDER 4.50 CM OUTER DIAMETER, 3.00 MM      4115500400005 
             INNER DIAMETER, HEIGHT 4.52 CM, MASS 298.3 GRAM,     4115500400006 
             NB-93 CONTENT IS 99.8 PC                             4115500400007 
STATUS     (DEP,40623004)                                         4115500400008 
           (DEP,40623005)                                         4115500400009 
           (DEP,40623006)                                         4115500400010 
           (DEP,40623007)                                         4115500400011 
ENDBIB               9          0                                 4115500400012 
NOCOMMON             0          0                                 4115500400013 
DATA                 5        108                                 4115500400014 
EN         EN-RSL     E          DATA       ERR-T                 4115500400015 
MEV        MEV        MEV        MB/MEV     MB/MEV                4115500400016 
  5.23      0.07        .6        1239.       76.                 4115500400017 
  5.23      0.07        .8        1127.       68.                 4115500400018 
  5.23      0.07       1.0         984.       59.                 4115500400019 
  5.23      0.07       1.2         837.       51.                 4115500400020 
  5.23      0.07       1.4         712.       43.                 4115500400021 
  5.23      0.07       1.6         584.       35.                 4115500400022 
  5.23      0.07       1.8         532.       32.                 4115500400023 
  5.23      0.07       2.0         511.       31.                 4115500400024 
  5.23      0.07       2.2         417.       25.                 4115500400025 
  5.23      0.07       2.4         308.       19.                 4115500400026 
  5.23      0.07       2.6         228.       14.                 4115500400027 
  5.23      0.07       2.8         217.       13.                 4115500400028 
  5.23      0.07       3.0         224.       14.                 4115500400029 
  5.23      0.07       3.2         178.       11.                 4115500400030 
  5.23      0.07       3.4         144.       10.                 4115500400031 
  5.23      0.07       3.6         135.        9.                 4115500400032 
  5.23      0.07       3.8         146.       10.                 4115500400033 
  5.23      0.07       4.0         171.       11.                 4115500400034 
  5.23      0.07       4.2         186.       12.                 4115500400035 
  5.23      0.07       4.4         152.       27.                 4115500400036 
  5.23      0.07       4.6          82.       33.                 4115500400037 
  6.22      0.06        .6        1082.       66.                 4115500400038 
  6.22      0.06        .8        1019.       62.                 4115500400039 
  6.22      0.06       1.0         920.       56.                 4115500400040 
  6.22      0.06       1.2         835.       50.                 4115500400041 
  6.22      0.06       1.4         684.       41.                 4115500400042 
  6.22      0.06       1.6         591.       36.                 4115500400043 
  6.22      0.06       1.8         497.       30.                 4115500400044 
  6.22      0.06       2.0         437.       27.                 4115500400045 
  6.22      0.06       2.2         386.       24.                 4115500400046 
  6.22      0.06       2.4         326.       20.                 4115500400047 
  6.22      0.06       2.6         276.       17.                 4115500400048 
  6.22      0.06       2.8         246.       15.                 4115500400049 
  6.22      0.06       3.0         233.       15.                 4115500400050 
  6.22      0.06       3.2         194.       12.                 4115500400051 
  6.22      0.06       3.4         147.       10.                 4115500400052 
  6.22      0.06       3.6         126.        9.                 4115500400053 
  6.22      0.06       3.8         131.        9.                 4115500400054 
  6.22      0.06       4.0         127.        9.                 4115500400055 
  6.22      0.06       4.2         110.        7.                 4115500400056 
  6.22      0.06       4.4         102.        7.                 4115500400057 
  6.22      0.06       4.6         104.        7.                 4115500400058 
  6.22      0.06       4.8         125.        9.                 4115500400059 
  6.22      0.06       5.0         141.       12.                 4115500400060 
  7.23      0.05        .6        1009.       64.                 4115500400061 
  7.23      0.05        .8         897.       54.                 4115500400062 
  7.23      0.05       1.0         796.       48.                 4115500400063 
  7.23      0.05       1.2         742.       45.                 4115500400064 
  7.23      0.05       1.4         696.       42.                 4115500400065 
  7.23      0.05       1.6         570.       35.                 4115500400066 
  7.23      0.05       1.8         492.       30.                 4115500400067 
  7.23      0.05       2.0         432.       26.                 4115500400068 
  7.23      0.05       2.2         359.       22.                 4115500400069 
  7.23      0.05       2.4         312.       19.                 4115500400070 
  7.23      0.05       2.6         276.       17.                 4115500400071 
  7.23      0.05       2.8         234.       15.                 4115500400072 
  7.23      0.05       3.0         204.       13.                 4115500400073 
  7.23      0.05       3.2         179.       12.                 4115500400074 
  7.23      0.05       3.4         153.       10.                 4115500400075 
  7.23      0.05       3.6         133.        9.                 4115500400076 
  7.23      0.05       3.8         125.        9.                 4115500400077 
  7.23      0.05       4.0         119.        8.                 4115500400078 
  7.23      0.05       4.2         102.        7.                 4115500400079 
  7.23      0.05       4.4          92.        6.                 4115500400080 
  7.23      0.05       4.6          90.        6.                 4115500400081 
  7.23      0.05       4.8          90.        6.                 4115500400082 
  7.23      0.05       5.0          85.        6.                 4115500400083 
  7.23      0.05       5.2          80.        6.                 4115500400084 
  7.23      0.05       5.4          80.        6.                 4115500400085 
  7.23      0.05       5.6          75.        7.                 4115500400086 
  7.23      0.05       5.8          86.       11.                 4115500400087 
  7.23      0.05       6.0          90.       19.                 4115500400088 
  7.23      0.05       6.2          93.       23.                 4115500400089 
  7.23      0.05       6.4          90.       30.                 4115500400090 
  8.01      0.05        .6         876.       54.                 4115500400091 
  8.01      0.05        .8         816.       49.                 4115500400092 
  8.01      0.05       1.0         689.       42.                 4115500400093 
  8.01      0.05       1.2         623.       38.                 4115500400094 
  8.01      0.05       1.4         567.       34.                 4115500400095 
  8.01      0.05       1.6         509.       31.                 4115500400096 
  8.01      0.05       1.8         448.       27.                 4115500400097 
  8.01      0.05       2.0         392.       24.                 4115500400098 
  8.01      0.05       2.2         344.       21.                 4115500400099 
  8.01      0.05       2.4         296.       18.                 4115500400100 
  8.01      0.05       2.6         256.       16.                 4115500400101 
  8.01      0.05       2.8         219.       14.                 4115500400102 
  8.01      0.05       3.0         185.       12.                 4115500400103 
  8.01      0.05       3.2         160.       10.                 4115500400104 
  8.01      0.05       3.4         129.        9.                 4115500400105 
  8.01      0.05       3.6         113.        7.                 4115500400106 
  8.01      0.05       3.8         101.        7.                 4115500400107 
  8.01      0.05       4.0          93.        6.                 4115500400108 
  8.01      0.05       4.2          79.        5.                 4115500400109 
  8.01      0.05       4.4          72.        5.                 4115500400110 
  8.01      0.05       4.6          71.        5.                 4115500400111 
  8.01      0.05       4.8          67.        5.                 4115500400112 
  8.01      0.05       5.0          67.        5.                 4115500400113 
  8.01      0.05       5.2          65.        5.                 4115500400114 
  8.01      0.05       5.4          64.        4.                 4115500400115 
  8.01      0.05       5.6          72.        5.                 4115500400116 
  8.01      0.05       5.8          75.        5.                 4115500400117 
  8.01      0.05       6.0          75.        5.                 4115500400118 
  8.01      0.05       6.2          66.        5.                 4115500400119 
  8.01      0.05       6.4          77.        5.                 4115500400120 
  8.01      0.05       6.6          85.        6.                 4115500400121 
  8.01      0.05       6.8          92.        6.                 4115500400122 
  8.01      0.05       7.0          96.        6.                 4115500400123 
  8.01      0.05       7.2          80.        6.                 4115500400124 
ENDDATA            110          0                                 4115500400125 
ENDSUBENT          124          0                                 4115500499999 
SUBENT        41155005   19940910                             00004115500500001 
BIB                  4          9                                 4115500500002 
REACTION   (42-MO-0(N,INL)42-MO-0,,DE)                            4115500500003 
ANALYSIS   (INTAD)                                                4115500500004 
SAMPLE       HOLLOW CYLINDER 3.10 CM OUTER DIAMETER,              4115500500005 
             1.60 CM INNER DIAMETER, HEIGHT 5.00 CM,              4115500500006 
             MASS 282.1 GRAM, MO CONTENT IS 99.7 PC               4115500500007 
STATUS     (DEP,40519007)                                         4115500500008 
           (DEP,40519008)                                         4115500500009 
           (DEP,40519009)                                         4115500500010 
           (DEP,40519010)                                         4115500500011 
ENDBIB               9          0                                 4115500500012 
NOCOMMON             0          0                                 4115500500013 
DATA                 5        105                                 4115500500014 
EN         EN-RSL     E          DATA       ERR-T                 4115500500015 
MEV        MEV        MEV        MB/MEV     MB/MEV                4115500500016 
  4.91      0.07        .6        1309.       79.                 4115500500017 
  4.91      0.07        .8        1153.       70.                 4115500500018 
  4.91      0.07       1.0         940.       57.                 4115500500019 
  4.91      0.07       1.2         751.       45.                 4115500500020 
  4.91      0.07       1.4         632.       38.                 4115500500021 
  4.91      0.07       1.6         517.       31.                 4115500500022 
  4.91      0.07       1.8         486.       29.                 4115500500023 
  4.91      0.07       2.0         368.       22.                 4115500500024 
  4.91      0.07       2.2         304.       19.                 4115500500025 
  4.91      0.07       2.4         255.       16.                 4115500500026 
  4.91      0.07       2.6         197.       12.                 4115500500027 
  4.91      0.07       2.8         150.       10.                 4115500500028 
  4.91      0.07       3.0         113.        7.                 4115500500029 
  4.91      0.07       3.2         128.        8.                 4115500500030 
  4.91      0.07       3.4         108.        7.                 4115500500031 
  4.91      0.07       3.6          83.        6.                 4115500500032 
  4.91      0.07       3.8         117.        8.                 4115500500033 
  4.91      0.07       4.0         153.       10.                 4115500500034 
