ENTRY            40887   19890316                             00004088700000001 
SUBENT        40887001   19890316                             00004088700100001 
BIB                  9         12                                 4088700100002 
TITLE       IODINE-128 LEVELS EXCITED AT THE NEUTRON CAPTURE      4088700100003 
            WITH THE ENERGY 2. KEV                                4088700100004 
AUTHOR     (JU.E.LOGINOV,V.V.MARTYNOV,A.V.MURZIN,E.I.FEDOROVA)    4088700100005 
INSTITUTE  (4CCPIJI)                                              4088700100006 
           (4CCPLIN)                                              4088700100007 
REFERENCE  (C,83KIEV,3,20,8310)                                   4088700100008 
FACILITY   (REAC,4CCPIJI)                                         4088700100009 
DETECTOR   (GELI)   DETECTOR RESOLUTION IS 8 KEV AT 7000KEV       4088700100010 
           (NAICR)  GAMMA ENERGY                                  4088700100011 
SAMPLE      I2-O5 DIAMETER 32 MM, WEIGHT 53 GRAM                  4088700100012 
HISTORY    (851225C)                                              4088700100013 
STATUS     (APRVD)  MURZIN, 8512                                  4088700100014 
ENDBIB              12          0                                 4088700100015 
NOCOMMON             0          0                                 4088700100016 
ENDSUBENT           15          0                                 4088700199999 
SUBENT        40887002   19851225                             00004088700200001 
BIB                  4          5                                 4088700200002 
REACTION   (53-I-127(N,G)53-I-128,,SPC,,REL) RELATIVE TO THE      4088700200003 
                    H(N,G) AND FE-56(N,G) GAMMA INTENSITIES       4088700200004 
MONITOR    (26-FE-56(N,G)26-FE-57,,SPC)                           4088700200005 
INC-SPECT   SCANDIUM FILTER SPECTRUM                              4088700200006 
ERR-ANALYS (DATA-ERR) NOT SPECIFIED                               4088700200007 
ENDBIB               5          0                                 4088700200008 
COMMON               2          3                                 4088700200009 
EN         EN-RSL-FW                                              4088700200010 
KEV        KEV                                                    4088700200011 
  2.        .7                                                    4088700200012 
ENDCOMMON            3          0                                 4088700200013 
DATA                 5         70                                 4088700200014 
E          E-ERR      E-LVL-FIN  DATA       DATA-ERR              4088700200015 
KEV        KEV        KEV        ARB-UNITS  ARB-UNITS             4088700200016 
 6828.4      .9           0.        78.        7.                 4088700200017 
 6800.7      .8          27.7      178.        7.                 4088700200018 
 6746.7      .16         81.7       69.       20.                 4088700200019 
 6740.4      .10         88.0      165.       20.                 4088700200020 
 6694.8      .9         133.6      712.       35.                 4088700200021 
 6689.6      .12        138.8      476.       74.                 4088700200022 
 6683.9      .9         144.5      648.       32.                 4088700200023 
 6676.4      .40        152.0      149.       10.                 4088700200024 
 6668.6      .10        159.8      120.       10.                 4088700200025 
 6647.8      .9         180.6      161.        9.                 4088700200026 
 6607.4      .13        221.0       52.        6.                 4088700200027 
 6595.2      .12        233.2       69.        6.                 4088700200028 
 6531.5      .10        296.9      156.        8.                 4088700200029 
 6483.8      .12        344.6       81.        7.                 4088700200030 
 6453.3      .11        375.1      104.       30.                 4088700200031 
 6450.5      .11        377.9      294.       23.                 4088700200032 
 6443.3      .18        385.1      156.       16.                 4088700200033 
 6436.1      .13        392.3      142.       10.                 4088700200034 
 6412.6      .12        415.8       94.        8.                 4088700200035 
 6403.9      .22        424.5       54.       12.                 4088700200036 
 6393.7      .12        434.7      310.       60.                 4088700200037 
 6390.5      .11        437.9      425.       60.                 4088700200038 
 6340.5      .11        487.9       82.        9.                 4088700200039 
 6308.7      .11        519.7      262.       10.                 4088700200040 
 6294.2      .11        534.2      163.       10.                 4088700200041 
 6272.9      .11        555.5      700.       65.                 4088700200042 
 6217.2      .11        611.2      276.       10.                 4088700200043 
 6196.2      .13        632.2      189.       19.                 4088700200044 
 6166.2      .13        662.2      139.       19.                 4088700200045 
 6149.2      .14        679.2       95.       12.                 4088700200046 
 6139.9      .12        688.5      228.       12.                 4088700200047 
 6116.7      .17        711.7       63.       11.                 4088700200048 
 6102.6      .15        725.8       70.       12.                 4088700200049 
 6076.1      .14        752.3       88.       11.                 4088700200050 
 6033.9      .18        794.5      114.       10.                 4088700200051 
 6004.6      .13        823.8      126.       10.                 4088700200052 
 5984.8      .13        843.6      541.       42.                 4088700200053 
 5979.0      .13        849.4      399.       41.                 4088700200054 
 5961.3      .15        867.1       85.        9.                 4088700200055 
 5945.2      .12        883.2      911.       11.                 4088700200056 
 5917.1      .17        911.3      107.       26.                 4088700200057 
 5910.5      .16        917.9      135.       10.                 4088700200058 
 5892.3      .13        936.1      412.       10.                 4088700200059 
 5884.0      .17        944.4       75.       11.                 4088700200060 
 5840.1      .16        988.3      249.       13.                 4088700200061 
 5830.4      .16        998.0       76.        8.                 4088700200062 
 5815.4      .16       1013.0       65.        8.                 4088700200063 
 5794.3      .13       1034.1      237.        9.                 4088700200064 
 5778.0      .13       1050.4      237.        9.                 4088700200065 
 5760.5      .16       1067.9       69.        8.                 4088700200066 
 5739.6      .18       1088.8       83.       13.                 4088700200067 
 5726.1      .14       1102.3      382.       48.                 4088700200068 
 5691.5      .13       1136.9      281.       11.                 4088700200069 
 5676.6      .17       1151.8       83.       14.                 4088700200070 
 5658.8      .14       1169.6      412.       20.                 4088700200071 
 5647.5      .18       1180.9       76.       20.                 4088700200072 
 5630.1      .16       1198.3      124.       11.                 4088700200073 
 5608.5      .20       1219.9       68.        9.                 4088700200074 
 5599.3      .14       1229.1      202.       11.                 4088700200075 
 5580.7      .15       1247.7      277.       24.                 4088700200076 
 5574.3      .16       1254.1      230.       30.                 4088700200077 
 5559.4      .14       1269.0      286.       11.                 4088700200078 
 5551.0      .14       1277.4      209.       10.                 4088700200079 
 5522.0      .14       1306.4      445.       13.                 4088700200080 
 5494.7      .14       1333.7      194.       12.                 4088700200081 
 5483.5      .15       1344.9      141.       12.                 4088700200082 
 5460.4      .14       1368.0      301.       13.                 4088700200083 
 5449.0      .16       1379.4      236.       25.                 4088700200084 
 5441.6      .24       1386.8       84.       24.                 4088700200085 
 5424.7      .15       1403.7      122.       12.                 4088700200086 
ENDDATA             72          0                                 4088700200087 
ENDSUBENT           86          0                                 4088700299999 
ENDENTRY             2          0                                 4088799999999 
