ENTRY            40973   20240208                             421740973000    1 
SUBENT        40973001   20240208                             421740973001    1 
BIB                 14         37                                 40973001    2 
TITLE       14-MeV neutron inelastic scattering on iron nuclei    40973001    3 
AUTHOR     (A.A.Lychagin,V.P.Lunev,B.V.Zhuravlev,O.A.Sal'nikov,   40973001    4 
           N.N.Titarenko)                                         40973001    5 
REFERENCE  (C,87KIEV,3,231,1987)  Data curves are given           40973001    6 
REL-REF    (M,,A.A.Lychagin+,R,FEI-1406,1983) Exp. details.       40973001    7 
           (M,40732001,A.A.Lychagin+,R,FEI-923,1979)              40973001    8 
            Previous experiment at flight base 3 m.               40973001    9 
INSTITUTE  (4RUSFEI)                                              40973001   10 
METHOD     (TOF)  Time-of-flight base is 7.1 m .                  40973001   11 
            Neutron registration threshold ~ 1 MeV.               40973001   12 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG)                                40973001   13 
           (6-C-12(N,EL)6-C-12,,SIG)                              40973001   14 
           (13-AL-27(N,A)11-NA-24,,SIG)                           40973001   15 
            Three reactions for absolute normalization.           40973001   16 
SAMPLE      Natural iron, hollow cylinder,outer diameter 45 mm,   40973001   17 
            inner diameter 35 mm, height 55 mm.                   40973001   18 
DETECTOR   (SCIN) Neutron registration efficiency in energy range 40973001   19 
            1-9 MeV was determined relative to Cf-252 SF spectrum 40973001   20 
            of 1.42 MeV temperature;                              40973001   21 
            in energy range 3.5-12 MeV - relative to n-p          40973001   22 
            scattering.                                           40973001   23 
CORRECTION  Corrections on neutron attenuation and multiple       40973001   24 
            scattering were made                                  40973001   25 
ADD-RES    (COMP) Comparison with statistical theory of           40973001   26 
                  nuclear reactions was made                      40973001   27 
STATUS     (APRVD)  Lychagin, 1988-12                             40973001   28 
           (TABLE) From authors.                                  40973001   29 
ERR-ANALYS (DATA-ERR) Total error                                 40973001   30 
HISTORY    (19890510C) Compiled at the center - CJD               40973001   31 
           (19910906A) Target nucleus 'FE-56' changed to 'FE-0'.  40973001   32 
                     One author name corrected (SAL'NIKOV)        40973001   33 
           (20240208A) Upper -> lower case correction.            40973001   34 
            Dates were corrected for 4-digits year.               40973001   35 
            Ref.R,FEI-1406,1983 was moved in REL-REF.             40973001   36 
             ERR-T -> DATA-ERR ( no partial uncertainties given). 40973001   37 
            Subents 002-006 were merged in 002 according to       40973001   38 
            recommendation of N.Otsuka ( NDS,IAEA).               40973001   39 
ENDBIB              37          0                                 40973001   40 
COMMON               1          3                                 40973001   41 
EN-RSL                                                            40973001   42 
NSEC/M                                                            40973001   43 
 0.45                                                             40973001   44 
ENDCOMMON            3          0                                 40973001   45 
ENDSUBENT           44          0                                 4097300199999 
SUBENT        40973002   20240208                             421740973002    1 
BIB                  2          7                                 40973002    2 
REACTION   (26-FE-0(N,X)0-NN-1,EM,DA/DE)                          40973002    3 
HISTORY    (19910906A)  FE-56 changed to FE-0. 'N' in SF7 deleted.40973002    4 
           (20240208A) Subents 002-006 were merged in Subent 002  40973002    5 
           according to recommendation of N.Otsuka ( NDS,IAEA).   40973002    6 
            REACTION was corrected:                               40973002    7 
            (N,INL)26-FE-0,,DA/DE -> (N,X)0-NN-1,EM,DA/DE         40973002    8 
            according to a comment of S.Simakov.                  40973002    9 
ENDBIB               7          0                                 40973002   10 
NOCOMMON             0          0                                 40973002   11 
DATA                 5        345                                 40973002   12 
EN         ANG        E          DATA       DATA-ERR              40973002   13 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             40973002   14 
  14.8      30.          .20        22.8     11.4                 40973002   15 
  14.8      30.          .40        36.0     10.8                 40973002   16 
  14.8      30.          .60        43.6     10.9                 40973002   17 
  14.8      30.          .80        44.5      8.9                 40973002   18 
  14.8      30.         1.0         44.0      7.04                40973002   19 
  14.8      30.         1.2         41.0      6.15                40973002   20 
  14.8      30.         1.4         38.5      3.85                40973002   21 
  14.8      30.         1.6         35.3      2.82                40973002   22 
  14.8      30.         1.8         30.9      2.56                40973002   23 
  14.8      30.         2.0         28.6      2.29                40973002   24 
  14.8      30.         2.2         25.8      2.04                40973002   25 
  14.8      30.         2.4         23.5      1.86                40973002   26 
  14.8      30.         2.6         20.9      1.69                40973002   27 
  14.8      30.         2.8         18.8      1.54                40973002   28 
  14.8      30.         3.0         16.9      1.42                40973002   29 
  14.8      30.         3.2         16.4      1.38                40973002   30 
  14.8      30.         3.4         14.8      1.24                40973002   31 
  14.8      30.         3.6         13.3      1.16                40973002   32 
  14.8      30.         3.8         13.2      1.12                40973002   33 
  14.8      30.         4.0         12.5      1.10                40973002   34 
  14.8      30.         4.2         11.4       .99                40973002   35 
  14.8      30.         4.4         10.4       .94                40973002   36 
  14.8      30.         4.6         10.6       .98                40973002   37 
  14.8      30.         4.8         10.2       .96                40973002   38 
  14.8      30.         5.0          9.2       .96                40973002   39 
  14.8      30.         5.2          8.6       .85                40973002   40 
  14.8      30.         5.4          7.6       .78                40973002   41 
  14.8      30.         5.6          7.5       .75                40973002   42 
  14.8      30.         5.8          6.9       .83                40973002   43 
  14.8      30.         6.0          5.8       .64                40973002   44 
  14.8      30.         6.2          6.2       .68                40973002   45 
  14.8      30.         6.4          6.0       .72                40973002   46 
  14.8      30.         6.6          5.7       .70                40973002   47 
  14.8      30.         6.8          5.6       .63                40973002   48 
  14.8      30.         7.0          5.45      .68                40973002   49 
  14.8      30.         7.2          4.8       .68                40973002   50 
  14.8      30.         7.4          5.4       .67                40973002   51 
  14.8      30.         7.6          4.2       .61                40973002   52 
  14.8      30.         7.8          4.6       .87                40973002   53 
  14.8      30.         8.0          4.0       .66                40973002   54 
  14.8      30.         8.2          3.9       .60                40973002   55 
  14.8      30.         8.4          4.2       .68                40973002   56 
  14.8      30.         8.6          3.9       .61                40973002   57 
  14.8      30.         8.8          3.65      .56                40973002   58 
  14.8      30.         9.0          4.1       .55                40973002   59 
  14.8      30.         9.2          4.3       .67                40973002   60 
  14.8      30.         9.4          3.25      .42                40973002   61 
  14.8      30.         9.6          4.8       .58                40973002   62 
  14.8      30.         9.8          6.6       .88                40973002   63 
  14.8      30.        10.0          6.06      .83                40973002   64 
  14.8      30.        10.2          4.1       .66                40973002   65 
  14.8      30.        10.4          3.95      .70                40973002   66 
  14.8      30.        10.6          4.55      .72                40973002   67 
  14.8      30.        10.8          3.75      .50                40973002   68 
  14.8      30.        11.0          3.62      .52                40973002   69 
  14.8      30.        11.2          3.1       .46                40973002   70 
  14.8      30.        11.4          3.85      .62                40973002   71 
  14.8      30.        11.6          3.22      .45                40973002   72 
  14.8      30.        11.8          3.3       .46                40973002   73 
  14.8      30.        12.0          3.15      .57                40973002   74 
  14.8      30.        12.2          2.6       .47                40973002   75 
  14.8      30.        12.4          2.45      .69                40973002   76 
  14.8      30.        12.6          2.3       .37                40973002   77 
  14.8      30.        12.8          2.25      .38                40973002   78 
  14.8      30.        13.0          4.9       .93                40973002   79 
  14.8      30.        13.2          8.7      2.2                 40973002   80 
  14.8      30.        13.4         13.5      3.4                 40973002   81 
  14.8      30.        13.6         12.9      3.9                 40973002   82 
  14.8      30.        13.8          7.5      2.6                 40973002   83 
  14.5      60.          .20        22.0     11.0                 40973002   84 
  14.5      60.          .40        38.9     11.6                 40973002   85 
  14.5      60.          .60        43.8     10.95                40973002   86 
  14.5      60.          .80        43.8      8.6                 40973002   87 
  14.5      60.         1.0         41.0      6.56                40973002   88 
  14.5      60.         1.2         38.1      5.72                40973002   89 
  14.5      60.         1.4         34.3      3.43                40973002   90 
  14.5      60.         1.6         30.9      2.50                40973002   91 
  14.5      60.         1.8         26.9      2.15                40973002   92 
  14.5      60.         2.0         24.1      1.93                40973002   93 
  14.5      60.         2.2         22.6      1.80                40973002   94 
  14.5      60.         2.4         21.4      1.71                40973002   95 
  14.5      60.         2.6         19.3      1.56                40973002   96 
  14.5      60.         2.8         17.9      1.47                40973002   97 
  14.5      60.         3.0         16.1      1.35                40973002   98 
  14.5      60.         3.2         14.2      1.07                40973002   99 
  14.5      60.         3.4         13.3      1.00                40973002  100 
  14.5      60.         3.6         12.9       .99                40973002  101 
  14.5      60.         3.8         12.7       .97                40973002  102 
  14.5      60.         4.0         12.1       .93                40973002  103 
  14.5      60.         4.2         10.8       .83                40973002  104 
  14.5      60.         4.4          9.6       .83                40973002  105 
  14.5      60.         4.6          9.1       .72                40973002  106 
  14.5      60.         4.8          8.5       .67                40973002  107 
  14.5      60.         5.0          8.3       .69                40973002  108 
  14.5      60.         5.2          7.2       .55                40973002  109 
  14.5      60.         5.4          6.9       .57                40973002  110 
  14.5      60.         5.6          6.4       .53                40973002  111 
  14.5      60.         5.8          5.4       .50                40973002  112 
  14.5      60.         6.0          4.7       .45                40973002  113 
  14.5      60.         6.2          4.80      .44                40973002  114 
  14.5      60.         6.4          4.60      .45                40973002  115 
  14.5      60.         6.6          4.25      .43                40973002  116 
  14.5      60.         6.8          3.86      .38                40973002  117 
  14.5      60.         7.0          4.40      .48                40973002  118 
  14.5      60.         7.2          4.0       .37                40973002  119 
  14.5      60.         7.4          3.80      .43                40973002  120 
  14.5      60.         7.6          3.18      .31                40973002  121 
  14.5      60.         7.8          2.61      .33                40973002  122 
  14.5      60.         8.0          2.70      .33                40973002  123 
  14.5      60.         8.2          2.54      .32                40973002  124 
  14.5      60.         8.4          2.79      .34                40973002  125 
  14.5      60.         8.6          2.96      .35                40973002  126 
  14.5      60.         8.8          3.20      .36                40973002  127 
  14.5      60.         9.0          3.16      .36                40973002  128 
  14.5      60.         9.2          4.00      .42                40973002  129 
  14.5      60.         9.4          4.60      .46                40973002  130 
  14.5      60.         9.6          5.28      .55                40973002  131 
  14.5      60.         9.8          3.50      .39                40973002  132 
  14.5      60.        10.0          2.52      .31                40973002  133 
  14.5      60.        10.2          2.21      .28                40973002  134 
  14.5      60.        10.4          2.12      .26                40973002  135 
  14.5      60.        10.6          2.29      .28                40973002  136 
  14.5      60.        10.8          1.81      .22                40973002  137 
  14.5      60.        11.0          2.31      .30                40973002  138 
  14.5      60.        11.2          1.67      .20                40973002  139 
  14.5      60.        11.4          0.96      .12                40973002  140 
  14.5      60.        11.6          0.76      .19                40973002  141 
  14.5      60.        11.8          0.93      .16                40973002  142 
  14.5      60.        12.0          0.49      .10                40973002  143 
  14.5      60.        12.2          0.48      .15                40973002  144 
  14.5      60.        12.4          0.38      .10                40973002  145 
  14.5      60.        12.6          1.18      .25                40973002  146 
  14.5      60.        12.8          3.11      .95                40973002  147 
  14.5      60.        13.0          4.60     1.40                40973002  148 
  14.5      60.        13.2          6.70     2.00                40973002  149 
  14.5      60.        13.4          5.40     2.50                40973002  150 
