ENTRY            V0035   20110209                             V028V003500000001 
SUBENT        V0035001   20110209                             V028V003500100001 
BIB                  8         12                                 V003500100002 
TITLE      Review of U-233(n,f) cross-sections                    V003500100003 
AUTHOR     (Li Jing-Wen)                                          V003500100004 
INSTITUTE  (3CPRAEP)                                              V003500100005 
REFERENCE  (R,HSJ-77067,197712) in Chinese                        V003500100006 
METHOD     Evaluation                                             V003500100007 
ERR-ANALYS (DATA-ERR) Random error for R values                   V003500100008 
            Square root of the errors of R-value (random and      V003500100009 
            fixed) and the error of U-235(n,f), for U-233(n,f)    V003500100010 
            cross-section                                         V003500100011 
STATUS     (TABLE) Table of Report HSJ-77067                      V003500100012 
HISTORY    (19840620C) KO                                         V003500100013 
           (20110209U) On. Upper to lower cases, 4 digits year    V003500100014 
ENDBIB              12          0                                 V003500100015 
NOCOMMON             0          0                                 V003500100016 
ENDSUBENT           15          0                                 V003500199999 
SUBENT        V0035002   20110209                             V028V003500200001 
BIB                  2         36                                 V003500200002 
REACTION  1((92-U-233(N,F),,SIG,,,EVAL)/                          V003500200003 
           (92-U-235(N,F),,SIG,,,EVAL))                           V003500200004 
            Recommended R-values                                  V003500200005 
          2(92-U-233(N,F),,SIG,,,EVAL)                            V003500200006 
REL-REF    (E,,W.D.Allen+,J,PPS/A,70,573,195708)                  V003500200007 
           (E,21463001,P.H.White+,C,65SALZBURG,1,219,196503)      V003500200008 
           (E,21195002,P.H.White+,J,JNE,21,671,196708)            V003500200009 
           (E,20584002,J.L.Perkin+,J,JNE,19,423,196506)           V003500200010 
           (E,12338002,R.W.Lampher,J,PR,104,1654,195612)          V003500200011 
           (E,20363002,L.Pfletschinger,J,NSE,40,375,197006)       V003500200012 
           (E,40309003,V.G.Nesterov+,J,AE,24,185,196802)          V003500200013 
           (E,10084003,W.K.Lehto,J,NSE,39,361,197003)             V003500200014 
           (E,12316002,R.K.Smith+,J,BAP,21,96,1957)               V003500200015 
           (E,12321002,R.L.Henkel,R,LA-2122,195706)               V003500200016 
            also LA-2114                                          V003500200017 
           (E,21515006,D.Szteinsznaider+,C,55GENEVA,4,245,195508) V003500200018 
           (E,,F.Netter,R,CEA-1913,1961)                          V003500200019 
           (E,40055003,G.V.Gorlov+,J,AE,6,453,195904)             V003500200020 
           (E,40653005,V.M.Pancratov+,J,AE,14,177,196302)         V003500200021 
           (E,,G.A.Dorofeev+,J,AE,2,10,195701)                    V003500200022 
           (E,12343001,R.D.Albert+,J,PR,142,778,196602)           V003500200023 
           (E,10236002,J.W.Meadows,J,NSE,54,317,197407)           V003500200024 
           (E,12306001,W.Nyer,R,LAMS-938,195006)                  V003500200025 
           (E,21468004,C.A.Uttley+,R,AERE-NP/R-1996,195606)       V003500200026 
           (E,40321003,V.T.Dvukhsherstnov+,J,AE,38,43,197501)     V003500200027 
            Yan Wu-Guang,Chin.J.Nucl.Sci.Tech.2(1975)233.         V003500200028 
            'U-233(n,f) measurement with fast neutrons'           V003500200029 
           (E,20446002,J.Blons,J,NSE,51,130,197306)               V003500200030 
           (E,10267001,R.Gwin+,J,NSE,59,79,197602)                V003500200031 
           (E,80137003,S.P.Kalinin+,C,58GENEVA,16,136,195809)     V003500200032 
           (E,10562003,J.W.Behrens+,C,75WASH,2,591,197503)        V003500200033 
           (E,10422001,J.W.Behrens+,J,NSE,63,250,197707)          V003500200034 
           (C,,W.Hart,R,AHSB(S)R-169,1969)                        V003500200035 
           (C,,W.G.Davey,J,NSE,32,35,196804)                      V003500200036 
           (C,,D.J.Hughes,C,58GENEVA,16,8,195809)                 V003500200037 
            ENDF/B-III (1973)                                     V003500200038 
ENDBIB              36          0                                 V003500200039 
NOCOMMON             0          0                                 V003500200040 
DATA                 5        177                                 V003500200041 
EN         DATA      1DATA-ERR  1DATA      2DATA-ERR  2           V003500200042 
MEV        NO-DIM     NO-DIM     B          PER-CENT              V003500200043 
 0.001     1.34       0.1        9.39        8.5                  V003500200044 
 0.0015    1.36       0.05       9.53        8.5                  V003500200045 
 0.002     1.37       0.05       7.23        8.5                  V003500200046 
 0.0025    1.36       0.05       7.18        8.5                  V003500200047 
 0.003     1.37       0.04       6.49        8.5                  V003500200048 
 0.0035    1.37       0.04       6.49        8.5                  V003500200049 
 0.004     1.37       0.03       5.75        8.5                  V003500200050 
 0.0045    1.37       0.03       5.75        8.5                  V003500200051 
 0.005     1.37       0.03       5.19        8.5                  V003500200052 
 0.0055    1.37       0.03       5.19        8.5                  V003500200053 
 0.006     1.37       0.03       4.38        8.                   V003500200054 
 0.0065    1.37       0.03       4.38        8.                   V003500200055 
 0.007     1.37       0.03       4.29        8.                   V003500200056 
 0.0075    1.37       0.03       4.29        8.                   V003500200057 
 0.008     1.37       0.03       4.03        8.                   V003500200058 
 0.0085    1.37       0.02       4.03        8.                   V003500200059 
 0.009     1.37       0.02       4.21        8.                   V003500200060 
 0.0095    1.37       0.02       4.21        8.                   V003500200061 
 0.01      1.37       0.02       4.00        1.5                  V003500200062 
 0.015     1.35       0.02       3.31        5.                   V003500200063 
 0.02      1.34       0.02       2.95        5.                   V003500200064 
 0.025     1.34       0.02       2.81        3.                   V003500200065 
 0.03      1.34       0.01       2.71        3.                   V003500200066 
 0.035     1.34       0.01       2.65        3.                   V003500200067 
 0.04      1.34       0.01       2.59        3.                   V003500200068 
 0.045     1.34       0.01       2.53        3.                   V003500200069 
 0.05      1.34       0.02       2.47        2.5                  V003500200070 
 0.055     1.35       0.02       2.43        2.5                  V003500200071 
 0.06      1.35       0.02       2.39        2.5                  V003500200072 
 0.065     1.36       0.02       2.38        2.5                  V003500200073 
 0.07      1.37       0.02       2.36        2.5                  V003500200074 
 0.075     1.38       0.02       2.37        2.5                  V003500200075 
 0.08      1.38       0.02       2.30        2.5                  V003500200076 
 0.085     1.39       0.02       2.29        2.5                  V003500200077 
 0.09      1.40       0.02       2.27        2.5                  V003500200078 
 0.095     1.41       0.03       2.26        2.5                  V003500200079 
 0.1       1.42       0.03       2.24        2.5                  V003500200080 
 0.11      1.45       0.02       2.25        2.8                  V003500200081 
 0.12      1.47       0.02       2.22        2.8                  V003500200082 
 0.13      1.49       0.02       2.22        2.8                  V003500200083 
 0.14      1.51       0.02       2.22        2.8                  V003500200084 
 0.15      1.52       0.2        2.20        2.8                  V003500200085 
 0.16      1.54       0.02       2.22        2.8                  V003500200086 
 0.17      1.56       0.02       2.22        2.8                  V003500200087 
 0.18      1.57       0.02       2.21        2.8                  V003500200088 
 0.19      1.59       0.02       2.22        2.8                  V003500200089 
 0.2       1.60       0.04       2.21        3.5                  V003500200090 
 0.21      1.63       0.03       2.22        3.                   V003500200091 
 0.22      1.65       0.02       2.23        3.                   V003500200092 
 0.23      1.66       0.02       2.22        3.                   V003500200093 
 0.24      1.68       0.02       2.23        3.                   V003500200094 
 0.25      1.69       0.02       2.24        3.                   V003500200095 
 0.26      1.70       0.03       2.21        3.                   V003500200096 
 0.27      1.70       0.03       2.19        3.                   V003500200097 
 0.28      1.71       0.03       2.19        3.                   V003500200098 
 0.29      1.71       0.03       2.17        3.                   V003500200099 
 0.30      1.71       0.02       2.15        3.                   V003500200100 
 0.31      1.72       0.02       2.15        3.                   V003500200101 
 0.32      1.72       0.02       2.13        3.                   V003500200102 
 0.33      1.72       0.02       2.12        3.                   V003500200103 
 0.34      1.72       0.02       2.10        3.                   V003500200104 
 0.35      1.72       0.02       2.09        3.                   V003500200105 
 0.36      1.72       0.02       2.08        3.                   V003500200106 
 0.37      1.72       0.02       2.07        3.                   V003500200107 
 0.38      1.72       0.02       2.06        3.                   V003500200108 
 0.39      1.72       0.02       2.06        3.                   V003500200109 
 0.40      1.72       0.02       2.05        3.                   V003500200110 
 0.41      1.72       0.02       2.05        3.                   V003500200111 
