ENTRY            V0039   20110211                             V028V003900000001 
SUBENT        V0039001   20110211                             V028V003900100001 
BIB                  6          8                                 V003900100002 
TITLE      Review of experimental data of Pu-239 fast neutron     V003900100003 
            scattering cross-sections                             V003900100004 
AUTHOR     (Shi Zhao-Min)                                         V003900100005 
INSTITUTE  (3CPRBJG)                                              V003900100006 
REFERENCE  (R,HSJ-77123,197908) in Chinese                        V003900100007 
METHOD     Evaluation                                             V003900100008 
HISTORY    (19840626C) KO.                                        V003900100009 
           (20110211A) On. Upper to lower cases, 4 digits year    V003900100010 
ENDBIB               8          0                                 V003900100011 
NOCOMMON             0          0                                 V003900100012 
ENDSUBENT           11          0                                 V003900199999 
SUBENT        V0039002   20110211                             V028V003900200001 
BIB                  5         17                                 V003900200002 
REACTION   (94-PU-239(N,EL)94-PU-239,,DA,,LEG/RSL,EVAL)           V003900200003 
ERR-ANALYS (DATA-ERR) Standard deviation                          V003900200004 
REL-REF    (E,20136001,H.H.Knitter+,J,ZP,228,286,196907)          V003900200005 
           (E,,R.C.Allen,J,PR,104,731,195611)  SUPERSEDED.        V003900200006 
           (E,12207015,R.C.Allen,J,NSE,2,787,195711)              V003900200007 
           (E,12373001,L.Cranberg,R,LA-2177,195906)               V003900200008 
           (E,,L.Cranberg,J,PR,103,343,1956)                      V003900200009 
           (E,,L.Cranberg,R,WASH-192,26,1957)                     V003900200010 
           (E,,L.Cranberg,R,WASH-745,20,1957)                     V003900200011 
           (E,20392002,M.Coppola+,J,ZP,232,286,197002)            V003900200012 
           (E,,J.I.Kammerdiener,R,UCRL-51232,197207)              V003900200013 
           (E,10212004,A.Smith+,J,JNE,27,217,197305)              V003900200014 
           (E,20036001,R.Batchelor+,R,AWRE-O-55/69,196908)        V003900200015 
            BNL-50388(1973), BNL-400(1970), KFK-750(1968),        V003900200016 
            GEAP-5272(1966), UNC-5099(1969) were referred.        V003900200017 
STATUS     (TABLE) Table 8 of report HSJ-77123                    V003900200018 
HISTORY    (20110211U) On. STATUS: TABLE added                    V003900200019 
ENDBIB              17          0                                 V003900200020 
NOCOMMON             0          0                                 V003900200021 
DATA                 4        132                                 V003900200022 
EN         NUMBER     DATA       DATA-ERR                         V003900200023 
MEV        NO-DIM     NO-DIM     NO-DIM                           V003900200024 
 0.19      1.           0.1958E+0  0.2094E-1                      V003900200025 
 0.19      2.           0.7100E-1  0.2003E-1                      V003900200026 
 0.19      3.           0.2829E-1  0.1780E-1                      V003900200027 
 0.19      4.           0.8814E-2  0.1747E-1                      V003900200028 
 0.24      1.           0.2806E+0  0.2155E-1                      V003900200029 
 0.24      2.           0.1025E+0  0.2058E-1                      V003900200030 
 0.24      3.           0.7711E-2  0.1636E-1                      V003900200031 
 0.24      4.           0.1439E-1  0.1673E-1                      V003900200032 
 0.29      1.           0.2207E+0  0.1352E-1                      V003900200033 
 0.29      2.           0.9130E-1  0.1431E-1                      V003900200034 
 0.29      3.           0.3649E-2  0.1136E-1                      V003900200035 
 0.29      4.           0.2076E-1  0.1134E-1                      V003900200036 
 0.34      1.           0.2310E+0  0.1980E-1                      V003900200037 
 0.34      2.           0.1347E+0  0.1769E-1                      V003900200038 
 0.34      3.          -0.1953E-1  0.1434E-1                      V003900200039 
 0.34      4.           0.5463E-1  0.1488E-1                      V003900200040 
 0.38      1.           0.3367E+0  0.1074E-1                      V003900200041 
 0.38      2.           0.7110E-1  0.9733E-2                      V003900200042 
 0.38      3.           0.2407E-1  0.1552E-1                      V003900200043 
 0.38      4.           0.7504E-2  0.7511E-2                      V003900200044 
 0.50      1.           0.3434E+0  0.2754E-1                      V003900200045 
 0.50      2.           0.1068E+0  0.2323E-1                      V003900200046 
 0.50      3.           0.4711E-1  0.1537E-1                      V003900200047 
 0.50      4.           0.2588E-2  0.1288E-1                      V003900200048 
 0.55      1.           0.3249E+0  0.5635E-2                      V003900200049 
 0.55      2.           0.1348E+0  0.4668E-2                      V003900200050 
 0.55      3.           0.4242E-1  0.4725E-2                      V003900200051 
 0.55      4.           0.1142E-1  0.3998E-2                      V003900200052 
 0.98      1.           0.4235E+0  0.5181E-2                      V003900200053 
 0.98      2.           0.2217E+0  0.4528E-2                      V003900200054 
 0.98      3.           0.1581E+0  0.4203E-2                      V003900200055 
 0.98      4.           0.5997E-1  0.3972E-2                      V003900200056 
 1.0       1.           0.4152E+0  0.4402E-1                      V003900200057 
 1.0       2.           0.2891E+0  0.3829E-1                      V003900200058 
 1.0       3.           0.1565E+0  0.2388E-1                      V003900200059 
 1.0       4.           0.9694E-1  0.2006E-1                      V003900200060 
 1.5       1.           0.4488E+0  0.7815E-2                      V003900200061 
 1.5       2.           0.2525E+0  0.6112E-2                      V003900200062 
 1.5       3.           0.2372E+0  0.4260E-2                      V003900200063 
 1.5       4.           0.1477E+0  0.3751E-2                      V003900200064 
 1.5       5.           0.2279E-1  0.3447E-2                      V003900200065 
 1.5       6.           0.4682E-2  0.3027E-2                      V003900200066 
 1.5       7.          -0.4121E-2  0.1864E-2                      V003900200067 
 1.9       1.           0.5734E+0  0.9484E-2                      V003900200068 
 1.9       2.           0.4095E+0  0.8091E-2                      V003900200069 
 1.9       3.           0.3372E+0  0.6147E-2                      V003900200070 
 1.9       4.           0.2617E+0  0.4783E-2                      V003900200071 
 1.9       5.           0.1149E+0  0.3735E-2                      V003900200072 
 1.9       6.           0.5314E-1  0.2998E-2                      V003900200073 
 1.9       7.           0.1031E-1  0.1738E-2                      V003900200074 
 2.0       1.           0.5184E+0  0.8956E-2                      V003900200075 
 2.0       2.           0.3622E+0  0.6961E-2                      V003900200076 
 2.0       3.           0.3011E+0  0.5917E-2                      V003900200077 
 2.0       4.           0.1999E+0  0.5291E-2                      V003900200078 
 2.0       5.           0.7099E-1  0.4812E-2                      V003900200079 
 2.0       6.           0.3097E-1  0.3947E-2                      V003900200080 
 2.0       7.           0.4093E-2  0.3645E-2                      V003900200081 
 2.3       1.           0.6692E+0  0.1748E-1                      V003900200082 
 2.3       2.           0.5047E+0  0.1464E-1                      V003900200083 
 2.3       3.           0.3840E+0  0.1103E-1                      V003900200084 
 2.3       4.           0.2823E+0  0.8597E-2                      V003900200085 
 2.3       5.           0.1413E+0  0.6518E-2                      V003900200086 
 2.3       6.           0.4794E-1  0.4582E-2                      V003900200087 
 2.3       7.           0.3029E-2  0.2407E-2                      V003900200088 
 4.0       1.           0.7395E+0  0.7977E-2                      V003900200089 
 4.0       2.           0.5974E+0  0.7035E-2                      V003900200090 
 4.0       3.           0.4675E+0  0.5796E-2                      V003900200091 
 4.0       4.           0.3689E+0  0.4634E-2                      V003900200092 
 4.0       5.           0.2492E+0  0.3932E-2                      V003900200093 
 4.0       6.           0.1288E+0  0.3437E-2                      V003900200094 
 4.0       7.           0.5148E-1  0.3048E-2                      V003900200095 
 4.0       8.           0.2097E-1  0.2404E-2                      V003900200096 
 4.0       9.           0.8865E-2  0.1859E-2                      V003900200097 
 4.0       10.          0.1118E-1  0.1843E-2                      V003900200098 
 4.0       11.          0.4737E-2  0.9868E-3                      V003900200099 
 4.5       1.           0.7891E+0  0.8631E-2                      V003900200100 
 4.5       2.           0.6611E+0  0.7612E-2                      V003900200101 
 4.5       3.           0.5415E+0  0.6463E-2                      V003900200102 
 4.5       4.           0.4227E+0  0.5358E-2                      V003900200103 
