ANG-CM     E-EXC-MIN  E-EXC-MAX  DATA-CM    ERR-S                 2312500200020 
ADEG       MEV        MEV        MB/SR/MEV  MB/SR/MEV             2312500200021 
 5.6        11.4       12.4       1.478      0.028                2312500200079 
 5.6        12.4       13.4       1.498      0.028                2312500200080 
 5.6        13.4       14.4       1.395      0.026                2312500200081 
 5.6        14.4       16.4       1.419      0.019                2312500200082 
 5.6        16.4       18.4       1.291      0.017                2312500200083 
 5.6        18.4       21.4       1.227      0.017                2312500200084 
 5.6        21.4       24.4       1.096      0.011                2312500200085 
 5.6        24.4       27.4       1.008      0.010                2312500200086 
 5.6        27.4                  0.914      0.009                2312500200087 
 9.8        -0.6       -0.2       -0.004     0.002                2312500200088 
 9.8        -0.2       0.2        0.019      0.005                2312500200089 
 9.8        0.2        0.6        0.045      0.007                2312500200090 
 9.8        0.6        1.0        0.079      0.010                2312500200091 
 9.8        1.0        1.4        0.148      0.013                2312500200092 
 9.8        1.4        1.8        0.202      0.017                2312500200093 
 9.8        1.8        2.2        0.233      0.018                2312500200094 
 9.8        2.2        2.6        0.251      0.017                2312500200095 
 9.8        2.6        3.0        0.267      0.019                2312500200096 
 9.8        3.0        3.4        0.294      0.020                2312500200097 
 9.8        3.4        3.8        0.216      0.017                2312500200098 
 9.8        3.8        4.2        0.223      0.017                2312500200099 
 9.8        4.2        4.6        0.192      0.016                2312500200100 
 9.8        4.6        5.0        0.173      0.015                2312500200101 
 9.8        5.0        5.6        0.240      0.015                2312500200102 
 9.8        5.6        6.2        0.499      0.021                2312500200103 
 9.8        6.2        6.8        0.598      0.023                2312500200104 
 9.8        6.8        7.4        0.662      0.025                2312500200105 
 9.8        7.4        8.0        0.589      0.023                2312500200106 
 9.8        8.0        8.6        0.670      0.025                2312500200107 
 9.8        8.6        9.2        0.677      0.025                2312500200108 
 9.8        9.2        10.4       0.821      0.027                2312500200109 
 9.8        10.4       10.8       0.727      0.026                2312500200110 
 9.8        10.8       11.4       0.750      0.020                2312500200111 
 9.8        11.4       12.4       0.845      0.021                2312500200112 
 9.8        12.4       13.4       0.876      0.021                2312500200113 
 9.8        13.4       14.4       0.964      0.022                2312500200114 
 9.8        14.4       16.4       1.055      0.016                2312500200115 
 9.8        16.4       18.4       1.098      0.016                2312500200116 
 9.8        18.4       21.4       1.177      0.017                2312500200117 
 9.8        21.4       24.4       1.181      0.012                2312500200118 
 9.8        24.4       27.4       1.205      0.012                2312500200119 
 9.8        27.4                  1.163      0.011                2312500200120 
ENDDATA            101          0                                 2312500200121 
ENDSUBENT          120          0                                 2312500299999 
ENDENTRY             2          0                                 2312599999999 
