ENTRY            22786   20100226                             22202278600000001 
SUBENT        22786001   20100226                             22202278600100001 
BIB                  8         10                                 2278600100002 
TITLE      .Application of silicon detectors to measurements      2278600100003 
            of monoenergetic neutron beams                        2278600100004 
AUTHOR     (M.G.Marcazzan, F.Merzari, F.Tonoloni)                 2278600100005 
INSTITUTE  (2ITYCIS)                                              2278600100006 
REFERENCE  (J,PL,1,(1),21,1962)  Main reference, graphs are given 2278600100007 
FACILITY   (ACCEL,2ITYCIS)  Accelerator not specified             2278600100008 
INC-SOURCE (D-T)                                                  2278600100009 
DETECTOR   (SIBAR)  RCA silicon detector with the barrier of      2278600100010 
                    optimum thickness                             2278600100011 
HISTORY    (20100226C)  S.M.                                      2278600100012 
ENDBIB              10          0                                 2278600100013 
NOCOMMON             0          0                                 2278600100014 
ENDSUBENT           13          0                                 2278600199999 
SUBENT        22786002   20100226                             22202278600200001 
BIB                  3          4                                 2278600200002 
REACTION   (14-SI-28(N,A)12-MG-25,,DE,,RAW)   Units not given     2278600200003 
ERR-ANALYS (E-ERR-DIG)   Digitizing error of secondary energy     2278600200004 
           (ERR-DIG)     Data digitizing error                    2278600200005 
STATUS     (CURVE)  Fig.1 of PL, v.1, p.21, 1962                  2278600200006 
ENDBIB               4          0                                 2278600200007 
NOCOMMON             0          0                                 2278600200008 
DATA                 5        201                                 2278600200009 
EN         E          DATA       E-ERR-DIG  ERR-DIG               2278600200010 
MEV        MEV        ARB-UNITS  MEV        ARB-UNITS             2278600200011 
  13.95      6.4161    1595.3     4.1390E-03    1.3694            2278600200012 
  13.95      6.4668    1866.4     4.1390E-03    1.3694            2278600200013 
  13.95      6.5345    1914.8     4.1390E-03    1.3694            2278600200014 
  13.95      6.5768    2140.3     4.1390E-03    1.3694            2278600200015 
  13.95      6.6614    1689.3     4.1390E-03    1.3694            2278600200016 
  13.95      6.7291    1533.6     4.1390E-03    1.3694            2278600200017 
  13.95      6.7545    1187.3     4.1390E-03    1.3694            2278600200018 
  13.95      6.8137    1418.1     4.1390E-03    1.3694            2278600200019 
  13.95      6.8814    1439.6     4.1390E-03    1.3694            2278600200020 
  13.95      6.9491    1713.4     4.1390E-03    1.3694            2278600200021 
  13.95      7.0167    1713.4     4.1390E-03    1.3694            2278600200022 
  13.95      7.0929    1458.4     4.1390E-03    1.3694            2278600200023 
  13.95      7.1521    1802.0     4.1390E-03    1.3694            2278600200024 
  13.95      7.2028    2118.8     4.1390E-03    1.3694            2278600200025 
  13.95      7.2705    2647.7     4.1390E-03    1.3694            2278600200026 
  13.95      7.3212    2513.4     4.1390E-03    1.3694            2278600200027 
  13.95      7.4059    1729.5     4.1390E-03    1.3694            2278600200028 
  13.95      7.4567    1673.2     4.1390E-03    1.3694            2278600200029 
  13.95      7.4906     945.65    4.1390E-03    1.3694            2278600200030 
  13.95      7.5583     733.57    4.1390E-03    1.3694            2278600200031 
  13.95      7.6344     969.81    4.1390E-03    1.3694            2278600200032 
  13.95      7.6852     959.07    4.1390E-03    1.3694            2278600200033 
  13.95      7.7782    1834.2     4.1390E-03    1.3694            2278600200034 
  13.95      7.8204    2371.2     4.1390E-03    1.3694            2278600200035 
  13.95      7.8965    2435.6     4.1390E-03    1.3694            2278600200036 
  13.95      7.9474    1479.9     4.1390E-03    1.3694            2278600200037 
  13.95      8.0152     720.15    4.1390E-03    1.3694            2278600200038 
  13.95      8.0490     518.81    4.1390E-03    1.3694            2278600200039 
  13.95      8.1336     500.02    4.1390E-03    1.3694            2278600200040 
  13.95      8.1844     481.23    4.1390E-03    1.3694            2278600200041 
  13.95      8.2605     706.73    4.1390E-03    1.3694            2278600200042 
  13.95      8.3958    1063.8     4.1390E-03    1.3694            2278600200043 
  13.95      8.4550    1697.3     4.1390E-03    1.3694            2278600200044 
  13.95      8.5227    1847.7     4.1390E-03    1.3694            2278600200045 
  13.95      8.5904    1555.1     4.1390E-03    1.3694            2278600200046 
  13.95      8.6327     972.51    4.1390E-03    1.3694            2278600200047 
  13.95      8.6751     599.35    4.1390E-03    1.3694            2278600200048 
  13.95      8.7512     655.73    4.1390E-03    1.3694            2278600200049 
  13.95      8.8274     384.59    4.1390E-03    1.3694            2278600200050 
  13.95      8.8697     290.63    4.1390E-03    1.3694            2278600200051 
  13.95      8.9543     306.74    4.1390E-03    1.3694            2278600200052 
  13.95      9.0220     446.34    4.1390E-03    1.3694            2278600200053 
  13.95      9.0727     325.53    4.1390E-03    1.3694            2278600200054 
  13.95      9.1235     427.55    4.1390E-03    1.3694            2278600200055 
  13.95      9.1827     559.09    4.1390E-03    1.3694            2278600200056 
  13.95      9.2588    1053.1     4.1390E-03    1.3694            2278600200057 
  13.95      9.3349    1428.9     4.1390E-03    1.3694            2278600200058 
  13.95      9.3941    1200.7     4.1390E-03    1.3694            2278600200059 
  13.95      9.4365     653.05    4.1390E-03    1.3694            2278600200060 
  13.95      9.5042     545.67    4.1390E-03    1.3694            2278600200061 
  13.95      9.5549     916.14    4.1390E-03    1.3694            2278600200062 
  13.95      9.6226    1031.6     4.1390E-03    1.3694            2278600200063 
  13.95      9.6987    1222.2     4.1390E-03    1.3694            2278600200064 
  13.95      9.7579     948.36    4.1390E-03    1.3694            2278600200065 
  13.95      9.8341     521.51    4.1390E-03    1.3694            2278600200066 
  13.95      9.8764     395.34    4.1390E-03    1.3694            2278600200067 
  13.95      9.9272     269.16    4.1390E-03    1.3694            2278600200068 
  13.95     10.012      290.64    4.1390E-03    1.3694            2278600200069 
  13.95     10.088      271.85    4.1390E-03    1.3694            2278600200070 
  13.95     10.130      419.50    4.1390E-03    1.3694            2278600200071 
  13.95     10.181      408.76    4.1390E-03    1.3694            2278600200072 
  13.95     10.266      679.91    4.1390E-03    1.3694            2278600200073 
  13.95     10.333      961.79    4.1390E-03    1.3694            2278600200074 
  13.95     10.418      964.47    4.1390E-03    1.3694            2278600200075 
  13.95     10.460      569.84    4.1390E-03    1.3694            2278600200076 
  13.95     10.503      255.75    4.1390E-03    1.3694            2278600200077 
  13.95     10.596      239.64    4.1390E-03    1.3694            2278600200078 
  13.95     10.655      459.78    4.1390E-03    1.3694            2278600200079 
  13.95     10.697      537.63    4.1390E-03    1.3694            2278600200080 
  13.95     10.773      556.42    4.1390E-03    1.3694            2278600200081 
  13.95     10.832      435.62    4.1390E-03    1.3694            2278600200082 
  13.95     10.866      116.15    4.1390E-03    1.3694            2278600200083 
  13.95     10.968      159.11    4.1390E-03    1.3694            2278600200084 
  13.95     11.002      239.64    4.1390E-03    1.3694            2278600200085 
  13.95     11.086      242.33    4.1390E-03    1.3694            2278600200086 
  13.95     11.162      462.47    4.1390E-03    1.3694            2278600200087 
  13.95     11.205      537.63    4.1390E-03    1.3694            2278600200088 
  13.95     11.272      902.73    4.1390E-03    1.3694            2278600200089 
  13.95     11.348     1216.8     4.1390E-03    1.3694            2278600200090 
  13.95     11.399     1198.0     4.1390E-03    1.3694            2278600200091 
  13.95     11.425      467.84    4.1390E-03    1.3694            2278600200092 
  13.95     11.509      212.80    4.1390E-03    1.3694            2278600200093 
  13.95     11.569       51.73    4.1390E-03    1.3694            2278600200094 
  13.95     11.628       75.89    4.1390E-03    1.3694            2278600200095 
  13.95     11.653       22.20    4.1390E-03    1.3694            2278600200096 
  13.95     11.738       22.20    4.1390E-03    1.3694            2278600200097 
  13.95     11.805       32.94    4.1390E-03    1.3694            2278600200098 
  13.95     11.941       22.20    4.1390E-03    1.3694            2278600200099 
  13.95     12.085       62.47    4.1390E-03    1.3694            2278600200100 
  13.95     12.135       32.94    4.1390E-03    1.3694            2278600200101 
  13.95     12.398       24.89    4.1390E-03    1.3694            2278600200102 
  13.95     12.508       22.21    4.1390E-03    1.3694            2278600200103 
  13.95     12.567       22.21    4.1390E-03    1.3694            2278600200104 
  13.95     12.609       30.26    4.1390E-03    1.3694            2278600200105 
  14.60      6.3231    2397.8     2.0287E-02    8.2473            2278600200106 
  14.60      6.3805    2188.0     2.0287E-02    8.2473            2278600200107 
  14.60      6.4433    2075.2     2.0287E-02    8.2473            2278600200108 
  14.60      6.5176    1868.3     2.0287E-02    8.2473            2278600200109 
  14.60      6.5794    2054.1     2.0287E-02    8.2473            2278600200110 
  14.60      6.6344    1387.0     2.0287E-02    8.2473            2278600200111 
  14.60      6.7079    1737.0     2.0287E-02    8.2473            2278600200112 
  14.60      6.7724    1836.8     2.0287E-02    8.2473            2278600200113 
  14.60      6.8257    1758.9     2.0287E-02    8.2473            2278600200114 
  14.60      6.8733    1592.2     2.0287E-02    8.2473            2278600200115 
  14.60      6.9440    1762.0     2.0287E-02    8.2473            2278600200116 
  14.60      7.0101    1810.6     2.0287E-02    8.2473            2278600200117 
  14.60      7.1035    2066.6     2.0287E-02    8.2473            2278600200118 
  14.60      7.1429    2158.2     2.0287E-02    8.2473            2278600200119 
  14.60      7.2091    2204.2     2.0287E-02    8.2473            2278600200120 
  14.60      7.2505    1701.1     2.0287E-02    8.2473            2278600200121 
  14.60      7.3215    1599.1     2.0287E-02    8.2473            2278600200122 
  14.60      7.3621    1386.6     2.0287E-02    8.2473            2278600200123 
  14.60      7.4613    1193.2     2.0287E-02    8.2473            2278600200124 
  14.60      7.5355    1255.3     2.0287E-02    8.2473            2278600200125 
  14.60      7.5737    1381.9     2.0287E-02    8.2473            2278600200126 
  14.60      7.6234    1417.0     2.0287E-02    8.2473            2278600200127 
  14.60      7.7008    1376.9     2.0287E-02    8.2473            2278600200128 
  14.60      7.7505    1409.4     2.0287E-02    8.2473            2278600200129 
  14.60      7.8197    1894.0     2.0287E-02    8.2473            2278600200130 
  14.60      7.8769    2225.2     2.0287E-02    8.2473            2278600200131 
  14.60      7.9825    2362.7     2.0287E-02    8.2473            2278600200132 
  14.60      8.0260    2325.2     2.0287E-02    8.2473            2278600200133 
  14.60      8.0654    1617.6     2.0287E-02    8.2473            2278600200134 
  14.60      8.0920    1313.6     2.0287E-02    8.2473            2278600200135 
  14.60      8.1826     859.13    2.0287E-02    8.2473            2278600200136 
  14.60      8.2467     705.95    2.0287E-02    8.2473            2278600200137 
  14.60      8.2983     679.21    2.0287E-02    8.2473            2278600200138 
  14.60      8.3731     988.91    2.0287E-02    8.2473            2278600200139 
  14.60      8.4449    1656.5     2.0287E-02    8.2473            2278600200140 
  14.60      8.5089    1772.4     2.0287E-02    8.2473            2278600200141 
  14.60      8.5829    1573.5     2.0287E-02    8.2473            2278600200142 
  14.60      8.6217    1153.9     2.0287E-02    8.2473            2278600200143 
  14.60      8.6843    1046.4     2.0287E-02    8.2473            2278600200144 
  14.60      8.7503     567.64    2.0287E-02    8.2473            2278600200145 
  14.60      8.7973     419.79    2.0287E-02    8.2473            2278600200146 
  14.60      8.8683     315.07    2.0287E-02    8.2473            2278600200147 
  14.60      8.9331     406.77    2.0287E-02    8.2473            2278600200148 
  14.60      9.0010     668.01    2.0287E-02    8.2473            2278600200149 
  14.60      9.0635     829.67    2.0287E-02    8.2473            2278600200150 
  14.60      9.1241    1053.2     2.0287E-02    8.2473            2278600200151 
  14.60      9.1872    1462.4     2.0287E-02    8.2473            2278600200152 
  14.60      9.2571    1659.1     2.0287E-02    8.2473            2278600200153 
  14.60      9.3052    1209.9     2.0287E-02    8.2473            2278600200154 
  14.60      9.3688     806.44    2.0287E-02    8.2473            2278600200155 
  14.60      9.4381     491.82    2.0287E-02    8.2473            2278600200156 
  14.60      9.4930     360.14    2.0287E-02    8.2473            2278600200157 
  14.60      9.5421     411.42    2.0287E-02    8.2473            2278600200158 
  14.60      9.6185     403.59    2.0287E-02    8.2473            2278600200159 
  14.60      9.6791     360.73    2.0287E-02    8.2473            2278600200160 
  14.60      9.7413     269.44    2.0287E-02    8.2473            2278600200161 
  14.60      9.8038     431.10    2.0287E-02    8.2473            2278600200162 
  14.60      9.8675     557.78    2.0287E-02    8.2473            2278600200163 
  14.60      9.9246     622.55    2.0287E-02    8.2473            2278600200164 
  14.60      9.9799     746.51    2.0287E-02    8.2473            2278600200165 
  14.60     10.044      585.26    2.0287E-02    8.2473            2278600200166 
  14.60     10.107      754.99    2.0287E-02    8.2473            2278600200167 
  14.60     10.176      712.16    2.0287E-02    8.2473            2278600200168 
  14.60     10.233      758.09    2.0287E-02    8.2473            2278600200169 
  14.60     10.316      822.94    2.0287E-02    8.2473            2278600200170 
  14.60     10.385      785.49    2.0287E-02    8.2473            2278600200171 
  14.60     10.431      656.47    2.0287E-02    8.2473            2278600200172 
  14.60     10.490      406.40    2.0287E-02    8.2473            2278600200173 
  14.60     10.559      347.42    2.0287E-02    8.2473            2278600200174 
  14.60     10.613      248.03    2.0287E-02    8.2473            2278600200175 
  14.60     10.697      277.90    2.0287E-02    8.2473            2278600200176 
  14.60     10.764      315.79    2.0287E-02    8.2473            2278600200177 
  14.60     10.790      275.51    2.0287E-02    8.2473            2278600200178 
  14.60     10.873      321.52    2.0287E-02    8.2473            2278600200179 
  14.60     10.919      480.44    2.0287E-02    8.2473            2278600200180 
  14.60     10.997      429.56    2.0287E-02    8.2473            2278600200181 
  14.60     11.066      384.03    2.0287E-02    8.2473            2278600200182 
  14.60     11.134      373.49    2.0287E-02    8.2473            2278600200183 
  14.60     11.205      263.39    2.0287E-02    8.2473            2278600200184 
  14.60     11.240      228.52    2.0287E-02    8.2473            2278600200185 
  14.60     11.291      212.54    2.0287E-02    8.2473            2278600200186 
  14.60     11.333      220.75    2.0287E-02    8.2473            2278600200187 
  14.60     11.391      269.37    2.0287E-02    8.2473            2278600200188 
  14.60     11.433      288.34    2.0287E-02    8.2473            2278600200189 
  14.60     11.507      355.85    2.0287E-02    8.2473            2278600200190 
  14.60     11.544      259.10    2.0287E-02    8.2473            2278600200191 
  14.60     11.633      127.53    2.0287E-02    8.2473            2278600200192 
  14.60     11.690      189.60    2.0287E-02    8.2473            2278600200193 
  14.60     11.754      292.07    2.0287E-02    8.2473            2278600200194 
  14.60     11.819      367.62    2.0287E-02    8.2473            2278600200195 
  14.60     11.901      733.86    2.0287E-02    8.2473            2278600200196 
  14.60     11.980     1188.9     2.0287E-02    8.2473            2278600200197 
  14.60     12.004     1476.9     2.0287E-02    8.2473            2278600200198 
  14.60     12.080     1232.3     2.0287E-02    8.2473            2278600200199 
  14.60     12.142     1127.5     2.0287E-02    8.2473            2278600200200 
  14.60     12.187      258.48    2.0287E-02    8.2473            2278600200201 
  14.60     12.260       73.03    2.0287E-02    8.2473            2278600200202 
  14.60     12.321       24.79    2.0287E-02    8.2473            2278600200203 
  14.60     12.405       38.52    2.0287E-02    8.2473            2278600200204 
  14.60     12.516       25.42    2.0287E-02    8.2473            2278600200205 
  14.60     12.626       28.46    2.0287E-02    8.2473            2278600200206 
  14.60     12.693       39.44    2.0287E-02    8.2473            2278600200207 
  14.60     12.761       39.66    2.0287E-02    8.2473            2278600200208 
  14.60     12.879       31.97    2.0287E-02    8.2473            2278600200209 
  14.60     13.023       27.05    2.0287E-02    8.2473            2278600200210 
  14.60     13.091       24.58    2.0287E-02    8.2473            2278600200211 
  14.60     13.141       35.50    2.0287E-02    8.2473            2278600200212 
ENDDATA            203          0                                 2278600200213 
ENDSUBENT          212          0                                 2278600299999 
ENDENTRY             2          0                                 2278699999999 
