ENTRY            22352   20090218                             22082235200000001 
SUBENT        22352001   20090218                             22082235200100001 
BIB                 14         31                                 2235200100002 
INSTITUTE  (2JPNTOH)   Dept. of Nuclear Engeneering               2235200100003 
REFERENCE  ((S,JAERI-M-93-046,345,199211)=                        2235200100004 
           (S,INDC(JPN)-163/L,345,199211))  Main reference,       2235200100005 
               Graphs are given                                   2235200100006 
           (J,NST,27,(7),601,199007)  Experimental details        2235200100007 
           (J,NST,31,(8),757,199408)                              2235200100008 
AUTHOR     (S.Matsuyama,T.Okubo,M.Baba,T.Ito,T.Akiyama,N.Ito,     2235200100009 
            N.Hirakawa)                                           2235200100010 
TITLE      .Measurement of double-differential neutron emission   2235200100011 
            cross sections of Mo, Ta and W                        2235200100012 
FACILITY   (DYNAM,2JPNTOH) 4.5 mV dynamitron facility of Tohoku   2235200100013 
              Univ.                                               2235200100014 
INC-SOURCE (D-T)                                                  2235200100015 
INC-SPECT  .Pulsed neutron beam less than 2 nsec duration 1 MHz   2235200100016 
            repetition bombarded tritium loaded metallic Ti       2235200100017 
            target                                                2235200100018 
METHOD     (TOF)    .Single-TOF method was used                   2235200100019 
DETECTOR   (SCIN )  .Liquid NE123 scin detector 14 cm diameter    2235200100020 
                    and 10 cm thickness coupled to fast-timing    2235200100021 
                    photomultiplier tube                          2235200100022 
MONITOR    (98-CF-252(0,F),PR,DE,N)  For low energy region        2235200100023 
CORRECTION .Corrections were made on detectors efficiency and     2235200100024 
            sample-out background, on finite sample and back-     2235200100025 
            grounds caused by parasitic and target-scattered      2235200100026 
            neutrons                                              2235200100027 
ERR-ANALYS (ERR-S)     Standard deviation                         2235200100028 
STATUS     .Data obtained from M. Baba via internet, 1997/06.     2235200100029 
HISTORY    (19971020C)  + +  Compiled by S.M.     + +             2235200100030 
           (20030529A) Reactions corrected. Convertewd to new     2235200100031 
                       date formats, lower case.                  2235200100032 
           (20090218U) Date of REFERENCE NST,27 corrected         2235200100033 
ENDBIB              31          0                                 2235200100034 
COMMON               1          3                                 2235200100035 
EN                                                                2235200100036 
MEV                                                               2235200100037 
   14.10000                                                       2235200100038 
ENDCOMMON            3          0                                 2235200100039 
ENDSUBENT           38          0                                 2235200199999 
SUBENT        22352002   20030529                             00002235200200001 
BIB                  5          5                                 2235200200002 
REACTION   (24-CR-0(N,X)0-NN-1,,DA/DE)                            2235200200003 
SAMPLE     .No information                                        2235200200004 
COMMENT     Data corrected by authors in 1992                     2235200200005 
STATUS     (COREL,22025014)                                       2235200200006 
HISTORY    (20030529A) Reaction corrected.                        2235200200007 
ENDBIB               5          0                                 2235200200008 
NOCOMMON             0          0                                 2235200200009 
DATA                 5        668                                 2235200200010 
ANG        E-MIN      E-MAX      DATA       ERR-S                 2235200200011 
ADEG       MEV        MEV        B/SR/MEV   B/SR/MEV              2235200200012 
   20.00000     .70000     .90000 3.7022E-02 2.8801E-03           2235200200013 
   20.00000     .90000    1.10000 4.1164E-02 2.4221E-03           2235200200014 
   20.00000    1.10000    1.30000 4.4034E-02 2.5003E-03           2235200200015 
   20.00000    1.30000    1.50000 3.8371E-02 2.1540E-03           2235200200016 
   20.00000    1.50000    1.70000 3.3054E-02 1.8463E-03           2235200200017 
   20.00000    1.70000    1.90000 3.0911E-02 1.7872E-03           2235200200018 
   20.00000    1.90000    2.10000 2.8273E-02 3.2852E-03           2235200200019 
   20.00000    2.10000    2.30000 2.5860E-02 2.9941E-03           2235200200020 
   20.00000    2.30000    2.50000 2.3653E-02 2.6948E-03           2235200200021 
   20.00000    2.50000    2.70000 2.1634E-02 2.4947E-03           2235200200022 
   20.00000    2.70000    2.90000 1.9788E-02 2.3327E-03           2235200200023 
   20.00000    2.90000    3.10000 1.8099E-02 2.1637E-03           2235200200024 
   20.00000    3.10000    3.30000 1.6554E-02 1.9920E-03           2235200200025 
   20.00000    3.30000    3.50000 1.5141E-02 1.8453E-03           2235200200026 
   20.00000    3.50000    3.70000 1.3849E-02 9.4718E-04           2235200200027 
   20.00000    3.70000    3.90000 1.3118E-02 9.1150E-04           2235200200028 
   20.00000    3.90000    4.10000 1.2425E-02 8.9317E-04           2235200200029 
   20.00000    4.10000    4.30000 1.1307E-02 8.0857E-04           2235200200030 
   20.00000    4.30000    4.50000 1.0490E-02 7.4156E-04           2235200200031 
   20.00000    4.50000    4.70000 8.3433E-03 6.3300E-04           2235200200032 
   20.00000    4.70000    4.90000 9.6712E-03 8.4767E-04           2235200200033 
   20.00000    4.90000    5.10000 9.4354E-03 8.3973E-04           2235200200034 
   20.00000    5.10000    5.30000 7.5840E-03 6.9596E-04           2235200200035 
   20.00000    5.30000    5.50000 6.1340E-03 6.6522E-04           2235200200036 
   20.00000    5.50000    5.70000 6.9034E-03 6.6723E-04           2235200200037 
   20.00000    5.70000    5.90000 6.7291E-03 6.9290E-04           2235200200038 
   20.00000    5.90000    6.10000 7.1909E-03 7.3429E-04           2235200200039 
   20.00000    6.10000    6.30000 5.1729E-03 6.3459E-04           2235200200040 
   20.00000    6.30000    6.50000 4.3555E-03 5.5863E-04           2235200200041 
   20.00000    6.50000    6.70000 5.4047E-03 6.3698E-04           2235200200042 
   20.00000    6.70000    6.90000 6.3246E-03 6.7258E-04           2235200200043 
   20.00000    6.90000    7.10000 5.0812E-03 5.9752E-04           2235200200044 
   20.00000    7.10000    7.30000 6.1337E-03 6.9051E-04           2235200200045 
   20.00000    7.30000    7.50000 4.6851E-03 6.0442E-04           2235200200046 
   20.00000    7.50000    7.70000 3.7376E-03 5.5227E-04           2235200200047 
   20.00000    7.70000    7.90000 4.5016E-03 5.7893E-04           2235200200048 
   20.00000    7.90000    8.10000 3.9414E-03 5.3701E-04           2235200200049 
   20.00000    8.10000    8.30000 3.1332E-03 5.3443E-04           2235200200050 
   20.00000    8.30000    8.50000 2.6847E-03 5.2231E-04           2235200200051 
   20.00000    8.50000    8.70000 2.6528E-03 4.8359E-04           2235200200052 
   20.00000    8.70000    8.90000 2.4269E-03 4.5129E-04           2235200200053 
   20.00000    8.90000    9.10000 2.6359E-03 4.5321E-04           2235200200054 
   20.00000    9.10000    9.30000 3.3733E-03 4.5611E-04           2235200200055 
   20.00000    9.30000    9.50000 3.5410E-03 4.8440E-04           2235200200056 
   20.00000    9.50000    9.70000 3.6915E-03 4.9305E-04           2235200200057 
   20.00000    9.70000    9.90000 2.1244E-03 4.4609E-04           2235200200058 
   20.00000    9.90000   10.10000 2.9449E-03 4.5189E-04           2235200200059 
   20.00000   10.10000   10.30000 2.4713E-03 4.3951E-04           2235200200060 
   20.00000   10.30000   10.50000 2.4884E-03 4.1535E-04           2235200200061 
   20.00000   10.50000   10.70000 2.0232E-03 4.1122E-04           2235200200062 
   20.00000   10.70000   10.90000 2.6992E-03 4.3993E-04           2235200200063 
   20.00000   10.90000   11.10000 2.4148E-03 4.4025E-04           2235200200064 
   20.00000   11.10000   11.30000 3.4799E-03 4.8053E-04           2235200200065 
   20.00000   11.30000   11.50000 3.2125E-03 4.6292E-04           2235200200066 
   20.00000   11.50000   11.70000 2.5134E-03 4.7104E-04           2235200200067 
   20.00000   11.70000   11.90000 3.3494E-03 5.2762E-04           2235200200068 
   20.00000   11.90000   12.10000 5.1104E-03 6.4893E-04           2235200200069 
   20.00000   12.10000   12.30000 5.6272E-03 7.3686E-04           2235200200070 
   20.00000   12.30000   12.50000 9.8686E-03 1.0019E-03           2235200200071 
   20.00000   12.50000   12.70000 1.2453E-02 1.2710E-03           2235200200072 
   20.00000   12.70000   12.90000 1.4978E-02 1.5098E-03           2235200200073 
   20.00000   12.90000   13.10000 2.3806E-02 2.2075E-03           2235200200074 
   20.00000   13.10000   13.30000 5.1686E-02 4.3076E-03           2235200200075 
   20.00000   13.30000   13.50000 1.3135E-01 1.0413E-02           2235200200076 
   20.00000   13.50000   13.70000 3.5499E-01 2.7555E-02           2235200200077 
   20.00000   13.70000   13.90000 6.8473E-01 5.3755E-02           2235200200078 
   20.00000   13.90000   14.10000 9.5696E-01 7.5885E-02           2235200200079 
   20.00000   14.10000   14.30000 9.7657E-01 7.7640E-02           2235200200080 
   20.00000   14.30000   14.50000 7.1126E-01 5.6628E-02           2235200200081 
   20.00000   14.50000   14.70000 3.7549E-01 3.0047E-02           2235200200082 
   20.00000   14.70000   14.90000 1.4326E-01 1.1659E-02           2235200200083 
   20.00000   14.90000   15.10000 4.5296E-02 3.9222E-03           2235200200084 
   20.00000   15.10000   15.30000 1.1807E-02 1.2735E-03           2235200200085 
   20.00000   15.30000   15.50000 4.2960E-03 6.2398E-04           2235200200086 
   20.00000   15.50000   15.70000 1.8161E-03 3.7729E-04           2235200200087 
   20.00000   15.70000   15.90000 5.3325E-04 1.7114E-04           2235200200088 
   20.00000   15.90000   16.10000 4.4313E-04 1.5591E-04           2235200200089 
   30.00000     .70000     .90000 4.7245E-02 3.2199E-03           2235200200090 
   30.00000     .90000    1.10000 4.2379E-02 2.4667E-03           2235200200091 
   30.00000    1.10000    1.30000 4.0196E-02 2.3383E-03           2235200200092 
   30.00000    1.30000    1.50000 3.6865E-02 2.0997E-03           2235200200093 
   30.00000    1.50000    1.70000 3.0763E-02 1.7528E-03           2235200200094 
   30.00000    1.70000    1.90000 2.9491E-02 1.7401E-03           2235200200095 
   30.00000    1.90000    2.10000 2.6907E-02 3.1320E-03           2235200200096 
   30.00000    2.10000    2.30000 2.4549E-02 2.8036E-03           2235200200097 
   30.00000    2.30000    2.50000 2.2397E-02 2.5470E-03           2235200200098 
   30.00000    2.50000    2.70000 2.0434E-02 2.3757E-03           2235200200099 
   30.00000    2.70000    2.90000 1.8644E-02 2.2037E-03           2235200200100 
   30.00000    2.90000    3.10000 1.7010E-02 2.0701E-03           2235200200101 
   30.00000    3.10000    3.30000 1.5519E-02 1.8903E-03           2235200200102 
   30.00000    3.30000    3.50000 1.4159E-02 1.0691E-03           2235200200103 
   30.00000    3.50000    3.70000 1.3441E-02 9.5256E-04           2235200200104 
   30.00000    3.70000    3.90000 1.0590E-02 8.2644E-04           2235200200105 
   30.00000    3.90000    4.10000 1.1467E-02 8.5998E-04           2235200200106 
   30.00000    4.10000    4.30000 9.9461E-03 7.5582E-04           2235200200107 
   30.00000    4.30000    4.50000 8.9703E-03 7.1942E-04           2235200200108 
   30.00000    4.50000    4.70000 8.8207E-03 6.9187E-04           2235200200109 
   30.00000    4.70000    4.90000 9.6520E-03 8.8314E-04           2235200200110 
   30.00000    4.90000    5.10000 8.9050E-03 8.3932E-04           2235200200111 
   30.00000    5.10000    5.30000 7.4684E-03 7.0493E-04           2235200200112 
   30.00000    5.30000    5.50000 7.1053E-03 7.1722E-04           2235200200113 
   30.00000    5.50000    5.70000 6.1879E-03 6.6167E-04           2235200200114 
   30.00000    5.70000    5.90000 6.5148E-03 7.1305E-04           2235200200115 
   30.00000    5.90000    6.10000 5.9989E-03 7.0525E-04           2235200200116 
   30.00000    6.10000    6.30000 4.5010E-03 5.6873E-04           2235200200117 
   30.00000    6.30000    6.50000 5.5797E-03 6.0997E-04           2235200200118 
