           Emin  Emax   Spectrum      Emin   Emax   Spectrum      2317000100049 
            keV   keV                  keV    keV                 2317000100050 
           ------------------------ ---------------------------   2317000100051 
            106   107   0.038084105    331    332   4.385E-01     2317000100158 
            107   108   0.02785818     332    333   4.472E-01     2317000100159 
            108   109   0.02050106     333    334   4.665E-01     2317000100160 
            109   110   0.01235284     334    335   4.680E-01     2317000100161 
            110   111   0.008343136    335    336   4.534E-01     2317000100162 
            111   112   0.004775169    336    337   4.772E-01     2317000100163 
            112   113   0.002408819    337    338   4.628E-01     2317000100164 
            113   114   0.001324764    338    339   4.973E-01     2317000100165 
            114   115   0.000662632    339    340   5.075E-01     2317000100166 
            115   116   0.000286961    340    341   4.980E-01     2317000100167 
            116   117   0.000132121    341    342   5.078E-01     2317000100168 
            117   118   2.20412E-05    342    343   5.283E-01     2317000100169 
                                       343    344   5.296E-01     2317000100170 
                                       344    345   5.458E-01     2317000100171 
                                       345    346   5.486E-01     2317000100172 
                                       346    347   5.234E-01     2317000100173 
                                       347    348   5.666E-01     2317000100174 
                                       348    349   5.498E-01     2317000100175 
                                       349    350   5.821E-01     2317000100176 
                                       350    351   5.723E-01     2317000100177 
                                       351    352   6.011E-01     2317000100178 
                                       352    353   6.094E-01     2317000100179 
                                       353    354   6.163E-01     2317000100180 
                                       354    355   6.275E-01     2317000100181 
                                       355    356   6.184E-01     2317000100182 
                                       356    357   6.339E-01     2317000100183 
                                       357    358   6.528E-01     2317000100184 
                                       358    359   6.580E-01     2317000100185 
                                       359    360   6.696E-01     2317000100186 
                                       360    361   6.814E-01     2317000100187 
                                       361    362   6.625E-01     2317000100188 
                                       362    363   6.857E-01     2317000100189 
                                       363    364   7.028E-01     2317000100190 
                                       364    365   7.013E-01     2317000100191 
                                       365    366   7.115E-01     2317000100192 
                                       366    367   7.393E-01     2317000100193 
                                       367    368   7.332E-01     2317000100194 
                                       368    369   7.519E-01     2317000100195 
                                       369    370   7.328E-01     2317000100196 
                                       370    371   7.772E-01     2317000100197 
