ENTRY            21142   20180111                             226721142  0    1 
SUBENT        21142001   20180111                             226721142  1    1 
BIB                 11         15                                 21142  1    2 
INSTITUTE  (2FR TOU)                                              21142  1    3 
REFERENCE  (J,JPR,24,801,1963)                                    21142  1    4 
           (W,VEDRENNE,196601) Numerical data.                    21142  1    5 
AUTHOR     (G.Vedrenne,D.Blanc,F.Cambou)                          21142  1    6 
TITLE       Interaction of 14.1 MeV neutrons with deuterium       21142  1    7 
INC-SOURCE (D-T)   Deuteron-tritium reaction.                     21142  1    8 
FACILITY   (VDGT,2FR SAC) SAMES accelerator.                      21142  1    9 
SAMPLE     C6D6                                                   21142  1   10 
METHOD     (TOF) Detection of secondary neutrons.                 21142  1   11 
            Distance from scatterer to detector 120 or 240 cm.    21142  1   12 
DETECTOR   (SCIN) C6D6 scintillator, 30 cm3, with                 21142  1   13 
           wavelength shifter POPOP and p-Terphenyl.              21142  1   14 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG) Value not given.               21142  1   15 
HISTORY    (20180111T) SD: Part of 21148 Entry presented in this  21142  1   16 
             Entry according to publication.                      21142  1   17 
ENDBIB              15          0                                 21142  1   18 
NOCOMMON             0          0                                 21142  1   19 
ENDSUBENT           18          0                                 21142  199999 
SUBENT        21142002   20180111                             226721142  2    1 
BIB                  4          5                                 21142  2    2 
REACTION   (1-H-2(N,X)0-NN-1,,DA/DE)                              21142  2    3 
ERR-ANALYS (DATA-ERR) No description of the uncertainties         21142  2    4 
STATUS     (NDD) Data converted from NEUDADA.                     21142  2    5 
HISTORY    (20180111T) SD: Converted from Subent 21148.002        21142  2    6 
            SF3=2N -> X; SF4=H-1 -> NN-1 in REACTION code.        21142  2    7 
ENDBIB               5          0                                 21142  2    8 
COMMON               2          3                                 21142  2    9 
EN         EN-RSL                                                 21142  2   10 
MEV        MEV                                                    21142  2   11 
 14.2        0.4                                                  21142  2   12 
ENDCOMMON            3          0                                 21142  2   13 
DATA                 5        121                                 21142  2   14 
COS-CM     E          E-ERR      DATA-CM    DATA-ERR              21142  2   15 
NO-DIM     MEV        MEV        MB/SR/MEV  MB/SR/MEV             21142  2   16 
     0.1736       2.50      0.085        9.2        4.6           21142  2   17 
     0.1736       2.85      0.085       15.4        5.8           21142  2   18 
     0.1736       3.25      0.085       11.8        4.6           21142  2   19 
     0.1736       3.70      0.085        8.8        3.2           21142  2   20 
     0.1736       4.00      0.085        4.0        1.6           21142  2   21 
     0.3420       2.70      0.110       12.0        4.4           21142  2   22 
     0.3420       3.10      0.110       13.2        4.8           21142  2   23 
     0.3420       3.50      0.110       10.0        3.6           21142  2   24 
     0.3420       3.95      0.110        8.8        3.0           21142  2   25 
     0.3420       4.35      0.110        8.4        3.0           21142  2   26 
     0.3420       4.70      0.110        4.0        2.0           21142  2   27 
     0.5000       2.70      0.140       12.8        4.4           21142  2   28 
     0.5000       3.00      0.140       14.8        5.2           21142  2   29 
     0.5000       3.50      0.140       11.6        4.0           21142  2   30 
     0.5000       4.15      0.140       10.8        3.6           21142  2   31 
     0.5000       4.85      0.140        6.4        2.0           21142  2   32 
     0.5000       5.55      0.140        6.0        1.8           21142  2   33 
     0.6428       3.15      0.175       16.0        5.2           21142  2   34 
     0.6428       3.50      0.175       16.8        5.2           21142  2   35 
     0.6428       3.90      0.175       17.0        5.2           21142  2   36 
     0.6428       4.35      0.175       11.6        3.8           21142  2   37 
     0.6428       4.70      0.175        7.6        2.8           21142  2   38 
     0.6428       5.15      0.175        9.4        3.0           21142  2   39 
     0.6428       5.60      0.175        6.4        2.2           21142  2   40 
     0.6428       6.10      0.175        9.4        3.2           21142  2   41 
     0.6428       6.65      0.175        8.8        2.8           21142  2   42 
     0.6428       7.20      0.175        8.0        2.6           21142  2   43 
     0.6428       7.50      0.175        2.4        1.2           21142  2   44 
     0.7071       2.90      0.190       18.0        4.8           21142  2   45 
     0.7071       3.70      0.190       15.0        4.2           21142  2   46 
     0.7071       4.35      0.190       10.4        2.8           21142  2   47 
     0.7071       4.80      0.190        5.6        1.6           21142  2   48 
     0.7071       5.40      0.190        6.8        2.0           21142  2   49 
     0.7071       6.45      0.190        9.6        2.8           21142  2   50 
     0.7071       7.40      0.190        7.4        2.4           21142  2   51 
     0.7660       2.80      0.220       15.6        5.6           21142  2   52 
     0.7660       3.20      0.220       27.2        6.4           21142  2   53 
     0.7660       3.65      0.220       30.4        7.0           21142  2   54 
     0.7660       4.05      0.220       20.4        4.8           21142  2   55 
     0.7660       4.50      0.220       13.2        3.2           21142  2   56 
     0.7660       4.95      0.220       13.8        3.4           21142  2   57 
     0.7660       5.40      0.220        8.8        2.0           21142  2   58 
     0.7660       6.10      0.220       11.2        3.4           21142  2   59 
     0.7660       6.55      0.220       13.2        3.2           21142  2   60 
     0.7660       7.10      0.220       13.2        3.8           21142  2   61 
     0.7660       7.50      0.220       14.4        4.0           21142  2   62 
     0.7660       7.90      0.220       14.0        4.0           21142  2   63 
     0.7660       8.30      0.220        9.6        3.0           21142  2   64 
     0.7660       8.60      0.220        6.8        2.4           21142  2   65 
     0.8660       2.60      0.245       12.0        4.8           21142  2   66 
     0.8660       3.00      0.245       29.4        4.6           21142  2   67 
     0.8660       3.40      0.245       20.8        4.6           21142  2   68 
     0.8660       3.75      0.245       22.0        4.8           21142  2   69 
     0.8660       4.20      0.245       16.8        3.6           21142  2   70 
     0.8660       5.00      0.245       12.6        2.6           21142  2   71 
     0.8660       5.45      0.245       14.8        2.8           21142  2   72 
     0.8660       6.00      0.245       12.0        2.6           21142  2   73 
     0.8660       6.50      0.245       12.4        2.6           21142  2   74 
     0.8660       7.10      0.245       12.6        2.6           21142  2   75 
     0.8660       7.45      0.245       11.6        2.6           21142  2   76 
     0.8660       7.90      0.245       11.4        3.6           21142  2   77 
     0.8660       8.35      0.245       10.8        3.2           21142  2   78 
     0.8660       9.05      0.245        7.2        2.2           21142  2   79 
     0.9397       2.80      0.275       14.8        4.4           21142  2   80 
     0.9397       3.15      0.275       25.6        6.4           21142  2   81 
     0.9397       3.50      0.275       18.0        4.8           21142  2   82 
     0.9397       3.90      0.275       31.6        6.4           21142  2   83 
     0.9397       4.40      0.275       31.0        6.4           21142  2   84 
     0.9397       4.80      0.275       22.6        4.4           21142  2   85 
     0.9397       5.20      0.275       20.8        4.0           21142  2   86 
     0.9397       5.70      0.275       18.4        3.6           21142  2   87 
     0.9397       6.20      0.275       17.2        3.4           21142  2   88 
     0.9397       6.80      0.275       17.6        3.8           21142  2   89 
     0.9397       7.25      0.275       15.6        3.2           21142  2   90 
     0.9397       7.60      0.275       16.0        3.2           21142  2   91 
     0.9397       8.00      0.275       14.4        3.0           21142  2   92 
     0.9397       8.50      0.275       13.6        4.0           21142  2   93 
     0.9397       9.00      0.275       13.2        3.8           21142  2   94 
     0.9659       2.95      0.287       26.0        5.8           21142  2   95 
     0.9659       3.30      0.287       26.2        5.8           21142  2   96 
     0.9659       3.70      0.287       34.6        7.4           21142  2   97 
     0.9659       4.10      0.287       32.0        7.0           21142  2   98 
     0.9659       4.60      0.287       25.2        5.2           21142  2   99 
     0.9659       5.00      0.287       17.2        3.8           21142  2  100 
     0.9659       5.45      0.287       19.6        4.4           21142  2  101 
     0.9659       5.95      0.287       20.0        4.4           21142  2  102 
