ENTRY            23010   20071225                             21902301000000001 
SUBENT        23010001   20071225                             21902301000100001 
BIB                 14         27                                 2301000100002 
TITLE      Measurement of gamma-ray production cross sections of  2301000100003 
           iron for incident neutron energies between 6 and 33    2301000100004 
           MeV                                                    2301000100005 
AUTHOR     (E.Tanabe, K.Shin, T.Nakamura)                         2301000100006 
INSTITUTE  (2JPNKTO) Department of Nuclear Engineering            2301000100007 
           (2JPNTOH) Cyclotron and Radioisotope Center            2301000100008 
REFERENCE  (J,NST,31,(11),1133,199411)                            2301000100009 
PART-DET   (G)                                                    2301000100010 
INC-SOURCE Beam intensity is about 0.05 micro-Ampere.             2301000100011 
           (P-BE) Be(p,n) at 35 MeV                               2301000100012 
SAMPLE     - Chemical-form of target is element.                  2301000100013 
           - Physical-form of target is solid.                    2301000100014 
           - Target-thickness: 20 cm x 20 cm x 2cm                2301000100015 
METHOD     (TOF) To measure neutron flux at sample position       2301000100016 
FACILITY   (ISOCY,2JPNTOH) AVF cyclotron at Cyclotron and         2301000100017 
                           Radioisotope Center                    2301000100018 
ANALYSIS   (UNFLD) To unfold pulse-height data to gamma-ray       2301000100019 
                   spectrum                                       2301000100020 
DETECTOR   (SCIN) TOF detector (NE213)                            2301000100021 
           (BGO) To detect gamma-rays produced in sample          2301000100022 
ERR-ANALYS (ERR-1) Errors in detector efficiency of NE-213        2301000100023 
           (ERR-2) Maximum uncertainties in response function of  2301000100024 
                   gamma-detector (1-3%)                          2301000100025 
STATUS     (APRVD) Proofread by Takashi Nakamura (2007.11.22)     2301000100026 
HISTORY    (20071018C)                                            2301000100027 
           (20071225A) DAX data added after comment from          2301000100028 
                       T.Nakamura                                 2301000100029 
ENDBIB              27          0                                 2301000100030 
COMMON               2          3                                 2301000100031 
ERR-1      ERR-2                                                  2301000100032 
PER-CENT   PER-CENT                                               2301000100033 
 10.        3.                                                    2301000100034 
ENDCOMMON            3          0                                 2301000100035 
ENDSUBENT           34          0                                 2301000199999 
SUBENT        23010002   20071225                             21902301000200001 
BIB                  4          6                                 2301000200002 
REACTION   (26-FE-0(N,X)0-G-0,,DA/DE,,AV)Averaged over ENmin-ENmax2301000200003 
EN-SEC     ANG is polar angle between beam and prompt gamma in    2301000200004 
           laboratory system                                      2301000200005 
           (E,G)                                                  2301000200006 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   2301000200007 
STATUS     (TABLE) Taken from Table 1, p1138 of reference         2301000200008 
ENDBIB               6          0                                 2301000200009 
COMMON               1          3                                 2301000200010 
ANG                                                               2301000200011 
ADEG                                                              2301000200012 
 144.                                                             2301000200013 
ENDCOMMON            3          0                                 2301000200014 
DATA                 5        167                                 2301000200015 
EN-MIN     EN-MAX     E          DATA       DATA-ERR              2301000200016 
MEV        MEV        MEV        MB/SR/MEV  MB/SR/MEV             2301000200017 
 6.         9.         1.675      122.       19.                  2301000200018 
 6.         9.         1.875      41.        9.                   2301000200019 
 6.         9.         2.25       101.       16.                  2301000200020 
 6.         9.         2.75       23.        6.                   2301000200021 
 6.         9.         3.25       41.        7.                   2301000200022 
 6.         9.         3.75       19.        4.                   2301000200023 
 6.         9.         4.25       8.0        2.3                  2301000200024 
 6.         9.         4.75       9.9        2.3                  2301000200025 
 6.         9.         5.25       6.9        1.6                  2301000200026 
 6.         9.         5.75       4.5        1.2                  2301000200027 
 6.         9.         6.25       3.2        1.0                  2301000200028 
 6.         9.         6.75       0.5        0.8                  2301000200029 
 6.         9.         7.25       4.2        1.0                  2301000200030 
 6.         9.         7.75       2.0        0.8                  2301000200031 
 6.         9.         8.25       0.7        0.5                  2301000200032 
 6.         9.         8.75       0.05       0.26                 2301000200033 
 6.         9.         9.25       0.05       0.25                 2301000200034 
 6.         9.         9.75       0.10       0.22                 2301000200035 
 6.         9.         10.5       0.03       0.07                 2301000200036 
 9.         12.        1.675      123.       19.                  2301000200037 
 9.         12.        1.875      31.        8.                   2301000200038 
 9.         12.        2.25       113.       18.                  2301000200039 
 9.         12.        2.75       30.        7.                   2301000200040 
 9.         12.        3.25       47.        8.                   2301000200041 
 9.         12.        3.75       25.        5.                   2301000200042 
 9.         12.        4.25       14.7       3.3                  2301000200043 
 9.         12.        4.75       14.3       3.1                  2301000200044 
 9.         12.        5.25       15.4       2.8                  2301000200045 
 9.         12.        5.75       12.4       2.3                  2301000200046 
 9.         12.        6.25       8.7        1.8                  2301000200047 
 9.         12.        6.75       8.2        1.6                  2301000200048 
 9.         12.        7.25       5.8        1.3                  2301000200049 
 9.         12.        7.75       2.1        0.9                  2301000200050 
 9.         12.        8.25       3.3        0.9                  2301000200051 
 9.         12.        8.75       1.3        0.4                  2301000200052 
 9.         12.        9.25       0.41       0.33                 2301000200053 
 9.         12.        9.75       0.10       0.22                 2301000200054 
 9.         12.        10.5       0.03       0.07                 2301000200055 
 12.        15.        1.675      100.       15.                  2301000200056 
 12.        15.        1.875      23.        7.                   2301000200057 
 12.        15.        2.25       80.        13.                  2301000200058 
 12.        15.        2.75       23.        5.                   2301000200059 
 12.        15.        3.25       33.        6.                   2301000200060 
 12.        15.        3.75       21.        4.                   2301000200061 
 12.        15.        4.25       13.0       2.9                  2301000200062 
 12.        15.        4.75       13.5       2.8                  2301000200063 
 12.        15.        5.25       13.1       2.4                  2301000200064 
 12.        15.        5.75       10.7       2.1                  2301000200065 
 12.        15.        6.25       10.0       1.9                  2301000200066 
 12.        15.        6.75       8.1        1.6                  2301000200067 
 12.        15.        7.25       6.1        1.2                  2301000200068 
