       150.       166.       154.        7.2                      20871  2   64 
       166.       183.       152.        7.3                      20871  2   65 
       183.       202.       154.        7.2                      20871  2   66 
       202.       224.       148.        7.5                      20871  2   67 
       224.       247.       143.        8.4                      20871  2   68 
       247.       273.       131.        8.7                      20871  2   69 
       273.       302.       132.        9.2                      20871  2   70 
       302.       334.       127.        9.2                      20871  2   71 
       334.       369.       123.        9.1                      20871  2   72 
       369.       408.       133.       10.8                      20871  2   73 
       408.       450.       127.       10.5                      20871  2   74 
ENDDATA             63          0                                 20871  2   75 
ENDSUBENT           74          0                                 20871  299999 
ENDENTRY             2          0                                 2087199999999 
