ENTRY            22757   20110714                             22292275700000001 
SUBENT        22757001   20110714                             22292275700100001 
BIB                 12         21                                 2275700100002 
TITLE      High-energy gamma-rays accompanying the spontaneous    2275700100003 
            fission of 252Cf                                      2275700100004 
AUTHOR     (A.Hotzel, P.Thirolf, Ch.Ender, D.Schwalm, M.Mutterer, 2275700100005 
            P.Singer, M.Klemens, J.P.Theobald, M.Hesse,           2275700100006 
            F.Goennenwein, H.v.d.Ploeg)                           2275700100007 
INSTITUTE  (2GERMPH,2GERHEI,2GERTHD,2GERTUE,2FR PAR)              2275700100008 
REFERENCE  (J,ZP/A,356,299,1996)                                  2275700100009 
SAMPLE     Cf-252 source 5 mm in diam. and fission activity of    2275700100010 
            400/s, mounted on thin backing (30 ug/cm2 Al2O3, with 2275700100011 
            10 ug/cm2 Au evaporated onto both sides)              2275700100012 
DETECTOR   (D4PI,IOCH) 4pi-detector                               2275700100013 
           (D4PI,NAICR) 4pi-detector made of 162 NaI-scintillator 2275700100014 
            crystals, Darmstadt-Heidelberg Crystal Ball           2275700100015 
PART-DET   (FF,G)                                                 2275700100016 
METHOD     (COINC) Coincidence measurement of fission fragment    2275700100017 
            and gamma-ray                                         2275700100018 
CORRECTION - gamma-neutron and gamma-gamma summing                2275700100019 
           - NaI detector efficiency with response matrix by GEANT2275700100020 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty     2275700100021 
STATUS     (APRVD) Peter Thirolf (2011-07-15)                     2275700100022 
HISTORY    (20110714C) On                                         2275700100023 
ENDBIB              21          0                                 2275700100024 
NOCOMMON             0          0                                 2275700100025 
ENDSUBENT           24          0                                 2275700199999 
SUBENT        22757002   20110714                             22292275700200001 
BIB                  2          2                                 2275700200002 
REACTION   (98-CF-252(0,F)MASS,PRE,FY/DE,G)                       2275700200003 
STATUS     (CURVE) Fig.11 of Z.Phys.A356(1996)299                 2275700200004 
ENDBIB               2          0                                 2275700200005 
NOCOMMON             0          0                                 2275700200006 
DATA                 6        162                                 2275700200007 
MASS-MIN   MASS-MAX   E-MIN      E-MAX      DATA       DATA-ERR   2275700200008 
NO-DIM     NO-DIM     MEV        MEV        PT/FIS/MEV PT/FIS/MEV 2275700200009 
102.       106.        8.5        9.0           4.4E-04    7.0E-052275700200079 
102.       106.        9.0        9.5           1.6E-04    6.0E-052275700200080 
102.       106.        9.5       10.0           1.6E-04    5.4E-052275700200081 
106.       110.        1.0        1.5           1.7E+00           2275700200082 
106.       110.        1.5        2.0           1.1E+00           2275700200083 
106.       110.        2.0        2.5           8.0E-01           2275700200084 
106.       110.        2.5        3.0           5.4E-01           2275700200085 
106.       110.        3.0        3.5           3.0E-01           2275700200086 
106.       110.        3.5        4.0           1.7E-01           2275700200087 
106.       110.        4.0        4.5           1.0E-01           2275700200088 
106.       110.        4.5        5.0           5.4E-02           2275700200089 
106.       110.        5.0        5.5           2.6E-02           2275700200090 
106.       110.        5.5        6.0           1.5E-02           2275700200091 
106.       110.        6.0        6.5           8.8E-03           2275700200092 
106.       110.        6.5        7.0           4.0E-03           2275700200093 
106.       110.        7.0        7.5           2.2E-03           2275700200094 
106.       110.        7.5        8.0           6.8E-04           2275700200095 
106.       110.        8.0        8.5           4.0E-04    7.0E-052275700200096 
106.       110.        8.5        9.0           4.0E-04    7.0E-052275700200097 
106.       110.        9.0        9.5           3.2E-04    6.2E-052275700200098 
106.       110.        9.5       10.0           1.7E-04    4.6E-052275700200099 
110.       114.        1.0        1.5           2.0E+00           2275700200100 
110.       114.        1.5        2.0           1.1E+00           2275700200101 
110.       114.        2.0        2.5           7.8E-01           2275700200102 
110.       114.        2.5        3.0           5.0E-01           2275700200103 
110.       114.        3.0        3.5           2.8E-01           2275700200104 
110.       114.        3.5        4.0           1.7E-01           2275700200105 
110.       114.        4.0        4.5           1.0E-01           2275700200106 
110.       114.        4.5        5.0           5.6E-02           2275700200107 
110.       114.        5.0        5.5           3.2E-02           2275700200108 
110.       114.        5.5        6.0           1.9E-02           2275700200109 
110.       114.        6.0        6.5           1.1E-02           2275700200110 
110.       114.        6.5        7.0           7.0E-03           2275700200111 
110.       114.        7.0        7.5           2.0E-03           2275700200112 
110.       114.        7.5        8.0           9.8E-04           2275700200113 
110.       114.        8.0        8.5           6.2E-04           2275700200114 
110.       114.        8.5        9.0           4.4E-04    7.2E-052275700200115 
110.       114.        9.0        9.5           3.2E-04    6.6E-052275700200116 
110.       114.        9.5       10.0           2.4E-04    5.8E-052275700200117 
114.       118.        1.0        1.5           2.2E+00           2275700200118 
114.       118.        1.5        2.0           1.1E+00           2275700200119 
114.       118.        2.0        2.5           7.6E-01           2275700200120 
114.       118.        2.5        3.0           5.0E-01           2275700200121 
114.       118.        3.0        3.5           2.8E-01           2275700200122 
114.       118.        3.5        4.0           2.0E-01           2275700200123 
114.       118.        4.0        4.5           1.6E-01           2275700200124 
114.       118.        4.5        5.0           9.2E-02           2275700200125 
114.       118.        5.0        5.5           5.4E-02           2275700200126 
114.       118.        5.5        6.0           4.6E-02           2275700200127 
114.       118.        6.0        6.5           3.2E-02           2275700200128 
114.       118.        6.5        7.0           1.4E-02           2275700200129 
114.       118.        7.0        7.5           5.6E-03           2275700200130 
114.       118.        7.5        8.0           1.7E-03           2275700200131 
114.       118.        8.0        8.5           1.3E-03           2275700200132 
114.       118.        8.5        9.0           4.6E-04    1.0E-042275700200133 
114.       118.        9.0        9.5           3.0E-04    8.2E-052275700200134 
114.       118.        9.5       10.0           2.8E-04    6.6E-052275700200135 
118.       122.        1.0        1.5           2.0E+00           2275700200136 
118.       122.        1.5        2.0           1.0E+00           2275700200137 
118.       122.        2.0        2.5           7.2E-01           2275700200138 
118.       122.        2.5        3.0           5.2E-01           2275700200139 
118.       122.        3.0        3.5           3.0E-01           2275700200140 
118.       122.        3.5        4.0           2.6E-01           2275700200141 
118.       122.        4.0        4.5           2.6E-01           2275700200142 
118.       122.        4.5        5.0           1.6E-01           2275700200143 
118.       122.        5.0        5.5           9.4E-02           2275700200144 
118.       122.        5.5        6.0           7.8E-02           2275700200145 
118.       122.        6.0        6.5           6.0E-02           2275700200146 
118.       122.        6.5        7.0           2.8E-02           2275700200147 
118.       122.        7.0        7.5           1.0E-02           2275700200148 
118.       122.        7.5        8.0           3.4E-03           2275700200149 
118.       122.        8.0        8.5           1.2E-03    2.2E-042275700200150 
118.       122.        8.5        9.0           7.4E-04    1.6E-042275700200151 
118.       122.        9.0        9.5           4.4E-04    1.3E-042275700200152 
118.       122.        9.5       10.0           2.6E-04    1.1E-042275700200153 
122.       126.        1.0        1.5           2.0E+00           2275700200154 
122.       126.        1.5        2.0           9.8E-01           2275700200155 
122.       126.        2.0        2.5           6.8E-01           2275700200156 
122.       126.        2.5        3.0           4.8E-01           2275700200157 
122.       126.        3.0        3.5           3.2E-01           2275700200158 
122.       126.        3.5        4.0           3.0E-01           2275700200159 
122.       126.        4.0        4.5           2.8E-01           2275700200160 
122.       126.        4.5        5.0           1.7E-01           2275700200161 
122.       126.        5.0        5.5           1.1E-01           2275700200162 
122.       126.        5.5        6.0           7.8E-02           2275700200163 
122.       126.        6.0        6.5           5.6E-02           2275700200164 
122.       126.        6.5        7.0           2.4E-02           2275700200165 
122.       126.        7.0        7.5           1.1E-02           2275700200166 
122.       126.        7.5        8.0           4.0E-03    7.6E-042275700200167 
122.       126.        8.0        8.5           1.2E-03    5.0E-042275700200168 
122.       126.        8.5        9.0           6.4E-04    4.2E-042275700200169 
122.       126.        9.0        9.5           6.6E-04    3.4E-042275700200170 
122.       126.        9.5       10.0           6.6E-04    3.2E-042275700200171 
ENDDATA            164          0                                 2275700200172 
ENDSUBENT          171          0                                 2275700299999 
SUBENT        22757003   20110527                             22292275700300001 
BIB                  3          4                                 2275700300002 
REACTION   (98-CF-252(0,F)MASS,PAR/PRE,FY,G)                      2275700300003 
EN-SEC     (E,G) gamma energy                                     2275700300004 
STATUS     (CURVE) Fig.12a of Z.Phys.A356(1996)299                2275700300005 
           (DEP,22757002) Fission gamma spectra                   2275700300006 
ENDBIB               4          0                                 2275700300007 
COMMON               2          3                                 2275700300008 
E-MIN      E-MAX                                                  2275700300009 
MEV        MEV                                                    2275700300010 
 3.5        8.                                                    2275700300011 
ENDCOMMON            3          0                                 2275700300012 
DATA                 3         42                                 2275700300013 
MASS       DATA       DATA-ERR                                    2275700300014 
NO-DIM     PRT/FIS    PRT/FIS                                     2275700300015 
  85.       0.26       0.02                                       2275700300016 
  87.       0.24       0.01                                       2275700300017 
  89.       0.21                                                  2275700300018 
  91.       0.20                                                  2275700300019 
  93.       0.20                                                  2275700300020 
  95.       0.19                                                  2275700300021 
  97.       0.20                                                  2275700300022 
  99.       0.21                                                  2275700300023 
 101.       0.22                                                  2275700300024 
 103.       0.21                                                  2275700300025 
 105.       0.20                                                  2275700300026 
 107.       0.19                                                  2275700300027 
 109.       0.19                                                  2275700300028 
 111.       0.19                                                  2275700300029 
 113.       0.21                                                  2275700300030 
 115.       0.27                                                  2275700300031 
 117.       0.36                                                  2275700300032 
 119.       0.45                                                  2275700300033 
 121.       0.51                                                  2275700300034 
 123.       0.51                                                  2275700300035 
 125.       0.49                                                  2275700300036 
 127.       0.49                                                  2275700300037 
 129.       0.51                                                  2275700300038 
 131.       0.51                                                  2275700300039 
 133.       0.45                                                  2275700300040 
 135.       0.36                                                  2275700300041 
 137.       0.27                                                  2275700300042 
 139.       0.21                                                  2275700300043 
 141.       0.19                                                  2275700300044 
 143.       0.19                                                  2275700300045 
 145.       0.19                                                  2275700300046 
 147.       0.20                                                  2275700300047 
 149.       0.21                                                  2275700300048 
 151.       0.22                                                  2275700300049 
 153.       0.21                                                  2275700300050 
 155.       0.20                                                  2275700300051 
 157.       0.19                                                  2275700300052 
 159.       0.20                                                  2275700300053 
 161.       0.20                                                  2275700300054 
 163.       0.21                                                  2275700300055 
 165.       0.24       0.01                                       2275700300056 
 167.       0.26       0.02                                       2275700300057 
ENDDATA             44          0                                 2275700300058 
ENDSUBENT           57          0                                 2275700399999 
ENDENTRY             3          0                                 2275799999999 
