ENTRY            C0765   20010302                             C089C076500000001 
SUBENT        C0765001   20010302                             C089C076500100001 
BIB                 11         17                                 C076500100002 
INSTITUTE  (1CANSFU,1CANTMF)                                      C076500100003 
REFERENCE  (J,PR/C,29,1806,198405)                                C076500100004 
AUTHOR     (R.E.L.Green,R.G.Korteling,K.P.Jackson)                C076500100005 
TITLE      Inclusive production of isotopically resolved Li       C076500100006 
            through Mg fragments by 480 MeV p+Ag reactions        C076500100007 
FACILITY   (MESON,1CANTMF)                                        C076500100008 
SAMPLE     Natural silver targets, either evaporated onto VYNS    C076500100009 
            films or in the form of thin free-standing foils.     C076500100010 
EN-SEC     Energy given is mid-point of energy bin. Resolution    C076500100011 
            is the bin width.                                     C076500100012 
CORRECTION Corrected for background and multiple scattering.      C076500100013 
ERR-ANALYS (ERR-S) Statistical uncertainties given.               C076500100014 
           Relative normalization uncertainty estimated at 10%.   C076500100015 
           Absolute normalization uncertainty 30%.                C076500100016 
STATUS     Data received from R. Korteling, September 1987.       C076500100017 
           No reply received from R. Korteling to author proof.   C076500100018 
HISTORY    (20001219C) VM                                         C076500100019 
ENDBIB              17          0                                 C076500100020 
COMMON               1          3                                 C076500100021 
EN                                                                C076500100022 
MEV                                                               C076500100023 
480.                                                              C076500100024 
ENDCOMMON            3          0                                 C076500100025 
ENDSUBENT           24          0                                 C076500199999 
SUBENT        C0765002   20010123                             0000C076500200001 
BIB                  3          4                                 C076500200002 
REACTION   (47-AG-0(P,X)5-B-10,,DA/DE)                            C076500200003 
METHOD     (TOF)                                                  C076500200004 
DETECTOR   (TELES,SOLST) Telescopes composed of silicon surface-  C076500200005 
            barrier detectors.                                    C076500200006 
ENDBIB               4          0                                 C076500200007 
NOCOMMON             0          0                                 C076500200008 
DATA                 5        134                                 C076500200009 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076500200010 
ADEG       MEV        MEV        NB/SR/MEV  NB/SR/MEV             C076500200011 
 20.        25.         2.        1627.       491.                C076500200012 
 20.        27.         2.        2342.       410.                C076500200013 
 20.        29.         2.        2463.       371.                C076500200014 
 20.        31.         2.        2756.       325.                C076500200015 
 20.        33.         2.        2508.       304.                C076500200016 
 20.        35.         2.        2501.       266.                C076500200017 
 20.        37.         2.        2158.       249.                C076500200018 
 20.        39.         2.        1653.       226.                C076500200019 
 20.        42.         4.        1656.        80.                C076500200020 
 20.        46.         4.        1173.        64.                C076500200021 
 20.        50.         4.         897.        50.                C076500200022 
 20.        54.         4.         649.        53.                C076500200023 
 20.        58.         4.         486.        53.                C076500200024 
 20.        64.         8.         353.        27.                C076500200025 
 20.        72.         8.         210.        15.                C076500200026 
 20.        80.         8.         139.         9.                C076500200027 
 20.        88.         8.          76.        14.                C076500200028 
 20.        96.         8.          36.         4.                C076500200029 
 20.       104.         8.          39.         5.                C076500200030 
 20.       112.         8.          22.         4.                C076500200031 
 40.        21.         2.         901.       391.                C076500200032 
 40.        23.         2.        1284.       312.                C076500200033 
 40.        25.         2.        1708.       259.                C076500200034 
 40.        27.         2.        2067.       218.                C076500200035 
 40.        29.         2.        2079.       198.                C076500200036 
 40.        31.         2.        2176.       168.                C076500200037 
 40.        33.         2.        2160.       146.                C076500200038 
 40.        35.         2.        1847.       128.                C076500200039 
 40.        37.         2.        1597.       118.                C076500200040 
 40.        39.         2.        1449.       106.                C076500200041 
 40.        42.         4.         832.        49.                C076500200042 
 40.        46.         4.         703.        35.                C076500200043 
 40.        50.         4.         523.        30.                C076500200044 
 40.        54.         4.         386.        23.                C076500200045 
 40.        58.         4.         276.        19.                C076500200046 
 40.        64.         8.         175.        11.                C076500200047 
 40.        72.         8.         111.         8.                C076500200048 
 40.        80.         8.          65.         5.                C076500200049 
 40.        88.         8.          21.         7.                C076500200050 
 40.        96.         8.          24.         2.                C076500200051 
 40.       104.         8.          11.         2.                C076500200052 
 40.       112.         8.           3.9        1.2               C076500200053 
 40.       120.         8.           2.7        1.0               C076500200054 
 40.       128.         8.           2.7        1.0               C076500200055 
 40.       136.         8.           1.2        0.7               C076500200056 
 60.        21.         2.        1293.       345.                C076500200057 
 60.        23.         2.        1328.       287.                C076500200058 
 60.        25.         2.        1375.       247.                C076500200059 
 60.        27.         2.        2153.       229.                C076500200060 
 60.        29.         2.        2005.       204.                C076500200061 
 60.        31.         2.        1894.       178.                C076500200062 
 60.        33.         2.        1839.       166.                C076500200063 
 60.        35.         2.        1711.       145.                C076500200064 
 60.        37.         2.        1533.       130.                C076500200065 
 60.        39.         2.         963.       111.                C076500200066 
 60.        42.         4.         661.        35.                C076500200067 
 60.        46.         4.         514.        27.                C076500200068 
 60.        50.         4.         384.        22.                C076500200069 
 60.        54.         4.         313.        18.                C076500200070 
 60.        58.         4.         230.        16.                C076500200071 
 60.        64.         8.         152.         7.                C076500200072 
 60.        72.         8.          80.         6.                C076500200073 
 60.        80.         8.          31.         5.                C076500200074 
 60.        88.         8.          30.         3.                C076500200075 
 60.        96.         8.          20.         2.                C076500200076 
 60.       104.         8.           9.1        7.                C076500200077 
 60.       112.         8.           6.5        4.                C076500200078 
 60.       120.         8.           2.3        9.                C076500200079 
 90.        21.         2.        1034.       212.                C076500200080 
 90.        23.         2.        1199.       173.                C076500200081 
 90.        25.         2.        1870.       167.                C076500200082 
 90.        27.         2.        1936.       147.                C076500200083 
 90.        29.         2.        1632.       131.                C076500200084 
 90.        31.         2.        1522.       114.                C076500200085 
 90.        33.         2.        1228.       101.                C076500200086 
 90.        35.         2.         973.        90.                C076500200087 
 90.        37.         2.         703.        72.                C076500200088 
 90.        39.         2.         703.        67.                C076500200089 
 90.        42.         4.         415.        18.                C076500200090 
 90.        46.         4.         308.        13.                C076500200091 
 90.        50.         4.         198.        10.                C076500200092 
 90.        54.         4.         111.        12.                C076500200093 
 90.        58.         4.          95.         7.                C076500200094 
 90.        64.         8.          52.         4.                C076500200095 
 90.        72.         8.          23.         2.                C076500200096 
 90.        80.         8.           9.5        1.5               C076500200097 
 90.        88.         8.           5.9        1.2               C076500200098 
 90.        96.         8.           1.6        0.6               C076500200099 
 90.       104.         8.           0.81       0.47              C076500200100 
 90.       112.         8.           0.27       0.27              C076500200101 
 90.       120.         8.           0.26       0.26              C076500200102 
120.        13.         2.         354.       280.                C076500200103 
120.        15.         2.         645.       157.                C076500200104 
120.        17.         2.         601.       121.                C076500200105 
120.        19.         2.         832.        87.                C076500200106 
120.        21.         2.        1157.        80.                C076500200107 
120.        23.         2.        1475.        79.                C076500200108 
120.        25.         2.        1636.        78.                C076500200109 
120.        27.         2.        1424.        70.                C076500200110 
120.        29.         2.        1254.        65.                C076500200111 
120.        31.         2.        1107.        59.                C076500200112 
120.        33.         2.         790.        49.                C076500200113 
120.        35.         2.         589.        41.                C076500200114 
120.        37.         2.         449.        35.                C076500200115 
120.        39.         2.         312.        29.                C076500200116 
120.        42.         4.         218.         9.                C076500200117 
120.        46.         4.         135.         6.                C076500200118 
120.        50.         4.          79.         5.                C076500200119 
120.        54.         4.          44.         4.                C076500200120 
120.        58.         4.          24.         3.                C076500200121 
120.        64.         8.          17.         2.                C076500200122 
120.        72.         8.           6.7        1.0               C076500200123 
120.        80.         8.           2.3        0.6               C076500200124 
120.        88.         8.           0.35       0.21              C076500200125 
160.        15.         2.         245.       110.                C076500200126 
160.        17.         2.         556.        94.                C076500200127 
160.        19.         2.         916.        91.                C076500200128 
160.        21.         2.        1333.        94.                C076500200129 
160.        23.         2.        1126.        82.                C076500200130 
160.        25.         2.        1242.        83.                C076500200131 
160.        27.         2.        1187.        78.                C076500200132 
160.        29.         2.         774.        62.                C076500200133 
160.        31.         2.         577.        52.                C076500200134 
160.        33.         2.         335.        39.                C076500200135 
160.        35.         2.         267.        34.                C076500200136 
160.        37.         2.         196.        29.                C076500200137 
160.        39.         2.          96.        20.                C076500200138 
160.        42.         4.          77.         5.                C076500200139 
160.        46.         4.          49.         4.                C076500200140 
160.        50.         4.          24.         3.                C076500200141 
160.        54.         4.          11.         2.                C076500200142 
160.        58.         4.           7.3        1.5               C076500200143 
160.        64.         8.           4.5        0.8               C076500200144 
160.        72.         8.           1.6        0.5               C076500200145 
ENDDATA            136          0                                 C076500200146 
ENDSUBENT          145          0                                 C076500299999 
SUBENT        C0765003   20010123                             0000C076500300001 
BIB                  3          4                                 C076500300002 
REACTION   (47-AG-0(P,X)5-B-11,,DA/DE)                            C076500300003 
METHOD     (TOF)                                                  C076500300004 
DETECTOR   (TELES,SOLST) Telescopes composed of silicon surface-  C076500300005 
            barrier detectors.                                    C076500300006 
ENDBIB               4          0                                 C076500300007 
NOCOMMON             0          0                                 C076500300008 
DATA                 5        149                                 C076500300009 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076500300010 
ADEG       MEV        MEV        NB/SR/MEV  NB/SR/MEV             C076500300011 
 20.        19.         2.         420.       756.                C076500300012 
 20.        21.         2.        1842.       560.                C076500300013 
 20.        23.         2.        2682.       477.                C076500300014 
 20.        25.         2.        3230.       414.                C076500300015 
 20.        27.         2.        4300.       409.                C076500300016 
 20.        29.         2.        4614.       342.                C076500300017 
 20.        31.         2.        5422.       321.                C076500300018 
 20.        33.         2.        5408.       282.                C076500300019 
 20.        35.         2.        4493.       284.                C076500300020 
 20.        37.         2.        4349.       244.                C076500300021 
 20.        39.         2.        3769.       227.                C076500300022 
 20.        42.         4.        3117.        76.                C076500300023 
 20.        46.         4.        2154.        70.                C076500300024 
 20.        50.         4.        1524.        58.                C076500300025 
 20.        54.         4.        1111.        44.                C076500300026 
 20.        58.         4.         741.        44.                C076500300027 
 20.        64.         8.         558.        19.                C076500300028 
 20.        72.         8.         265.        16.                C076500300029 
 20.        80.         8.         161.        10.                C076500300030 
 20.        88.         8.          91.         7.                C076500300031 
 20.        96.         8.          58.         6.                C076500300032 
 20.       104.         8.          27.         5.                C076500300033 
 20.       112.         8.          17.         4.                C076500300034 
 20.       120.         8.           6.6        2.2               C076500300035 
 40.        17.         2.         956.       532.                C076500300036 
 40.        19.         2.         206.       389.                C076500300037 
 40.        21.         2.        1894.       298.                C076500300038 
 40.        23.         2.        1655.       250.                C076500300039 
 40.        25.         2.        3111.       209.                C076500300040 
 40.        27.         2.        3863.       180.                C076500300041 
 40.        29.         2.        4169.       170.                C076500300042 
 40.        31.         2.        4129.       149.                C076500300043 
 40.        33.         2.        3631.       143.                C076500300044 
 40.        35.         2.        3458.       127.                C076500300045 
 40.        37.         2.        3100.       116.                C076500300046 
 40.        39.         2.        2589.       106.                C076500300047 
 40.        42.         4.        1943.        42.                C076500300048 
 40.        46.         4.        1435.        34.                C076500300049 
 40.        50.         4.         994.        27.                C076500300050 
 40.        54.         4.         730.        23.                C076500300051 
 40.        58.         4.         511.        21.                C076500300052 
 40.        64.         8.         310.        11.                C076500300053 
 40.        72.         8.         157.         7.                C076500300054 
 40.        80.         8.          90.         5.                C076500300055 
 40.        88.         8.          52.         4.                C076500300056 
 40.        96.         8.          31.         3.                C076500300057 
 40.       104.         8.          20.         3.                C076500300058 
 40.       112.         8.           8.8        1.9               C076500300059 
 40.       120.         8.           7.7        1.7               C076500300060 
 40.       128.         8.           4.7        1.3               C076500300061 
 40.       136.         8.           2.9        1.0               C076500300062 
 60.        15.         2.         202.       623.                C076500300063 
 60.        17.         2.        1341.       466.                C076500300064 
 60.        19.         2.         918.       329.                C076500300065 
 60.        21.         2.        1877.       280.                C076500300066 
 60.        23.         2.        2896.       252.                C076500300067 
 60.        25.         2.        3347.       240.                C076500300068 
 60.        27.         2.        3713.       227.                C076500300069 
 60.        29.         2.        3721.       210.                C076500300070 
 60.        31.         2.        3759.       196.                C076500300071 
 60.        33.         2.        3106.       176.                C076500300072 
 60.        35.         2.        2717.       160.                C076500300073 
 60.        37.         2.        2280.       143.                C076500300074 
 60.        39.         2.        1894.       127.                C076500300075 
 60.        42.         4.        1293.        34.                C076500300076 
 60.        46.         4.         933.        27.                C076500300077 
 60.        50.         4.         687.        22.                C076500300078 
 60.        54.         4.         483.        18.                C076500300079 
 60.        58.         4.         346.        15.                C076500300080 
 60.        64.         8.         205.         8.                C076500300081 
 60.        72.         8.         109.         6.                C076500300082 
 60.        80.         8.          52.         4.                C076500300083 
 60.        88.         8.          24.         3.                C076500300084 
 60.        96.         8.           9.7        1.6               C076500300085 
 60.       104.         8.           5.2        1.3               C076500300086 
 60.       112.         8.           3.5        1.1               C076500300087 
 60.       120.         8.           1.4        0.7               C076500300088 
 90.        13.         2.         255.       452.                C076500300089 
 90.        15.         2.         387.       332.                C076500300090 
 90.        17.         2.         954.       237.                C076500300091 
 90.        19.         2.        1609.       203.                C076500300092 
 90.        21.         2.        2617.       183.                C076500300093 
 90.        23.         2.        3119.       177.                C076500300094 
 90.        25.         2.        3448.       175.                C076500300095 
 90.        27.         2.        3590.       169.                C076500300096 
 90.        29.         2.        3157.       156.                C076500300097 
 90.        31.         2.        2715.       141.                C076500300098 
 90.        33.         2.        2140.       122.                C076500300099 
 90.        35.         2.        1878.       111.                C076500300100 
 90.        37.         2.        1259.        91.                C076500300101 
 90.        39.         2.        1050.        81.                C076500300102 
 90.        42.         4.         744.        21.                C076500300103 
 90.        46.         4.         503.        17.                C076500300104 
 90.        50.         4.         317.        13.                C076500300105 
 90.        54.         4.         214.        11.                C076500300106 
 90.        58.         4.         136.         8.                C076500300107 
 90.        64.         8.          72.         4.                C076500300108 
 90.        72.         8.          38.         3.                C076500300109 
 90.        80.         8.          17.         2.                C076500300110 
 90.        88.         8.           7.9        1.3               C076500300111 
 90.        96.         8.           4.1        0.9               C076500300112 
