ENTRY            C0046   20001120                             0000C004600000001 
SUBENT        C0046001   20001120                             0000C004600100001 
BIB                 10         17                                 C004600100002 
INSTITUTE  (1USALAS)                                              C004600100003 
REFERENCE  (J,PR,107,820,195708)                                  C004600100004 
AUTHOR     (J.E.BROLLEY JR,T.M.PUTNAM,L.ROSEN)                    C004600100005 
TITLE      d-D Reactions at 6- to 14-MeV Input Energy             C004600100006 
FACILITY   (CYCLO)                                                C004600100007 
SAMPLE     Deuterium gas in a nuclear multiplate camera           C004600100008 
DETECTOR   (PLATE) Nuclear emulsions.                             C004600100009 
ERR-ANALYS (EN-ERR) From mean energy of the range measurements andC004600100010 
             corrections for gas absorption.                      C004600100011 
           (ANG-ERR) Since no misalignment trend in the data was  C004600100012 
             detectable, the authors concluded that the beam was  C004600100013 
             aligned to better than 0.1 degree.                   C004600100014 
REL-REF    (N,,PUTNAM+,J,PR,104,1303,1956)                        C004600100015 
            Discussion of uncertainty analysis.                   C004600100016 
HISTORY    (19790205C)TWB                                         C004600100017 
           (19800305A)TWB                                         C004600100018 
           (20001120A) Updated to new date formats, lower case.   C004600100019 
ENDBIB              17          0                                 C004600100020 
COMMON               1          3                                 C004600100021 
ANG-ERR                                                           C004600100022 
ADEG                                                              C004600100023 
 0.1                                                              C004600100024 
ENDCOMMON            3          0                                 C004600100025 
ENDSUBENT           24          0                                 C004600199999 
SUBENT        C0046002   20001120                             0000C004600200001 
BIB                  4          8                                 C004600200002 
REACTION   (1-H-2(D,P)1-H-3,,DA)                                  C004600200003 
ERR-ANALYS (DATA-ERR) Root-mean square error.  Uncertainties due  C004600200004 
             to current integration, gas pressure and temperature,C004600200005 
             geometry, number of tracks on plate area analyzed,   C004600200006 
             and swath width.                                     C004600200007 
STATUS     Data taken from Tables I-IV of reference.              C004600200008 
HISTORY    (19840319A) Data corrected.                            C004600200009 
           (20001120A) Data at 12.15 MeV added.                   C004600200010 
ENDBIB               8          0                                 C004600200011 
NOCOMMON             0          0                                 C004600200012 
DATA                 5        161                                 C004600200013 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              C004600200014 
MEV        MEV        ADEG       MB/SR      PER-CENT              C004600200015 
  6.1       0.1         13.8      27.73      3.0                  C004600200016 
  6.1       0.1         17.2      23.84      3.0                  C004600200017 
  6.1       0.1         20.6      20.43      3.0                  C004600200018 
  6.1       0.1         24.0      16.63      3.0                  C004600200019 
  6.1       0.1         27.5      13.73      3.0                  C004600200020 
  6.1       0.1         30.8       9.60      3.0                  C004600200021 
  6.1       0.1         34.2       7.63      3.0                  C004600200022 
  6.1       0.1         37.6       5.65      3.0                  C004600200023 
  6.1       0.1         40.9       4.41      3.0                  C004600200024 
  6.1       0.1         44.2       3.40      3.0                  C004600200025 
  6.1       0.1         47.6       2.96      3.0                  C004600200026 
  6.1       0.1         50.8       2.86      3.0                  C004600200027 
  6.1       0.1         54.1       2.65      3.0                  C004600200028 
  6.1       0.1         57.4       3.01      3.0                  C004600200029 
  6.1       0.1         60.6       3.26      3.0                  C004600200030 
  6.1       0.1         63.8       3.71      3.0                  C004600200031 
  6.1       0.1         66.9       4.39      3.0                  C004600200032 
  6.1       0.1         70.0       4.72      3.0                  C004600200033 
  6.1       0.1         73.1       5.06      3.0                  C004600200034 
  6.1       0.1         76.2       5.44      3.0                  C004600200035 
  6.1       0.1         79.2       5.35      3.0                  C004600200036 
  6.1       0.1         82.2       5.65      3.0                  C004600200037 
  6.1       0.1         85.1       5.89      3.0                  C004600200038 
  6.1       0.1         90.9       6.12      3.0                  C004600200039 
  6.1       0.1         96.5       5.84      3.0                  C004600200040 
  6.1       0.1         99.2       5.50      3.0                  C004600200041 
  6.1       0.1        107.2       5.08      3.0                  C004600200042 
  6.1       0.1        109.8       4.83      3.0                  C004600200043 
  6.1       0.1        112.3       4.75      3.0                  C004600200044 
  6.1       0.1        114.8       4.07      3.0                  C004600200045 
  6.1       0.1        119.6       3.43      4.0                  C004600200046 
  6.1       0.1        121.9       3.38      4.0                  C004600200047 
  6.1       0.1        124.2       2.98      4.0                  C004600200048 
  6.1       0.1        126.5       2.84      4.0                  C004600200049 
  6.1       0.1        128.6       3.20      4.0                  C004600200050 
  6.1       0.1        130.8       2.95      4.0                  C004600200051 
  6.1       0.1        133.0       2.90      4.0                  C004600200052 
  6.1       0.1        135.1       3.34      4.0                  C004600200053 
  6.1       0.1        137.1       3.75      4.0                  C004600200054 
  6.1       0.1        139.1       4.47      4.0                  C004600200055 
  6.1       0.1        141.1       5.04      4.0                  C004600200056 
  6.1       0.1        143.1       6.13      4.0                  C004600200057 
  6.1       0.1        145.1       7.46      3.0                  C004600200058 
  6.1       0.1        146.9       8.31      3.0                  C004600200059 
  6.1       0.1        150.5      11.89      3.0                  C004600200060 
  6.1       0.1        152.3      13.57      3.0                  C004600200061 
  6.1       0.1        154.1      15.00      3.0                  C004600200062 
  6.1       0.1        157.5      19.60      3.0                  C004600200063 
  6.1       0.1        159.2      20.78      3.0                  C004600200064 
  6.1       0.1        160.9      22.09      3.0                  C004600200065 
  6.1       0.1        162.6      22.73      3.0                  C004600200066 
  6.1       0.1        167.4      29.66      3.0                  C004600200067 
  6.1       0.1        169.0      30.43      3.0                  C004600200068 
  6.1       0.1        170.6      31.96      3.0                  C004600200069 
  6.1       0.1        172.2      34.00      3.0                  C004600200070 
  6.1       0.1        173.8      34.08      3.0                  C004600200071 
  6.1       0.1        175.4      36.27      3.0                  C004600200072 
  8.1       0.1         14.1      29.77      3.0                  C004600200073 
  8.1       0.1         17.6      24.26      3.0                  C004600200074 
  8.1       0.1         24.6      15.46      3.0                  C004600200075 
