ENTRY            C0213   19990624                             0000C021300000001 
SUBENT        C0213001   19990624                             0000C021300100001 
BIB                  8         16                                 C021300100002 
INSTITUTE  (1USAGEO,1USARUT,1CANSFU,1CANTMF,1USALAS,2FR SAC,      C021300100003 
           1CANQU,1USACLU,1USASCA,1USACBF,1CANALA)                C021300100004 
            + Inst.Phys.Nucl., Orsay, France                      C021300100005 
REFERENCE  (J,PR/C,44,93,199107)                                  C021300100006 
AUTHOR     (F.T.BAKER,L.BIMBOT,R.W.FERGERSON,C.GLASHAUSSER,       C021300100007 
           A.GREEN,O.HAUSSER,K.HICKS,K.JONES,C.A.MILLER,          C021300100008 
           M.VETTERLI,R.ABEGG,D.BEATTY,B.BONIN,B.CASTEL,X.Y.CHEN, C021300100009 
           V.CUPPS,C.DJALALI,R.HENDERSON,K.P.JACKSON,R.JEPPESEN,  C021300100010 
           K.NAKAYAMA,S.K.NANDA,R.SAWAFTA,S.YEN)                  C021300100011 
TITLE      Spin decomposition of the resonances of 44Ca and       C021300100012 
            48Ca to 300 MeV protons                               C021300100013 
METHOD     (EXTB,SITA)                                            C021300100014 
ERR-ANALYS (ERR-S) Statistical errors are given.                  C021300100015 
STATUS     Data received by e-mail from F.T.Baker, Oct.1998.      C021300100016 
           (APRVD) Apprved by F.T. Baker, 24 June 1999.           C021300100017 
HISTORY    (19990203C) VV                                         C021300100018 
ENDBIB              16          0                                 C021300100019 
NOCOMMON             0          0                                 C021300100020 
ENDSUBENT           19          0                                 C021300199999 
SUBENT        C0213002   19990203                             0000C021300200001 
BIB                  5          7                                 C021300200002 
REACTION   (20-CA-44(P,INL)20-CA-44,,DA/DE)                       C021300200003 
FACILITY   (MESON,1CANTMF) The TRIUMF facility.                   C021300200004 
INC-SOURCE (POLIS) The TRIUMF facility 290-MeV polarized proton   C021300200005 
            beam.                                                 C021300200006 
SAMPLE     Target enriched to 98.78% 44Ca, thickness 53.5         C021300200007 
            mg/cm**2.                                             C021300200008 
DETECTOR   (MAGSP) Medium-resolution spectrometer (MRS).          C021300200009 
ENDBIB               7          0                                 C021300200010 
COMMON               1          3                                 C021300200011 
EN                                                                C021300200012 
MEV                                                               C021300200013 
   290.0                                                          C021300200014 
ENDCOMMON            3          0                                 C021300200015 
DATA                 5        124                                 C021300200016 
ANG        E-EXC-MIN  E-EXC-MAX  DATA       ERR-S                 C021300200017 
ADEG       MEV        MEV        MB/SR/MEV  MB/SR/MEV             C021300200018 
   3.0       1.         3.       -0.442      0.005                C021300200019 
   3.0       3.         5.        0.197      0.009                C021300200020 
   3.0       5.         7.        0.329      0.010                C021300200021 
   3.0       7.         9.        0.510      0.012                C021300200022 
   3.0       9.        11.        0.727      0.014                C021300200023 
   3.0      11.        13.        0.927      0.016                C021300200024 
   3.0      13.        15.        1.283      0.019                C021300200025 
   3.0      15.        17.        1.729      0.022                C021300200026 
   3.0      17.        19.        1.901      0.023                C021300200027 
   3.0      19.        21.        1.831      0.023                C021300200028 
   3.0      21.        23.        1.588      0.022                C021300200029 
   3.0      23.        25.        1.335      0.020                C021300200030 
   3.0      25.        27.        1.153      0.019                C021300200031 
   3.0      27.        29.        1.053      0.018                C021300200032 
   3.0      29.        31.        0.996      0.017                C021300200033 
   3.0      31.        33.        0.949      0.017                C021300200034 
   3.0      33.        35.        0.906      0.016                C021300200035 
   3.0      35.        37.        0.850      0.016                C021300200036 
   3.0      37.        39.        0.828      0.016                C021300200037 
   3.0      39.        41.        0.797      0.015                C021300200038 
   3.0      41.        43.        0.730      0.015                C021300200039 
   3.0      43.        45.        0.684      0.014                C021300200040 
   3.0      45.        47.        0.652      0.014                C021300200041 
   3.0      47.        49.        0.611      0.013                C021300200042 
   5.0       1.         3.        1.646      0.008                C021300200043 
   5.0       3.         5.        0.510      0.006                C021300200044 
   5.0       5.         7.        0.384      0.005                C021300200045 
   5.0       7.         9.        0.393      0.005                C021300200046 
   5.0       9.        11.        0.588      0.006                C021300200047 
   5.0      11.        13.        0.825      0.007                C021300200048 
   5.0      13.        15.        1.024      0.008                C021300200049 
   5.0      15.        17.        1.440      0.009                C021300200050 
   5.0      17.        19.        1.732      0.010                C021300200051 
   5.0      19.        21.        1.767      0.011                C021300200052 
   5.0      21.        23.        1.614      0.010                C021300200053 
   5.0      23.        25.        1.379      0.009                C021300200054 
   5.0      25.        27.        1.191      0.009                C021300200055 
   5.0      27.        29.        1.022      0.008                C021300200056 
   5.0      29.        31.        0.966      0.008                C021300200057 
   5.0      31.        33.        0.955      0.008                C021300200058 
   5.0      33.        35.        0.900      0.007                C021300200059 
   5.0      35.        37.        0.856      0.007                C021300200060 
   5.0      37.        39.        0.803      0.007                C021300200061 
   5.0      39.        41.        0.743      0.007                C021300200062 
   5.0      41.        43.        0.707      0.007                C021300200063 
   5.0      43.        45.        0.667      0.006                C021300200064 
   5.0      45.        47.        0.650      0.006                C021300200065 
   5.0      47.        49.        0.606      0.006                C021300200066 
   5.0      49.        51.        0.571      0.006                C021300200067 
   7.0       1.         3.        0.419      0.003                C021300200068 
   7.0       3.         5.        0.999      0.006                C021300200069 
   7.0       5.         7.        0.715      0.005                C021300200070 
   7.0       7.         9.        0.671      0.005                C021300200071 
   7.0       9.        11.        0.772      0.005                C021300200072 
   7.0      11.        13.        0.991      0.006                C021300200073 
   7.0      13.        15.        1.301      0.007                C021300200074 
   7.0      15.        17.        1.699      0.008                C021300200075 
   7.0      17.        19.        1.829      0.008                C021300200076 
   7.0      19.        21.        1.723      0.008                C021300200077 
   7.0      21.        23.        1.490      0.007                C021300200078 
   7.0      23.        25.        1.275      0.007                C021300200079 
   7.0      25.        27.        1.090      0.006                C021300200080 
   7.0      27.        29.        1.014      0.006                C021300200081 
   7.0      29.        31.        1.008      0.006                C021300200082 
   7.0      31.        33.        0.950      0.006                C021300200083 
   7.0      33.        35.        0.923      0.006                C021300200084 
   7.0      35.        37.        0.883      0.006                C021300200085 
   7.0      37.        39.        0.823      0.005                C021300200086 
   7.0      39.        41.        0.755      0.005                C021300200087 
   7.0      41.        43.        0.728      0.005                C021300200088 
   7.0      43.        45.        0.680      0.005                C021300200089 
   7.0      45.        47.        0.633      0.005                C021300200090 
   7.0      47.        49.        0.602      0.005                C021300200091 
   7.0      49.        51.        0.570      0.005                C021300200092 
   9.0       1.         3.        0.446      0.004                C021300200093 
   9.0       3.         5.        1.438      0.009                C021300200094 
   9.0       5.         7.        1.364      0.009                C021300200095 
   9.0       7.         9.        1.140      0.008                C021300200096 
   9.0       9.        11.        1.176      0.008                C021300200097 
   9.0      11.        13.        1.387      0.009                C021300200098 
   9.0      13.        15.        1.681      0.010                C021300200099 
   9.0      15.        17.        2.110      0.011                C021300200100 
   9.0      17.        19.        2.233      0.011                C021300200101 
   9.0      19.        21.        2.066      0.011                C021300200102 
   9.0      21.        23.        1.755      0.010                C021300200103 
   9.0      23.        25.        1.521      0.009                C021300200104 
   9.0      25.        27.        1.346      0.009                C021300200105 
   9.0      27.        29.        1.237      0.008                C021300200106 
   9.0      29.        31.        1.241      0.008                C021300200107 
